# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -0.294188, 0.291494, 0.18125, 0.886189, 0.922565, 1.02973, 0.654518, 0.454099, 0.0281862, 0.101895, -0.046238, -0.36876, -0.831055, -1.25309, -1.21091, -1.22748, -1.31511, -1.73055, -1.52683, -2.01744
0.01, 0.0319375, -0.767882, 0.354718, 0.68851, 0.560909, 0.719368, 0.541619, 0.0650981, 0.216801, -0.261104, -0.161607, -0.319049, -0.266961, -0.475172, -1.00979, -1.20845, -1.53167, -1.58315, -1.49421, -1.5822, -1.80714
0.02, 0.0319375, -0.0586141, 0.694395, 0.420597, 0.589635, 0.563039, 0.511876, 0.150771, 0.415946, 0.0521655, -0.429787, -0.455536, -0.378901, -0.655316, -0.750318, -1.11012, -1.49627, -1.35528, -1.57689, -1.66202, -1.79404
0.03, 0.0319375, 0.0291491, 0.488584, 0.600875, 0.935369, 0.74487, 0.831216, 0.485609, 0.687996, 0.303416, -0.384032, -0.0181978, -0.385498, -0.72148, -0.902548, -0.960076, -1.14158, -1.51148, -1.56218, -1.4686, -1.78442
0.04, 0.0319375, -0.0604336, 0.193574, 0.764427, 0.854407, 0.754957, 0.537524, -0.0493438, 0.610466, 0.280295, -0.056951, 0.183133, -0.202878, -0.667961, -0.981334, -1.07145, -1.04613, -1.61934, -1.55457, -1.56812, -1.87011
0.05, 0.0319375, -0.0197989, -0.138966, -0.0383938, 0.500298, 0.943733, 0.0598593, -0.109011, 0.212275, 0.193483, -0.288209, -0.248718, -0.516634, -0.710366, -1.04045, -1.12279, -0.977882, -1.54582, -1.78419, -1.82696, -2.07356
0.06, 0.0319375, 0.282982, 0.492238, 0.321629, 0.651159, 1.23818, 0.455417, 0.47587, 0.463248, 0.0239787, -0.277131, -0.603178, -0.663569, -0.525232, -1.06919, -1.16391, -1.22461, -1.61152, -1.68079, -1.61573, -1.7948
0.07, 0.0319375, 0.583672, 0.223655, 0.717036, 1.19083, 0.984535, 0.406139, 0.515465, 0.395443, 0.055458, 0.0827534, -0.1177, -0.791221, -0.788915, -0.943979, -1.33161, -1.18762, -1.67911, -1.7932, -1.68342, -1.53377
0.08, 0.0319375, 0.150196, 0.595394, 0.328753, 0.918519, 1.05552, 0.584799, 0.215871, 0.323778, 0.144956, 0.0958189, -0.2339, -0.907624, -0.88025, -0.696072, -1.62606, -1.43577, -1.6719, -1.54404, -1.73559, -1.88136
0.09, 0.0319375, -0.385581, -0.284732, 0.620892, 0.594596, 0.787456, 0.244493, 0.47432, 0.0495179, -0.0237706, -0.219456, -0.567073, -0.634658, -0.5962, -0.836829, -1.31247, -1.39172, -1.55047, -1.59301, -1.90499, -2.01048
0.1, 0.0319375, -0.0944132, 0.264843, 0.433461, 0.667026, 0.678268, 0.453131, 0.507554, 0.344671, 0.186226, -0.0417574, -0.328111, -0.336647, -0.983261, -1.08446, -1.07178, -1.33457, -1.46329, -1.63322, -1.7135, -1.98571
