# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -3.31102, -3.65393, -3.81008, -3.47668, -3.32131, -3.90028, -4.27719, -4.37598, -4.35154, -3.9159, -3.73183, -3.77898, -3.77616, -3.73954, -4.05419, -3.53883, -2.64274, -3.00218, -3.32985, -3.07288
0.01, 0.0319375, -3.88261, -4.17126, -4.2298, -3.74215, -3.54614, -4.2267, -4.4355, -4.37456, -4.21034, -4.31114, -3.88228, -4.0082, -4.01793, -3.84208, -3.98586, -3.4602, -2.81962, -2.94584, -3.22832, -3.07424
0.02, 0.0319375, -2.92703, -3.75131, -4.4698, -3.91604, -3.79946, -4.01107, -4.4066, -4.75404, -4.73898, -4.37615, -3.989, -3.58497, -3.88995, -4.11602, -4.2748, -3.50462, -2.98772, -3.03137, -2.92392, -3.24572
0.03, 0.0319375, -1.77041, -1.9476, -2.73914, -3.05955, -3.12212, -3.76139, -3.74303, -3.976, -3.88211, -4.09432, -3.62234, -3.58454, -3.63828, -3.55423, -3.4445, -3.50586, -2.74323, -2.9819, -2.87897, -3.18951
0.04, 0.0319375, -1.08949, -1.46793, -2.3048, -2.81179, -3.21755, -3.20238, -3.29774, -3.47676, -2.93952, -3.70509, -3.83397, -3.53147, -3.50178, -3.26938, -3.35824, -2.98168, -2.47639, -2.87132, -2.9608, -3.05064
0.05, 0.0319375, -1.30186, -2.56639, -3.11872, -3.18154, -3.72821, -3.50933, -4.07884, -4.65927, -3.64567, -3.91374, -4.16302, -3.81089, -3.93493, -4.18397, -4.29477, -3.55349, -2.86601, -2.79752, -2.92716, -3.29933
0.06, 0.0319375, -2.24139, -3.45826, -3.61499, -3.56537, -3.89282, -4.19519, -4.48667, -4.42183, -4.33607, -4.50432, -4.17256, -3.91163, -3.88958, -4.14385, -4.17896, -3.66951, -2.7068, -2.64947, -2.61436, -2.74966
0.07, 0.0319375, -2.16753, -2.7016, -3.17087, -3.2519, -3.33202, -3.79701, -4.13944, -4.52534, -4.07222, -4.16579, -3.84883, -3.82431, -3.51803, -3.89541, -4.01816, -3.53657, -2.77381, -2.62, -2.61633, -2.68354
0.08, 0.0319375, -1.91758, -2.83423, -3.46519, -3.0485, -3.00599, -3.60703, -3.7789, -4.00283, -3.87436, -4.021, -3.95102, -3.78204, -3.58163, -3.92627, -3.97917, -3.41342, -2.51803, -2.33336, -2.60382, -2.44256
0.09, 0.0319375, -2.13975, -3.0324, -3.32986, -2.44407, -2.38039, -2.79461, -3.06044, -3.15235, -3.29432, -3.26931, -3.09408, -3.14109, -3.22102, -3.59417, -3.47126, -3.0019, -2.08235, -1.91351, -2.29577, -2.43422
0.1, 0.0319375, -2.16106, -2.14677, -2.0824, -2.60934, -1.81937, -1.36755, -2.37789, -2.4588, -2.11999, -2.45398, -2.05766, -2.60184, -2.77056, -3.34066, -3.03052, -2.84987, -1.92352, -1.82532, -2.13376, -1.84237
0.11, 0.0319375, -2.35542, -2.12026, -1.51188, -2.3402, -2.33349, -1.51707, -2.39283, -3.10401, -1.95193, -2.59712, -1.82746, -2.52917, -2.8685, -3.36328, -3.06439, -2.67701, -1.75841, -1.6371, -2.1733, -1.53443
0.12, 0.0319375, -2.33895, -1.9278, -1.6367, -2.73928, -2.7303, -2.20683, -3.14054, -3.59459, -2.74149, -3.02238, -2.66464, -2.76392, -2.69291, -3.45408, -3.41724, -2.90456, -2.01557, -1.90451, -2.47643, -2.06318
0.13, 0.0319375, -2.21434, -1.38611, -1.42888, -3.17395, -3.05627, -2.46653, -3.21092, -3.48825, -3.21633, -3.04647, -2.68545, -2.68619, -2.53083, -3.62514, -3.30956, -3.24487, -2.55463, -1.91764, -2.15909, -1.50475
0.14, 0.0319375, -2.39835, -1.46006, -1.58232, -2.81576, -2.33613, -2.52317, -2.75348, -2.59666, -2.78782, -2.66395, -2.29712, -2.64428, -2.72622, -3.28968, -3.24924, -3.0976, -2.36271, -1.65946, -1.82404, -1.35567
