# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -6.46018, -7.1323, -6.77237, -6.86209, -6.80317, -6.53657, -6.53061, -6.56366, -6.72213, -6.68104, -6.72422, -6.47829, -6.42977, -6.34452, -6.32901, -6.08633, -6.19618, -6.32552, -6.49312, -6.23836
0.01, 0.0319375, -6.50847, -6.44329, -6.64645, -7.144, -6.72268, -6.5825, -6.83539, -6.75455, -6.68061, -6.80452, -6.74119, -6.66329, -6.76351, -6.48141, -6.59988, -6.35104, -6.36054, -6.51805, -6.82367, -6.39662
0.02, 0.0319375, -6.7033, -6.50052, -6.51446, -6.85797, -6.96661, -7.37407, -7.29448, -7.20338, -6.67402, -6.90229, -6.86681, -6.79337, -6.84388, -6.6695, -6.83122, -6.52491, -6.45584, -6.65264, -6.48528, -6.30909
0.03, 0.0319375, -6.93623, -6.78445, -6.47551, -6.60842, -6.50135, -6.74984, -7.61375, -7.16874, -6.39476, -6.65496, -6.73679, -6.36466, -6.1051, -6.34745, -6.19867, -6.32992, -6.33076, -6.48959, -6.14926, -6.17636
0.04, 0.0319375, -6.81389, -6.82987, -6.66917, -6.42574, -6.75552, -6.50769, -7.0005, -6.88409, -6.50792, -6.19666, -6.61354, -6.46927, -6.18361, -5.77976, -5.47442, -5.79305, -6.133, -6.26914, -6.32677, -6.14647
0.05, 0.0319375, -6.55914, -6.71804, -6.42859, -6.71074, -7.03105, -6.92488, -6.88219, -6.98202, -6.89431, -6.75405, -6.64095, -6.68651, -6.28499, -5.59018, -5.45894, -5.87985, -6.07599, -6.37222, -6.4509, -6.53461
0.06, 0.0319375, -6.25971, -6.74862, -6.947, -6.66612, -6.89924, -6.75635, -6.69202, -6.91788, -7.15244, -6.90775, -6.94967, -6.77546, -6.68641, -6.8822, -6.90586, -6.69313, -7.04568, -7.01751, -7.04802, -6.83772
0.07, 0.0319375, -7.09936, -7.19917, -7.87531, -7.05838, -6.23538, -6.61042, -7.03832, -6.71813, -6.7466, -6.95744, -6.70585, -6.93406, -6.92962, -6.7105, -6.64653, -7.01568, -6.86272, -6.65696, -6.87339, -6.67066
0.08, 0.0319375, -6.53972, -6.82746, -6.41884, -6.51972, -6.46819, -6.57433, -7.04704, -7.20173, -6.94807, -6.76359, -6.75832, -6.80971, -6.68431, -6.89861, -6.48456, -6.47229, -6.5477, -6.35566, -6.37812, -6.28039
0.09, 0.0319375, -6.73522, -6.58584, -6.29176, -6.61552, -6.61723, -6.37744, -6.8183, -6.99233, -6.5013, -6.74904, -6.59328, -6.55564, -6.51769, -6.67936, -6.8695, -6.61221, -6.74785, -6.47959, -6.5705, -6.3295
0.1, 0.0319375, -7.06478, -6.66423, -6.40481, -6.69736, -6.41154, -6.46882, -7.03371, -6.83279, -6.56455, -6.94248, -6.82917, -6.80102, -6.46763, -6.43076, -6.84369, -6.78334, -6.57601, -6.33922, -6.29168, -6.21402
0.11, 0.0319375, -6.44467, -6.27941, -6.22841, -6.63737, -6.49673, -6.64292, -6.44853, -6.64212, -6.59556, -6.62647, -6.76602, -6.71671, -6.81311, -6.98876, -6.82286, -6.94288, -6.83228, -6.56322, -6.24823, -6.35059
0.12, 0.0319375, -6.18568, -5.82112, -6.00145, -6.45372, -6.40492, -6.56294, -6.60839, -6.51257, -6.33643, -6.30499, -6.30982, -6.25882, -6.08379, -6.35449, -6.28339, -6.37106, -6.25848, -6.55063, -6.42467, -6.27806
0.13, 0.0319375, -5.96194, -5.9645, -6.11361, -6.03266, -6.43781, -6.11835, -6.42806, -6.63941, -6.61315, -6.64746, -6.61215, -6.26042, -6.18566, -6.31492, -6.22573, -6.27162, -6.29448, -6.53537, -6.50345, -6.45379
0.14, 0.0319375, -5.31455, -5.52957, -5.42951, -5.80658, -6.31454, -6.01217, -6.4587, -6.7047, -6.71097, -6.546, -6.48996, -6.86822, -6.49304, -6.06696, -6.03823, -6.25584, -6.27885, -6.27064, -6.25749, -6.14493
0.15, 0.0319375, -6.37626, -5.89485, -5.64951, -5.9983, -6.33851, -6.13473, -6.44049, -6.9325, -6.53462, -6.35312, -6.80018, -6.45485, -6.02678, -6.21621, -6.06329, -6.31881, -6.54108, -6.37982, -6.18063, -5.8813
0.16, 0.0319375, -6.67784, -5.89199, -5.70406, -6.32602, -6.5734, -6.04358, -6.53806, -6.49367, -6.64476, -6.39183, -6.2608, -6.35054, -6.01471, -6.31628, -6.44669, -6.24222, -6.40626, -6.16141, -6.1594, -6.0563
0.17, 0.0319375, -6.12068, -6.30744, -5.73478, -5.36444, -5.84194, -5.56192, -6.55534, -6.59914, -6.5221, -6.13551, -6.34908, -6.3464, -5.99184, -6.14703, -6.36679, -6.26972, -6.36352, -5.91742, -6.04958, -6.16613
0.18, 0.0319375, -6.0081, -5.9246, -5.81653, -5.50126, -6.06203, -5.88707, -6.57836, -6.49199, -6.32449, -6.34475, -6.62466, -6.10658, -6.08904, -6.38084, -6.27704, -6.25457, -6.37906, -6.34459, -6.30774, -6.07708
0.19, 0.0319375, -6.49778, -5.71381, -5.43466, -5.92435, -5.97571, -5.93395, -6.53915, -6.62758, -6.4349, -6.45418, -6.79017, -6.42354, -6.46113, -6.64805, -6.14008, -6.33431, -6.2096, -6.32492, -6.32405, -6.00047
0.2, 0.0319375, -6.13583, -5.7236, -5.5607, -6.21078, -6.03457, -5.92952, -6.58072, -6.61215, -6.68585, -6.42638, -6.45502, -6.8105, -6.86497, -6.64584, -6.25423, -6.41989, -6.40529, -6.75603, -6.33077, -5.91964
0.21, 0.0319375, -6.1952, -6.41193, -6.00435, -6.11095, -6.2086, -6.04559, -6.23356, -6.34335, -6.37333, -6.59114, -6.52478, -6.26799, -6.30024, -6.48415, -6.23902, -6.49944, -6.28961, -6.2946, -5.97746, -5.83927
0.22, 0.0319375, -5.61715, -5.34462, -5.72878, -6.10585, -5.83289, -6.07172, -6.60499, -6.29712, -6.28502, -6.59562, -6.18794, -6.41372, -6.27911, -6.81039, -6.50555, -6.37259, -6.34823, -6.50369, -6.22832, -5.97967
0.23, 0.0319375, -5.53239, -5.49073, -5.97445, -5.67123, -5.67647, -6.02888, -6.4666, -6.36763, -6.49991, -6.35816, -6.2622, -6.05141, -6.31151, -6.57742, -6.60991, -6.2765, -6.42501, -6.21248, -6.0562, -5.98895
0.24, 0.0319375, -5.7154, -5.81545, -5.70667, -5.76888, -5.94512, -6.04718, -6.27059, -6.27392, -6.35676, -6.20774, -6.25525, -6.36306, -6.4808, -6.55669, -6.51885, -6.46242, -6.67173, -6.15545, -6.22488, -6.15793
0.25, 0.0319375, -5.80514, -5.35982, -5.30122, -5.55161, -5.76443, -5.685, -5.99395, -6.05451, -5.96994, -6.14515, -6.30044, -6.6209, -6.48176, -6.27976, -6.14893, -6.1317, -6.05111, -6.15261, -6.03918, -6.09672
0.26, 0.0319375, -5.29212, -5.26039, -5.2549, -5.64328, -5.35694, -5.39748, -6.08132, -5.70207, -5.72146, -5.9403, -6.64899, -6.2379, -6.30118, -6.22385, -6.25453, -6.07371, -6.12543, -6.05163, -5.75163, -5.75724
