# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -5.77668, -5.64646, -5.54784, -5.87865, -5.55548, -5.41653, -5.21721, -5.32486, -5.19519, -5.32753, -5.48978, -5.19919, -5.08401, -5.44731, -5.20932, -5.51806, -4.95498, -5.15413, -5.09257, -5.27841
0.01, 0.0319375, -5.81698, -5.7419, -5.63414, -5.61725, -5.38136, -5.46708, -5.17501, -5.25073, -5.15379, -5.13479, -5.03696, -4.93693, -4.92462, -4.82203, -4.38649, -4.60832, -4.44003, -4.80064, -4.99877, -5.05098
0.02, 0.0319375, -6.16616, -6.35898, -5.96972, -5.84038, -5.62021, -5.45602, -5.78491, -5.39179, -5.07356, -4.88916, -5.00423, -5.23073, -4.9582, -4.99514, -5.0424, -5.03687, -4.68572, -4.76218, -4.90342, -4.96852
0.03, 0.0319375, -5.81391, -5.76951, -5.41978, -5.3082, -5.11418, -5.06874, -5.46002, -5.16923, -5.23648, -5.09052, -5.1896, -5.52631, -4.94213, -4.78231, -4.44228, -4.69436, -4.37227, -3.33718, -3.93633, -3.87487
0.04, 0.0319375, -5.78669, -5.69593, -5.64294, -5.38106, -5.42259, -5.21129, -5.42518, -5.27173, -4.86647, -5.20765, -4.89106, -5.27821, -5.14811, -5.08041, -4.67561, -4.86629, -4.53129, -3.60328, -4.12418, -4.1782
0.05, 0.0319375, -5.50936, -5.73339, -5.4856, -5.35566, -5.56013, -5.65444, -5.81751, -5.60783, -5.12231, -5.18358, -5.15427, -5.0725, -4.81263, -5.2566, -4.90101, -4.96238, -4.73287, -4.72331, -4.64913, -4.96118
0.06, 0.0319375, -5.47171, -5.30797, -5.12037, -5.5469, -5.38134, -5.52991, -5.51114, -5.30826, -5.05951, -4.98724, -4.94368, -5.14234, -4.67178, -5.10318, -4.77387, -4.59674, -4.48658, -4.48785, -4.64836, -4.82109
0.07, 0.0319375, -6.0218, -5.73143, -5.47254, -5.53542, -5.40772, -5.16494, -5.52549, -5.26372, -4.84474, -4.6937, -4.99704, -5.64072, -4.95868, -4.79783, -4.92921, -4.83811, -4.72251, -4.65707, -4.81846, -4.75184
0.08, 0.0319375, -5.83978, -6.22196, -5.4606, -5.25896, -5.62682, -5.19188, -5.20186, -5.17308, -4.61592, -4.98858, -5.13507, -5.17926, -5.12506, -5.00761, -4.84158, -4.96782, -4.78117, -4.52888, -4.68139, -4.78634
0.09, 0.0319375, -5.96193, -5.58068, -5.42939, -5.54742, -5.21217, -5.14129, -5.07102, -5.12924, -4.90012, -4.8092, -4.79378, -4.84422, -4.91916, -4.7982, -4.65415, -4.4726, -4.50157, -4.68876, -4.75427, -4.67411
0.1, 0.0319375, -5.72818, -4.74306, -4.62203, -5.02106, -5.0619, -5.20704, -4.65365, -4.53336, -4.49264, -4.10728, -4.71993, -4.7443, -4.44284, -4.18561, -4.47774, -4.10046, -4.38427, -4.21469, -4.26165, -4.35402
0.11, 0.0319375, -5.70211, -5.14932, -5.17514, -4.99706, -5.17178, -5.33774, -4.50162, -4.61785, -4.60167, -4.27677, -4.45744, -4.12083, -4.39653, -4.42955, -4.37214, -3.97921, -4.19784, -4.04376, -4.15247, -4.05956
0.12, 0.0319375, -5.46758, -5.34129, -4.72223, -4.94157, -4.81998, -4.8828, -4.88305, -4.87055, -4.70902, -4.41641, -4.57107, -4.42733, -4.32981, -4.42465, -4.07172, -3.95014, -4.19505, -3.99923, -4.05698, -4.13219
0.13, 0.0319375, -5.52718, -5.05667, -5.34457, -4.94526, -4.72636, -4.97182, -4.89024, -4.51945, -4.48297, -4.45796, -4.64053, -4.7678, -4.45262, -4.07576, -4.31423, -4.35036, -4.27996, -4.13534, -4.10326, -4.23768
0.14, 0.0319375, -4.99826, -5.12968, -5.36792, -5.3056, -4.76074, -5.03174, -4.68286, -4.4208, -4.49673, -4.40949, -4.73879, -4.17955, -4.30265, -4.17238, -4.04162, -4.14199, -4.05524, -4.17305, -4.22617, -4.28412
0.15, 0.0319375, -5.15388, -4.93819, -5.12238, -5.12958, -4.43501, -4.71839, -4.81015, -4.38323, -4.38537, -4.54254, -4.64873, -4.65977, -4.28128, -4.24924, -4.16657, -4.11373, -4.32052, -4.48653, -4.46206, -4.49507
0.16, 0.0319375, -5.29579, -5.12736, -5.32124, -5.04367, -4.91047, -4.71667, -4.59843, -4.75435, -4.96898, -4.28131, -4.65069, -4.53097, -4.10133, -4.20208, -4.29586, -3.9311, -3.79714, -4.2719, -4.42985, -4.58122
0.17, 0.0319375, -5.25644, -5.32698, -5.28949, -4.87396, -4.65892, -5.06125, -4.9541, -5.02053, -4.83098, -4.14851, -4.80311, -4.4993, -4.18314, -4.67388, -4.37887, -4.25125, -4.34766, -4.46799, -4.53129, -4.61616
0.18, 0.0319375, -4.85168, -4.84366, -4.69817, -3.94646, -3.1364, -4.10539, -4.61336, -5.36644, -4.6921, -4.28917, -4.67573, -4.0881, -3.83807, -4.43158, -4.57958, -4.62921, -4.4925, -4.45498, -4.6488, -4.60471
0.19, 0.0319375, -5.47214, -5.82836, -5.41946, -4.21395, -3.14768, -3.90629, -4.38631, -5.13233, -4.711, -4.67317, -5.19745, -4.30586, -4.0807, -4.42375, -4.9043, -4.70334, -4.65743, -4.63526, -4.53552, -4.69461
