# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -2.50539, -4.23296, -1.49891, -1.46403, -2.26827, -2.45983, -3.41953, -3.87446, -3.89362, -3.87178, -4.29276, -3.70755, -4.31935, -4.72509, -4.56636, -3.60573, -3.56069, -4.26319, -4.38312, -3.50901
0.01, 0.0319375, -2.73532, -4.04916, -1.00858, -1.62941, -1.78483, -2.40282, -2.59015, -3.37557, -3.4705, -3.61491, -3.86286, -3.37556, -3.51877, -4.31595, -4.23772, -3.10815, -2.78668, -3.2729, -3.23332, -3.04565
0.02, 0.0319375, -3.00781, -3.5491, -0.787944, -2.37401, -1.39728, -2.74892, -2.24115, -3.27349, -3.47147, -3.7066, -3.99807, -3.33197, -3.34641, -3.96469, -3.83127, -2.65591, -2.25899, -2.64691, -2.82243, -2.5394
0.03, 0.0319375, -2.41427, -3.13523, -0.586741, -1.64507, -1.57023, -2.25016, -2.16405, -3.00911, -3.30845, -3.71701, -3.63036, -2.98484, -3.1644, -3.8198, -3.48868, -2.42652, -2.03661, -2.28172, -2.33303, -2.31445
0.04, 0.0319375, -1.73676, -3.05998, -0.809495, -0.820218, -2.04199, -1.64227, -2.47049, -2.63637, -3.33173, -3.37933, -3.24686, -3.02029, -3.3697, -3.91773, -3.49827, -2.55461, -1.99635, -2.49191, -2.25198, -2.47621
0.05, 0.0319375, -1.75317, -2.6751, -2.08577, -1.21036, -1.9046, -1.83469, -2.26694, -2.89389, -3.15511, -3.04127, -3.17962, -3.59794, -3.65265, -3.75375, -3.60125, -2.39802, -1.67701, -2.49673, -2.45643, -2.56283
0.06, 0.0319375, -1.73999, -1.87411, -3.89196, -1.75626, -1.54181, -3.0096, -2.14093, -3.57881, -2.88819, -2.97413, -3.06236, -3.97497, -3.61863, -4.12069, -3.49434, -2.48269, -1.5754, -2.30791, -1.98388, -2.35609
0.07, 0.0319375, -1.88641, -1.53731, -3.65496, -2.43134, -1.55393, -4.28572, -2.54557, -3.79112, -3.12738, -3.5179, -3.10844, -3.41598, -3.91859, -4.58631, -4.09991, -3.15269, -1.66721, -2.47841, -2.07098, -2.47586
0.08, 0.0319375, -2.04825, -1.35621, -3.32572, -2.46961, -1.48531, -4.01391, -2.7055, -3.64387, -3.3905, -3.77919, -3.06008, -3.27355, -3.75059, -4.13357, -3.90864, -2.74878, -1.76454, -2.2387, -2.18424, -2.58623
0.09, 0.0319375, -2.06261, -1.09663, -3.41883, -2.57842, -1.41076, -3.80823, -2.99573, -3.44682, -3.64513, -4.00476, -2.84605, -3.52047, -3.70362, -4.07609, -3.85646, -2.5354, -1.85652, -2.02346, -1.87436, -2.24646
0.1, 0.0319375, -2.33839, -0.949318, -3.37225, -3.25529, -1.48611, -3.59005, -3.25259, -3.20484, -3.8046, -3.72808, -2.55664, -3.84566, -4.20655, -4.13734, -3.87052, -2.37318, -1.50386, -1.94322, -1.65572, -2.23482
0.11, 0.0319375, -2.87146, -0.821511, -2.87417, -3.75282, -1.66698, -3.03717, -3.49136, -2.99816, -3.89176, -3.54855, -2.63921, -3.49807, -4.4945, -4.05671, -4.02594, -2.43704, -1.28724, -1.98933, -1.76001, -2.42529
0.12, 0.0319375, -3.00902, -0.693089, -2.61972, -4.41506, -1.7694, -2.78312, -4.01683, -2.86947, -4.20595, -3.30177, -2.91231, -3.29865, -4.52348, -3.97281, -4.1537, -2.65356, -1.22234, -2.03921, -1.77421, -2.40655
0.13, 0.0319375, -3.46135, -0.609047, -2.4294, -4.09272, -2.08403, -2.75727, -4.33118, -2.91469, -4.53218, -3.06944, -3.59679, -3.55731, -4.49871, -4.27279, -4.11111, -2.98904, -1.5014, -2.08887, -1.9949, -2.51471
0.14, 0.0319375, -3.64146, -0.585331, -2.17808, -4.20818, -2.01657, -2.65632, -4.32722, -2.96461, -4.58987, -2.91294, -3.87867, -3.72344, -4.26322, -4.64544, -4.02586, -3.05926, -1.59816, -1.89009, -2.02494, -2.39739
0.15, 0.0319375, -3.99837, -0.559549, -2.173, -4.34515, -2.31546, -2.81063, -5.14908, -2.95675, -4.5787, -2.95171, -4.15924, -3.97037, -3.98494, -4.59734, -4.17771, -3.12474, -1.93485, -1.90727, -2.07543, -2.41614
0.16, 0.0319375, -4.07214, -0.562845, -1.91426, -3.41578, -2.1502, -2.50268, -3.39141, -2.73456, -3.37511, -2.80544, -3.2007, -2.37974, -2.17188, -2.56316, -2.72625, -2.87004, -1.86374, -1.92602, -2.21939, -2.49755
0.17, 0.0319375, -4.04099, -0.56779, -1.71422, -3.09174, -1.98958, -2.3335, -3.53319, -2.63942, -3.12308, -2.32291, -2.41872, -1.64131, -1.75784, -2.59655, -2.60024, -2.57041, -2.1652, -2.21843, -2.36426, -2.64733
0.18, 0.0319375, -4.27174, -0.770034, -1.78178, -2.89026, -1.49778, -1.82527, -3.21725, -1.91845, -2.97059, -1.92618, -2.26823, -1.41087, -1.85882, -2.77838, -2.88398, -2.45104, -1.92572, -2.55698, -1.88905, -2.49392
