# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -2.19366, -3.05155, -2.97106, -3.47724, -3.44261, -3.57164, -3.05647, -3.16978, -3.48913, -3.50026, -3.37211, -3.7473, -3.48345, -3.29276, -3.49461, -3.71911, -3.38401, -3.99452, -3.88706, -3.80783
0.01, 0.0319375, -2.08488, -3.0476, -2.93646, -3.31471, -3.51043, -3.85397, -3.18535, -3.4151, -3.18325, -3.31865, -3.19714, -3.75772, -3.5401, -3.22853, -3.53831, -3.79124, -3.31575, -3.82423, -3.85473, -3.60084
0.02, 0.0319375, -2.43277, -2.54511, -2.784, -3.11854, -3.40052, -3.66895, -3.4854, -2.95452, -3.19846, -3.4958, -3.28892, -3.73417, -3.19391, -3.02558, -3.41183, -3.74954, -3.60846, -3.95349, -3.82851, -3.55749
0.03, 0.0319375, -2.08454, -2.61336, -2.74659, -3.10404, -3.56378, -3.74245, -3.59973, -3.09912, -3.60293, -3.49394, -3.49593, -3.54247, -3.13499, -3.13274, -3.36383, -3.66979, -3.47111, -3.79839, -3.70636, -3.75919
0.04, 0.0319375, -2.0498, -2.22433, -3.06407, -3.14776, -3.95472, -4.08195, -3.65345, -3.25044, -3.21623, -3.22434, -3.01746, -3.54932, -3.2169, -2.98831, -3.45526, -3.4861, -3.6293, -3.6957, -3.55432, -3.65783
0.05, 0.0319375, -1.73944, -2.41383, -3.00647, -2.50618, -3.83945, -3.89162, -3.22281, -2.71988, -3.33145, -3.21837, -3.42337, -4.07215, -3.43863, -2.99041, -3.57142, -3.42322, -3.53154, -3.70724, -3.44448, -3.59841
0.06, 0.0319375, -1.54445, -1.99, -2.65184, -3.21285, -3.87168, -3.6254, -2.4733, -2.65956, -3.17657, -2.67745, -2.40348, -2.85259, -3.15231, -2.54545, -2.6042, -2.64226, -3.13665, -2.90241, -2.6549, -3.2654
0.07, 0.0319375, -1.53964, -1.89807, -2.06195, -2.81204, -3.77198, -3.82174, -2.53529, -2.83634, -3.1019, -2.45996, -2.03209, -2.18462, -2.3944, -2.39605, -2.32677, -2.3579, -2.82301, -2.70577, -2.58668, -2.90418
0.08, 0.0319375, -2.19186, -1.82805, -1.97045, -2.86618, -3.77681, -3.96344, -3.28309, -3.01403, -3.25531, -2.73828, -2.67141, -2.66787, -2.43962, -2.67434, -2.48975, -2.51934, -2.61332, -2.56455, -2.64984, -2.69501
0.09, 0.0319375, -2.11115, -2.26871, -2.26055, -3.59355, -4.01218, -3.69201, -3.43542, -2.96563, -3.26835, -3.22956, -2.97861, -3.01495, -3.06135, -2.59462, -2.3183, -2.48724, -2.59986, -2.47956, -2.4227, -2.50466
0.1, 0.0319375, -2.23184, -2.21922, -2.9415, -3.39949, -3.89939, -3.83581, -3.49163, -2.91826, -3.52728, -3.32551, -3.18459, -3.61193, -2.94149, -2.55784, -2.50802, -2.43092, -2.59558, -2.76982, -2.69083, -2.69002
0.11, 0.0319375, -1.94188, -2.32187, -2.40831, -2.87613, -4.16057, -4.14664, -3.94497, -3.09813, -3.67887, -3.5149, -3.45907, -3.90975, -3.4272, -3.03228, -2.99306, -2.82511, -2.95762, -3.06422, -2.9563, -2.97285
0.12, 0.0319375, -2.25313, -2.2272, -2.48509, -2.8557, -3.82088, -3.83108, -3.67149, -3.21696, -3.94818, -3.34214, -3.57605, -3.43388, -3.4724, -3.16766, -3.31001, -3.39679, -3.13709, -3.04817, -3.16381, -3.10616
0.13, 0.0319375, -2.15432, -2.51352, -2.76425, -3.00379, -3.8714, -3.86751, -3.58888, -3.14176, -3.81326, -3.72198, -3.62493, -3.66439, -3.7156, -2.74265, -3.24116, -3.34445, -3.21587, -3.20692, -3.35012, -3.22951
0.14, 0.0319375, -2.46407, -2.42917, -2.70819, -2.74264, -4.24523, -4.00954, -3.42887, -3.91686, -3.84215, -3.62726, -3.56493, -3.88116, -3.55094, -2.97304, -3.38864, -3.60079, -3.62139, -3.40403, -3.38209, -3.44541
0.15, 0.0319375, -2.7392, -2.86877, -3.50008, -2.98809, -3.95304, -3.90186, -3.53417, -3.93788, -3.30539, -3.58249, -4.11881, -4.21144, -3.68028, -3.42372, -3.62237, -3.64959, -3.65777, -3.63415, -3.5496, -3.47763
0.16, 0.0319375, -2.73787, -3.0513, -3.0573, -3.3263, -4.37666, -3.65866, -3.53969, -4.05101, -3.32809, -3.66199, -4.19111, -4.22481, -3.95723, -3.37164, -3.73624, -3.77941, -3.74471, -3.59997, -3.65109, -3.50515
0.17, 0.0319375, -3.30402, -3.32226, -2.66237, -3.7656, -4.18035, -4.01034, -3.6829, -3.47001, -3.64483, -3.36766, -4.05373, -4.27501, -4.09797, -3.53137, -3.76085, -3.65447, -3.87985, -3.79758, -3.46653, -3.51719
0.18, 0.0319375, -2.20206, -3.16089, -3.21979, -3.31397, -4.07092, -4.34678, -3.60453, -3.77595, -3.92436, -3.61642, -3.75292, -4.20729, -4.06276, -3.33157, -3.79526, -3.72928, -3.8983, -3.8584, -3.54306, -3.67603
0.19, 0.0319375, -1.93129, -2.9102, -3.11186, -3.33104, -4.52575, -4.99023, -3.49161, -3.59243, -3.85325, -3.74389, -3.80549, -4.24749, -4.03676, -3.45747, -3.85179, -3.73011, -3.61763, -3.78822, -3.50325, -3.84124
0.2, 0.0319375, -2.1133, -3.15856, -3.20795, -3.28169, -4.03951, -4.62386, -3.58511, -3.74018, -3.56227, -3.95033, -3.97391, -4.38622, -4.14489, -3.45121, -3.79256, -3.92972, -3.85037, -3.73054, -3.67948, -3.74123
0.21, 0.0319375, -2.31401, -3.10367, -3.53882, -3.82146, -3.88143, -3.96719, -3.86665, -4.03897, -3.74637, -3.93605, -4.37861, -4.15929, -3.97851, -3.53661, -3.71919, -4.1213, -3.9195, -3.87445, -3.77737, -3.98606
0.22, 0.0319375, -2.15985, -3.18125, -3.49648, -3.80945, -3.94623, -3.88452, -3.9598, -4.23988, -3.68621, -3.74047, -4.18056, -3.96611, -4.18584, -3.77503, -3.75963, -4.16829, -3.95895, -3.94474, -3.84282, -3.81215
