# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -3.06435, -3.02399, -3.37914, -3.04323, -3.45596, -3.1679, -3.10064, -3.20931, -3.20785, -2.80276, -3.04566, -2.98094, -2.67011, -2.51059, -2.59426, -1.8714, -1.70525, -2.31067, -2.77624, -2.72734
0.01, 0.0319375, -2.92484, -2.84489, -3.56061, -3.76871, -3.04756, -3.05293, -3.52273, -3.31029, -2.98476, -2.90126, -3.08967, -2.85659, -2.74115, -2.36845, -2.57186, -1.8111, -1.53939, -2.27034, -2.56767, -2.58255
0.02, 0.0319375, -2.72296, -2.71892, -3.29639, -2.7456, -2.89678, -3.15297, -3.70598, -3.18349, -3.38227, -2.92031, -3.16754, -2.85014, -2.79527, -2.12815, -2.41106, -2.05784, -1.62463, -2.16616, -2.37687, -2.55727
0.03, 0.0319375, -2.37516, -2.5789, -2.96429, -2.90916, -2.68783, -2.9877, -3.42372, -2.95742, -3.09246, -2.61283, -3.14674, -2.77657, -2.4041, -2.07048, -2.28223, -1.98476, -1.66484, -1.89014, -2.48767, -2.61244
0.04, 0.0319375, -2.46607, -2.55164, -2.9229, -3.34034, -3.07245, -3.66527, -3.6509, -3.59723, -2.87311, -2.77777, -2.99034, -2.63771, -2.13707, -1.80035, -2.06533, -2.16085, -1.64006, -1.99909, -2.52432, -2.68977
0.05, 0.0319375, -3.0322, -2.7535, -2.71634, -3.46989, -3.66634, -3.67475, -3.56958, -3.33524, -2.97375, -2.71349, -2.83196, -3.09241, -2.43573, -2.35984, -1.98339, -1.93913, -1.26509, -1.85844, -2.47956, -2.64951
0.06, 0.0319375, -2.83905, -2.62806, -2.75821, -3.21025, -3.34555, -3.00138, -3.18861, -3.18962, -3.09178, -2.83378, -2.97083, -2.98583, -2.63606, -2.5345, -1.75701, -2.00215, -1.31197, -1.89658, -2.44965, -2.38813
0.07, 0.0319375, -2.91321, -3.02316, -3.69615, -3.29279, -3.28282, -2.75617, -3.18647, -3.50236, -3.25296, -2.71168, -2.79417, -2.65036, -2.69585, -2.53081, -1.86102, -2.01069, -1.312, -2.08678, -2.54732, -2.40938
0.08, 0.0319375, -2.68469, -2.88203, -3.21925, -3.58744, -3.18745, -3.17432, -3.51018, -3.2518, -3.29245, -3.04886, -2.86271, -2.69099, -2.45692, -2.28, -1.90014, -2.28402, -1.64608, -2.04478, -2.46928, -2.51167
0.09, 0.0319375, -2.47909, -2.50246, -2.67685, -3.35252, -3.01289, -2.76746, -3.13979, -3.23925, -3.04503, -3.09332, -3.0566, -3.04179, -2.67642, -2.55039, -2.06212, -2.00158, -1.58426, -1.95217, -2.10983, -2.52346
0.1, 0.0319375, -2.88507, -2.88358, -3.49039, -3.41463, -2.81161, -2.78569, -3.28071, -3.23119, -3.46081, -3.27934, -3.03338, -3.08737, -2.79692, -2.68413, -2.45342, -2.13879, -1.83074, -2.15318, -2.30049, -2.52716
