# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -6.02134, -5.77483, -5.74878, -5.72871, -5.69708, -5.72354, -6.17144, -7.18288, -6.19989, -6.01563, -6.63391, -6.94529, -6.70366, -6.63572, -6.52676, -7.2827, -7.24963, -7.0439, -7.04315, -7.02723
0.01, 0.0319375, -1.98955, -2.16345, -2.08293, -1.77234, -2.40192, -2.47552, -3.35962, -3.91946, -3.22395, -3.15375, -3.37234, -2.97026, -3.90823, -3.80805, -3.17659, -4.01788, -3.83413, -3.67734, -3.92847, -4.636
0.02, 0.0319375, -0.433754, -0.826582, -0.289098, -0.429476, -0.671925, -0.443614, -1.27849, -1.99493, -1.72508, -1.85295, -2.25377, -2.01949, -2.28457, -2.42481, -1.62077, -2.21774, -2.5254, -2.68694, -2.9277, -3.11237
0.03, 0.0319375, -0.240378, -0.441687, -0.334357, -0.354885, -0.63051, -0.439209, -0.650174, -1.40634, -1.46933, -1.63698, -1.87865, -1.81875, -1.77197, -2.07905, -1.17126, -1.78783, -2.07305, -2.33942, -2.3956, -2.77348
0.04, 0.0319375, -0.493374, -1.03255, -0.474781, -0.563198, -0.751098, -0.588419, -0.818412, -1.57227, -1.77744, -1.62992, -2.25052, -1.80163, -1.99085, -2.23032, -1.394, -1.94335, -2.29293, -2.32596, -2.29083, -2.72353
0.05, 0.0319375, -1.28868, -1.36607, -0.838297, -0.712984, -0.807076, -0.527109, -0.685509, -1.50741, -1.26728, -1.14666, -2.02077, -2.00852, -2.18608, -2.46772, -1.71512, -2.00069, -1.88614, -1.91138, -2.1444, -2.53713
0.06, 0.0319375, -0.775328, -1.12744, -0.736333, -0.447158, -0.974933, -1.10282, -0.926977, -1.35764, -1.355, -1.46531, -1.93236, -1.89564, -2.14311, -2.36262, -2.16548, -1.86761, -2.14068, -2.12109, -2.1794, -2.38776
0.07, 0.0319375, -1.14906, -1.125, -1.22123, -0.902314, -0.856516, -1.20698, -1.25355, -1.51374, -1.24629, -1.52424, -1.62613, -1.85212, -2.15075, -2.14777, -1.88074, -1.87677, -2.11131, -2.17885, -2.17267, -2.44014
0.08, 0.0319375, -0.430061, -0.844195, -0.986418, -0.265039, -0.882304, -1.26676, -1.2541, -1.13428, -0.729578, -1.73765, -1.82466, -1.60676, -2.26162, -2.32783, -1.90173, -1.84757, -2.26495, -2.00732, -2.25255, -2.64779
0.09, 0.0319375, -0.349035, -1.18636, -1.05162, -0.637698, -0.811176, -0.878958, -1.65581, -0.998629, -1.24142, -1.51714, -1.81871, -1.62904, -2.12811, -2.26823, -1.93111, -1.91692, -2.28092, -2.09561, -2.12063, -2.48446
0.1, 0.0319375, -0.449609, -0.866608, -1.05958, -0.848746, -0.888039, -0.414303, -1.46042, -1.28471, -1.01465, -1.00047, -2.0012, -1.9174, -2.15593, -2.07608, -1.7331, -2.20063, -2.12091, -2.17824, -2.14941, -2.60933
0.11, 0.0319375, -1.66141, -0.824687, -0.350857, -0.829351, -0.97418, -0.477037, -1.19018, -0.803376, -0.941387, -0.833174, -1.72519, -1.55218, -1.96749, -1.6659, -1.4552, -2.05012, -1.95932, -2.11544, -2.26022, -2.59373
0.12, 0.0319375, -1.54658, -0.645158, -0.604007, -0.987435, -1.08697, -1.0396, -1.00451, -0.826619, -0.643261, -0.476836, -1.50318, -1.82614, -2.07935, -1.26126, -1.10906, -1.7971, -1.75752, -1.92217, -2.20632, -2.64818
0.13, 0.0319375, -0.99626, -0.431136, -0.401973, -0.726458, -1.34893, -1.22751, -1.08551, -0.673164, -0.457007, -0.314339, -1.08753, -1.42171, -1.98509, -1.38472, -1.26131, -1.92713, -1.96249, -1.94348, -2.16319, -2.56123
0.14, 0.0319375, -0.56529, -0.809298, -0.734821, -0.381908, -1.17752, -1.01128, -1.02058, -0.353617, -0.61658, -0.403708, -1.07133, -1.4558, -1.67767, -1.37913, -1.56769, -2.07928, -1.78889, -1.97215, -2.02121, -2.58151
0.15, 0.0319375, -0.355893, -1.23203, -1.12249, -0.584168, -1.16763, -1.15731, -0.930018, -0.336977, -0.845866, -0.400846, -1.39103, -1.59618, -1.40675, -1.21326, -1.39112, -2.1367, -2.015, -1.94561, -2.00159, -2.58677
0.16, 0.0319375, -0.719404, -0.624616, -0.59013, -0.428464, -1.09561, -0.996508, -0.613387, -0.542152, -1.02698, -0.584886, -1.45046, -1.85803, -1.2988, -1.0593, -1.28957, -2.32779, -1.96122, -1.9948, -2.18332, -2.81109
