# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -1.19415, -1.2557, -0.64475, -0.730603, -1.82918, -1.44031, -1.56965, -2.19692, -1.77484, -1.97819, -2.21078, -2.38931, -2.35866, -2.4569, -2.61731, -2.8626, -2.9943, -3.03995, -3.34415, -3.63493
0.01, 0.0319375, -0.648238, -0.497909, -0.29025, -0.122965, -1.30364, -0.780261, -0.905846, -1.75313, -1.32209, -1.33877, -1.7116, -2.07853, -1.93296, -1.80674, -2.03745, -2.17089, -2.49909, -2.29452, -2.62102, -2.90236
0.02, 0.0319375, -0.212334, 0.188034, 0.487649, 0.319194, -0.861337, -0.313923, -0.392148, -1.36647, -1.22756, -0.911484, -1.3512, -1.42004, -1.44488, -1.51567, -1.65813, -1.44606, -1.69949, -1.8699, -2.23143, -2.40572
0.03, 0.0319375, -0.450905, 0.583939, 1.1251, 0.537243, -0.418854, -0.231739, 0.0305982, -1.01087, -0.695233, -0.696714, -1.21144, -1.05328, -0.974935, -1.40449, -0.997366, -1.01053, -1.23095, -1.57674, -1.74913, -1.81749
0.04, 0.0319375, -0.739564, 0.596599, 1.11827, 0.656125, 0.154047, -0.220488, -0.0362467, -0.905123, -0.103634, -0.392823, -0.899185, -0.689647, -0.596564, -0.779273, -0.517225, -0.65546, -0.866482, -1.2246, -1.41065, -1.44396
0.05, 0.0319375, 0.48574, 1.19722, 1.72506, 0.721837, -0.257376, 0.00976441, 0.00779953, -0.758579, 0.0245096, -0.277494, -1.0413, -0.920843, -0.660096, -0.685831, -0.274549, -0.346544, -0.715927, -0.820581, -1.21493, -1.20363
0.06, 0.0319375, 0.486636, 1.69494, 2.15853, 1.2054, 0.460684, 0.245947, -0.0161704, -0.67984, -0.0601174, -0.423461, -0.825912, -0.51067, -0.357604, -0.59565, -0.275698, -0.26418, -0.529593, -0.704433, -0.986656, -1.16898
0.07, 0.0319375, 0.340117, 1.47674, 2.04255, 1.14723, 0.491011, -0.039762, 0.475967, -0.327337, -0.121236, -0.19257, -0.585764, -0.314051, -0.104789, -0.301129, -0.610558, -0.252277, -0.170645, -0.60388, -1.02556, -1.20571
0.08, 0.0319375, 0.333264, 1.60149, 1.93938, 0.592066, 0.394515, -0.388285, 0.617538, 0.0172913, -0.0257278, 0.0602002, -0.613622, -0.4549, -0.142928, -0.285287, -0.198466, 0.11387, -0.0934394, -0.254514, -0.51163, -0.818433
0.09, 0.0319375, 0.771814, 1.25774, 1.30864, 1.19191, 0.132822, 0.227053, 0.453459, -0.48311, 0.167621, -0.274707, -0.760416, -0.449756, 0.0163876, -0.595765, -0.102319, 0.137321, -0.135342, -0.170431, -0.382697, -0.563827
0.1, 0.0319375, 0.791191, 1.66316, 1.44769, 0.954282, 0.426141, 0.672982, -0.00173373, -0.882975, -0.346867, -0.506449, -0.585138, -0.689629, -0.33032, -0.398014, 0.0822287, -0.0981409, -0.0176521, -0.283908, -0.562536, -0.621091
0.11, 0.0319375, 0.909588, 1.61355, 1.49099, 0.776572, 0.391963, 0.262085, 0.521379, -0.430898, -0.171543, -0.433966, -0.318259, -0.664797, 0.0557321, -0.287068, -0.0583271, 0.114452, 0.0388597, -0.453193, -0.649533, -0.606934
0.12, 0.0319375, 0.718522, 1.0409, 1.49533, 1.16275, 0.186857, 0.485826, 0.554108, -0.251634, -0.205702, -0.184632, -0.566561, -0.479469, -0.12116, -0.403678, -0.0849498, 0.0811655, -0.362732, -0.491358, -0.600289, -0.583102
0.13, 0.0319375, 1.31715, 1.7279, 1.96457, 0.949455, 0.606224, 0.742678, 0.730992, -0.161417, -0.0203251, 0.0263121, -0.499972, -0.382472, -0.0822236, -0.595926, -0.340825, -0.0371913, -0.618284, -0.723357, -0.538309, -0.662345
0.14, 0.0319375, 1.12357, 1.85291, 1.63941, 1.90354, 0.660757, 0.210015, 1.01059, 0.125033, -0.349795, 0.18031, -0.134204, -0.495354, -0.235817, -0.65538, -0.295024, -0.273829, -0.706157, -0.589419, -0.626206, -0.723301
0.15, 0.0319375, 1.23019, 1.68696, 1.31863, 1.28637, 0.401652, 0.479031, 0.875485, 0.434041, 0.190907, 0.353623, -0.293971, -0.543725, -0.0282389, -0.415036, -0.28051, -0.243513, -0.660857, -0.552251, -0.530142, -0.689677
0.16, 0.0319375, 1.10967, 1.72854, 1.22917, 1.14865, 0.56697, 0.7038, 0.877633, 0.787499, 0.238954, 0.199796, -0.257628, -0.242224, 0.151818, -0.29813, -0.627831, -0.506568, -0.463657, -0.50872, -0.802664, -0.642796
0.17, 0.0319375, 1.37533, 1.40369, 0.823853, 0.741388, 0.0273885, 0.34979, 0.439796, 0.0793756, 0.150992, -0.011119, -0.240595, -0.142469, 0.111184, -0.307587, -0.791138, -0.541196, -0.591784, -0.533356, -0.722353, -0.454335
