# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, 2.60849, 2.3365, 2.47279, 2.70371, 1.94382, 1.86145, 2.02299, 1.37583, 1.5799, 1.0309, 0.948883, 0.841541, 0.756057, 1.37002, 1.42041, 0.784504, 0.303213, -0.465909, -0.541036, -0.360421
0.01, 0.0319375, 2.50686, 2.48111, 2.8409, 3.11887, 2.2927, 1.67965, 2.04057, 1.58858, 1.61661, 1.16497, 0.956295, 0.481386, 0.724272, 0.988488, 1.16552, 0.917182, 0.0231368, -0.626868, -0.607948, -0.556409
0.02, 0.0319375, 2.46141, 2.63541, 2.48452, 3.14958, 2.44803, 1.78364, 1.89421, 1.76962, 1.06516, 0.816165, 0.719709, 0.444795, 0.310865, 1.02634, 1.59508, 1.06061, 0.119446, -0.441945, -0.648597, -0.472754
0.03, 0.0319375, 2.56852, 2.87262, 2.14778, 2.73107, 2.54478, 1.97669, 1.71048, 1.75941, 1.08514, 0.875189, 0.634888, 0.408575, 0.327679, 1.20794, 1.70423, 1.28352, 0.279885, -0.245489, -0.468718, -0.0572836
0.04, 0.0319375, 2.71998, 2.54885, 2.59699, 2.91816, 2.3084, 2.03262, 2.39198, 1.81637, 1.15544, 0.996803, 0.563025, 0.397174, 0.554411, 1.22313, 1.6718, 1.36659, 0.289134, -0.178216, -0.205995, 0.413279
0.05, 0.0319375, 2.9453, 3.02517, 2.20355, 3.08295, 2.35703, 2.22298, 2.51556, 2.07009, 1.53036, 0.874912, 0.509636, 0.926329, 0.610578, 1.23522, 1.32807, 1.24479, 0.578194, -0.373873, -0.185414, 0.254131
0.06, 0.0319375, 3.00424, 2.90594, 2.24982, 2.87345, 2.36647, 2.10247, 2.33398, 2.14514, 1.46289, 1.2617, 1.01662, 1.08525, 0.728763, 1.36559, 1.4178, 1.22395, 0.265194, -0.299719, -0.379765, 0.24438
0.07, 0.0319375, 2.68824, 2.74565, 2.18563, 2.82661, 2.64661, 1.5726, 2.18806, 2.26294, 1.00799, 1.06385, 1.12817, 0.874926, 0.735525, 1.55459, 1.55592, 1.17247, 0.235863, -0.235625, -0.234537, 0.178969
0.08, 0.0319375, 2.46187, 2.88981, 2.41704, 2.78229, 2.69285, 2.12591, 2.14667, 2.22932, 1.2753, 0.946241, 1.10245, 1.04334, 0.938003, 1.49182, 1.58035, 1.23035, 0.399161, -0.289025, -0.475437, 0.115179
0.09, 0.0319375, 2.33, 2.89039, 2.41266, 2.44605, 2.57276, 2.53685, 2.45308, 2.31577, 1.3416, 1.08562, 1.05884, 0.639615, 0.598649, 1.17852, 1.42767, 1.42518, 0.614623, -0.284076, -0.508412, -0.0467096
0.1, 0.0319375, 2.5036, 2.95061, 2.2745, 2.84557, 2.46184, 1.9441, 2.17259, 2.39609, 1.58365, 0.81388, 0.72414, 0.573136, 0.936074, 1.50994, 1.65958, 1.23232, 0.571717, -0.342283, -0.455188, 0.111803
0.11, 0.0319375, 2.09411, 2.94894, 2.33405, 2.37496, 1.97228, 1.60126, 1.73641, 1.80677, 1.27397, 0.454425, 0.655191, 0.374204, 0.881455, 1.57241, 1.97375, 1.42751, 0.424779, -0.347117, -0.396475, 0.048028
0.12, 0.0319375, 2.73374, 3.34781, 2.2619, 2.74572, 1.68888, 1.52509, 1.48126, 1.54622, 1.28133, 0.758491, 0.767075, 0.364162, 1.15449, 1.68177, 1.55299, 1.36658, 0.471581, -0.366478, -0.279045, 0.112907
