# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -2.2763, -3.40951, -3.68657, -2.85146, -3.27474, -3.50221, -3.82588, -3.06012, -3.13121, -3.08579, -2.97557, -2.89794, -2.91221, -3.19771, -3.05559, -3.08244, -2.91452, -2.78902, -2.8523, -3.21298
0.01, 0.0319375, -2.36874, -2.57988, -2.69586, -2.86198, -3.06112, -2.98724, -2.8849, -2.57082, -2.56419, -2.74382, -2.72839, -3.04224, -2.80192, -2.59267, -2.57199, -2.65733, -2.54976, -2.56256, -2.50278, -2.64216
0.02, 0.0319375, -1.91046, -2.62289, -1.87037, -2.21009, -2.71701, -2.79946, -2.48298, -2.05132, -2.06899, -2.2295, -2.75061, -2.67706, -2.22886, -2.58749, -2.56521, -2.45557, -2.27279, -2.38403, -2.44612, -2.62563
0.03, 0.0319375, -0.797673, -2.37004, -2.53242, -1.98248, -2.62599, -2.95108, -2.46921, -2.06697, -2.20342, -2.1449, -2.00377, -2.07666, -1.74988, -2.59541, -2.18888, -2.11938, -2.16844, -1.96627, -2.00533, -2.50465
0.04, 0.0319375, -0.666026, -2.1978, -1.95747, -1.80314, -2.04024, -2.84379, -2.91351, -1.96417, -1.99004, -1.78562, -2.12318, -2.02142, -1.69577, -2.33743, -2.24102, -2.09967, -2.05858, -2.11689, -2.13228, -2.56049
0.05, 0.0319375, -0.60896, -1.12368, -1.52399, -1.74669, -1.78189, -2.58667, -2.61873, -1.89498, -1.77338, -1.3523, -1.93579, -1.82448, -1.43681, -1.86624, -2.005, -1.8298, -2.03543, -2.08578, -2.2761, -2.22226
0.06, 0.0319375, -0.460202, -1.1593, -1.60968, -1.83272, -1.93627, -2.22834, -2.65689, -1.9877, -1.84788, -1.36162, -1.41937, -1.52768, -1.47529, -1.84515, -1.90604, -1.92016, -2.05973, -2.15347, -2.20448, -2.31301
0.07, 0.0319375, -0.533159, -1.04203, -0.899174, -1.38769, -1.39792, -2.24401, -2.39964, -1.57958, -1.04107, -0.805373, -1.42014, -1.44724, -1.53194, -1.61448, -1.9453, -1.96453, -1.99396, -1.94386, -1.98359, -2.46125
0.08, 0.0319375, -0.657279, -0.740315, -0.545541, -1.36676, -1.33488, -1.87981, -1.63718, -1.2663, -0.80778, -0.856044, -1.38843, -1.33964, -1.18589, -1.16843, -1.80166, -1.71575, -1.66123, -1.76009, -1.85766, -2.27806
0.09, 0.0319375, -0.0270128, -0.630372, -0.844315, -1.04473, -1.06963, -2.04394, -1.46908, -1.1478, -0.718962, -0.828938, -1.25552, -1.48235, -1.14602, -1.30555, -1.76664, -1.6632, -1.6166, -1.48525, -1.63219, -1.99037
0.1, 0.0319375, -0.12567, -1.12703, -1.32169, -1.43824, -1.48789, -2.22762, -1.38034, -0.987575, -1.06272, -0.983605, -0.818805, -1.23161, -0.992534, -1.2105, -1.71407, -1.63363, -1.80243, -1.58582, -1.67209, -1.93296
0.11, 0.0319375, -0.0943602, -1.13464, -0.984525, -0.874035, -1.58872, -1.91507, -1.40968, -1.12918, -0.696279, -0.71876, -1.17515, -0.973753, -0.878134, -1.18304, -1.83332, -1.75422, -1.74786, -1.54232, -1.72335, -1.86389
