# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905
0.01, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905
0.02, 0.0319375, -8.05234, -8.05905, -8.05905, -8.05905, -7.62407, -7.91414, -7.69307, -7.399, -7.33846, -7.526, -7.57484, -7.39914, -7.17889, -6.94463, -7.02017, -7.17727, -7.03368, -6.82454, -6.64631, -6.60517
0.03, 0.0319375, -1.57054, -2.00701, -2.31449, -2.1945, -1.85677, -1.60419, -1.1914, -2.15165, -2.17909, -2.2668, -1.82383, -1.72176, -2.35283, -2.79295, -3.12003, -3.13457, -3.07641, -3.10464, -4.02602, -4.39283
0.04, 0.0319375, -0.944422, -1.46117, -1.36838, -1.30587, -1.10514, -0.532309, -0.08993, -1.24237, -1.421, -1.32906, -1.1086, -1.059, -1.60292, -1.61035, -2.31424, -2.48575, -2.3577, -2.45243, -3.54805, -4.23148
0.05, 0.0319375, -0.792678, -0.316358, -0.929964, -1.38593, -1.02233, -0.737118, -0.444478, -1.3492, -1.56475, -1.61509, -1.08144, -0.920134, -1.41859, -1.93908, -2.53342, -2.71419, -2.40075, -2.64465, -3.94572, -4.92757
0.06, 0.0319375, -0.689127, -0.109181, -0.821349, -1.11145, -0.593859, -0.532032, -0.464552, -1.55179, -1.36101, -1.40967, -1.38727, -1.2735, -1.64149, -1.84717, -2.43839, -2.45955, -2.36591, -2.45373, -3.95345, -4.51868
0.07, 0.0319375, -0.740935, 0.119181, -0.990377, -1.06115, -0.629517, -0.692129, -0.663948, -1.85412, -1.43579, -1.16713, -1.06987, -1.6416, -1.73785, -1.71663, -2.64861, -2.53756, -2.39857, -2.40332, -3.99485, -4.52501
0.08, 0.0319375, -0.575532, 0.0415187, -0.735363, -0.63028, -1.08151, -1.05875, -0.848639, -1.23877, -1.49931, -1.31781, -1.25426, -1.61651, -1.65635, -1.70181, -2.61617, -2.66066, -2.48034, -2.28846, -3.84188, -4.38262
0.09, 0.0319375, -0.432269, -0.579374, -1.08779, -0.717402, -1.45194, -0.933634, -0.861589, -1.01122, -1.46802, -1.23802, -1.46113, -1.24545, -1.58874, -1.65516, -2.5898, -2.99606, -2.44378, -2.2629, -3.88559, -4.06998
