# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, -0.877603, -0.866619, -1.00268, -1.08967, -0.665113, -0.871562, -1.33336, -1.54187, -2.08256, -2.0637, -2.29519, -3.09705, -3.29472, -3.97779, -4.38467, -4.48479, -4.72698, -4.78, -4.7211, -4.93241
0.01, 0.0319375, -1.40029, -1.32223, -0.851765, -0.960999, -0.840262, -0.943417, -1.51502, -1.32275, -1.95516, -2.36104, -2.49396, -3.18286, -3.79658, -4.32495, -4.34196, -4.42125, -4.79384, -4.73737, -4.70413, -4.78144
0.02, 0.0319375, -2.06019, -1.95304, -1.40088, -0.703572, -0.796904, -0.906997, -1.71034, -1.40179, -1.68282, -2.04798, -2.46802, -2.69975, -3.24312, -3.94711, -4.13032, -4.46395, -4.4933, -4.4104, -4.56746, -4.6502
0.03, 0.0319375, -0.996272, -1.04745, -1.34722, -0.782047, -0.912351, -1.29665, -1.58336, -1.3623, -1.97978, -2.14623, -2.67946, -3.09697, -3.30725, -3.89606, -4.47389, -4.453, -4.49178, -4.38855, -4.59928, -4.67858
0.04, 0.0319375, -0.808183, -0.317162, -0.897397, -1.31325, -1.4696, -1.37768, -1.04283, -1.07709, -1.78126, -1.9548, -2.45612, -3.31211, -3.81752, -3.62074, -4.23212, -4.51548, -4.47492, -4.74242, -4.7717, -4.88813
0.05, 0.0319375, -1.15378, -0.725428, -0.582163, -1.12745, -1.44916, -1.18144, -1.41416, -1.25831, -1.60431, -1.96787, -2.427, -3.17604, -3.85896, -3.92638, -4.1366, -4.50515, -4.48016, -4.54522, -4.79776, -4.86127
0.06, 0.0319375, -0.779307, -1.18172, -0.948808, -1.7367, -1.40621, -0.882845, -1.5319, -1.61958, -1.70191, -1.85528, -2.20645, -3.15982, -3.3438, -3.9899, -4.45679, -4.55527, -4.4826, -4.57366, -4.62524, -4.76839
0.07, 0.0319375, -1.53889, -1.04328, -1.25913, -0.954399, -0.720426, -1.18639, -0.938503, -0.9957, -1.524, -1.91428, -2.34796, -3.18442, -3.25465, -4.07105, -4.38493, -4.58779, -4.59809, -4.67738, -4.53827, -4.72164
0.08, 0.0319375, -1.37899, -0.953732, -1.35707, -0.470794, -0.834614, -1.29794, -0.921057, -1.26743, -1.42511, -1.82015, -2.63032, -2.95101, -3.53595, -4.06237, -4.37414, -4.33701, -4.68284, -4.53998, -4.55463, -4.67268
0.09, 0.0319375, -1.73379, -1.14009, -1.1382, -0.773975, -0.486847, -1.36472, -1.46246, -1.54243, -1.74495, -2.30008, -2.53718, -2.65661, -3.43974, -3.81614, -4.23053, -4.14881, -4.50568, -4.69719, -4.598, -4.84867
0.1, 0.0319375, -1.54447, -1.10817, -0.678421, -0.573251, -0.591985, -0.915519, -0.984365, -1.46462, -1.9771, -2.04874, -2.43025, -2.75901, -3.12494, -3.8897, -4.19921, -4.19671, -4.71342, -4.42345, -4.58058, -4.84431
0.11, 0.0319375, -1.59628, -1.21004, -1.0879, -1.00247, -1.14264, -0.890488, -1.41099, -1.5988, -1.88048, -1.85833, -2.15909, -2.81223, -3.27122, -3.92552, -4.10376, -4.20954, -4.34463, -4.38315, -4.54653, -4.59001
0.12, 0.0319375, -1.49731, -1.32404, -1.20747, -0.911862, -0.875329, -0.944053, -1.33391, -1.33034, -2.01281, -1.94087, -2.30682, -2.8218, -3.4687, -3.74696, -4.24665, -4.28834, -4.40227, -4.30719, -4.46632, -4.60516
0.13, 0.0319375, -0.654465, -1.15415, -1.07409, -0.540991, -0.362242, -0.634334, -0.955304, -1.06683, -1.5781, -2.14709, -2.43007, -2.70084, -3.50907, -3.73249, -4.39529, -4.4086, -4.76063, -4.50193, -4.74674, -4.88601
0.14, 0.0319375, -0.632172, -0.742575, -0.979248, -0.845855, -0.963818, -0.985077, -0.865007, -1.43198, -1.99104, -2.19671, -2.39764, -2.81533, -3.27124, -3.83626, -4.17349, -4.09713, -4.56672, -4.51302, -4.82059, -4.93489
0.15, 0.0319375, -0.842984, -1.34525, -1.35051, -0.842189, -0.766774, -1.25039, -1.28419, -1.45606, -1.80322, -1.89775, -2.36812, -2.87239, -3.0657, -3.91359, -4.14254, -4.05273, -4.20187, -4.61433, -4.67821, -4.91301
0.16, 0.0319375, -1.4348, -1.01442, -1.22837, -1.2685, -0.93732, -1.12364, -1.49234, -1.67363, -1.63891, -2.04, -2.41056, -2.87133, -3.12099, -3.76039, -4.09541, -4.28656, -4.25187, -4.6325, -4.7821, -4.96734
0.17, 0.0319375, -1.56406, -1.15143, -0.991769, -1.32877, -1.39997, -0.974558, -1.37199, -1.73201, -2.23252, -2.18469, -2.24466, -2.53172, -2.86398, -3.71453, -4.31327, -4.2413, -4.3356, -4.37652, -4.71495, -4.78655
0.18, 0.0319375, -1.64233, -1.43893, -1.35005, -1.22511, -0.884592, -1.35507, -1.56633, -1.5802, -2.22156, -2.14146, -2.25199, -2.63978, -2.98959, -4.04868, -4.22315, -4.17181, -4.41108, -4.51174, -4.62095, -4.69919
0.19, 0.0319375, -1.20797, -1.60485, -1.61815, -0.915596, -0.818491, -1.35219, -1.61412, -1.53753, -2.04618, -2.09003, -2.23559, -2.49693, -2.88442, -3.87074, -4.06091, -4.07095, -4.29428, -4.49233, -4.39624, -4.74741
0.2, 0.0319375, -1.24708, -1.51537, -0.735281, -0.842607, -0.637714, -0.936054, -1.10536, -1.08191, -2.08063, -2.45106, -2.40007, -2.58438, -3.04078, -4.08004, -3.92976, -3.92081, -4.44147, -4.64115, -4.3776, -4.6876
