Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
-0.2839999999,0.1317727565,-0.8145952224,0.5962778329,0.6875897645,-1.2223818302,-0.1833572685
-0.264,0.1278611421,-0.8165510296,0.597500205,0.9167863726,-0.855667293,0.0152797726
-0.2439999999,0.1281056106,-0.8197292685,0.597500205,1.3446199893,-0.7792683839,0.4431134164
-0.224,0.1254163682,-0.8141062855,0.6036121249,1.3598997592,-0.8098279237,0.5042325258
-0.198,0.129572466,-0.8104391694,0.6048344969,0.7792683839,-0.7181493043,0.3055954575
-0.1779999999,0.1310393363,-0.8101946711,0.601411879,0.3514347672,-0.7487088441,0.0611190907
-0.158,0.1307948529,-0.8104391694,0.6019008159,-0.1069584116,-0.9320661425,-0.0458393171
-0.138,0.1320172399,-0.8189958333,0.5994560122,-0.0916786342,-0.9320661425,-0.1833572685
-0.1179999999,0.1342175155,-0.817528963,0.6001894474,0.5959111452,-0.626470685,-0.0458393171
-0.098,0.1300614178,-0.8138617873,0.5972557663,0.7945481538,-0.4889527261,0.0458393171
-0.078,0.1281056106,-0.8158175945,0.5982336401,0.4278336465,-0.5042325258,-0.1069584116
-0.058,0.1266387552,-0.8165510296,0.5979892015,0.244476363,-0.5500718355,-0.3667145371
-0.0379999999,0.1322617083,-0.8177734017,0.5992115736,0.7181493043,-0.1375179588,-0.3514347672
-0.0179999999,0.1339730471,-0.8177734017,0.5979892015,0.7028695344,0.1069584116,-0.4278336465
0.002,0.1298169493,-0.8148397207,0.5979892015,0.3514347672,-0.0611190907,-0.5959111452
0.0219999999,0.1293279975,-0.8150842189,0.601411879,0.4889527261,-0.1069584116,-0.6570302248
0.042,0.1312838047,-0.8143507838,0.601411879,0.5500718355,-0.2139168232,-0.4431134164
0.062,0.1281056106,-0.8148397207,0.5999450087,0.2903156876,-0.2903156876,-0.4125538468
0.082,0.1278611421,-0.8145952224,0.601411879,0.3667145371,-0.5347920656,-0.4431134164
0.102,0.1317727565,-0.8155731558,0.6011673808,0.5959111452,-0.5806313753,-0.3514347672
0.1219999999,0.1310393363,-0.8160620927,0.6011673808,0.7028695344,-0.5959111452,-0.1833572685
0.1419999999,0.1278611421,-0.8160620927,0.6055679321,0.7487088441,-0.5806313753,0.0458393171
0.162,0.1276166588,-0.8138617873,0.6026342511,0.8098279237,-0.5959111452,0.1375179588
0.1819999999,0.1273721903,-0.8126394152,0.6055679321,0.9167863726,-0.5500718355,0.2139168232
0.202,0.1266387552,-0.8101946711,0.6085016727,0.7181493043,-0.5806313753,0.1222381815
0.212,0.1266387552,-0.808972299,0.6102129817,0.4431134164,-0.5042325258,0.0
0.2359999999,0.1285945624,-0.8136173486,0.6070348024,0.3055954575,-0.3055954575,-0.1069584116
0.256,0.1266387552,-0.8128839135,0.6070348024,0.4736729562,-0.0305595453,-0.0458393171
0.276,0.1263942718,-0.8114170432,0.6065458655,0.6417504549,0.244476363,-0.1222381815
0.2959999999,0.1278611421,-0.8082388639,0.6092351078,0.4431134164,0.763988614,-0.6570302248
0.316,0.1256608515,-0.7987042665,0.6092351078,0.0152797726,1.5738165378,-1.543256998
0.336,0.1239495128,-0.7999266386,0.6111909151,-0.4583931863,2.4600434303,-2.4600434303
0.3559999999,0.1273721903,-0.8053051233,0.6080127358,-0.6570302248,2.5517220497,-2.353085041
0.3759999999,0.1312838047,-0.8082388639,0.6011673808,-0.381994307,2.5517220497,-1.8335727453
0.3959999999,0.1327506601,-0.8092167377,0.5955443978,-0.1527977287,2.6586804389,-1.3751795291
0.416,0.1303059011,-0.8067719936,0.595788896,0.4736729562,2.7197995185,-0.9931852221
0.436,0.1288390457,-0.809461236,0.5965223312,0.7487088441,2.2766861915,-1.0084650516
0.456,0.1312838047,-0.8114170432,0.6023897528,0.6875897645,1.9099715948,-0.855667293
0.4759999999,0.1332396119,-0.8158175945,0.6058124303,0.7181493043,1.6654952764,-0.3208752274
0.4959999999,0.1349509507,-0.816306591,0.6038566231,1.2071020603,0.9473459124,0.3514347672
0.516,0.1317727565,-0.8167955279,0.6026342511,1.0848639011,-0.1680774986,0.7792683839
0.536,0.1334840953,-0.8214405775,0.6011673808,1.1307032108,-0.8862268328,1.2223818302
0.556,0.1354399025,-0.8158175945,0.5962778329,1.25294137,-0.9626256823,1.7418941259
0.5759999999,0.1312838047,-0.8141062855,0.6019008159,1.0543043613,-1.3293402194,1.9252513647
0.5959999999,0.1239495128,-0.8150842189,0.6058124303,0.8098279237,-1.9710906744,1.6654952764
