# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
-0.194, 0, 0.0515845, -0.116951, -0.00299484, 0.068759, -0.120328, 0.0114598
-0.174, 0, 0.0519818, -0.116493, -0.002567, 0, -0.135608, 0.0190997
-0.154, 0, 0.0526541, -0.116737, -0.00223085, -0.0343795, -0.133698, 0.00763989
-0.134, 0, 0.0523179, -0.116799, -0.0027198, -0.00190997, -0.0859487, -0.00954986
-0.114, 0, 0.0517067, -0.116951, -0.00250588, -0.0305595, -0.0611191, -0.0248296
-0.094, 0, 0.0518596, -0.11741, -0.00284204, -0.0534792, -0.0783088, 0
-0.074, 0, 0.0520735, -0.117043, -0.0024142, -0.0725789, -0.0611191, 0
-0.054, 0, 0.0519818, -0.117196, -0.00305595, -0.0267396, -0.0439293, 0.00954986
-0.034, 0, 0.0518596, -0.117074, -0.00281148, -0.0190997, -0.0496593, 0.0171897
-0.014, 0, 0.0520429, -0.117104, -0.00317819, 0, -0.0515692, 0.0420194
0.006, 0, 0.0517373, -0.117013, -0.00262812, -0.0114598, -0.0343795, 0.0229197
0.026, 0, 0.0514928, -0.116707, -0.00268924, -0.064939, -0.0763989, 0.0267396
0.046, 0, 0.0517679, -0.117104, -0.00275036, -0.110778, -0.0993185, 0.0171897
0.066, 0, 0.0518901, -0.116707, -0.00216973, -0.0783088, -0.110778, 0.0190997
0.086, 0, 0.0519207, -0.116646, -0.00330043, -0.0840387, -0.103138, 0.0152798
0.106, 0, 0.051829, -0.116951, -0.00296428, -0.0935886, -0.0897687, 0.0114598
0.126, 0, 0.0520429, -0.116982, -0.00299484, -0.0783088, -0.103138, 0.00763989
0.146, 0, 0.0520123, -0.117043, -0.0028726, -0.0420194, -0.105048, 0.0114598
0.166, 0, 0.0518596, -0.11689, -0.00244476, -0.0343795, -0.0974085, 0.0133698
0.186, 0, 0.0520429, -0.116921, -0.00284204, -0.0458393, -0.0840387, 0.0248296
0.206, 0, 0.051829, -0.116707, -0.0027198, -0.0381994, -0.103138, 0.0229197
0.226, 0, 0.0519818, -0.117013, -0.00296428, -0.0439293, -0.106958, 0.0210097
0.236, 0, 0.0521957, -0.117043, -0.00308651, -0.0286496, -0.0954986, 0.0114598
0.26, 0, 0.0523179, -0.11686, -0.00305595, -0.0286496, -0.070669, 0.00572991
0.28, 0, 0.0521651, -0.11686, -0.00278092, -0.0362895, -0.0611191, 0
0.3, 0, 0.0518901, -0.116829, -0.0028726, -0.066849, -0.0592091, 0.00381994
0.32, 0, 0.0514623, -0.116982, -0.0028726, -0.0897687, -0.0343795, -0.00190997
0.34, 0, 0.0512484, -0.117226, -0.00339211, -0.066849, -0.0572991, 0.00763989
0.36, 0, 0.0517067, -0.11744, -0.00293372, -0.066849, -0.103138, 0.00763989
0.38, 0, 0.0519512, -0.117226, -0.00265868, -0.0324695, -0.105048, 0
