# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
0.0156019, 0, -0.0025315, -0.123281, -0.0096685, -1.44375, -1.42844, -0.697812
0.0535944, 0, -0.003233, -0.124318, -0.0105835, -1.38688, -1.5225, -0.625625
0.0692267, 0, -0.0019215, -0.12508, -0.0116815, -1.42844, -1.54219, -0.55125
0.0848591, 0, -0.0018605, -0.124592, -0.015006, -1.41313, -1.51813, -0.492188
0.100461, 0, -0.0010675, -0.124013, -0.01769, -1.47875, -1.35844, -0.49875
0.116091, 0, 0.0007625, -0.124196, -0.018788, -1.47875, -1.13969, -0.435313
0.131721, 0, 0.002257, -0.12322, -0.019764, -1.31906, -0.903437, -0.231875
0.169101, 0, 0.0030195, -0.121512, -0.0191235, -1.12656, -0.689062, -0.004375
0.184735, 0, 0.003477, -0.121115, -0.0205265, -1.08938, -0.575312, 0.284375
0.200368, 0, 0.0031415, -0.121634, -0.0221125, -1.13531, -0.549062, 0.535937
0.215997, 0, 0.0005185, -0.12505, -0.021777, -1.15719, -0.544688, 0.728437
0.231626, 0, -0.003111, -0.130174, -0.020313, -0.966875, -0.581875, 0.70875
0.253511, 0, -0.005856, -0.130875, -0.0183305, -0.44625, -0.684687, 0.540313
0.269142, 0, -0.006039, -0.128039, -0.016226, 0.13125, -0.730625, 0.240625
0.284773, 0, -0.005246, -0.125629, -0.0153415, 0.415625, -0.780937, 0.039375
0.316007, 0, -0.003721, -0.124165, -0.014396, 0.476875, -0.8225, -0.0940625
0.353804, 0, -0.0030195, -0.123982, -0.0125355, 0.413438, -0.800625, -0.172813
0.369289, 0, -0.0022265, -0.124379, -0.012566, 0.389375, -0.8575, -0.0984375
0.385033, 0, -0.001891, -0.124959, -0.012566, 0.435313, -1.00188, 0.102812
0.39285, 0, -0.00183, -0.124959, -0.013725, 0.535937, -1.155, 0.310625
0.400668, 0, -0.0005795, -0.124928, -0.0127185, 0.474688, -1.20094, 0.46375
0.431925, 0, -0.0013725, -0.128832, -0.016775, 0.352188, -0.842188, 0.325938
