# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -1.17563, -2.56195, -3.02613, -2.74642, -3.19275, -3.41019, -3.12153, -3.2285, -3.17615, -3.04707, -3.07466, -2.86581, -2.81854, -2.62997, -2.6103, -2.62439, -2.38264, -2.22561, -2.12584, -2.08991, -1.85469, -1.56145, -1.35136, -1.09243, -0.669418, 1.33393, 4.22702, 2.62053, -0.360453, -0.857101, -1.08573, -1.33957, -1.47387, -1.63606, -1.70584, -0.532876, 0.240164, -1.41053, -1.57847, -1.31873
0.01, 0.0319375, -1.1548, -2.8697, -3.14292, -3.27356, -3.55282, -4.52108, -4.03493, -3.95071, -3.82725, -4.08576, -4.0915, -3.88613, -3.76204, -3.41595, -3.33923, -3.55717, -3.31616, -3.0075, -2.89919, -2.97604, -2.53825, -2.32768, -2.1339, -1.75926, -1.34077, 1.0537, 3.86347, 2.44746, -1.15761, -1.54146, -1.64849, -1.6729, -1.90369, -2.10842, -2.05716, -0.344043, 0.498205, -1.83325, -1.93516, -1.90555
0.02, 0.0319375, -1.45969, -2.56543, -3.67423, -3.47916, -3.99965, -3.7086, -4.08159, -3.97401, -4.14675, -3.95102, -3.96024, -3.73414, -3.62646, -3.26326, -3.23167, -3.33027, -3.1132, -2.87872, -2.66868, -2.69984, -2.38401, -2.14723, -1.87323, -1.54051, -1.1377, 1.02042, 3.57576, 2.10958, -0.702281, -1.06425, -1.18726, -1.35607, -1.56708, -1.6124, -1.67995, -0.592149, 0.225232, -1.7087, -1.7301, -1.66472
0.03, 0.0319375, -1.50396, -2.17237, -3.6598, -3.23875, -3.59509, -3.92822, -4.44883, -4.52776, -4.3696, -4.44516, -4.23913, -4.07662, -3.9128, -3.53462, -3.45221, -3.64913, -3.37717, -3.1462, -2.94223, -2.89667, -2.57362, -2.24738, -1.97197, -1.66409, -1.20916, 0.604957, 3.28851, 2.13762, -0.845232, -1.20999, -1.34217, -1.45279, -1.57769, -1.68635, -1.74281, -0.90567, -0.175648, -1.77292, -1.81637, -1.7105
0.04, 0.0319375, -1.24774, -1.84165, -3.01367, -3.37436, -3.8988, -4.75101, -4.08292, -4.26557, -4.24008, -4.17681, -4.02643, -3.94098, -3.81579, -3.79881, -3.54066, -3.70527, -3.4743, -3.31771, -3.25522, -3.19813, -2.91225, -2.63362, -2.48895, -2.22697, -1.81037, -0.0311555, 2.77169, 1.84629, -1.5666, -1.96103, -2.14156, -2.09254, -2.15437, -2.40965, -2.57961, -1.63085, -0.828315, -2.58015, -2.56463, -2.42106
0.05, 0.0319375, -0.916198, -2.34028, -3.1488, -3.20936, -4.40679, -3.95779, -3.65804, -3.81218, -3.76611, -3.69294, -3.59767, -3.54395, -3.50116, -3.26163, -3.28197, -3.22583, -3.0662, -2.93377, -2.88398, -2.77674, -2.57313, -2.4104, -2.15359, -1.92854, -1.61663, 0.32661, 2.53263, 1.3999, -1.34099, -1.81755, -2.04987, -2.25832, -2.31113, -2.45192, -2.7889, -2.09742, -1.22711, -2.75317, -2.74535, -2.81653
0.06, 0.0319375, -1.3926, -3.97062, -3.0061, -3.93845, -3.66472, -3.69694, -3.36023, -3.53879, -3.26397, -3.34794, -3.28964, -3.07972, -3.09379, -2.80142, -2.82338, -2.85023, -2.64341, -2.40542, -2.34652, -2.25927, -2.01935, -1.76175, -1.49159, -1.207, -0.71211, 1.27847, 3.28725, 2.35061, -0.382351, -0.945793, -1.13879, -1.29691, -1.41809, -1.52592, -1.66154, -1.43014, -0.571287, -1.43849, -1.42582, -1.4715
0.07, 0.0319375, -1.85204, -2.81651, -2.93489, -2.99929, -3.41663, -3.20037, -2.97958, -3.18983, -2.96474, -2.96653, -2.93119, -2.75308, -2.73522, -2.42776, -2.42412, -2.49234, -2.3019, -2.14123, -2.10044, -1.98679, -1.78951, -1.61067, -1.29458, -1.06552, -0.600689, 1.83767, 4.23268, 2.93946, -0.211035, -0.994009, -1.24015, -1.3846, -1.52865, -1.57723, -1.75759, -0.534356, 0.279444, -1.46033, -1.27622, -1.29274
0.08, 0.0319375, -1.27572, -2.54305, -2.9618, -3.11917, -4.17928, -3.18497, -3.06871, -3.35386, -3.11355, -3.15583, -3.13242, -2.92874, -2.88278, -2.62277, -2.62827, -2.67133, -2.47167, -2.19366, -2.19952, -2.17669, -2.01706, -1.68065, -1.53494, -1.29071, -0.963851, 1.4924, 4.26491, 2.62219, -0.788903, -1.44773, -1.56185, -1.67249, -1.67388, -1.71975, -2.1355, -0.607196, 0.606669, -1.38801, -1.49208, -1.54472
0.09, 0.0319375, -1.74185, -2.32369, -3.08448, -3.4941, -3.37488, -3.7191, -3.4757, -3.83621, -3.54573, -3.52744, -3.47195, -3.22513, -3.37407, -2.91232, -2.87799, -3.09814, -2.88515, -2.6259, -2.4574, -2.48711, -2.33743, -1.87957, -1.87191, -1.60987, -1.17628, 1.26153, 4.33232, 2.48731, -0.999501, -1.58775, -1.50066, -1.80738, -1.98407, -1.68269, -2.00796, -0.889865, 0.42489, -1.26295, -1.60713, -1.57646
