# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -0.540473, -1.09927, -1.09731, -0.891084, -0.873978, -1.61969, -2.51794, -2.96592, -3.71867, -4.27025, -4.61812, -4.00754, -4.07367, -3.68778, -3.9745, -4.52823, -4.13103, -4.78977, -4.85308, -4.73061, -4.85399, -4.60614, -4.98708, -4.97381, -5.4047, -5.55542, -5.45671, -5.34528, -5.32042, -5.32415, -5.08539, -5.2774, -5.44898, -5.44794, -5.49808, -5.44421, -5.32317, -5.33495, -5.18734, -5.38756
0.01, 0.0319375, -0.431051, -1.01637, -0.745662, -0.721559, -1.24126, -0.973924, -1.46604, -3.53761, -5.00242, -3.77441, -3.79583, -3.66714, -3.54676, -3.48007, -4.4759, -4.95304, -4.35618, -4.17689, -4.45803, -4.93705, -4.84885, -5.10136, -5.20386, -4.93697, -5.28362, -5.39198, -5.06222, -4.9293, -5.23323, -5.23203, -4.91316, -5.08718, -5.31382, -5.38417, -5.60373, -5.40793, -5.32181, -5.40189, -5.26608, -5.4773
0.02, 0.0319375, -0.562493, -2.2989, -1.96818, -1.1418, -1.72596, -1.76871, -1.99894, -4.08604, -4.51949, -4.16157, -3.8506, -4.14114, -4.00112, -4.05767, -4.64386, -4.59932, -4.73246, -4.44176, -4.86067, -5.15946, -5.36316, -5.3467, -5.15656, -5.02991, -5.34041, -5.32557, -5.09769, -5.35232, -5.67147, -5.71039, -5.33781, -5.22936, -5.49888, -5.32336, -5.60245, -5.34766, -5.42051, -5.45577, -5.31087, -5.6539
0.03, 0.0319375, -0.968752, -1.6925, -2.44839, -1.55032, -2.29294, -2.7417, -2.86361, -5.96178, -4.77629, -4.4859, -4.29043, -4.8049, -4.29656, -4.40127, -5.09084, -4.9077, -4.94882, -4.63972, -5.01749, -5.1665, -4.90869, -5.26768, -4.88111, -5.24132, -5.51484, -5.48725, -5.79935, -5.87087, -5.52867, -5.59958, -5.60815, -5.26512, -5.35571, -5.28425, -5.45039, -5.4173, -5.29988, -5.41866, -5.16826, -5.4245
0.04, 0.0319375, -2.20667, -2.3533, -2.19256, -1.32458, -1.91556, -2.81675, -2.81987, -4.57291, -4.25785, -3.85724, -4.36411, -4.89008, -4.44554, -4.18234, -4.44857, -5.03185, -4.62428, -5.0363, -5.06244, -5.31253, -4.8219, -5.14394, -4.98634, -5.21937, -5.43083, -5.5438, -5.68312, -5.85646, -5.29523, -5.35612, -4.9405, -5.23201, -5.38307, -5.33813, -5.3635, -5.42244, -5.17943, -5.36383, -4.926, -5.1427
0.05, 0.0319375, -1.5652, -2.2418, -2.51034, -1.37457, -2.06665, -2.94968, -3.08556, -4.43445, -4.97277, -4.57, -5.2381, -4.19943, -4.34001, -4.37698, -4.12514, -4.74496, -4.75723, -5.64491, -5.09774, -4.84493, -4.58079, -4.76551, -4.6685, -5.30488, -5.40646, -5.53029, -5.2396, -5.21104, -5.15287, -5.10302, -4.87516, -5.03482, -5.15158, -5.35732, -5.18233, -5.49618, -5.31126, -5.21372, -5.02074, -4.90287
0.06, 0.0319375, -1.14676, -1.9497, -2.07008, -1.41955, -2.54578, -3.48008, -3.83269, -4.26284, -4.04275, -4.22192, -4.27593, -3.73575, -4.06459, -4.53854, -4.40492, -4.97732, -5.35995, -5.15435, -5.31583, -4.75819, -4.55855, -4.75885, -5.02611, -5.67134, -5.51987, -5.63842, -5.22217, -4.85594, -5.32472, -5.58587, -5.16363, -4.92747, -5.40305, -5.2405, -5.16755, -5.56443, -5.49357, -5.27755, -5.19859, -5.38246
0.07, 0.0319375, -0.814566, -2.16023, -2.74713, -1.53996, -2.06856, -2.97327, -3.60872, -4.24992, -4.40729, -4.52535, -4.15714, -4.25691, -3.75161, -4.13722, -4.2855, -4.66918, -4.95753, -4.97905, -4.93961, -4.91907, -5.0041, -5.0469, -5.27042, -5.43326, -5.31288, -5.25083, -5.4061, -5.14098, -5.3837, -5.77172, -5.40603, -5.35828, -5.28875, -5.25982, -5.25055, -5.61954, -5.48453, -5.2796, -5.41203, -5.53211
0.08, 0.0319375, -1.17933, -3.02542, -3.02151, -2.61631, -2.86897, -3.51404, -3.60162, -4.67409, -4.84843, -4.85191, -4.974, -3.97086, -4.47838, -4.4744, -4.53154, -4.89802, -4.98197, -4.87047, -4.68619, -5.24803, -5.32531, -5.56077, -5.12276, -5.43342, -5.49055, -5.18241, -5.10744, -5.23875, -5.63871, -5.71139, -5.42178, -5.52094, -5.46219, -5.6238, -5.50473, -5.44624, -5.47143, -5.19412, -5.24024, -5.3209
0.09, 0.0319375, -1.25212, -3.39641, -3.72481, -2.79595, -2.98, -3.84766, -4.07876, -4.62065, -4.69615, -4.71655, -4.05875, -3.80906, -4.39252, -4.96021, -4.32, -4.39093, -4.95553, -5.32209, -4.91148, -5.41396, -5.00189, -5.07974, -4.94822, -5.01891, -5.89174, -5.84898, -5.30145, -5.52269, -5.80213, -5.28925, -5.13373, -5.2855, -5.69057, -5.75536, -5.63632, -5.44873, -5.24176, -5.21231, -5.20097, -5.41075
0.1, 0.0319375, -1.39372, -3.81479, -3.5164, -3.0491, -3.5787, -3.84075, -3.88002, -4.87197, -4.85884, -4.47398, -4.05069, -4.49502, -4.32157, -4.83414, -4.18694, -4.52897, -4.53861, -5.36003, -5.20915, -4.85012, -4.66002, -4.90996, -4.98213, -5.43977, -5.52994, -5.61277, -5.25271, -5.25335, -5.55728, -5.23938, -4.96522, -5.14888, -5.36324, -5.5116, -5.33064, -5.34554, -5.26493, -5.41329, -5.26899, -5.40801
0.11, 0.0319375, -1.33489, -3.54316, -3.13848, -3.00071, -3.47248, -2.71659, -3.21625, -4.57582, -4.08817, -4.36632, -3.91794, -4.64071, -4.80489, -4.29427, -4.20809, -4.58067, -4.86224, -4.7379, -4.46741, -4.6745, -4.1259, -4.95282, -5.06845, -4.70657, -4.28611, -3.80959, -4.01269, -4.08658, -3.76838, -3.65564, -4.33853, -5.07584, -5.50348, -5.41533, -4.7585, -5.10532, -5.30857, -5.52522, -5.29492, -5.41853
0.12, 0.0319375, -1.51014, -2.60869, -2.98202, -2.45594, -2.91823, -2.27879, -2.73689, -4.2532, -4.64607, -4.27635, -3.91102, -5.25144, -5.06275, -3.98287, -4.90674, -4.98914, -5.01608, -4.4328, -4.24943, -4.79326, -4.49165, -4.89361, -4.98459, -4.51933, -3.95688, -3.30163, -3.64461, -3.89346, -3.38274, -3.23042, -4.13412, -5.16705, -5.56915, -5.15098, -4.44346, -5.0159, -5.34965, -5.4422, -5.4999, -5.48865
