# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -0.264751, 1.70899, 2.11298, 2.04284, 1.94909, 1.42586, 2.05697, 1.60938, 2.6969, 1.90709, 1.33931, 1.32076, 0.734547, 0.978021, 1.69156, 1.17546, 0.954962, 1.16304, 0.683217, 0.946677, 0.941234, 0.287463, 0.133259, 0.0524368, -0.0962275, -0.0241748, -0.358705, -0.0921306, -0.449309, -0.398613, -0.364079, 0.718273, 0.376888, 0.160791, 0.297316, 0.129974, 0.455414, -0.12346, -0.155404, -0.598753
0.01, 0.0319375, -1.54381, 1.30262, 1.98754, 1.181, 1.38176, 1.61136, 2.03971, 1.29522, 2.39895, 2.03793, 1.34772, 1.79838, 0.805852, 1.2344, 1.68865, 1.27908, 1.22045, 1.35106, 0.869573, 0.809613, 0.909819, 0.257886, -0.0129883, 0.023192, -0.115721, -0.157619, 0.000161039, -0.227425, -0.540363, -0.291776, -0.577296, 0.81697, 0.53934, 0.235504, 0.284327, 0.175451, 0.459497, 0.072111, 0.0462079, -0.470321
0.02, 0.0319375, -2.18772, 0.680387, 1.90995, 1.66299, 0.732799, 1.91087, 1.9543, 1.7573, 2.39081, 2.6262, 1.36354, 1.7791, 0.399174, 0.814449, 1.72768, 1.27423, 1.21195, 1.55464, 1.24734, 0.836636, 0.748737, 0.181684, 0.130501, 0.323554, 0.152666, 0.0220174, -0.019455, -0.104597, -0.394539, -0.271301, -0.574556, 0.607362, 0.527377, 0.0608807, 0.406392, 0.271179, 0.427266, -0.344709, -0.234883, -0.507413
0.03, 0.0319375, -1.10858, 1.46897, 2.18632, 1.14598, 1.76888, 1.80959, 2.09063, 2.69233, 2.61853, 2.47131, 1.51102, 2.16677, 1.36391, 1.3183, 1.9717, 1.4061, 0.864841, 1.20389, 1.15364, 1.12229, 1.11628, 0.326303, 0.0530049, 0.325292, 0.386505, 0.281606, -0.143197, -0.0304873, 0.027212, -0.0636608, -0.720394, 0.259144, 0.620779, 0.431063, 0.243585, 0.124135, 0.471953, -0.214772, -0.227015, -0.5958
0.04, 0.0319375, -0.989656, 1.44202, 2.58099, 1.6889, 1.56899, 1.82186, 2.81596, 2.18758, 2.15731, 2.07225, 1.52179, 2.32192, 1.19784, 1.7288, 2.14061, 1.75066, 0.802932, 0.970328, 0.712826, 1.53069, 1.04868, 0.886774, 0.317621, -0.180848, 0.349615, -0.0363455, -0.490881, -0.177263, 0.499294, 0.45548, -0.532412, 0.0913062, 1.02641, 0.597123, 0.0950943, -0.0291813, 0.166862, -0.17632, -0.418156, -0.476612
0.05, 0.0319375, -0.474761, 0.601893, 2.14504, 1.38392, 1.66515, 0.918257, 2.86462, 1.90155, 1.03201, 1.86939, 1.45472, 2.05334, 1.30661, 1.99148, 1.86375, 2.14113, 1.00075, 0.919591, 0.679288, 1.43756, 1.15312, 0.734889, 0.208836, 0.427347, 0.476088, 0.136844, -0.584973, -0.412983, 0.140388, 0.491266, -0.535287, -0.281136, 0.75318, 0.313012, -0.0537605, -0.122757, -0.273338, -0.705819, -0.662364, -0.77019
0.06, 0.0319375, -0.766581, 0.81177, 2.03791, 2.17046, 1.32509, 1.94748, 2.61974, 1.88389, 1.35799, 2.24725, 1.81513, 2.34666, 1.21051, 1.96811, 1.51626, 2.31879, 0.975307, 1.01797, 1.04812, 0.976045, 0.696542, 0.54301, 0.266656, 0.454947, 0.468586, 0.634061, -0.280592, -0.0459837, -0.103108, 0.335474, -0.29448, -0.216728, 0.454441, 0.0774398, -0.43114, -0.262808, -0.476346, -0.613787, -0.890652, -0.967103
0.07, 0.0319375, -1.80285, 0.765377, 1.6739, 2.14834, 2.23982, 1.49434, 2.77699, 1.92732, 1.99518, 2.42044, 2.15727, 2.62868, 0.773741, 1.9035, 1.86185, 2.26678, 0.868058, 1.32497, 1.55653, 1.13515, 1.10666, 0.761574, 0.0115224, 0.171169, 0.607854, 0.873281, -0.0127197, 0.432458, -0.00373195, 0.23771, 0.223831, -0.0321776, 0.224878, -0.110128, -0.752427, -0.683351, -0.734582, -0.81859, -1.05503, -1.14497
0.08, 0.0319375, -1.40403, -0.165926, 0.257048, 1.94398, 1.78797, 1.64033, 2.49241, 2.33339, 1.76112, 1.86692, 2.01938, 2.77324, 0.766522, 2.23236, 2.02973, 1.82006, 1.32868, 1.69331, 1.66262, 1.36555, 1.13702, 0.54836, 0.124424, 0.463264, 0.266892, 0.694573, -0.0979613, 0.265069, 0.0949992, 0.442717, 0.531609, 0.0823544, -0.503813, -0.959009, -0.612541, -0.406261, -0.93182, -1.16846, -0.940382, -1.06177
0.09, 0.0319375, -1.07805, 0.964196, 1.77369, 2.3836, 1.93616, 1.66569, 2.15226, 2.49418, 1.93173, 2.27089, 2.08482, 2.66319, 0.387532, 2.35321, 2.09397, 1.7061, 1.56861, 1.44856, 1.68878, 1.71424, 1.34097, 0.919308, 0.608288, 0.847805, 0.687353, 1.0852, 0.369568, 0.0173299, 0.248803, 0.317623, 0.562366, 0.266541, -0.498581, -0.85587, -0.801781, -0.362331, -0.748766, -1.16553, -1.09299, -1.01633
