# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -1.19033, -0.259924, 0.406851, 0.788883, -0.155666, -0.629544, -1.01631, -1.06556, -1.33344, -0.784568, -0.291882, -0.511134, 0.0618901, 0.284575, 0.671756, 0.368709, -0.193113, 0.00209517, 0.566674, 0.489439, 0.066776, 0.0216742, 0.465123, 0.412255, 0.263256, -0.197683, -0.493537, -0.471173, -0.326249, -0.0547347, -0.0739511, -0.31343, -0.298903, -0.285166, -0.677556, -1.21882, -1.38968, -1.70973, -1.65424, -2.30753
0.01, 0.0319375, -1.17807, -0.190626, 0.318502, 0.0476555, -0.752097, -1.28903, -0.753656, -1.18944, -0.861656, -0.3096, -0.0568692, 0.389146, 0.619757, 0.213381, 0.450491, 0.138765, -0.0904602, -0.174228, 0.573158, 0.683363, 0.207531, -0.170346, 0.454725, 0.448715, 0.207505, -0.736209, -0.622828, -0.243121, -0.244571, -0.0850831, -0.0912686, -0.556856, -0.581639, -0.730249, -0.823634, -1.52968, -1.54403, -2.01279, -2.14561, -2.47115
0.02, 0.0319375, -1.66739, -0.485134, -0.195225, 0.333307, -0.602024, -1.86449, -0.466024, -1.20482, -1.08754, 0.00163422, 0.298699, 0.111661, 0.157455, 0.501271, 0.753053, 0.31668, 0.469883, -0.340308, 0.216547, 0.313677, -0.277818, -0.312503, 0.500782, -0.222475, -0.102022, -0.716249, -0.576992, -0.454707, -0.364684, -0.150166, 0.194326, -0.241771, -0.390745, -0.488199, -0.71587, -1.82889, -1.75192, -2.04989, -1.71062, -2.34705
0.03, 0.0319375, -1.44949, 0.160117, 0.422237, -0.153266, -1.49077, -1.89399, -1.20519, -0.602201, -0.61693, -0.464453, -0.431847, -0.587978, -0.290488, 0.264162, 0.426691, 0.196738, 0.0807392, -0.433486, 0.432539, 0.320054, -0.612734, -0.0682302, 0.386482, 0.408946, 0.0249514, -0.152314, -0.80325, -0.560536, -0.355866, -0.195294, 0.357596, -0.156331, -0.384253, -0.872196, -0.658996, -1.35841, -1.60471, -1.91777, -1.84254, -2.23858
0.04, 0.0319375, -1.89879, -0.294762, 0.091033, -0.0302708, -0.73908, -0.289045, -0.44167, -0.793582, -1.09994, -0.94827, -0.329399, -0.337187, -0.101883, 0.882367, 0.64741, 0.513584, -0.38764, 0.102562, 0.163445, 0.108385, 0.0704141, 0.103918, -0.0415619, 0.152429, 0.233606, 0.180221, -0.685704, -0.560898, -0.49862, -0.0463731, 0.384319, -0.050867, -0.144273, -0.415489, -0.777991, -1.42163, -1.7691, -2.0409, -1.59432, -1.87338
0.05, 0.0319375, -2.60415, -0.946672, -0.314716, 0.0694772, -0.144916, -0.19586, -0.182386, -0.979389, -0.978225, -0.222565, -0.309751, -0.408528, 0.313648, 0.378528, 0.229335, 0.578168, -0.615971, -0.258962, -0.0241204, 0.344645, 0.792211, 0.280936, -0.155113, 0.416744, 0.118162, -0.568436, -0.934224, -0.509926, -0.215465, -0.136275, 0.260928, -0.257534, -0.31312, -0.434556, -0.600062, -1.44196, -1.4909, -1.88586, -1.84917, -2.23616
0.06, 0.0319375, -1.65984, -0.568969, 0.0439323, -0.636295, 0.152279, -0.118049, -0.749727, -0.873358, -1.62479, -0.577978, -0.252401, -0.0881755, -0.213277, 0.0567054, 0.375653, 0.923546, -0.0109042, -0.227149, -0.0554914, -0.00833374, 0.202187, -0.134852, 0.141648, -0.0463016, 0.34371, -0.29451, -0.998652, -0.963947, -0.457013, -0.134139, 0.086214, -0.186862, 0.17095, -0.151117, -0.564182, -1.20343, -1.37536, -1.86582, -1.84493, -2.00718
0.07, 0.0319375, -2.12157, -0.0923771, 0.443821, -0.00100914, -0.396782, -0.674939, -0.84149, -1.44733, -1.56823, -0.309568, -0.284886, 0.296342, 0.0755335, 0.239798, 0.409839, 0.454331, 0.474378, 0.307993, 0.330912, 0.226297, 0.364563, 0.189959, 0.305399, 0.412717, 0.589068, -0.127733, -0.668478, -0.963428, -0.485831, -0.0364024, 0.287876, 0.0216621, 0.22596, 0.143238, -0.419976, -1.09579, -1.15655, -1.67426, -1.58678, -2.06613
0.08, 0.0319375, -1.47898, -0.664691, -0.398209, -0.0807045, -0.276679, -0.70979, -0.864601, -0.744623, -0.922799, -0.803139, -0.73395, -0.161336, -0.135262, 0.875671, 0.497955, 0.3459, 0.630142, 0.1219, 0.168135, 0.638198, 0.812043, 0.0788203, 0.258144, 0.248888, 0.475238, -0.187508, -0.60786, -0.43991, -0.508391, -0.524747, 0.377689, 0.577635, 0.159865, 0.207243, -0.035389, -0.983581, -1.17352, -1.47149, -1.74481, -2.27683
0.09, 0.0319375, -1.44172, -0.00790794, 0.133394, 0.158895, -0.335974, 0.133265, -0.743053, -0.457896, -0.761769, -1.27992, -0.970676, -0.446634, -0.0519635, 0.832486, 0.378052, 0.205671, 0.0231215, -0.0574848, 0.122089, 0.136809, 0.435874, 0.170813, 0.263536, 0.202008, 0.447963, -0.571975, -0.63137, -0.22093, -0.493139, -0.100933, 0.321522, 0.605374, 0.0637813, 0.262125, -0.192869, -0.639371, -1.37946, -1.61251, -1.91054, -2.08872
