# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.816013, 1.29845, 0.925998, -0.0566124, -0.173732, 1.1418, 1.66396, 1.17428, 0.933021, 0.865876, 0.484286, -0.0266808, 0.936439, 0.900755, 0.647742, 1.1281, 0.653478, 0.542521, 0.855881, 0.0901527, 0.18911, 1.32632, 1.23095, 0.897783, 0.631015, 0.865955, 0.882547, 0.70913, 0.690716, 0.714411, 1.08567, 1.0131, 1.25499, 1.21857, 0.814889, 0.892491, 0.923054, 0.852098, 0.702273, 0.260791
0.01, 0.0319375, 0.623369, 0.608247, 0.899751, 0.356549, 0.242281, -0.0754944, 0.861281, 0.498567, 0.940616, 0.902228, 0.506066, -0.227532, 0.639818, 0.604776, 0.741531, 0.531808, 0.682667, 0.754637, 0.385618, 0.396518, 0.788748, 0.993785, 0.793419, 0.580675, 0.52434, 0.765448, 1.08663, 0.886181, 0.776177, 0.630644, 0.844637, 0.812005, 1.18475, 1.14643, 0.813879, 0.880898, 0.712316, 0.58623, 0.504327, 0.264306
0.02, 0.0319375, 0.751702, -0.476169, 0.575414, 0.547982, 0.792645, 0.529564, 1.26877, 1.55433, 1.1579, 0.826337, 0.548987, 0.637265, 0.882406, 1.20433, 0.853997, 0.448742, 0.543411, 0.747676, 0.679187, 0.657135, 0.946673, 0.917726, 0.883553, 0.612696, 0.627275, 0.614258, 0.821058, 0.666516, 0.799185, 0.849665, 1.0098, 1.56439, 2.11372, 2.0503, 1.81864, 1.81652, 1.27176, 0.769159, 0.318249, 0.00466971
0.03, 0.0319375, 0.900201, 0.622016, 0.716874, 1.26661, 0.876569, 0.876286, 0.770144, 0.893119, 0.869587, 0.498282, 0.279133, 0.699666, 0.505254, 1.04183, 0.0636716, 0.295212, 0.610652, 0.639598, 0.543938, 0.586585, 0.686342, 0.799736, 1.0217, 0.607089, 0.185248, 0.343223, 0.528296, 0.891969, 1.11932, 1.10911, 1.42366, 2.06701, 2.58072, 2.49765, 2.28608, 2.28507, 1.76207, 1.16892, 0.923727, 0.568788
0.04, 0.0319375, 0.236739, 0.475064, 0.915568, 1.00242, 1.0741, 0.920653, 1.36264, 0.560241, 0.506459, 0.384352, 0.506604, 1.1687, 1.12757, 1.12574, 0.505284, -0.388955, 0.521668, 0.497561, 0.273268, 0.24589, 0.4499, 0.533379, 0.942742, 0.472533, 0.42101, 0.78171, 0.874099, 0.786617, 0.897029, 0.80097, 1.02087, 1.12716, 1.33179, 1.39175, 1.40831, 1.21145, 0.882295, 0.985419, 1.03225, 0.739667
0.05, 0.0319375, -0.198792, 0.396115, 0.593295, 0.931854, 0.948263, 0.561851, 1.0685, 0.582959, 0.290928, 0.919703, 1.09418, 1.35581, 1.23656, 0.974459, 0.645036, 0.55547, 0.666279, 0.20131, 0.22074, 0.246809, 0.159441, 0.481142, 0.786505, 1.05437, 0.593553, 0.737678, 0.655901, 0.617845, 0.972168, 0.885962, 0.949998, 1.11998, 0.882099, 1.05804, 1.2104, 1.14172, 0.679926, 0.820535, 0.873296, 0.355556
0.06, 0.0319375, -0.674649, -0.671947, 0.32304, 0.69086, 0.301559, 0.379888, 1.06125, 0.432756, 0.652996, 0.993234, 0.616083, 1.16852, 0.235089, 0.76961, 0.721369, 0.695513, 0.557275, 0.431369, 0.714406, 0.28063, 0.464957, 0.705527, 0.798406, 1.27497, 0.548644, 0.544221, 0.718493, 0.413087, 0.321784, 0.809071, 0.874975, 1.00157, 1.08337, 1.05139, 1.02303, 0.708314, 0.812138, 0.478946, 0.497384, -0.062532
0.07, 0.0319375, 0.230092, 0.224414, 0.746269, 0.924228, 0.551919, 0.927564, 1.20166, 1.21603, 0.830684, 1.27426, 0.713734, 0.519167, 0.195219, 0.942953, 0.94337, 0.561218, 0.273214, 0.501849, 1.12303, 0.822825, 0.467635, 0.562675, 0.901609, 0.806644, 0.538015, 0.538224, 0.625652, 0.495606, 0.722355, 0.723458, 0.978649, 1.04395, 1.42815, 1.23879, 1.17766, 1.21884, 1.28864, 0.831229, 0.935919, 0.325255
0.08, 0.0319375, 0.5663, 0.375314, 1.1027, 1.06831, 0.770536, 0.893497, 0.575058, 0.664725, 1.12291, 0.772835, 0.30718, 0.71323, 0.635647, 0.976781, 0.791, 0.530791, 0.495831, -0.0161538, 0.819929, 0.516248, 0.543814, 1.03091, 0.956958, 0.818092, 0.585849, 0.65116, 0.614837, 0.686747, 0.906097, 1.22502, 1.22112, 1.04463, 1.26108, 1.46004, 1.5381, 1.26833, 1.17169, 0.622608, 0.924624, 0.334254
0.09, 0.0319375, 0.628457, 0.632705, 0.871697, 0.84491, 0.784379, 1.39559, 0.68731, 0.355576, 1.16386, 0.825625, -0.352979, 0.427229, 0.480657, 0.643992, 0.992716, 0.86154, 1.08824, 0.622667, 0.919949, -0.00380632, 0.848289, 0.749379, 0.994085, 0.561256, 0.563544, 0.356668, 0.473831, 0.450337, 0.580342, 0.893872, 0.863856, 0.980052, 1.05514, 1.55738, 1.4393, 0.98321, 1.05761, 1.0932, 0.768609, 0.410568
0.1, 0.0319375, 0.10762, 0.460512, 0.582375, 0.678216, 0.14265, 0.699207, 0.493425, 0.328399, 0.0996937, 0.588152, -0.579125, 0.314662, 0.389523, 0.657226, 0.996843, 0.572661, 0.753632, 0.628171, 0.839047, 0.125256, 0.939839, 0.829638, 0.731121, 0.533292, 0.312946, 0.565251, 0.710863, 0.62979, 1.00551, 0.872412, 0.743481, 1.28675, 1.203, 1.28852, 1.34266, 1.47533, 1.69132, 1.78995, 1.3512, 0.693444
0.11, 0.0319375, 0.748428, 0.0456836, 0.103677, 0.332646, 0.176853, 0.549246, 0.179238, 0.113793, 0.263672, 0.456247, -0.144837, 0.208862, 0.620131, 0.715788, 0.786337, 0.26917, 0.632877, 0.487181, 0.35357, 0.202592, 0.708725, 0.817265, 0.883609, 0.826322, 0.489002, 0.455991, 0.717261, 0.458589, 0.486321, 0.566751, 0.169612, 0.809042, 0.821842, 1.02149, 0.911303, 0.990557, 1.08395, 0.95753, 0.722488, 0.0227388
0.12, 0.0319375, 0.488282, -0.17496, 0.630662, 0.692092, 0.396378, 0.342257, 0.322092, 1.04406, 1.23788, 1.37784, 0.0947751, 0.116252, 0.609351, 0.652072, 0.788267, 0.236122, 0.52253, 0.535674, 0.640623, 0.384468, 0.567475, 0.717289, 0.853845, 0.888763, 0.714449, 0.45682, 0.329464, 0.479175, 0.442577, 0.948042, 0.510229, 0.772433, 0.887742, 0.967144, 0.731437, 0.81793, 0.835948, 0.778545, 0.526057, 0.0765581
0.13, 0.0319375, 0.286486, -0.678734, -0.0943673, 1.00231, 0.319647, 1.03163, 1.27255, 1.13205, 1.40606, 1.38569, 0.510794, 0.371164, 0.284427, -0.179973, 0.598086, 0.857533, 0.53508, 0.279668, 0.744548, 0.305595, 0.442918, 0.595224, 0.781464, 0.617216, 0.536016, 0.518185, 0.370247, 0.391416, 0.567011, 0.568864, 0.697782, 0.918452, 0.667853, 0.757074, 0.820889, 0.994217, 0.722448, 0.518056, 0.623989, -0.110398
0.14, 0.0319375, 0.618209, 0.225588, -0.0784132, 0.873972, 1.02944, 0.231421, 0.871874, 1.45842, 1.19562, 0.431515, 0.382087, 0.477504, 0.206521, 0.304722, 0.939746, 0.776838, 0.394399, -0.206501, 0.462856, 0.348195, 0.750727, 0.899488, 0.478837, 0.394905, 0.696806, 0.548849, 0.62948, 0.395652, 0.494233, 0.451077, 0.660294, 1.12598, 1.36923, 1.2233, 1.028, 1.16239, 0.953406, 0.892337, 0.448278, -0.104061
0.15, 0.0319375, -0.355464, 0.158896, 0.442562, 0.942915, 1.08531, 0.553997, 0.986963, 0.771066, 1.75979, 0.940694, -0.385615, 0.467568, 0.399143, 0.58994, 0.561572, 0.775947, 0.748318, 0.724246, 0.60317, 0.462839, 0.540423, 0.988305, 1.04285, 0.724316, 0.347425, 0.514853, 0.983656, 0.19071, 0.591469, 0.750681, 0.846817, 1.27273, 1.46888, 1.32581, 0.99752, 1.13865, 1.17855, 1.07326, 0.571684, -0.097132
0.16, 0.0319375, 0.631973, 0.309716, 0.743768, 1.31805, 0.87521, 0.598327, 1.05866, 0.856453, 1.25162, 1.25038, 0.53793, 0.140568, 0.170601, 0.547319, 1.10338, 0.742186, 0.896861, 0.545502, 0.3839, 0.417608, 0.474004, 0.933784, 1.00831, 1.09723, 0.723472, 0.601344, 0.877472, -0.0858046, 0.650873, 0.36365, 0.784058, 1.04908, 0.945944, 0.774212, 0.702265, 0.800218, 0.877895, 0.66288, 0.414237, -0.176141
0.17, 0.0319375, 1.10853, 1.05217, 0.244459, 1.27955, 0.741042, 0.813311, 1.26721, 1.15132, 0.679081, 1.60101, 0.908246, 0.425754, 0.851099, 0.743444, 0.993757, 0.91634, 0.972744, 0.590576, 0.794454, 0.81638, 0.721312, 0.542639, 0.654129, 1.0516, 0.750543, 0.82949, 0.51048, 0.600825, 0.594588, 0.316678, 0.476216, 0.917643, 0.794858, 0.921571, 0.842021, 0.649949, 0.365488, 0.548537, 0.446038, 0.0093848
0.18, 0.0319375, 0.542431, 0.937635, 0.725729, 1.17527, 0.790489, 0.36547, 1.2214, 1.18928, 0.936118, 1.47482, 0.982464, 0.786866, 1.30142, 0.787177, 0.73207, 1.18775, 0.694644, 0.675961, 0.613396, 0.396, 0.584674, 0.306334, 0.348544, 0.452764, 0.836999, 0.826797, 0.793035, 0.644487, 0.477936, 0.736356, 0.826994, 0.826377, 0.770024, 0.785002, 0.84413, 0.858135, 0.580595, 0.581858, 0.275987, 0.113509
0.19, 0.0319375, 0.50567, 0.418039, 0.979207, 1.53057, 0.538036, 0.681362, 1.15863, 0.935371, 0.988309, 1.35946, 0.597521, 0.482754, 0.937589, 1.21721, 1.27247, 0.990556, 1.05675, 1.07415, 0.993019, 0.659124, 0.574002, 0.580659, 0.794359, 1.17632, 0.819329, 0.662279, 0.761818, 0.798823, 0.721628, 0.8342, 1.32723, 1.2185, 1.21342, 1.28611, 1.36834, 1.05193, 1.22073, 0.899315, 0.727753, 0.670682
0.2, 0.0319375, 0.201544, 1.01282, 1.02441, 0.653112, -0.668275, 1.4078, 1.17436, 1.00623, 1.21071, 0.936999, 0.142203, 0.420742, 0.400687, 1.37719, 1.2666, 0.84999, 0.714653, 0.957735, 1.08262, 0.481306, 0.515256, 1.04575, 0.880427, 1.1917, 0.964875, 0.657133, 0.509724, 0.720791, 0.843118, 0.845798, 1.34404, 1.26032, 1.20039, 1.31745, 1.38568, 0.997201, 1.13117, 1.01927, 0.751706, 0.67828
0.21, 0.0319375, 0.975183, 1.03454, 0.825146, 0.151419, 0.298075, 0.76163, 1.2811, 0.584319, 0.769664, 0.899164, 0.694688, 0.384411, 0.660207, 0.766203, 0.662375, 0.375847, 0.554292, 0.469799, 0.412286, 0.948534, 0.503937, 1.06547, 0.64846, 0.863311, 0.522625, 0.378353, 0.590761, 0.723586, 0.424852, 0.753518, 0.700395, 0.379095, 0.943671, 1.33296, 0.989758, 1.01741, 0.818562, 0.689571, 0.362324, -0.147841
0.22, 0.0319375, 0.720351, 0.271467, 0.932874, 0.532125, 0.620285, 0.318077, 1.13247, 0.821029, 0.868523, 0.7973, 1.03109, 0.253291, 0.768865, 0.916148, 1.28378, 0.532718, 0.597362, 1.03843, 0.704386, 0.586365, 0.387996, 0.998452, 1.19289, 0.797404, 0.642745, 0.581311, 0.873539, 0.696001, 0.654424, 0.638843, 0.671326, 0.963772, 0.837906, 0.928225, 1.03427, 1.25398, 1.18133, 0.961395, 0.448397, 0.0560492
0.23, 0.0319375, -0.0766113, 1.00129, 1.09072, 1.35381, 1.09532, 1.11716, 0.848822, 0.0972602, 0.619728, 0.576471, 0.492678, 0.669562, 0.736638, 1.03412, 1.21461, 0.790254, 0.740929, 0.624952, 0.7854, 0.0238976, 0.530286, 0.679201, 0.442427, 0.289812, 0.262171, 0.582055, 0.675345, 0.158816, 0.882302, 0.465726, 0.473962, 1.15507, 1.00916, 0.838357, 0.775572, 1.14616, 0.906632, 0.346318, 0.567551, 0.599822
0.24, 0.0319375, -0.534593, 0.801983, 0.87065, 0.948035, 0.777379, 1.37338, 1.31668, -0.13846, 0.702528, 0.329736, 0.535467, 0.840251, 1.02096, 0.739119, 0.810504, 0.736091, 0.512546, 0.547162, 0.299963, -0.0213014, 0.107516, 0.372419, 0.613372, 0.584579, 0.242385, 0.624286, 0.25753, 0.134589, 0.437045, 0.507753, 0.5603, 0.563267, 0.88297, 0.952848, 0.988836, 1.06679, 0.809235, 0.55964, 0.411204, 0.0147358
0.25, 0.0319375, 0.0250406, 0.892659, 1.01529, 0.174136, -0.662211, 1.22312, 1.20603, 0.845451, 1.02546, 0.417575, 0.704907, 0.676149, 0.990323, 1.05048, 0.902391, 0.700188, 0.602224, 0.686201, 0.48254, 0.616267, 0.020978, 0.598, 0.882367, 1.02543, 0.310636, 0.294545, 0.0920558, 0.21242, 0.489125, 0.630274, 0.726287, 0.70534, 0.745898, 0.841347, 0.723238, 1.19638, 0.974552, 0.559472, 0.195961, -0.146977
0.26, 0.0319375, 0.147538, 0.989821, 0.795944, 0.745108, 0.156697, 1.006, 0.654702, 0.668841, 0.797543, 0.711838, 0.562624, 0.988029, 0.657887, 0.39048, 0.828154, 0.912575, 1.16429, 0.292897, 0.577433, 0.511798, -0.0917503, 0.561097, 0.855324, 0.986148, 0.106622, 0.439027, 0.423127, 0.548744, 0.60644, 0.557435, 0.826312, 0.8488, 0.932505, 0.935404, 1.02636, 1.14727, 1.03009, 0.586794, 0.328673, -0.0162982
0.27, 0.0319375, 0.163328, 0.665145, 0.184852, 0.778525, 0.707197, 0.481666, 0.768099, 0.512778, 1.00057, 0.942901, 1.055, 1.06799, 0.798379, 0.227195, -0.0630942, 0.648749, 0.855392, 0.357774, 0.379751, 0.165545, 0.264875, 0.846689, 0.856629, 0.729433, 0.691337, 0.633376, 0.831356, 0.898365, 0.807859, 0.368522, 0.58138, 0.611869, 1.00808, 0.967815, 1.15653, 0.88821, 0.911826, 0.586651, 0.485066, 0.249813
0.28, 0.0319375, 0.320586, 0.177046, 0.48105, 0.0976166, -0.183591, 0.489621, 1.0868, 1.03614, 0.432643, 0.359881, 0.137525, 0.660621, 0.934872, 0.64392, 0.224214, 0.538682, 0.611921, 0.413866, 0.550111, 0.391284, 0.664902, 0.922945, 0.730681, 0.452698, 0.497476, 0.451418, 0.73536, 0.533463, 0.70391, 0.508957, 1.05237, 0.929722, 1.11693, 1.15878, 1.12551, 0.713551, 0.579975, 0.735864, 0.536865, 0.272192
