# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -1.35563, -1.96828, -1.49986, -1.7449, -0.671906, -0.225668, -1.10867, -1.97586, -0.891531, -0.16289, 0.220317, -0.687585, -1.71105, -0.901105, -0.999946, -1.83191, -1.87143, -2.06785, -2.3259, -2.81394, -2.68531, -3.13957, -2.46996, -2.11486, -2.07698, -1.86867, -1.51535, -1.36958, -1.45908, -1.18821, -1.00853, -1.0256, -0.892801, -0.926976, -0.825628, -0.784642, -0.768643, -0.767654, -1.04979, -1.31459
0.01, 0.0319375, -1.44561, -3.065, -2.9113, -1.83956, -0.950127, -0.452875, -1.02539, -2.25009, -1.28238, -0.738828, -0.131653, -0.876367, -1.34628, -0.498567, -0.616935, -1.40259, -2.04938, -1.53208, -2.12602, -2.428, -2.82853, -3.18206, -2.00392, -2.02085, -2.18892, -2.06095, -1.63046, -1.61295, -1.32766, -1.07128, -1.20713, -1.08714, -0.943579, -0.971057, -0.881394, -1.01391, -0.950544, -0.763124, -0.653014, -0.856266
0.02, 0.0319375, -0.720586, -2.42565, -2.50187, -3.1672, -2.3162, -1.53416, -1.56241, -2.42019, -2.66755, -1.75383, -1.10034, -1.32614, -1.76956, -1.3722, -1.76188, -2.12056, -2.13382, -2.02012, -3.12787, -2.97644, -2.71424, -2.60656, -1.4749, -1.45402, -0.974514, -1.44559, -1.09089, -0.663573, -0.510628, -0.555717, -0.741743, -0.648981, -0.383946, -0.581539, -0.317231, -0.313804, -0.321552, 0.12278, 0.145524, 0.016041
0.03, 0.0319375, -1.30836, -2.502, -2.93935, -3.15665, -3.4529, -3.37527, -3.02609, -3.93219, -3.53307, -3.72288, -3.8818, -3.74195, -3.42912, -3.0726, -3.41571, -3.13649, -2.96574, -2.64297, -2.67994, -3.00757, -2.61522, -2.48276, -1.72374, -1.3076, -0.812409, -0.972993, -0.769985, -0.491148, -0.264309, -0.554522, -0.664018, -0.71851, -0.29943, -0.210638, -0.0555894, -0.152001, -0.471451, 0.103505, 0.210227, -0.160702
0.04, 0.0319375, -1.53586, -3.11501, -3.44074, -2.89129, -3.38869, -3.84593, -3.30227, -3.56911, -3.35177, -3.67813, -3.44986, -3.77663, -3.83134, -3.57639, -3.2186, -3.55256, -3.13866, -2.74611, -2.61871, -2.63707, -2.87573, -2.63274, -1.9611, -1.76178, -1.17992, -1.18066, -1.11077, -0.974996, -0.639823, -0.852007, -0.979644, -1.11974, -0.436726, -0.14775, -0.13357, -0.0977114, -0.243439, 0.0517967, 0.0314295, -0.276667
0.05, 0.0319375, -1.85573, -2.90993, -3.80175, -3.71098, -3.96543, -3.48681, -3.27679, -4.24057, -3.30139, -3.70319, -3.26178, -4.21721, -3.65529, -3.52757, -3.31262, -2.98553, -3.11591, -2.49986, -2.07559, -2.90215, -2.14769, -1.90653, -1.44593, -1.28859, -0.982862, -1.31223, -1.3414, -0.988123, -0.843187, -0.749621, -1.0619, -1.14075, -0.499273, -0.535602, -0.583737, -0.192129, -0.421481, -0.135086, -0.300441, -0.468284
0.06, 0.0319375, -1.24099, -3.65521, -3.22761, -3.0312, -4.34478, -3.1347, -3.67431, -4.69016, -3.90132, -3.91655, -3.62665, -4.22476, -3.78574, -3.35602, -3.19009, -3.42883, -2.54632, -2.3783, -2.34842, -2.69626, -2.20432, -2.15168, -2.1037, -1.51857, -1.40428, -1.63237, -1.44465, -1.04447, -1.03202, -0.661557, -0.996753, -1.01575, -0.750279, -0.756642, -0.808118, -0.420015, -0.486076, -0.48454, -0.428253, -0.565202
0.07, 0.0319375, -0.998745, -2.30809, -2.23905, -2.87873, -2.95112, -3.7775, -4.02703, -4.52283, -3.86709, -4.19642, -3.85801, -3.86582, -3.63694, -2.90732, -3.11477, -3.79046, -2.97549, -2.94504, -2.97301, -2.39485, -2.52821, -2.43329, -2.45712, -1.82114, -1.80954, -2.08929, -1.64057, -1.2974, -1.21804, -0.810257, -1.06009, -1.08502, -0.931317, -0.711654, -0.772489, -0.594205, -0.573267, -0.832933, -0.52734, -0.476846
0.08, 0.0319375, -0.558227, -1.19865, -1.87384, -2.7522, -2.99572, -3.82724, -3.22118, -3.97862, -4.3427, -3.7309, -3.68021, -3.3108, -3.37849, -2.84236, -3.50788, -3.09083, -2.9739, -2.65852, -3.01516, -2.86419, -2.23889, -1.93914, -1.13332, -0.820199, -0.485118, -0.54408, -0.0770589, 0.1928, -0.364878, -0.637966, -1.06702, -0.566876, -0.591211, -0.86505, -0.955965, -0.523233, -0.363414, -0.49513, -0.503176, -0.663406
0.09, 0.0319375, -1.19502, -1.97865, -2.83888, -2.37671, -2.91456, -3.5347, -2.67829, -3.1949, -3.68101, -4.18004, -3.58242, -3.71503, -3.31867, -2.52327, -2.79958, -2.60597, -2.82324, -2.26416, -2.67985, -3.007, -2.49696, -1.83073, -1.15537, -0.779952, -0.347359, -0.362143, -0.131659, 0.241819, -0.297739, -0.306502, -0.634369, -0.337626, -0.208439, -0.623005, -0.623939, -0.293215, -0.125885, -0.167021, -0.153159, -0.475149
