# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -0.898806, -2.31823, -2.87616, -1.96787, -2.74028, -3.42737, -2.85362, -4.47115, -3.68902, -3.00625, -3.80154, -3.59059, -4.09233, -5.21855, -4.7402, -4.80836, -4.69605, -4.68094, -5.09356, -5.20696, -4.96938, -5.13391, -5.2991, -5.66293, -5.21611, -5.41517, -5.29094, -5.15089, -4.96398, -5.20286, -5.15657, -5.2058, -5.12579, -5.2927, -5.41541, -5.27537, -5.03485, -4.95441, -4.65333, -4.93706
0.01, 0.0319375, -0.586853, -2.02821, -3.05413, -2.19274, -2.95707, -3.20413, -3.14361, -3.62863, -3.40094, -3.46948, -4.81284, -4.41572, -4.3398, -4.26648, -4.81518, -5.18939, -4.73432, -4.92112, -5.06523, -4.93844, -5.42374, -5.73342, -5.4526, -5.76292, -5.38574, -5.74551, -5.52427, -5.36252, -5.02057, -5.06324, -5.25087, -5.29839, -5.40249, -5.03937, -5.23719, -4.98892, -5.12526, -5.0346, -4.71883, -4.86078
0.02, 0.0319375, -1.03377, -2.16775, -3.29666, -2.85939, -3.80315, -3.7621, -4.33497, -4.39943, -4.04215, -2.93641, -4.35034, -4.46342, -4.7023, -4.2449, -4.85242, -4.59884, -4.41782, -4.91954, -4.95454, -5.38476, -5.1437, -5.42102, -5.33312, -5.80648, -5.397, -5.50046, -5.42291, -5.4626, -5.14884, -5.24208, -5.14556, -5.2642, -5.33971, -4.88035, -5.08686, -5.03563, -5.01983, -5.06636, -4.85248, -5.13761
0.03, 0.0319375, -1.1773, -2.31427, -3.26533, -2.89802, -2.91743, -4.25388, -3.98853, -3.9077, -3.56479, -2.7139, -3.78821, -4.17069, -4.04137, -4.41489, -4.77621, -4.95835, -4.32777, -4.92353, -4.90109, -4.90781, -4.96181, -5.12127, -5.34914, -5.70783, -5.47366, -5.34692, -5.30042, -5.29864, -5.41934, -5.49936, -4.95042, -5.02204, -5.41641, -5.12174, -4.82118, -4.86346, -4.97457, -4.88633, -4.92331, -5.30334
0.04, 0.0319375, -1.09259, -2.40689, -3.22219, -3.15525, -2.81868, -3.53956, -3.68108, -3.59559, -3.01024, -2.67537, -4.47668, -4.45391, -4.08196, -4.04331, -4.60845, -4.72998, -4.80509, -4.77462, -5.01567, -4.70587, -4.90644, -5.03547, -5.32497, -5.85732, -5.60761, -5.60904, -5.8401, -5.32615, -5.51874, -5.55673, -5.21475, -5.42344, -5.42839, -5.06586, -5.07056, -5.17958, -5.07596, -4.91303, -4.8654, -4.98729
0.05, 0.0319375, -1.32479, -2.12743, -3.02629, -3.23886, -3.43695, -3.31645, -4.04772, -4.49339, -3.10504, -2.75468, -4.2716, -4.54417, -4.90818, -4.46093, -4.60826, -4.41237, -4.83452, -5.26654, -4.94258, -4.90922, -5.24806, -5.25808, -5.53507, -5.61324, -5.80202, -6.00403, -6.02533, -5.55557, -5.54888, -5.29165, -5.29206, -5.46097, -5.37924, -5.34863, -5.17396, -5.31284, -5.26298, -5.13256, -4.99556, -5.0163
0.06, 0.0319375, -1.30979, -1.97916, -2.76994, -2.14609, -2.74928, -3.10627, -3.46091, -3.97316, -3.50533, -3.12563, -4.43222, -4.38248, -4.5571, -4.14442, -4.79449, -4.32356, -4.76279, -5.43504, -4.86226, -5.30391, -5.49407, -4.99951, -5.52214, -5.17229, -5.57727, -5.78078, -6.02554, -5.49461, -5.21261, -5.1435, -5.55586, -5.27295, -5.21095, -5.45788, -5.07684, -5.05634, -4.87946, -5.14918, -4.92051, -5.2646
0.07, 0.0319375, -0.835104, -2.05619, -2.80401, -2.01543, -2.62865, -2.92051, -3.65805, -3.49037, -3.60813, -3.7523, -4.36634, -4.79243, -4.78684, -4.6729, -4.79127, -4.89481, -4.65741, -5.23248, -5.21898, -5.21425, -5.29525, -5.1899, -5.32949, -5.10779, -5.64237, -5.60825, -5.76321, -5.49248, -5.5126, -5.32316, -5.37872, -5.05011, -5.29189, -5.20975, -4.99271, -5.06893, -4.93017, -5.24825, -5.16924, -5.31547
0.08, 0.0319375, -0.90685, -2.20244, -2.89127, -2.15565, -2.85611, -2.7596, -3.5528, -3.68439, -3.48332, -3.34601, -4.76264, -4.53182, -4.56268, -5.22353, -4.85606, -4.7613, -4.69591, -4.64165, -4.57655, -5.07574, -5.17604, -5.14519, -5.57771, -5.72996, -6.06725, -5.82195, -5.55769, -5.52699, -5.47812, -5.42049, -5.33314, -4.98172, -4.91551, -5.21776, -4.94877, -5.05647, -4.94707, -5.18701, -5.32344, -5.13485
0.09, 0.0319375, -1.2638, -1.98287, -2.91308, -2.00751, -2.31929, -2.82186, -3.18942, -4.00708, -3.74122, -3.8046, -5.28145, -4.42722, -4.57959, -5.00605, -5.12178, -4.22852, -4.30407, -4.77153, -4.98091, -5.27047, -5.18509, -5.65322, -5.45522, -5.88335, -5.9819, -5.66112, -5.35587, -5.15008, -5.11297, -5.49636, -5.09218, -4.89012, -5.13126, -5.2969, -4.96645, -5.13519, -5.06024, -5.04659, -4.85373, -5.17937
0.1, 0.0319375, -1.41775, -1.94538, -2.53881, -1.78794, -2.89307, -3.28581, -3.05487, -3.39246, -3.49335, -3.71039, -4.58267, -4.39351, -4.70734, -4.85942, -5.03448, -4.54964, -3.99471, -4.67053, -5.54632, -5.21321, -5.26551, -5.42943, -4.86238, -5.39613, -5.67567, -5.43799, -5.47504, -5.07377, -5.2816, -5.40207, -5.37268, -5.33016, -5.47251, -5.16112, -4.92325, -4.86264, -4.74205, -4.7412, -4.85641, -5.2006
0.11, 0.0319375, -1.48097, -1.96661, -2.83635, -2.03688, -3.10689, -3.56685, -3.1908, -4.32309, -3.68326, -3.77914, -4.39768, -4.99853, -4.88804, -4.73068, -5.25212, -4.9814, -4.26513, -4.82042, -4.97885, -5.18612, -4.96569, -5.56716, -5.23388, -5.45513, -5.62858, -5.23021, -5.33407, -5.12699, -5.29948, -5.17476, -5.28572, -5.46499, -5.58531, -5.14601, -5.23445, -5.1265, -4.826, -4.71638, -5.01296, -5.36797
0.12, 0.0319375, -1.60149, -1.80025, -3.24559, -2.29329, -2.73297, -3.56996, -3.51149, -3.96188, -4.08442, -3.78041, -4.21586, -4.91165, -4.70749, -4.48778, -5.0011, -4.57157, -4.35061, -4.81423, -4.84864, -4.85947, -5.06707, -5.26895, -5.41707, -5.30504, -5.37402, -5.40135, -5.29208, -5.24027, -5.05483, -5.21537, -5.14985, -5.13721, -5.24964, -5.18188, -5.477, -4.97551, -4.79396, -4.74197, -4.98921, -5.25511
0.13, 0.0319375, -0.856877, -1.83289, -2.81203, -2.04273, -2.64808, -3.05231, -2.88813, -3.9126, -3.55999, -2.66285, -3.59652, -4.50327, -4.32765, -4.86899, -5.42101, -5.12833, -4.29478, -4.68101, -4.86905, -5.08652, -4.99595, -5.04039, -5.25667, -5.19402, -5.29957, -5.50197, -5.53383, -5.29266, -5.29592, -5.36393, -5.19554, -5.05678, -5.27758, -5.21095, -5.22153, -4.64265, -4.94014, -4.98895, -4.97542, -5.07304
0.14, 0.0319375, -0.793046, -2.22959, -2.83951, -2.5863, -2.98319, -2.82409, -3.1091, -3.83968, -3.35519, -2.8491, -3.8687, -4.3812, -4.45643, -4.46564, -4.72608, -5.26819, -4.26916, -4.55294, -4.73397, -5.57586, -5.03945, -5.0217, -5.43847, -5.40417, -5.58244, -5.51014, -5.51161, -5.64086, -5.27309, -5.44442, -5.39995, -5.47166, -5.26404, -5.02371, -4.91583, -4.90158, -5.13794, -4.89992, -4.98716, -5.03112
0.15, 0.0319375, -1.51108, -2.10869, -2.89918, -2.68811, -3.33468, -3.02789, -3.61264, -4.63773, -3.80082, -3.21335, -4.12094, -4.72416, -4.86767, -4.47579, -4.66507, -5.06978, -4.27886, -4.75274, -4.6395, -4.85029, -5.11449, -5.06684, -5.37401, -5.68032, -5.36247, -5.15259, -5.31895, -5.39025, -5.37583, -5.21503, -5.30235, -5.3763, -5.08377, -5.09539, -4.99783, -4.89057, -5.014, -4.68362, -4.9224, -5.11468
0.16, 0.0319375, -1.96496, -2.24637, -2.66616, -2.02755, -2.7792, -3.22572, -3.52873, -3.67156, -3.90096, -2.78485, -3.64007, -4.58702, -4.82015, -4.20522, -4.49743, -4.639, -4.65474, -5.58622, -5.66357, -4.77438, -5.60429, -5.23191, -5.38556, -5.82613, -5.61436, -5.45643, -5.07968, -5.08931, -5.13221, -5.1683, -4.96704, -5.05746, -5.12763, -5.01828, -5.00744, -4.72376, -4.96101, -4.98451, -4.88408, -5.0701
0.17, 0.0319375, -1.30268, -2.20776, -2.78819, -2.40058, -2.91355, -2.52536, -3.35147, -3.2454, -3.34331, -2.90896, -3.67544, -4.24259, -4.59072, -4.5971, -4.52946, -4.66001, -5.03448, -5.40241, -5.39569, -4.95145, -5.08762, -5.24371, -5.60463, -5.71011, -5.50913, -5.26619, -5.40813, -5.37769, -5.25781, -5.75992, -5.49266, -5.27771, -4.97641, -4.95082, -5.0796, -5.09049, -5.26581, -5.10279, -4.9622, -5.09857
