# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -0.59744, -1.20013, -1.82344, -1.8915, -3.08464, -2.27782, -2.14405, -2.90386, -2.07632, -2.91284, -2.50636, -2.37214, -2.90879, -2.70652, -2.63725, -2.88521, -2.72832, -2.60646, -2.95057, -2.60049, -2.89964, -2.54054, -2.81195, -3.5893, -3.132, -3.4663, -3.50707, -3.35139, -3.43451, -3.5956, -3.34821, -3.24919, -2.64497, -3.28065, -3.36552, -3.43471, -3.36611, -3.31308, -3.28386, -3.72142
0.01, 0.0319375, 0.121832, -0.558701, -0.808297, -1.62223, -2.09345, -1.71361, -1.44027, -2.45931, -2.40888, -2.10215, -2.40856, -2.19165, -2.03298, -2.55461, -2.35281, -2.42532, -2.91824, -2.50974, -2.07213, -2.14593, -2.57383, -1.9088, -2.16044, -3.13096, -2.78213, -3.36855, -3.06692, -2.75515, -2.85522, -3.05084, -2.88048, -2.34722, -2.28788, -3.01828, -2.86833, -2.60106, -2.88911, -2.83551, -3.19744, -3.32698
0.02, 0.0319375, 0.308775, -1.29285, -1.48746, -1.79097, -1.59316, -1.15346, -1.71656, -2.217, -2.26445, -1.9282, -2.70616, -2.44012, -1.96329, -1.90173, -2.028, -1.79428, -2.52188, -2.54591, -2.09218, -1.95897, -2.15365, -1.81408, -2.33071, -3.00687, -2.66677, -2.98012, -3.1021, -2.81056, -2.7183, -2.78577, -2.59183, -2.26238, -2.22761, -2.69621, -2.97089, -2.52645, -2.72196, -2.71035, -2.92829, -3.05191
0.03, 0.0319375, -0.0725667, -1.9434, -1.70627, -2.40392, -1.78442, -1.68572, -1.37656, -1.71335, -1.75441, -2.41137, -2.07552, -1.61247, -2.27185, -2.53487, -2.3206, -2.14951, -2.44164, -2.26132, -1.91376, -1.86713, -2.23404, -2.59258, -2.91643, -2.87877, -2.698, -2.85418, -2.23848, -2.63398, -2.64067, -2.48302, -2.28137, -2.47594, -2.658, -2.84764, -3.01341, -2.53736, -2.82717, -3.15172, -2.89788, -2.93826
0.04, 0.0319375, -0.0822951, -0.7779, -0.956898, -1.90714, -2.44852, -1.557, -1.50252, -2.01167, -2.1064, -2.59493, -1.67369, -1.26387, -1.85454, -2.93204, -2.66957, -2.30401, -1.81906, -1.60532, -2.1471, -2.3085, -2.63614, -2.11608, -2.62973, -2.74053, -2.41276, -2.78947, -2.43499, -2.54234, -2.70194, -2.45527, -2.446, -2.20737, -2.42426, -2.87816, -2.83455, -2.68187, -2.71374, -2.96397, -2.8828, -3.12234
0.05, 0.0319375, 0.565859, -0.0131404, -1.22075, -2.19156, -2.45514, -1.65866, -2.05901, -1.96297, -1.81167, -1.89199, -2.17034, -2.06329, -2.25784, -2.37364, -2.65224, -2.83013, -2.47954, -2.31808, -2.38471, -2.85368, -2.35133, -2.48862, -2.7179, -2.52446, -2.53457, -2.86989, -2.89081, -2.45871, -2.78804, -2.40747, -2.56008, -2.49089, -2.74227, -2.61327, -3.15771, -2.96479, -2.65161, -2.82626, -3.12289, -3.50265
0.06, 0.0319375, -1.51507, 0.0753842, -1.1849, -1.96591, -3.42618, -2.29623, -1.93298, -2.41163, -1.83705, -1.78557, -2.33264, -1.77602, -2.05075, -2.50406, -2.72012, -2.39322, -2.26154, -2.07098, -2.30617, -2.39889, -2.14213, -2.36083, -2.49685, -3.1287, -3.09256, -2.53776, -2.50593, -2.6037, -2.4886, -2.15355, -2.40562, -2.68962, -2.5599, -2.35996, -2.77712, -2.56685, -2.73809, -2.96547, -3.0112, -3.27497
0.07, 0.0319375, 0.171081, 0.256275, -0.568273, -2.39983, -3.00505, -1.82094, -1.37486, -1.78284, -1.84135, -2.02253, -2.30632, -1.67659, -2.15266, -2.06984, -2.04396, -2.16275, -2.45577, -2.27881, -2.02626, -2.36797, -2.3854, -2.18863, -2.71194, -2.78842, -3.04436, -2.73158, -2.51414, -2.5018, -2.6337, -2.52374, -2.85762, -2.64663, -2.54442, -2.86351, -2.61825, -2.51099, -2.92851, -2.82558, -3.31828, -3.5516
0.08, 0.0319375, 0.086091, -0.12902, -0.391426, -2.05083, -2.42388, -2.10974, -1.91269, -2.12682, -2.24638, -2.888, -2.27748, -1.71896, -1.90201, -1.60594, -1.54554, -1.65548, -2.18761, -2.15779, -1.66901, -2.3522, -2.48815, -2.44371, -2.52489, -2.91563, -3.11255, -2.80447, -2.54806, -2.38384, -2.89413, -2.7726, -2.8537, -2.7001, -2.58779, -2.74428, -2.65902, -2.866, -2.95413, -2.89227, -3.11997, -3.34274
0.09, 0.0319375, -0.292261, -0.446374, -1.48894, -2.51887, -2.6729, -1.78149, -1.52422, -1.68431, -2.09272, -2.0331, -2.04198, -1.59201, -1.64675, -1.65845, -2.15811, -2.16051, -2.12986, -1.94513, -1.47841, -2.83732, -2.61136, -2.05983, -2.41551, -2.34078, -2.53513, -2.84742, -2.48566, -2.44581, -2.98291, -2.65394, -2.73591, -2.67307, -2.38762, -2.61508, -2.65004, -2.67263, -2.76355, -3.09791, -3.02332, -3.32775
0.1, 0.0319375, -0.62025, -1.3333, -1.50515, -2.33372, -2.48315, -2.41748, -1.4593, -1.58335, -1.54781, -1.68429, -1.8175, -1.56996, -1.74548, -1.7334, -2.05247, -2.86497, -2.11703, -1.96247, -1.96375, -2.54541, -2.73324, -2.60456, -2.50403, -2.44823, -2.51004, -2.86218, -2.96256, -2.72843, -2.3336, -2.51694, -2.4884, -2.45274, -2.0225, -2.29452, -2.53161, -2.58564, -2.78726, -2.76707, -2.72098, -3.13754
0.11, 0.0319375, -0.233443, -0.864404, -1.27725, -2.12936, -2.51296, -3.01429, -1.46497, -1.12135, -1.28934, -1.71165, -1.74296, -2.1818, -2.27862, -2.25089, -2.34688, -2.42966, -2.94111, -2.13684, -1.91912, -2.2134, -2.20188, -2.1476, -2.27587, -2.38057, -2.7339, -2.76858, -2.71886, -2.77451, -2.55366, -2.80762, -2.34153, -2.18632, -2.5541, -2.41352, -2.65219, -2.69521, -2.61853, -2.66199, -2.635, -3.09315
0.12, 0.0319375, 0.440691, -0.0327113, -1.28287, -1.78408, -2.28637, -2.50622, -1.70203, -1.33432, -2.07147, -1.94543, -2.38311, -1.97427, -2.73134, -2.75665, -2.55333, -2.56703, -2.82481, -1.97752, -1.40072, -2.18162, -2.34948, -1.88889, -1.66951, -2.43571, -2.88364, -2.85577, -2.80818, -2.39245, -2.57527, -2.69709, -2.42743, -2.42388, -2.69468, -3.00644, -2.81465, -2.9626, -2.63176, -2.37392, -2.54589, -2.85844
0.13, 0.0319375, -0.343453, -0.277745, -1.4893, -2.20178, -2.33417, -2.37252, -2.02112, -1.78508, -3.01423, -4.11116, -2.21734, -1.93413, -2.7839, -2.45493, -2.74935, -2.60113, -2.40799, -2.27418, -2.04558, -2.26328, -2.39037, -2.42743, -2.17637, -2.547, -2.69371, -2.93804, -2.52448, -2.43738, -2.45159, -2.36922, -2.30587, -2.22946, -2.49835, -2.98052, -2.92831, -2.59227, -2.64124, -2.63826, -2.80822, -3.02707
0.14, 0.0319375, -0.0400816, 0.00836713, -0.823275, -2.09442, -1.4784, -1.86931, -1.7458, -1.52596, -2.78923, -2.36854, -1.83549, -2.06953, -2.15269, -1.84649, -1.8695, -2.12169, -1.7562, -2.25133, -2.88316, -2.20016, -2.04864, -2.54397, -2.1698, -2.1247, -2.74036, -3.01359, -2.66468, -2.50638, -2.40882, -2.26432, -2.39394, -2.3255, -2.66343, -2.50889, -2.51286, -2.22747, -2.3707, -2.33952, -2.69649, -3.06514
0.15, 0.0319375, 0.1339, -0.302317, -1.15656, -1.96774, -1.21154, -1.96213, -2.13825, -2.02106, -2.21483, -1.67127, -1.64311, -1.6903, -2.17291, -2.2119, -2.42195, -2.78335, -2.04753, -2.16962, -3.09335, -2.43449, -2.06523, -2.26914, -2.50781, -2.46716, -2.83, -2.93118, -2.35974, -2.47711, -1.98027, -1.63825, -1.93045, -1.85523, -2.02725, -2.21323, -2.09283, -2.21285, -2.16682, -2.12515, -2.39623, -2.84547
