# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 1.54724, 0.72867, 0.864148, 0.576085, -0.450604, 1.20988, 1.0211, 1.44784, 1.70161, 1.77339, 1.14638, 1.46896, 1.75038, 1.48408, 1.22603, 1.09181, 1.75814, 1.66865, 1.85044, 1.7499, 1.69176, 1.58052, 1.79084, 1.79161, 2.0063, 1.69827, 2.01824, 1.82179, 1.24425, 1.48652, 1.51667, 1.3532, 1.18676, 0.91057, 1.35504, 1.06066, 0.996681, 0.963266, 0.529529, -0.130917
0.01, 0.0319375, 1.06399, 0.00666301, 1.285, 1.62425, 0.596699, 0.682398, 0.416253, 1.57049, 2.06042, 1.82953, 1.29562, 1.42194, 1.92888, 1.93045, 1.51266, 1.12615, 1.73243, 1.47383, 1.46709, 1.65428, 1.56761, 1.34393, 1.98727, 1.80519, 2.08947, 2.06609, 2.07115, 1.37738, 1.12596, 1.54132, 1.47781, 1.50857, 1.70499, 1.61335, 1.33722, 1.14597, 1.12901, 0.663333, 0.356823, -0.452187
0.02, 0.0319375, 0.671926, 0.00708875, 1.19741, 1.65722, 1.61085, 1.33456, 1.11095, 0.85739, 1.5012, 1.60038, 0.914645, 1.11865, 1.63101, 1.97679, 1.35984, 1.49892, 1.68523, 1.27605, 1.52001, 1.64233, 1.37476, 1.70245, 2.03483, 1.76139, 2.15504, 2.09272, 1.59439, 1.66252, 1.43208, 1.57981, 1.55309, 1.69374, 1.63163, 1.77601, 1.29036, 1.1211, 0.772074, 0.73408, 0.416186, -0.0672814
0.03, 0.0319375, 0.767884, 0.356689, 1.62288, 1.66596, 1.793, 2.1106, 1.99038, 1.75016, 1.92483, 1.29938, 1.40976, 1.38742, 1.24005, 1.58799, 1.50219, 1.64546, 1.77754, 1.20103, 1.68745, 1.42383, 1.53728, 1.59654, 1.43334, 1.80346, 2.04477, 1.92849, 1.66616, 1.59067, 1.58301, 1.56405, 1.59058, 1.65431, 1.44917, 1.40502, 1.37406, 1.08736, 0.690976, 0.672228, 0.669619, 0.080121
0.04, 0.0319375, 1.01684, 0.563624, 0.949329, 1.19798, 1.24648, 2.31648, 2.23638, 1.29221, 1.56454, 1.77149, 1.4202, 1.79066, 1.58298, 1.69296, 1.65542, 1.46619, 1.76576, 1.29709, 1.59713, 0.875484, 1.68527, 1.76948, 1.6968, 1.74427, 2.16882, 2.14584, 2.16122, 1.67003, 1.4141, 1.65167, 1.46185, 1.7307, 1.50406, 1.38225, 1.37044, 1.12412, 0.635442, 0.588143, 0.653117, 0.0238841
0.05, 0.0319375, 0.898651, 0.512154, 0.865862, 0.805134, 0.879982, 1.19353, 2.05657, 1.67732, 1.42222, 1.21628, 1.19705, 1.35935, 1.66558, 1.36811, 1.51106, 0.980991, 1.79414, 1.65183, 1.5349, 1.31805, 1.26516, 1.87971, 2.0557, 1.66902, 1.97034, 1.77469, 2.15692, 2.01622, 1.6822, 1.44483, 1.60872, 1.68766, 1.66417, 1.62544, 1.15368, 0.985332, 0.916294, 0.77909, 0.494977, -0.103707
0.06, 0.0319375, 0.821586, 0.204784, 1.43063, 1.24805, 0.0317126, 1.24238, 1.73315, 1.5323, 1.74194, 1.58483, 1.3576, 1.78253, 1.18145, 1.73495, 1.58539, 1.24152, 1.50881, 1.31894, 1.31863, 1.7569, 1.52778, 2.03654, 2.09217, 1.77855, 2.00459, 1.87953, 1.6176, 1.55155, 1.68713, 1.67731, 1.65609, 1.5481, 1.48254, 1.43422, 1.21842, 1.26198, 1.29941, 1.17588, 0.748069, 0.0285761
0.07, 0.0319375, 1.22845, 0.992593, 1.63575, 0.866127, 0.154798, 1.57951, 2.14683, 1.8091, 1.65011, 2.10832, 1.65281, 1.23317, 1.5269, 2.20066, 1.8353, 1.71431, 1.40912, 1.60227, 1.5711, 1.46269, 1.65982, 1.88476, 1.94813, 2.00493, 1.6145, 1.66575, 1.65024, 1.54562, 1.58331, 1.96671, 1.51042, 1.43229, 1.67318, 1.50436, 1.43389, 1.36603, 0.937165, 1.0089, 0.541608, -0.145922
0.08, 0.0319375, 1.62704, 1.00655, 1.63339, 1.38541, 1.02016, 1.20601, 1.17045, 1.99471, 2.11419, 1.31295, 0.887927, 1.18019, 1.71906, 1.75504, 1.63651, 1.49582, 1.15781, 1.66374, 1.43299, 1.48784, 1.69221, 1.88849, 1.60468, 1.69837, 1.45712, 1.62785, 1.87692, 1.51054, 1.2362, 1.75148, 1.50146, 1.40744, 1.77902, 1.63532, 1.4234, 1.36031, 1.06187, 0.904319, 0.425191, 0.0423105
0.09, 0.0319375, 1.28802, 1.19014, 1.21352, 1.67729, 1.42121, 2.18931, 1.88953, 1.49576, 1.28518, 1.43873, 0.916739, 1.36957, 1.18994, 1.64005, 1.2907, 1.7372, 2.02282, 2.00361, 1.26159, 1.62333, 1.64208, 1.98068, 1.84777, 1.93074, 1.69615, 1.76448, 2.02519, 1.62391, 1.62777, 1.74546, 1.63355, 1.90455, 1.67308, 1.39555, 1.37194, 1.53138, 1.15182, 0.47794, 0.581601, -0.0226648
