# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -4.95141, -3.81076, -3.51863, -3.24422, -5.01321, -4.16105, -1.7105, -2.88397, -4.57331, -2.70413, -4.36705, -4.8271, -5.2339, -4.17911, -4.06073, -3.80023, -3.9932, -4.34343, -4.6691, -4.81812, -4.86199, -4.40831, -3.57442, -3.27427, -3.4359, -3.96527, -4.68401, -4.95439, -5.02111, -4.82004, -4.50822, -4.42068, -3.26699, -1.73729, -2.09437, -4.23241, -3.91489, -3.52485, -3.9848, -4.73124
0.01, 0.0319375, -5.31591, -4.56166, -3.59603, -2.82132, -5.1514, -3.60205, -1.33361, -2.88928, -3.86715, -2.17825, -4.35607, -4.3454, -4.85811, -3.56999, -3.77085, -3.3207, -3.83302, -4.02743, -3.86208, -4.34038, -4.64215, -4.44249, -2.98019, -2.43599, -2.72282, -3.35679, -3.95237, -4.67107, -4.62209, -4.12885, -3.88407, -3.4442, -2.44804, -1.1931, -1.47469, -3.23207, -3.19136, -2.66513, -3.32624, -4.11562
0.02, 0.0319375, -7.14694, -5.5677, -3.37956, -2.5081, -5.27816, -3.38206, -1.06216, -2.75373, -3.42907, -1.86481, -4.2887, -3.9867, -4.56185, -3.13278, -3.38375, -2.96416, -3.5304, -3.77075, -3.35172, -3.90912, -4.59495, -4.5285, -2.49746, -1.93624, -2.31859, -2.99913, -3.68302, -4.08543, -3.92859, -3.79605, -3.67026, -3.08351, -2.03717, -0.848561, -1.13151, -2.86161, -3.02495, -2.23704, -2.87428, -3.90525
0.03, 0.0319375, -6.05986, -5.77079, -3.18255, -2.18367, -4.79068, -3.181, -0.797731, -2.336, -3.3391, -1.74557, -4.10242, -3.80481, -4.15372, -2.8386, -2.92643, -2.85808, -3.34208, -3.57616, -3.21937, -3.63168, -4.05108, -4.30717, -2.32, -1.82501, -2.19153, -2.9653, -3.61617, -3.53167, -3.70263, -3.54982, -3.70248, -3.0068, -1.84777, -0.51546, -0.85315, -2.21969, -2.93611, -2.03872, -2.50776, -3.50799
0.04, 0.0319375, -5.83446, -5.57266, -2.96661, -1.88784, -4.35265, -2.99706, -0.595496, -2.11729, -3.3902, -1.63054, -3.84441, -3.83531, -3.953, -2.606, -2.57227, -2.85271, -3.1975, -3.32376, -3.1407, -3.45349, -3.68971, -3.69566, -2.09367, -1.76032, -2.0702, -2.65519, -3.48237, -3.10478, -3.68983, -3.43567, -3.47634, -2.76144, -1.68624, -0.299892, -0.779429, -1.94721, -2.43598, -1.94611, -2.01291, -3.44784
0.05, 0.0319375, -5.03916, -5.12498, -2.77055, -1.72779, -4.04446, -2.98403, -0.481564, -1.77076, -3.04916, -1.47553, -3.52514, -4.07827, -3.74971, -2.52955, -2.43256, -2.66944, -2.94083, -3.07751, -2.76836, -3.09728, -3.64042, -3.03834, -1.90835, -1.78504, -2.02142, -2.31204, -3.22724, -3.17592, -3.27199, -3.51162, -3.25493, -2.2803, -1.35048, 0.183107, -0.653188, -1.88338, -2.26515, -1.75441, -1.62533, -3.11852
0.06, 0.0319375, -5.90576, -5.33938, -2.80643, -1.71879, -4.03744, -2.93291, -0.477373, -1.75832, -3.09524, -1.46628, -3.48556, -3.09576, -3.62538, -2.67655, -2.61007, -2.62229, -2.92815, -3.10527, -2.7586, -3.11722, -3.79566, -2.76283, -1.89752, -1.43405, -1.85606, -2.25034, -3.04506, -3.32005, -3.45617, -3.21911, -3.02077, -2.21239, -1.26581, 0.0564303, -0.609135, -1.47874, -2.11538, -1.5888, -1.6015, -3.31956
0.07, 0.0319375, -5.60862, -4.90012, -2.80449, -1.90807, -4.23847, -2.50014, -0.562383, -2.33482, -2.57851, -1.56627, -3.94611, -2.33375, -3.56674, -2.61811, -3.013, -2.39235, -3.09089, -2.80658, -2.62886, -3.25069, -3.32764, -2.50763, -1.73668, -1.05058, -1.68925, -2.14725, -2.6378, -3.54324, -3.54082, -2.82505, -2.80136, -1.75017, -1.00847, 0.00756944, -0.647049, -1.29939, -1.9924, -1.11666, -1.04013, -3.07868
0.08, 0.0319375, -4.62146, -4.48646, -2.95701, -2.2262, -5.52595, -2.50609, -0.726064, -3.14715, -2.39957, -1.77594, -4.08533, -2.09093, -3.17461, -2.83977, -3.45833, -2.77487, -3.48861, -3.04642, -2.21964, -3.07193, -2.8298, -2.54114, -1.72643, -1.18745, -1.72218, -1.97517, -2.43858, -3.22994, -2.98931, -2.64616, -2.38916, -1.52861, -1.05857, -0.180141, -0.488216, -1.26162, -1.92248, -0.777518, -0.940888, -3.04582
0.09, 0.0319375, -4.67029, -3.97438, -2.85291, -2.42701, -4.22804, -2.32977, -0.623731, -2.91503, -2.35828, -1.8235, -3.71352, -2.0888, -3.31426, -2.85974, -3.61382, -3.23677, -3.28125, -2.9601, -2.12837, -3.32405, -2.9054, -2.33683, -1.58982, -1.23042, -1.73499, -1.90131, -2.37164, -2.70204, -2.50387, -2.27432, -2.23225, -1.50466, -1.39696, -0.236924, -0.375674, -1.4207, -1.91233, -0.943284, -1.24501, -3.34534
