# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -3.55821, -2.3898, -1.46256, -0.467815, -0.581963, 0.0512156, 0.881111, 1.43867, 1.98652, 1.8885, 1.69052, 1.91896, 1.87116, 1.53626, 1.49397, 1.53281, 1.33796, 1.64351, 1.23075, 0.486336, 1.48129, 1.54339, 1.07237, 0.688427, 1.14324, 0.953709, 1.57676, 1.70463, 1.57262, 2.03626, 1.97465, 1.94024, 2.01134, 2.13983, 2.77232, 2.19699, 2.24094, 2.55755, 2.50115, 1.95578
0.01, 0.0319375, -3.01845, -3.31158, -2.98758, -1.74378, -2.19749, -2.47653, -0.900393, -0.0309696, 0.348017, -0.0742312, 0.0288581, 0.385609, 0.411953, -0.161042, 0.0973735, 0.202329, 0.127872, 0.436444, 0.291726, -0.132512, 0.267479, 0.00191684, 0.329188, 0.266878, 0.503655, 0.540813, 0.99164, 1.16439, 1.01455, 1.12585, 1.30159, 1.22089, 1.23505, 1.42533, 2.51127, 1.40983, 2.19048, 1.95018, 1.39805, 1.20161
0.02, 0.0319375, -4.10209, -4.08987, -4.06553, -2.26738, -2.08347, -2.3963, -1.64266, -0.832744, -0.531793, -0.619459, -0.647137, -0.842457, -1.24547, -1.15085, -1.82842, -0.686788, -0.919873, -1.0495, -0.953001, -0.440344, -0.810421, -0.630586, -0.0558416, -0.098943, 0.0691469, -0.0780036, 0.138164, 0.185954, 0.0344821, 0.396217, 1.13307, 0.958941, 0.613278, 0.723245, 1.50738, 0.472836, 1.57101, 0.984819, 0.31385, 0.291703
0.03, 0.0319375, -4.14685, -4.62465, -3.96868, -3.75398, -2.64004, -2.41948, -2.59688, -2.09045, -1.30078, -1.66571, -1.9361, -1.38504, -1.21901, -1.26818, -1.38265, -1.30064, -1.39057, -1.37629, -1.88413, -1.78477, -1.06082, -1.14767, -0.977014, -0.940071, -0.702196, -1.28288, -1.02713, -0.787424, -0.735617, -0.530718, 0.768788, 0.351481, -0.266162, -0.0598038, 0.699818, -0.0869956, 0.821514, 0.428939, -0.168836, -0.279839
0.04, 0.0319375, -4.82133, -4.5903, -3.98919, -3.64851, -3.62721, -2.77882, -2.57036, -2.76202, -1.64688, -2.06109, -1.94611, -1.56449, -2.16712, -2.13597, -1.7615, -1.94454, -1.82328, -1.60803, -2.27336, -2.52913, -1.49901, -2.1077, -1.85986, -1.89569, -1.76356, -1.47616, -1.39562, -1.45629, -1.69691, -1.22455, -0.0787592, -0.333084, -1.04809, -0.396234, 1.35271, -0.505406, 0.412686, 0.0965036, -1.00456, -0.786387
0.05, 0.0319375, -3.50928, -2.46456, -2.16066, -2.42509, -2.80668, -2.04086, -2.36522, -2.18981, -1.54884, -2.4251, -1.98335, -1.72128, -2.68731, -2.95466, -2.52673, -1.96751, -2.1776, -1.94688, -2.40329, -3.27416, -2.40081, -2.58733, -2.54556, -2.84705, -2.17148, -1.72754, -1.84424, -1.67629, -1.477, -1.53866, -0.59157, -0.971678, -1.53592, -0.850092, 1.37406, -1.0019, 0.280875, -0.0651726, -1.5043, -1.06389
0.06, 0.0319375, -2.85488, -2.04431, -2.34241, -3.13238, -3.13542, -2.46084, -3.08592, -2.49339, -1.63487, -2.78888, -2.58856, -2.48156, -2.44833, -3.62317, -3.01271, -2.7643, -2.77541, -2.78683, -2.47975, -2.48173, -2.15099, -2.5868, -2.88029, -2.66375, -2.35359, -2.3403, -2.40031, -1.21232, -1.22713, -1.93267, -0.481769, -0.730585, -1.68569, -1.12, 0.684018, -1.51399, 0.0708412, -0.396894, -1.80743, -1.82192
0.07, 0.0319375, -3.30584, -2.90342, -3.40194, -3.19461, -4.41146, -2.9933, -2.87799, -3.27128, -2.24886, -2.73828, -2.70258, -2.80967, -3.21453, -2.75877, -2.67226, -3.52809, -3.25165, -2.57014, -2.48551, -2.727, -2.59514, -2.45613, -2.69803, -2.22214, -2.59318, -2.61275, -1.88543, -1.31869, -1.52356, -1.62255, -0.322659, -0.871841, -1.77149, -1.3699, 0.0751261, -1.86068, -0.195725, -0.555943, -1.82655, -2.17612
0.08, 0.0319375, -3.00606, -2.66008, -3.41694, -3.80698, -3.78691, -2.91821, -2.97941, -3.11575, -2.6136, -3.58992, -2.77767, -2.9472, -3.5451, -2.89481, -3.24219, -3.41387, -3.28256, -2.77956, -2.94515, -3.05096, -3.0317, -2.77526, -2.88055, -2.65325, -2.4597, -2.24852, -1.32683, -0.92187, -1.15483, -0.876766, 0.0487722, -1.00827, -1.30805, -1.27435, -0.0111109, -1.86462, 0.170288, 0.478879, -0.364349, -1.04357
0.09, 0.0319375, -3.4964, -2.42114, -2.88606, -4.00062, -3.4997, -3.66632, -2.99415, -3.90948, -3.23221, -3.14513, -3.66576, -3.32872, -3.1785, -3.2305, -3.58872, -3.65571, -3.01399, -3.02036, -3.29152, -3.04727, -2.65347, -2.66067, -2.5658, -2.55101, -2.26222, -1.66904, -1.24095, -0.998686, -1.22898, -0.417766, 0.448763, -1.00307, -0.965109, -0.465849, 0.0821913, -1.1767, 0.475917, 0.625348, -0.433491, -0.993427
0.1, 0.0319375, -3.46185, -2.95706, -2.55226, -2.57134, -3.20213, -2.81519, -2.33464, -2.79737, -3.03042, -3.80181, -3.58779, -3.30341, -3.03496, -2.74255, -2.90184, -3.36823, -3.20192, -2.55825, -2.73265, -2.17955, -2.02017, -1.85018, -2.07122, -1.83646, -1.91903, -1.31171, -0.640138, -0.532767, -0.873716, -0.572602, -0.16971, -1.01505, -0.283057, 0.311931, -0.310829, -0.522508, 0.490419, 0.137645, -1.06686, -1.52008
0.11, 0.0319375, -3.47452, -4.03044, -3.5247, -2.43314, -3.2887, -3.54593, -2.98475, -2.83334, -3.0565, -3.47512, -3.38264, -3.39177, -3.84555, -3.19538, -3.53079, -4.26034, -3.8239, -3.09154, -3.25956, -2.80155, -2.55566, -2.66338, -2.82686, -2.45063, -2.63107, -2.16105, -1.13229, -0.940855, -1.46129, -1.26818, -0.821437, -1.66142, -0.904, -0.175088, -0.635075, -1.10493, 0.0200051, -0.320443, -1.4638, -1.49209
0.12, 0.0319375, -4.36094, -4.94694, -3.44487, -3.41379, -4.17219, -4.3268, -4.69319, -4.70347, -4.04264, -4.67703, -4.30439, -4.31901, -4.99854, -4.66275, -4.36415, -4.64039, -4.6378, -4.04241, -4.38969, -4.63333, -4.37247, -4.36289, -4.11976, -3.90801, -3.72404, -3.37699, -3.15354, -3.07787, -3.26048, -2.11702, -1.09729, -2.61558, -2.68262, -1.97048, -0.992008, -2.48425, -0.574194, -0.689054, -1.91941, -1.33149
0.13, 0.0319375, -5.15854, -4.39647, -3.43831, -3.9538, -4.77669, -4.64595, -4.333, -4.71375, -4.49933, -4.99227, -4.26785, -4.37335, -4.4636, -4.24647, -4.24672, -4.45484, -4.58203, -4.2767, -4.71891, -4.48197, -4.54504, -4.04771, -3.60459, -3.78104, -3.14888, -2.36241, -1.90667, -2.14439, -2.47098, -2.31661, -1.6338, -2.93205, -2.99718, -2.23615, -0.908867, -1.88868, -0.547912, -0.685264, -1.44335, -1.5561
0.14, 0.0319375, -4.67099, -5.08917, -3.95133, -3.71612, -4.34728, -3.92906, -3.24997, -3.37306, -3.7324, -3.71787, -3.58042, -3.69174, -3.55753, -3.59744, -3.86472, -4.31768, -4.40705, -3.88694, -4.18802, -3.77007, -4.05853, -3.54351, -3.00929, -3.54076, -2.71854, -1.79221, -1.37165, -1.61306, -1.96735, -1.98287, -1.71219, -2.94175, -2.67887, -1.9871, -1.08812, -1.66163, -1.02089, -1.06034, -1.09344, -1.28627
0.15, 0.0319375, -4.79959, -5.69187, -3.89228, -3.56858, -4.24666, -3.94996, -3.64736, -3.8082, -4.06039, -3.97608, -4.03737, -3.64504, -3.8177, -3.48222, -3.37777, -4.3669, -3.72683, -3.33602, -3.48384, -3.57213, -4.01737, -3.53548, -3.65242, -4.04547, -3.82384, -2.81548, -2.44951, -2.42296, -2.8217, -2.25642, -1.7407, -2.98087, -3.06679, -2.41048, -1.77594, -2.62004, -1.32475, -1.38847, -2.16039, -2.29323
0.16, 0.0319375, -5.07884, -3.45995, -2.57749, -2.61149, -2.91471, -3.56741, -4.00647, -4.02291, -3.90765, -4.41954, -3.90167, -3.67581, -3.97664, -4.02165, -3.73756, -3.82416, -3.66693, -3.66643, -3.87854, -4.09872, -4.10813, -3.59082, -3.86053, -3.9639, -3.81662, -3.13833, -2.70555, -3.13101, -3.16748, -2.67335, -2.05744, -2.98657, -2.81487, -2.311, -1.79718, -2.6951, -1.38164, -1.45301, -2.33457, -2.71509
0.17, 0.0319375, -5.36879, -3.16789, -2.34051, -2.96706, -3.55951, -3.22506, -3.48952, -3.10812, -3.42973, -3.91342, -3.66178, -3.57776, -3.60777, -3.88035, -4.24941, -3.8035, -3.39213, -3.59797, -3.8377, -3.6869, -3.69575, -3.24521, -3.61777, -3.6699, -3.44831, -3.14131, -3.18966, -2.78486, -2.87839, -2.92392, -2.3278, -2.99563, -2.64764, -2.11449, -1.65295, -2.38472, -1.64407, -1.38336, -2.12977, -2.80212
0.18, 0.0319375, -5.07703, -3.6474, -2.87239, -3.23912, -4.77092, -3.56171, -3.62148, -3.72879, -4.09614, -4.51374, -4.54669, -3.97724, -4.16658, -4.33198, -4.1053, -3.63522, -3.09559, -3.33371, -3.6482, -3.52949, -3.4392, -3.31519, -3.61583, -3.97053, -3.71955, -3.27136, -3.03504, -3.04467, -3.18969, -2.96194, -2.50009, -2.82363, -2.92101, -2.57818, -1.97661, -2.48498, -2.29972, -2.01596, -2.06298, -2.16063
0.19, 0.0319375, -5.25153, -5.23389, -4.72898, -4.193, -4.58698, -4.96393, -4.68953, -4.76412, -4.67144, -5.64497, -5.31393, -4.93583, -4.68643, -4.59171, -4.6521, -4.49594, -3.98336, -3.73854, -4.22222, -3.969, -3.67943, -3.52375, -3.73395, -3.19189, -3.34116, -2.7861, -2.47035, -2.53257, -2.53014, -2.28006, -2.2091, -2.90806, -2.7832, -2.02116, -1.42592, -1.49318, -1.89493, -1.47829, -0.618053, -0.618351
0.2, 0.0319375, -5.31892, -4.50158, -3.95312, -3.55435, -4.44061, -4.65257, -4.44207, -5.01172, -4.49924, -5.28589, -4.84618, -4.6739, -4.5436, -4.50693, -4.31713, -4.00319, -3.56126, -3.54625, -3.72636, -3.76323, -3.58632, -3.1088, -3.05428, -2.79629, -2.62941, -2.61467, -2.23565, -2.56551, -2.77012, -2.42963, -2.22464, -2.87128, -2.66313, -2.10227, -1.41827, -1.75591, -1.90662, -1.68563, -1.08947, -1.07915
0.21, 0.0319375, -3.74496, -2.82173, -2.58564, -2.70395, -3.40096, -3.91997, -4.0479, -4.43972, -4.31964, -4.93213, -4.97497, -4.00956, -4.15373, -4.25767, -4.08928, -3.5063, -3.00909, -3.38409, -2.96968, -3.3641, -3.46615, -2.57615, -2.5152, -2.5443, -2.65383, -2.7018, -2.32645, -1.93551, -2.39003, -2.32647, -1.87097, -2.06033, -1.95129, -1.87928, -1.62236, -2.04006, -1.41136, -1.60235, -1.75803, -1.90903
0.22, 0.0319375, -3.54411, -2.64956, -3.26072, -3.6337, -4.04396, -4.28156, -4.87555, -5.59387, -5.20648, -4.49242, -5.02915, -4.86041, -4.79794, -5.0999, -5.26063, -4.70919, -4.08271, -4.3353, -3.97726, -4.21291, -3.81798, -3.58615, -3.27158, -3.11868, -2.88402, -3.29351, -2.7564, -2.80405, -3.12563, -2.49139, -1.59037, -2.34446, -2.22226, -2.5478, -1.70558, -2.36634, -1.77941, -1.85646, -2.40759, -2.57623
0.23, 0.0319375, -4.15453, -3.69226, -3.82203, -3.90579, -5.09518, -4.73713, -4.43696, -4.97353, -5.28522, -4.94239, -5.32319, -5.3352, -5.40085, -5.37455, -5.32634, -5.496, -5.30484, -4.9431, -4.93706, -4.8284, -4.38764, -4.21617, -3.57214, -3.73755, -3.38587, -3.99948, -3.43322, -3.09477, -3.56739, -2.721, -1.6639, -2.88132, -2.68418, -2.88757, -1.97948, -2.70951, -1.61976, -1.71782, -2.63329, -2.83401
0.24, 0.0319375, -4.36355, -4.36189, -4.54546, -4.29331, -5.17321, -5.7072, -5.1803, -5.11815, -5.32684, -5.49343, -5.76603, -5.94277, -5.39655, -5.40343, -5.46074, -5.51252, -5.72941, -5.09305, -4.93472, -4.64994, -4.09727, -3.70145, -3.24785, -3.03631, -3.00135, -2.57348, -2.73716, -3.65209, -3.68399, -2.69989, -1.67916, -3.14255, -3.36228, -2.88024, -1.90765, -2.58487, -1.53532, -1.56083, -2.52944, -2.89159
0.25, 0.0319375, -4.20777, -4.34898, -5.46257, -5.30056, -6.01341, -6.01601, -5.56313, -5.62793, -5.93594, -6.06661, -5.66128, -5.10547, -5.23853, -5.41746, -5.13566, -5.41683, -5.45933, -5.27191, -5.32348, -4.69899, -4.2592, -3.85151, -3.45622, -3.24225, -3.09606, -2.70591, -2.8273, -3.34641, -3.71983, -2.60788, -1.62817, -3.21603, -3.27301, -2.9361, -1.49706, -2.5207, -1.54516, -1.43443, -2.27584, -2.65609
0.26, 0.0319375, -4.70058, -5.32475, -5.23699, -5.61959, -6.23182, -6.54619, -5.41214, -6.39945, -6.51019, -5.96037, -5.3912, -5.21267, -5.78131, -5.72955, -5.29839, -5.51939, -5.72773, -5.48093, -4.8672, -4.57317, -4.65737, -4.25789, -3.81506, -3.88582, -3.43795, -3.4909, -3.50817, -3.54305, -3.91274, -3.08179, -2.0637, -3.48449, -3.49851, -3.13265, -1.7177, -2.42573, -1.83271, -1.59494, -2.13753, -2.77461
