# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -3.95734, -2.99395, -2.22378, -3.31676, -3.57713, -2.61436, -2.91504, -3.24334, -2.74613, -2.90697, -3.93475, -3.74343, -3.41014, -3.74778, -4.34187, -4.15887, -3.41787, -3.69852, -3.85089, -3.97669, -3.88445, -3.76541, -4.07241, -3.66102, -3.83345, -4.29841, -4.08231, -3.76191, -4.14139, -4.21651, -4.15895, -4.09322, -4.13637, -4.47793, -5.07348, -5.09752, -5.298, -5.08032, -5.19058, -5.17548
0.01, 0.0319375, -3.82764, -3.37407, -2.17811, -2.79994, -3.63116, -3.00008, -2.52066, -2.7451, -2.95678, -3.53277, -3.82462, -4.14528, -3.65744, -3.56879, -4.08892, -4.53469, -3.1696, -3.80608, -3.26706, -3.59455, -3.80422, -3.68827, -3.98848, -3.86768, -4.11133, -4.59682, -4.20421, -4.02126, -4.3699, -4.32318, -4.4438, -4.20584, -4.43216, -4.80052, -5.13432, -5.03605, -5.39128, -4.94788, -5.20412, -5.08448
0.02, 0.0319375, -4.35009, -3.24408, -2.08247, -2.65042, -2.95311, -2.74451, -2.07153, -2.64719, -3.90039, -4.26658, -3.81608, -4.03727, -4.16045, -3.44655, -4.08799, -4.46936, -3.91917, -3.84193, -3.63908, -3.25267, -3.82635, -4.17917, -3.83523, -3.9812, -4.49726, -4.14775, -4.55208, -4.39561, -4.61192, -4.38134, -4.27953, -4.09188, -4.20947, -4.85883, -5.13531, -5.13913, -5.46825, -5.11062, -4.99209, -5.24344
0.03, 0.0319375, -4.59043, -3.13262, -2.83922, -3.19172, -2.88795, -2.90798, -2.32841, -3.07718, -3.75311, -3.93167, -4.25883, -4.71052, -3.80631, -3.91619, -4.68644, -4.86136, -4.23565, -3.84627, -4.20402, -3.89841, -3.8488, -4.5356, -4.14395, -3.91658, -4.55957, -4.53589, -4.75386, -4.48447, -4.41133, -4.07813, -4.51361, -4.38639, -4.53763, -5.00242, -5.19692, -5.51192, -5.19523, -5.14571, -5.15753, -5.45711
0.04, 0.0319375, -3.55623, -2.55824, -2.70706, -4.86355, -3.17242, -3.0851, -2.88112, -3.1963, -3.65894, -3.4736, -5.45344, -4.74076, -3.997, -4.11964, -4.09624, -4.88523, -4.10504, -3.88512, -4.56106, -4.36641, -3.83826, -4.47987, -4.19835, -4.01785, -4.49448, -4.43116, -4.48955, -4.61754, -4.47646, -4.66904, -4.04429, -4.18581, -4.78481, -5.21262, -5.4217, -5.60017, -5.20706, -5.44626, -5.29338, -5.27005
0.05, 0.0319375, -3.96565, -2.97382, -3.10536, -3.73915, -3.64998, -3.67763, -2.53076, -3.19862, -3.7199, -3.8838, -5.0328, -4.05915, -4.14375, -4.48743, -4.32303, -4.99335, -4.18487, -3.84321, -4.69187, -4.69053, -4.46037, -4.51301, -4.09054, -3.99712, -4.51649, -4.57512, -4.83435, -4.77899, -4.55597, -4.74983, -4.18355, -4.25406, -4.77137, -5.2582, -5.37113, -5.31607, -5.42176, -5.23703, -5.0996, -4.96856
0.06, 0.0319375, -4.5941, -3.39345, -2.94684, -4.2895, -4.40021, -3.95593, -3.27131, -3.46113, -4.26368, -3.8372, -5.00876, -4.21521, -4.38029, -4.52874, -4.66099, -4.60209, -4.00115, -4.24467, -5.39254, -4.92933, -4.78618, -4.31134, -4.13643, -4.2223, -4.5258, -4.89575, -4.58572, -4.54678, -4.45463, -4.49141, -4.82816, -4.68963, -4.76687, -5.29448, -5.26149, -5.39236, -5.58679, -5.31202, -5.12651, -5.1467
0.07, 0.0319375, -4.57541, -3.38821, -3.48961, -4.24668, -3.90844, -3.55437, -3.14799, -3.11848, -4.17874, -4.0203, -4.88768, -4.94661, -4.3978, -4.43804, -4.22236, -3.98055, -3.86314, -4.42181, -4.83717, -4.89112, -5.14481, -5.09696, -4.5243, -4.03162, -4.46138, -4.4712, -4.51036, -4.41097, -4.77153, -4.62301, -4.98909, -5.00943, -4.92268, -4.98097, -5.35479, -5.53812, -5.86003, -5.57694, -5.28151, -5.51908
0.08, 0.0319375, -4.58072, -3.29014, -3.5386, -3.92084, -3.96881, -3.79552, -3.46153, -3.38753, -3.95989, -4.28695, -4.88246, -5.11388, -4.49302, -4.26616, -4.52149, -4.6117, -4.38458, -4.90562, -4.81613, -4.76484, -4.6197, -5.16671, -4.52436, -4.94221, -4.8268, -4.86355, -4.86923, -4.88789, -5.05571, -4.849, -5.52799, -5.2717, -4.93426, -4.99914, -5.23386, -5.23496, -5.53612, -5.45104, -5.32626, -5.19322
0.09, 0.0319375, -4.27063, -3.43685, -3.4778, -4.77842, -4.08577, -3.58681, -3.19586, -3.22826, -3.43372, -4.19399, -4.92374, -4.75593, -5.04084, -4.39924, -5.05959, -4.50931, -3.90278, -4.29269, -5.12533, -5.16521, -4.94619, -4.81927, -4.60472, -5.22964, -4.87812, -5.13122, -5.11885, -5.06037, -4.84541, -4.78805, -5.24746, -5.05645, -4.87719, -5.06516, -5.19781, -5.20504, -5.24789, -5.0562, -5.2826, -5.10066
