# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0281788, -0.0116282, -0.419562, -0.987759, -1.14841, -1.87372, -1.47964, -2.14328, -1.34628, -1.86394, -0.743591, -0.466961, -0.939147, -0.490793, -1.15519, -1.81141, -1.29463, -1.59525, -1.24438, -0.996818, -1.09443, -1.37127, -1.29196, -1.79978, -1.64122, -1.43211, -1.78988, -2.12127, -1.67132, -1.47384, -1.38782, -1.46579, -1.42179, -1.68908, -1.97279, -2.15548, -2.07806, -2.59001, -2.55258, -2.62572
0.01, 0.0319375, 0.50343, -0.736507, -0.173856, -1.01867, -0.984348, -1.83912, -1.19836, -1.67911, -0.783173, -1.39778, -0.883663, -0.819505, -0.507279, -0.380031, -0.601723, -0.908642, -0.883681, -1.04318, -0.708707, -0.677377, -1.15742, -1.26646, -1.13568, -1.55271, -1.40571, -1.59065, -1.57071, -1.82354, -1.51369, -1.65295, -1.49604, -1.75842, -1.47852, -1.56677, -2.20409, -2.23268, -2.16874, -2.23967, -2.26209, -2.51637
0.02, 0.0319375, 0.750974, -0.88495, -0.14856, -0.949586, -0.877715, -1.40304, -1.5058, -1.67908, -1.07872, -1.59275, -0.79661, -0.544849, -0.417537, -0.567428, -0.548113, -0.776465, -0.446673, -0.670279, -0.424847, -0.909495, -1.01931, -0.915726, -1.46015, -1.52548, -1.19636, -1.85058, -1.67044, -1.5178, -1.62064, -1.57402, -1.49215, -1.7639, -1.69704, -1.79774, -2.15532, -2.19229, -2.30964, -2.48777, -2.33522, -2.45069
0.03, 0.0319375, 0.876846, -0.248167, -0.58154, -0.772183, -1.0338, -0.995604, -1.33553, -1.5471, -1.07095, -0.773204, -1.02261, -1.26718, -0.863385, -0.722383, -0.863117, -0.813142, -0.743047, -0.562527, -0.435977, -1.06843, -0.698089, -0.756161, -1.64407, -1.64468, -1.44561, -1.20568, -1.52201, -1.41569, -1.51243, -1.33516, -1.42147, -1.6717, -1.25879, -1.67091, -2.36639, -2.23601, -2.22746, -2.472, -2.28385, -2.34896
0.04, 0.0319375, 0.907502, -0.414309, -1.67703, -1.6827, -2.01587, -1.29306, -0.490058, -1.04355, -1.5426, -0.842034, -1.30039, -1.05985, -0.839988, -0.794134, -0.853976, -1.33113, -0.930289, -1.30641, -0.784488, -0.614266, -0.614537, -1.25058, -1.3468, -1.56178, -1.80458, -1.33201, -1.25061, -1.75061, -1.55895, -1.68733, -1.65085, -1.37681, -1.16572, -1.40522, -2.03041, -1.91449, -2.32338, -2.18055, -2.27152, -2.61997
0.05, 0.0319375, 1.19401, 0.046549, -1.22136, -0.458694, -1.09887, -1.70524, -0.629944, -1.39845, -1.04172, -0.619056, -1.33037, -0.959747, -0.541312, -0.831003, -0.57521, -1.27043, -0.863918, -0.670832, -0.933485, -0.941526, -1.42711, -1.66758, -1.4785, -1.31161, -1.93984, -1.69516, -1.22471, -1.35269, -1.66006, -2.06524, -1.82183, -1.4572, -1.34785, -1.55379, -2.0985, -2.3639, -2.37068, -2.48981, -2.45196, -2.6753
0.06, 0.0319375, 0.497925, 0.404876, -0.259059, 0.0401489, -0.548886, -1.75134, -1.21748, -0.851197, -0.839304, -0.609369, -1.38428, -0.803922, -0.865677, -0.913999, -0.68839, -1.15243, -1.49879, -0.762647, -0.801809, -1.00946, -0.726484, -0.855285, -1.30206, -1.39895, -1.82777, -1.63264, -1.37778, -1.34538, -1.4701, -2.16207, -1.70213, -1.69519, -1.53799, -1.72753, -2.25806, -2.34867, -2.41587, -2.41453, -2.42348, -2.55708
0.07, 0.0319375, 0.686249, 0.108244, -0.611954, -0.550584, -0.5009, -1.56801, -0.922317, -1.06083, -1.18644, -1.55507, -1.32938, -0.431629, -0.894772, -0.685609, -0.808316, -0.887771, -1.06495, -0.624562, -0.781328, -0.97634, -0.771315, -0.733564, -1.20795, -1.3231, -1.67501, -1.58062, -1.55691, -1.54182, -1.57751, -2.27188, -1.72859, -1.47656, -1.55087, -1.50344, -2.11993, -2.52056, -2.57769, -2.38171, -2.39544, -2.67636
0.08, 0.0319375, 0.812281, -0.0797051, -0.0455387, -0.105545, -0.701165, -2.15831, -1.71851, -1.48899, -1.52831, -1.34764, -1.1139, -0.707188, -0.658935, -0.705579, -0.991106, -1.23641, -0.873436, -0.774145, -1.00493, -0.698134, -0.910047, -1.16615, -1.38717, -1.48415, -1.80015, -1.9642, -1.55286, -1.56867, -1.74395, -1.76776, -1.55503, -1.64825, -1.29883, -1.49508, -1.9393, -2.19237, -2.24967, -2.35521, -2.32193, -2.59419
0.09, 0.0319375, 1.709, 0.280198, -0.571978, -0.609896, -1.344, -1.89349, -0.788434, -1.03118, -1.0647, -0.971325, -0.636333, -0.654795, -0.955953, -0.899095, -1.25433, -0.804202, -0.775126, -1.00834, -0.705264, -0.9984, -1.09178, -1.31396, -1.75989, -1.44054, -1.75722, -2.4254, -1.7173, -1.66643, -1.89594, -1.92923, -1.89359, -2.00423, -1.04364, -1.7252, -2.08734, -2.16551, -2.28663, -2.44072, -2.11533, -2.52212
