# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -2.83282, -3.8475, -4.2131, -4.80147, -5.2249, -5.54193, -5.90534, -5.2304, -5.55173, -6.68461, -5.79992, -5.27349, -6.04043, -5.58205, -5.88466, -6.04778, -6.41936, -6.46461, -5.93422, -5.63713, -5.96709, -6.76575, -6.23483, -6.47898, -6.12334, -5.69965, -5.90771, -5.66989, -5.65389, -6.05205, -5.72399, -6.14919, -5.56473, -5.84152, -5.95364, -5.8075, -5.67247, -5.62568, -5.6634, -5.71036
0.01, 0.0319375, -2.23244, -3.31971, -4.47428, -5.24086, -7.03532, -5.77668, -5.68226, -5.17651, -5.65917, -6.0151, -5.63962, -5.35432, -5.34668, -5.80593, -6.21524, -6.2874, -5.73238, -5.88602, -5.49093, -5.4479, -5.81087, -6.53561, -6.15608, -6.5495, -6.28685, -5.83742, -6.22288, -5.84895, -5.95382, -6.0058, -5.89719, -5.74997, -5.71428, -5.82045, -5.7593, -5.62921, -5.72512, -5.70131, -5.55493, -5.7139
0.02, 0.0319375, -2.45262, -4.58606, -5.01359, -6.12322, -6.28705, -5.96963, -5.25189, -5.04147, -5.31081, -5.8268, -6.37906, -5.53664, -5.38158, -6.02689, -6.27718, -6.43608, -5.84703, -5.90198, -6.10748, -5.6545, -5.95533, -6.15084, -6.17972, -6.26229, -5.94107, -5.5647, -6.1232, -6.04942, -5.80249, -5.82883, -5.9628, -5.84069, -5.88988, -5.58181, -5.67979, -5.62814, -5.84454, -5.53396, -5.33773, -5.64208
0.03, 0.0319375, -3.12346, -3.69268, -4.65014, -5.19534, -6.28681, -5.8877, -5.8032, -5.43586, -5.53391, -5.73686, -6.17959, -5.84012, -5.99943, -6.2645, -5.90914, -5.95818, -5.77056, -6.05649, -6.21169, -5.78196, -6.18756, -6.32027, -6.18509, -6.16946, -5.962, -5.86823, -6.24311, -5.9993, -6.03429, -6.16871, -5.78646, -5.74564, -5.89329, -5.65499, -5.75352, -5.53109, -5.57067, -5.36467, -5.43814, -5.54619
0.04, 0.0319375, -3.1445, -3.94497, -4.43959, -5.28249, -5.52803, -5.64021, -5.54853, -5.20081, -5.47567, -5.45743, -6.61843, -5.95275, -6.34533, -6.28812, -6.04091, -6.18741, -5.94182, -5.91014, -5.9954, -5.74018, -6.47782, -6.12808, -6.36734, -6.22986, -6.01339, -5.8934, -6.40947, -5.67921, -5.9945, -6.11393, -5.56071, -5.64679, -5.83148, -5.95, -5.74357, -5.73195, -5.55679, -5.31474, -5.44104, -5.53205
0.05, 0.0319375, -2.48452, -4.47995, -4.79215, -5.34598, -5.62459, -5.62127, -5.79287, -5.18945, -5.09834, -5.63882, -6.59535, -5.67092, -6.57353, -5.93047, -6.02475, -6.51836, -6.07774, -5.93979, -5.91731, -5.90879, -6.00637, -6.21202, -6.20575, -5.97542, -6.05052, -5.82349, -6.00756, -5.74847, -5.92489, -5.65823, -5.69833, -5.51571, -5.73264, -5.669, -5.75569, -5.99026, -5.5174, -5.23092, -5.45271, -5.60469
0.06, 0.0319375, -2.23556, -4.50541, -4.69413, -4.76767, -6.28078, -5.45797, -5.52071, -5.54426, -5.70625, -6.03311, -5.40585, -5.33816, -6.07478, -5.66909, -5.88665, -6.0921, -6.36836, -5.97415, -5.76411, -5.89209, -5.94777, -5.81678, -5.49917, -5.91106, -5.67454, -5.81032, -5.87323, -5.85864, -5.78409, -5.96705, -5.65194, -5.75558, -5.94922, -5.62214, -5.61924, -5.61408, -5.55758, -5.64237, -5.46854, -5.78523
0.07, 0.0319375, -2.24097, -4.2564, -4.61595, -4.47411, -5.94734, -6.02119, -5.46881, -5.45155, -5.13553, -6.17101, -5.64945, -5.47295, -5.14471, -5.70024, -5.25431, -5.32836, -5.9137, -5.99962, -6.46367, -5.80676, -5.92897, -5.44102, -5.40502, -5.60328, -5.78924, -5.82671, -5.8893, -5.88977, -5.87386, -6.00993, -5.51161, -5.87654, -5.83225, -5.66748, -5.56804, -5.6595, -5.60362, -5.58656, -5.39974, -5.58887
0.08, 0.0319375, -3.16791, -4.994, -4.69826, -4.75426, -6.87975, -5.05459, -5.87747, -6.24958, -5.33561, -5.79482, -5.94605, -5.70346, -5.16953, -5.46027, -5.38615, -5.51481, -5.94103, -5.76115, -5.88163, -5.65263, -5.84933, -5.36474, -5.60272, -5.91947, -5.87761, -5.97735, -5.76219, -5.91258, -5.7549, -5.86357, -5.61282, -5.79821, -5.89269, -5.64205, -5.5707, -5.42172, -5.42944, -5.46706, -5.15189, -5.3371
0.09, 0.0319375, -2.68613, -4.43255, -4.57918, -4.21568, -4.96889, -5.19546, -5.6014, -5.16512, -5.06279, -5.12022, -5.47769, -5.49256, -5.58069, -5.31321, -5.16402, -5.66571, -5.92266, -5.37797, -5.67313, -6.07248, -5.89996, -5.76133, -5.52709, -5.90457, -5.664, -6.00665, -5.66028, -5.93362, -5.97631, -5.62731, -5.4304, -5.57184, -5.54806, -5.4153, -5.48965, -5.82637, -5.605, -5.40898, -5.50059, -5.52824
0.1, 0.0319375, -2.64392, -4.34662, -4.14771, -3.81503, -4.75961, -5.72035, -5.03123, -4.94633, -5.17468, -4.53635, -3.86344, -3.68199, -3.82232, -3.82665, -4.38238, -4.66768, -4.57163, -4.23551, -4.85527, -4.86918, -4.55825, -4.91875, -4.72492, -4.93927, -4.89964, -5.28573, -5.47101, -5.26076, -4.99206, -5.29694, -5.10035, -5.26189, -5.35704, -5.09652, -5.33574, -5.58377, -5.30482, -5.38341, -5.36645, -5.6422
0.11, 0.0319375, -2.00427, -4.14954, -3.82485, -3.75716, -5.03896, -5.57629, -4.7258, -5.06043, -4.85295, -4.65089, -3.67128, -3.62877, -4.10827, -4.07318, -4.44066, -3.93047, -3.79161, -3.76857, -4.60701, -4.92268, -4.74756, -4.86074, -4.47572, -4.66948, -4.93383, -5.20738, -5.43285, -5.36418, -5.14057, -5.38788, -5.06438, -5.24753, -5.37029, -5.11985, -5.36639, -5.52187, -5.53177, -5.47824, -5.28412, -5.39567
