# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -4.58993, -4.43115, -4.17671, -3.81682, -4.75598, -3.55664, -3.25812, -3.47207, -2.70967, -2.38219, -2.12114, -1.29112, 0.0488208, 3.22808, 2.25091, -0.817591, -1.5219, -1.77773, -2.04435, -2.28343, -2.29744, -2.36983, -2.40768, -2.52067, -2.61942, -2.62956, -2.57776, -2.59477, -2.67466, -2.68404, -2.64178, -2.6541, -2.66362, -2.66867, -2.67385, -2.63266, -2.5928, -2.58839, -2.54112, -2.49303
0.01, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -7.77443, -7.27301, -6.29339, -4.75451, 3.18518, 2.08753, -5.72072, -6.582, -7.14111, -7.63467, -8.03712, -7.99786, -8.04892, -7.88153, -7.994, -7.9103, -6.85982, -6.51016, -6.78924, -7.65197, -7.67067, -7.52783, -7.4176, -7.00913, -6.29374, -7.19802, -7.22665, -7.06022, -6.79007, -5.66228, -6.63016
0.02, 0.0319375, -8.05905, -8.05905, -8.05905, -7.91723, -8.05905, -8.05905, -8.05905, -8.05905, -7.88342, -7.66371, -7.26633, -6.29369, -4.75408, 3.18517, 2.08753, -5.7148, -6.5263, -7.08114, -7.2021, -7.83934, -7.80469, -7.29897, -7.06781, -7.81291, -7.61117, -6.83554, -6.39773, -6.54814, -7.33654, -7.34842, -7.12727, -7.19499, -6.96323, -6.13765, -6.70169, -7.05239, -6.91069, -6.74909, -5.72319, -6.49823
0.03, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -7.6844, -7.18637, -6.32325, -4.75505, 3.18518, 2.08755, -5.7157, -6.5576, -7.06497, -7.42621, -7.70988, -7.6912, -7.38911, -7.36594, -7.93751, -7.86214, -7.09634, -6.10441, -6.62264, -7.51099, -7.35171, -7.40389, -7.44411, -7.31186, -6.05313, -6.89062, -7.17962, -7.05713, -6.86893, -5.72256, -6.49528
0.04, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.01814, -7.79508, -7.14871, -6.2567, -4.75311, 3.18518, 2.08753, -5.72335, -6.54289, -7.13118, -7.57964, -7.7049, -8.05905, -7.99299, -8.00646, -7.84285, -7.83205, -7.13215, -6.64601, -7.26878, -7.95439, -7.83904, -7.47888, -7.72309, -7.16928, -6.36739, -7.10958, -7.33985, -7.12657, -6.9344, -5.66813, -6.52703
0.05, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05527, -7.71759, -7.20861, -6.25276, -4.7504, 3.18517, 2.08755, -5.73839, -6.5427, -7.0936, -7.59759, -7.96341, -7.98921, -8.00799, -7.82967, -7.89918, -8.05905, -7.10526, -6.53477, -7.18745, -7.97444, -7.74903, -7.44338, -7.79926, -7.29843, -6.42919, -7.08716, -7.30439, -7.27352, -6.95742, -5.96287, -6.69499
0.06, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -7.75156, -7.20086, -6.25479, -4.74862, 3.18519, 2.08754, -5.73899, -6.54953, -7.12599, -7.53399, -7.95744, -7.96902, -8.05905, -8.05339, -8.05905, -8.02213, -6.93247, -6.47512, -6.78103, -7.5337, -7.82094, -7.71386, -7.66079, -7.15059, -6.07272, -7.02416, -7.33653, -7.4024, -6.68666, -5.59616, -6.54436
0.07, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.03076, -7.73392, -7.1571, -6.26446, -4.75947, 3.18515, 2.08753, -5.73146, -6.57127, -7.07394, -7.45253, -7.75859, -7.94977, -8.05905, -8.05905, -8.05905, -7.77537, -6.96186, -6.40178, -6.99261, -7.52835, -7.51247, -7.86442, -7.75511, -6.82452, -6.04989, -6.86381, -7.21911, -7.36618, -6.9065, -5.68779, -6.51397
0.08, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -7.68556, -7.22677, -6.30556, -4.74821, 3.18518, 2.08758, -5.73799, -6.54268, -7.17093, -7.55985, -7.94543, -8.05905, -8.00636, -8.01242, -8.05905, -8.05905, -7.05209, -6.21326, -6.82284, -7.55587, -7.59055, -7.69914, -7.77993, -7.07343, -6.13522, -6.92396, -7.63334, -7.35646, -6.95925, -5.90062, -6.83758
0.09, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -7.74586, -7.18849, -6.29271, -4.74819, 3.18518, 2.08755, -5.73074, -6.5051, -7.13762, -7.6124, -8.02993, -8.05905, -8.05905, -8.05905, -7.94271, -7.90919, -6.86498, -6.38634, -6.73862, -7.61229, -7.50008, -7.36827, -7.36024, -7.13996, -6.55642, -7.25942, -7.37164, -7.30769, -6.76105, -5.84473, -6.55263
