# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 2.02752, 1.21544, 0.0306387, 0.15626, 0.16358, -0.49275, -1.19448, -1.94253, -1.4953, -2.00263, -1.30488, -1.37418, -0.898922, -1.12799, -1.50084, -2.04801, -1.74071, -1.98166, -1.43013, -1.89582, -1.80701, -1.23073, -1.08201, -1.10529, -0.960004, -0.649509, -0.689964, -1.06355, -1.32365, -1.00347, -1.28472, -1.48659, -1.80068, -1.86577, -2.07274, -2.15525, -2.78051, -2.53305, -2.82979, -2.86212
0.01, 0.0319375, 1.8727, 0.676891, -0.107389, 0.0114871, 0.0882297, -0.486168, -1.11767, -2.08248, -1.65631, -1.31562, -2.1737, -1.93154, -1.15543, -0.997485, -1.96583, -1.62941, -1.13805, -1.16062, -1.25316, -1.64852, -1.5057, -1.62011, -1.74133, -1.82722, -0.94692, -0.669615, -0.667344, -1.12225, -1.29044, -1.17846, -1.0923, -1.73872, -1.63464, -2.10433, -2.34321, -2.42041, -2.52793, -2.65054, -2.65916, -2.84914
0.02, 0.0319375, 1.96353, 0.69876, -0.112562, 0.0838871, -0.118287, -0.343456, -0.930313, -1.57239, -1.65428, -0.835199, -1.64644, -1.17362, -0.745887, -0.665957, -1.59363, -1.35098, -0.819492, -1.01777, -1.38152, -1.51772, -1.75933, -1.8895, -1.68301, -1.512, -1.13508, -0.836438, -0.982574, -0.914283, -1.2939, -1.24518, -1.1897, -1.58481, -1.81454, -2.06349, -2.10778, -2.31758, -2.53467, -2.50563, -2.62592, -2.96964
0.03, 0.0319375, 1.94239, 1.26183, 0.648806, 0.0483374, 0.0525805, 0.0946141, -0.381943, -1.1879, -1.16584, -0.707252, -1.02844, -1.0552, -1.41019, -1.06826, -1.55202, -1.50282, -0.851769, -1.50033, -1.58634, -1.81505, -1.24747, -1.24467, -1.57611, -1.39001, -0.853143, -0.778531, -1.04052, -1.19218, -1.0998, -1.07698, -1.26004, -1.65692, -1.97703, -2.30185, -2.1229, -2.45653, -2.41197, -2.65969, -2.91236, -2.8297
0.04, 0.0319375, 2.11214, 0.963834, 0.32293, -0.183541, -0.686282, -0.166108, 0.359431, -1.06763, -1.58944, -1.33517, -1.30703, -1.11693, -1.67395, -0.820459, -1.20432, -1.50933, -1.33877, -1.47807, -1.39343, -1.39526, -1.19949, -1.1992, -1.07361, -1.56792, -0.865802, -0.574627, -1.22187, -1.40763, -1.3987, -1.23547, -1.0707, -1.67976, -2.13035, -2.29176, -2.38365, -2.32477, -2.31948, -2.60988, -2.82378, -2.9267
0.05, 0.0319375, 2.0844, 1.3073, 0.330029, -0.291965, -0.695392, -0.030062, -0.233438, -0.753338, -1.80312, -1.60787, -1.17216, -1.21467, -1.76315, -0.706829, -1.31315, -1.11277, -1.18813, -1.58399, -1.22983, -1.58928, -1.1683, -0.784978, -1.18831, -1.41233, -1.10428, -0.898418, -0.861177, -1.49535, -1.32285, -1.42021, -1.44165, -1.67392, -2.07545, -2.56162, -2.42297, -2.02638, -2.26648, -2.40622, -2.75311, -3.03843
0.06, 0.0319375, 2.06519, 0.861105, 0.1764, -0.51696, -0.473183, -0.471918, -0.650922, -0.239079, -1.04541, -1.11487, -1.09898, -1.41431, -1.20671, -0.968969, -1.40876, -1.54691, -0.949338, -1.17337, -1.19965, -1.31097, -1.26916, -1.25324, -1.37407, -1.70973, -0.996981, -0.647544, -0.82562, -1.42773, -1.30451, -1.19908, -1.26532, -1.50041, -2.42739, -2.2317, -2.23458, -2.22414, -2.75401, -2.57707, -2.83325, -2.65018
0.07, 0.0319375, 1.99105, 1.09866, 0.138737, -0.314933, -0.879284, -0.648985, 0.138039, -0.45784, -0.886366, -1.00367, -1.47238, -1.49962, -1.16342, -1.50641, -1.01725, -1.86703, -1.2315, -1.56309, -1.84137, -1.10378, -1.2734, -1.49282, -1.37686, -1.25613, -0.997235, -0.367016, -0.663014, -1.38241, -1.46732, -1.30862, -1.21316, -1.79241, -2.08198, -2.1022, -2.16642, -2.39898, -2.95348, -2.42524, -2.80013, -2.96063
0.08, 0.0319375, 1.86919, 0.789353, 0.362446, -0.190408, -0.321349, -0.408622, -0.0568443, -1.36061, -1.25106, -1.4204, -1.42314, -1.15635, -1.26399, -0.852908, -0.870825, -1.67738, -1.52181, -1.05085, -1.80691, -1.41202, -1.33305, -1.39897, -1.15522, -1.45173, -1.08919, -0.960608, -0.949122, -1.54021, -1.40397, -1.19843, -0.950152, -2.06666, -1.97423, -2.03533, -2.1276, -2.39993, -2.71659, -2.69759, -2.81164, -3.17404
0.09, 0.0319375, 1.96635, 0.94661, 0.238943, -0.393659, -0.939464, -0.304976, -0.0866683, -1.17557, -1.48624, -2.43773, -1.43299, -1.3266, -1.90296, -1.33409, -1.20037, -1.37353, -1.41652, -1.32624, -1.97049, -1.9663, -1.67114, -1.3847, -1.1657, -1.36066, -1.11566, -1.03664, -1.03776, -1.36123, -1.00529, -1.05414, -1.27764, -1.59593, -1.99554, -2.30965, -2.11495, -2.26828, -2.50151, -2.74497, -2.68649, -2.99438
