# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -3.95714, -2.3203, -2.56001, -1.11921, -2.07198, -2.26731, -2.14296, -2.93466, -3.30478, -3.75022, -4.14599, -3.42104, -3.51421, -3.07458, -4.2725, -4.05596, -3.89644, -4.23816, -4.2684, -3.781, -3.83711, -3.88942, -3.72246, -4.12925, -4.26377, -3.69193, -4.0731, -4.00197, -4.14139, -4.00236, -4.36911, -4.06449, -4.03684, -4.05446, -4.12425, -3.88602, -3.88906, -4.01372, -3.75875, -3.92401
0.01, 0.0319375, -2.72702, -2.17893, -2.07173, -0.912356, -2.48264, -2.55629, -1.92338, -2.88128, -3.04258, -3.32533, -3.40822, -3.38235, -3.78317, -3.19424, -4.11872, -3.6999, -3.93137, -3.96973, -3.82844, -4.1017, -3.9033, -3.7382, -3.73391, -4.08849, -3.85988, -4.01623, -3.96697, -3.96325, -4.20128, -3.81544, -3.9635, -4.15537, -4.09249, -4.01983, -3.88056, -3.54758, -3.7259, -4.08298, -3.87699, -4.07119
0.02, 0.0319375, -1.39955, -2.78453, -2.09297, -1.15756, -2.32553, -2.9897, -1.96478, -2.66512, -3.51412, -3.17429, -2.50168, -2.88132, -3.42459, -2.60262, -3.75336, -3.9574, -4.01685, -3.58413, -3.35471, -3.3846, -3.74744, -3.82724, -3.90184, -3.69549, -2.59385, -3.54686, -3.73191, -3.4772, -2.73186, -2.67193, -3.8266, -4.17554, -3.3991, -2.95717, -3.02338, -2.77179, -3.08929, -3.7496, -3.95136, -3.8241
0.03, 0.0319375, -1.23141, -1.55923, -1.98931, -1.23515, -2.44219, -2.23513, -1.82426, -2.91444, -2.60263, -3.22143, -2.37076, -2.52309, -2.97198, -2.86862, -3.31353, -3.66611, -3.29588, -2.32874, -2.37596, -3.08599, -3.12133, -3.46306, -3.61316, -2.90143, -1.76199, -2.30785, -3.30595, -3.22795, -2.03423, -2.17146, -3.61413, -3.61841, -2.50147, -2.11884, -2.2813, -1.63187, -1.78142, -3.03268, -2.65957, -2.62995
0.04, 0.0319375, -1.92977, -1.05243, -1.74682, -0.911588, -0.367787, 0.478461, 0.531127, -0.391345, -0.913146, -2.24774, -2.01737, -1.65466, -2.2945, -2.38441, -2.29745, -2.38371, -2.24491, -2.35029, -1.95041, -2.77247, -2.82476, -2.66698, -2.51748, -2.33181, -1.6001, -1.96032, -2.94688, -2.98536, -2.10472, -2.17149, -2.79244, -2.92738, -2.33776, -1.41964, -1.15736, -1.1005, -1.34133, -2.23532, -2.23821, -1.96577
0.05, 0.0319375, -1.71574, -1.15342, -1.04968, 0.288511, 0.705924, 1.86707, 2.41683, 1.46477, 0.561488, -0.527653, -0.70799, -0.706081, -1.21988, -1.8595, -1.84033, -1.19712, -1.25334, -1.27254, -1.14436, -2.43734, -2.33795, -2.61638, -2.34147, -1.94124, -0.741899, -1.99964, -3.24284, -3.18409, -2.37828, -1.84709, -2.30792, -2.73335, -2.71826, -0.759177, -0.377106, 0.037509, -0.519604, -1.75393, -1.94692, -1.6313
0.06, 0.0319375, -1.27222, -1.70827, -1.27701, -0.0607175, -0.267725, 1.41895, 2.51955, 1.21857, 0.265616, -0.720836, -1.35144, -1.5198, -2.04089, -2.30854, -2.32227, -1.85548, -1.78221, -1.23557, -1.77013, -2.81189, -2.72819, -3.21615, -3.14287, -2.4082, -0.924507, -2.14439, -3.44171, -3.23813, -2.51604, -2.09417, -2.68579, -2.99613, -3.0225, -1.00864, -0.584025, -0.178653, -0.54796, -1.32336, -1.49926, -1.22184
0.07, 0.0319375, -1.85512, -1.562, -1.49363, -1.2862, -1.67929, -0.183485, 1.76965, 0.5592, -1.64146, -1.85376, -2.38338, -2.26161, -2.65518, -2.80558, -2.85094, -2.29477, -2.52464, -1.41081, -1.5966, -2.78963, -3.48403, -3.53019, -3.44289, -2.82184, -1.51798, -2.21127, -3.28749, -3.12754, -3.11877, -2.99562, -3.08471, -2.3839, -3.09969, -2.06455, -1.242, -0.900218, -0.991483, -1.61681, -2.16095, -2.10393
0.08, 0.0319375, -1.37696, -0.901649, -1.19391, -1.85, -1.52147, 0.202263, 1.39979, 0.150878, -2.31059, -3.03529, -2.96896, -2.02717, -2.58925, -3.69654, -3.85986, -3.04628, -2.79685, -1.55849, -1.65005, -2.71808, -2.95332, -3.2868, -3.41852, -3.15913, -1.68162, -2.36653, -3.43676, -3.52519, -3.62307, -3.38864, -3.27624, -2.56468, -3.42593, -2.3108, -1.46946, -1.36243, -1.5495, -2.11863, -2.98887, -2.85918
0.09, 0.0319375, -0.494407, -0.0811566, -0.70611, -1.19529, -2.2218, -0.466463, 0.224189, -0.689446, -2.68615, -2.93702, -2.77997, -2.61613, -3.06593, -3.08036, -3.4387, -2.91861, -3.08632, -2.04608, -2.04274, -2.53759, -2.54596, -2.53184, -2.40652, -2.20638, -1.60715, -1.50171, -2.35503, -2.76412, -2.93809, -3.2302, -3.40603, -3.53752, -3.42256, -2.89652, -2.39852, -1.47709, -0.725157, -0.381763, -1.45973, -2.84358
