# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905
0.01, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905
0.02, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05432, -8.05905, -8.05905, -7.75482, -7.99986, -7.89416, -7.56357, -7.81543, -7.5618, -7.96649, -7.57689, -7.80893, -7.65492, -7.91556, -7.90473, -7.94857, -7.77889, -7.7663, -7.77903, -7.67342, -7.40156, -7.479, -7.50621, -7.63831, -7.78458, -7.86644, -7.58649, -7.77557, -8.02073, -7.90721
0.03, 0.0319375, -8.05905, -7.1422, -7.6039, -7.56405, -7.23463, -6.59049, -6.76585, -7.33394, -7.25101, -6.86983, -6.86671, -6.61231, -7.16906, -7.56648, -7.42, -6.89961, -6.81794, -7.23765, -7.36243, -6.91379, -6.91989, -6.74858, -7.00441, -6.6698, -7.0396, -6.92588, -6.88299, -7.00841, -7.01135, -7.0049, -6.47385, -6.48421, -6.68905, -6.69737, -6.6994, -6.94607, -6.36364, -6.6453, -6.54953, -6.50857
0.04, 0.0319375, -7.1412, -6.70849, -7.02346, -7.76546, -7.03302, -6.5326, -6.55464, -6.63287, -6.80514, -6.02863, -6.28651, -6.29768, -7.10324, -7.13038, -6.87966, -6.81959, -6.42806, -6.93475, -7.19785, -7.0004, -7.04403, -6.77485, -6.77777, -6.77629, -6.39281, -6.21627, -6.54194, -6.41005, -6.44586, -7.04109, -6.61143, -6.42995, -6.49289, -6.58303, -6.55805, -6.64353, -6.32715, -6.32323, -6.19844, -6.19303
0.05, 0.0319375, -6.13361, -5.86638, -6.17452, -6.61994, -7.57684, -7.05901, -6.4699, -7.14863, -6.7446, -6.11427, -6.6356, -6.06469, -6.17495, -6.64985, -7.24775, -6.73308, -6.5782, -6.92643, -6.79305, -6.49678, -6.05642, -6.91164, -6.59207, -6.71478, -6.61522, -6.5383, -6.22509, -6.4154, -6.50957, -6.71192, -6.35057, -6.41103, -6.38435, -6.44767, -6.65111, -7.11628, -6.07424, -5.90518, -5.79764, -5.9406
0.06, 0.0319375, -5.73788, -6.17095, -5.91142, -5.84206, -6.91964, -7.04375, -7.08858, -6.30115, -6.4713, -6.61134, -6.46926, -6.07151, -6.26447, -6.55603, -6.67171, -6.71116, -6.46208, -6.43251, -6.98744, -6.84628, -6.20736, -6.53762, -6.01614, -6.31826, -6.62605, -6.32375, -6.28487, -6.563, -6.43278, -6.07839, -6.27272, -6.44241, -6.34902, -6.20008, -6.10127, -6.53831, -6.05751, -5.9055, -5.80792, -5.87283
0.07, 0.0319375, -5.77288, -5.91027, -5.82039, -5.57186, -6.35393, -7.15263, -6.65192, -6.55016, -6.59404, -6.6357, -6.35493, -5.94348, -5.86213, -6.57978, -6.63879, -6.47916, -6.49664, -6.38851, -6.16389, -6.02522, -6.22382, -6.34794, -6.08156, -5.99573, -6.41726, -6.44613, -6.19226, -6.07313, -6.25897, -5.90127, -5.98271, -6.13304, -6.08923, -5.80494, -5.84285, -5.76873, -6.03689, -6.07955, -5.88152, -5.68461
0.08, 0.0319375, -6.35025, -5.81455, -5.7655, -6.03937, -6.19731, -6.13763, -6.16682, -7.65904, -6.79507, -5.93849, -6.469, -5.84514, -5.81612, -5.92976, -6.1346, -6.34513, -5.96607, -6.38344, -5.96795, -6.07543, -6.55661, -6.26508, -5.95885, -6.12294, -5.80515, -6.2971, -6.24122, -6.09069, -6.42457, -5.85818, -5.93815, -6.11282, -6.06813, -5.92337, -5.87532, -5.87587, -5.70383, -5.68343, -5.82003, -5.72265
0.09, 0.0319375, -6.93906, -6.21668, -5.86371, -5.92242, -6.7298, -6.05907, -6.08008, -7.64835, -6.39295, -6.21594, -6.51383, -5.52376, -5.96624, -6.02556, -6.01538, -6.04123, -5.76806, -6.27916, -6.03478, -5.99394, -6.19887, -6.02103, -5.43787, -5.53719, -5.86154, -6.3063, -6.18203, -5.61096, -5.97934, -5.61309, -5.48317, -5.72173, -5.63099, -5.75833, -5.67879, -5.54532, -5.48765, -5.61402, -5.51659, -5.4811
