# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -6.77059, -6.4063, -5.69606, -6.32586, -6.3313, -4.9995, -4.20254, -4.59188, -4.81223, -3.60814, -3.80753, -3.36797, -3.50718, -2.62665, -2.96853, -1.97153, -2.31595, -2.9655, -2.92246, -2.1418, -2.32574, -2.71907, -2.24577, -1.80578, -0.510792, -0.220504, 0.273931, 0.80832, 0.507824, -0.181739, -0.427246, -0.0337853, -0.350963, 0.132662, 0.084118, -0.459177, -0.62209, -1.42475, -1.81535, -2.27928
0.01, 0.0319375, -6.95056, -5.69677, -5.7995, -5.63682, -5.87853, -5.99441, -4.5663, -4.42384, -4.42395, -3.67031, -3.6146, -3.74402, -3.26243, -2.97571, -2.93606, -2.39123, -2.40679, -3.24574, -3.2067, -2.6565, -2.50289, -2.69145, -2.26286, -1.65495, -0.75415, -0.332684, 0.0747282, 0.767774, 0.189625, -0.328512, -0.594804, 0.200966, 0.10585, 0.141609, -0.022621, -0.259236, -0.513492, -1.3202, -1.80736, -2.24933
0.02, 0.0319375, -6.17758, -5.76598, -5.72701, -5.30288, -5.59013, -5.15253, -4.53582, -4.29323, -4.14519, -3.53422, -3.89525, -3.4634, -3.14649, -3.03856, -3.01504, -2.50164, -2.08362, -3.13289, -3.10912, -2.8289, -2.69098, -2.12657, -2.32541, -1.7613, -0.835844, -0.443906, -0.144215, 0.173578, -0.278681, -0.80476, -0.992787, 0.214436, 0.264067, 0.115074, 0.0939139, -0.436956, -0.637386, -1.24894, -1.68938, -2.10429
0.03, 0.0319375, -8.05905, -6.50251, -6.28408, -5.30649, -5.55958, -4.5878, -4.21524, -4.66183, -3.82419, -4.21071, -4.33613, -3.32097, -2.93868, -3.1183, -2.84282, -2.43832, -2.77577, -3.07045, -2.87906, -2.45339, -3.21115, -2.24459, -2.06788, -1.88584, -0.546773, -0.414487, -0.201635, 0.514673, -0.28608, -1.19931, -1.07868, -0.281855, 0.599086, -0.10071, -0.203626, -0.501419, -1.24276, -1.53461, -1.72075, -2.11273
0.04, 0.0319375, -7.31719, -5.77786, -5.66531, -5.43831, -5.47705, -5.1513, -4.26157, -5.0696, -4.10262, -3.88588, -3.65279, -3.6207, -3.17569, -3.18267, -3.07506, -2.6924, -2.99382, -3.05788, -2.89658, -2.50868, -2.6419, -2.50799, -2.10941, -2.18092, -0.526934, -0.0384724, -0.0170958, 0.273639, -0.182084, -1.04412, -0.671331, 0.0165252, 0.535121, 0.00543545, 0.230643, -0.3778, -0.87733, -1.80983, -2.07588, -2.74846
0.05, 0.0319375, -7.04199, -5.62318, -5.33283, -5.97059, -5.56116, -6.13341, -5.16637, -5.11992, -3.95558, -3.92007, -4.25213, -3.81418, -3.2422, -3.18485, -2.97866, -2.82926, -2.58943, -2.46905, -2.39445, -2.25111, -2.15311, -2.20827, -2.15797, -1.64367, -0.798863, -0.216523, -0.472837, 0.0997573, -0.600025, -1.13059, -0.776777, -0.351307, 0.366288, 0.483034, 0.457119, -0.14767, -0.816763, -1.90401, -2.06716, -2.47429
0.06, 0.0319375, -7.31403, -5.72665, -5.20829, -5.62415, -5.85719, -5.60875, -4.69598, -4.20045, -4.21915, -4.13871, -3.839, -3.33917, -3.25975, -3.03888, -3.09302, -2.84013, -2.5773, -2.80284, -2.69966, -3.09806, -2.47853, -2.31003, -2.02459, -1.24462, -0.117898, -0.0265315, -0.981331, -0.171654, -0.874211, -0.976845, -0.885281, -0.413629, 0.303444, 0.385227, 0.154078, -0.232494, -1.10534, -2.0674, -2.22392, -2.63191
0.07, 0.0319375, -7.2775, -6.31834, -5.81541, -5.81655, -6.15366, -5.40252, -4.38966, -4.49214, -4.19206, -4.19914, -3.58765, -3.27316, -3.31861, -3.09103, -2.72892, -2.82461, -2.73595, -2.59183, -2.87728, -2.82101, -2.58734, -2.24738, -1.98083, -1.17923, -0.316607, -0.469695, -0.798141, -0.188881, -0.774624, -1.17716, -1.09502, 0.00101015, 0.177591, -0.0944606, 0.124257, -0.339399, -1.53696, -1.97366, -1.87218, -2.88733
0.08, 0.0319375, -7.58562, -5.87354, -5.661, -5.50187, -5.91077, -5.49599, -5.35079, -5.04604, -4.56836, -4.18102, -3.85736, -3.26788, -3.30135, -3.33554, -3.30482, -2.9445, -2.63153, -2.75524, -3.06194, -3.07081, -3.10599, -2.56868, -2.01167, -1.30935, -0.684438, -1.15046, -0.632237, 0.00738368, -0.554434, -0.460098, -0.0263652, 0.0744637, -0.140327, -0.0346292, -0.114151, -0.644878, -1.64733, -1.83081, -1.7573, -3.00665
0.09, 0.0319375, -7.11081, -6.09972, -4.99965, -5.17957, -6.09589, -5.413, -4.6403, -4.10931, -4.62217, -3.83009, -3.67348, -3.76104, -3.43127, -3.22776, -3.11095, -3.02617, -2.84782, -2.89058, -2.84881, -2.93123, -2.71175, -2.18011, -1.87624, -1.17005, -0.38999, -0.962741, -0.614868, -0.139055, -0.728652, -0.188607, -0.205919, -0.295883, -0.175192, -0.131788, 0.00769508, -0.55224, -1.82345, -1.67614, -1.95791, -3.02606
