# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -3.17913, -5.15497, -5.40343, -6.06948, -5.50904, -5.67696, -5.42805, -6.06801, -6.39899, -5.98746, -5.97978, -5.92953, -5.57628, -5.7399, -5.74833, -6.38786, -6.02702, -5.95826, -5.52352, -5.8483, -6.29546, -6.1053, -5.91985, -6.15211, -6.32799, -6.5789, -6.26949, -6.31276, -6.23073, -6.25145, -6.35611, -6.3289, -6.27731, -6.39973, -6.19424, -6.23585, -6.33488, -5.95847, -5.8949, -6.29806
0.01, 0.0319375, -3.67197, -5.09471, -5.0225, -5.7383, -5.79157, -5.39173, -5.85892, -5.6645, -5.83183, -5.92509, -5.72828, -5.54407, -5.79328, -6.17933, -6.10283, -5.9357, -5.67572, -5.5746, -5.84268, -5.91921, -6.30352, -6.20961, -5.93002, -6.26179, -6.39435, -6.73325, -6.36716, -6.7702, -6.58316, -6.39976, -6.41129, -6.38512, -6.1316, -6.34627, -6.11774, -6.09312, -5.97926, -6.16836, -6.01115, -6.20482
0.02, 0.0319375, -4.24096, -4.64013, -4.76815, -5.32901, -6.13846, -5.0499, -5.44339, -5.45023, -5.28401, -5.61766, -5.547, -5.12659, -5.68205, -5.9614, -5.97384, -5.8291, -6.15762, -6.31173, -6.16921, -6.50328, -6.31554, -6.25618, -6.03005, -6.42249, -6.16169, -6.59544, -6.58889, -6.8904, -6.8542, -6.64021, -6.3719, -6.45647, -6.3062, -6.40063, -6.28124, -6.10666, -5.75534, -6.04652, -6.13581, -6.16326
0.03, 0.0319375, -3.9758, -4.54938, -5.16476, -5.69574, -6.19805, -5.36163, -5.2347, -5.25688, -5.94163, -6.22179, -5.82512, -5.66881, -5.891, -6.10386, -5.84631, -5.84286, -5.96172, -6.32853, -6.06602, -6.05244, -6.45409, -6.58783, -6.24651, -6.29272, -6.45525, -6.81072, -6.40848, -6.79918, -6.71142, -6.38015, -6.24339, -6.57494, -6.21267, -6.01166, -6.3273, -6.12124, -5.9909, -6.0918, -6.15705, -5.85961
0.04, 0.0319375, -3.8587, -5.13447, -5.61761, -5.9398, -5.64712, -6.04254, -5.91938, -6.27503, -6.10432, -6.11162, -6.38423, -5.74283, -5.60625, -6.40312, -5.74163, -5.41028, -5.75823, -6.45735, -5.91844, -6.07593, -6.63793, -6.25662, -6.20153, -6.35732, -6.47738, -6.48807, -6.16617, -6.09711, -6.22056, -6.4315, -6.33463, -6.31776, -6.34777, -6.22856, -6.24146, -6.22662, -5.93855, -6.08382, -6.01296, -6.06951
0.05, 0.0319375, -4.04595, -4.68825, -4.71604, -5.19825, -6.35915, -5.78538, -5.57625, -6.44807, -5.85036, -5.47608, -6.48572, -6.0545, -5.16692, -5.92635, -6.1147, -5.94069, -5.53795, -6.13066, -6.2136, -5.91822, -6.31843, -6.09479, -6.03829, -6.39563, -6.15803, -6.12645, -6.34772, -5.94739, -6.27584, -6.63683, -6.23957, -6.16179, -6.16557, -6.53522, -6.42236, -6.12848, -5.83289, -5.88969, -6.17158, -6.15172
0.06, 0.0319375, -4.33804, -5.10081, -5.74211, -5.96866, -5.6032, -5.22465, -5.34105, -5.92166, -5.27706, -5.36961, -6.22193, -5.949, -5.46432, -5.37223, -6.20548, -6.07407, -6.41077, -6.33864, -5.96985, -5.99945, -5.91933, -5.96681, -6.0279, -6.53114, -6.19577, -6.28849, -6.34567, -6.11202, -6.44915, -6.43684, -6.36954, -6.48272, -6.23478, -6.43887, -6.28455, -6.07333, -5.99824, -5.88536, -5.97716, -6.11245
0.07, 0.0319375, -4.44345, -5.27499, -5.68307, -5.95345, -5.80381, -5.49712, -5.75052, -6.44173, -5.98737, -5.48583, -5.68075, -5.74351, -5.51532, -5.95679, -6.16536, -6.25514, -5.93697, -6.10063, -5.92704, -6.23805, -5.85561, -5.95137, -6.12807, -6.23775, -6.18689, -6.38989, -6.38562, -6.38214, -6.38585, -6.19518, -6.33709, -6.37678, -6.08504, -6.55252, -6.05993, -6.25418, -6.23277, -5.94435, -5.9074, -5.79765
0.08, 0.0319375, -3.4894, -5.21797, -6.01749, -5.52239, -5.85767, -5.44956, -5.49186, -6.26122, -6.42832, -5.90443, -5.58515, -5.44509, -6.05294, -6.15025, -5.74625, -6.2331, -6.27452, -6.22755, -5.85271, -6.02396, -5.8166, -5.90078, -5.98251, -6.27869, -6.16063, -6.46192, -6.62721, -6.36092, -6.25608, -6.09901, -6.16785, -6.30863, -6.09767, -6.44004, -6.32701, -6.2542, -6.18631, -6.23051, -6.08096, -5.87337
0.09, 0.0319375, -3.39816, -6.60798, -4.99923, -5.31689, -5.96014, -6.23467, -5.78594, -6.81205, -5.73727, -5.61805, -6.3729, -5.35243, -5.62368, -5.41208, -5.9897, -5.933, -6.33731, -6.4667, -5.97005, -5.84583, -6.16192, -6.19855, -6.01826, -6.44936, -6.31647, -6.16924, -6.5637, -6.48443, -6.5093, -6.19482, -6.49458, -6.77472, -6.73768, -6.61654, -6.19131, -5.98669, -6.19672, -6.00213, -6.04578, -6.11807
0.1, 0.0319375, -3.64789, -4.78305, -4.89441, -5.06699, -6.27108, -6.02762, -6.06551, -6.11763, -5.4475, -6.03779, -6.09976, -5.96319, -5.587, -5.6838, -5.65386, -5.73649, -5.93227, -6.14392, -6.09734, -6.57117, -6.4693, -6.42026, -6.16997, -6.30663, -6.076, -6.27938, -6.4149, -6.36989, -6.49347, -6.62762, -6.4368, -6.3776, -6.6391, -6.57522, -5.99124, -6.06495, -6.15037, -6.05397, -5.92453, -6.11995
0.11, 0.0319375, -3.04241, -5.08547, -4.8044, -5.86243, -5.96376, -6.48384, -6.04251, -6.50987, -5.82021, -5.66088, -6.0493, -6.41371, -6.0696, -5.53049, -5.93239, -6.48487, -6.31928, -5.75907, -5.87122, -5.98913, -6.14038, -6.1213, -6.03531, -6.32064, -6.70353, -6.6337, -6.29571, -6.62396, -6.95641, -6.69505, -6.32962, -6.25472, -6.07773, -6.16755, -6.29069, -6.12085, -6.02666, -6.34925, -6.0666, -6.25255
0.12, 0.0319375, -2.72511, -4.41585, -5.0792, -5.27526, -5.85505, -5.6461, -5.68043, -6.27995, -5.81238, -5.9321, -5.67905, -5.80538, -6.13407, -5.78662, -6.18427, -6.37145, -5.9455, -6.21374, -6.38643, -6.28666, -5.51277, -5.64744, -6.15146, -6.25446, -6.44791, -6.38895, -6.53344, -6.40613, -6.51121, -6.49858, -6.48813, -6.37659, -6.32191, -6.32731, -6.37479, -6.2233, -6.08681, -6.06517, -6.21093, -6.37101
0.13, 0.0319375, -3.65747, -4.51868, -5.01232, -4.94838, -6.3477, -5.79436, -5.43229, -6.10469, -5.47255, -6.01668, -5.66725, -5.72866, -6.31208, -6.48366, -6.03497, -6.01902, -6.28985, -6.18514, -6.14535, -6.38616, -5.80194, -5.85254, -6.23904, -6.22415, -6.6309, -6.38172, -6.40915, -6.44662, -6.27064, -6.58051, -6.34657, -6.30942, -6.25143, -6.10932, -6.1053, -6.03105, -6.20442, -6.01981, -6.19843, -6.20978
0.14, 0.0319375, -3.3734, -5.06947, -5.19216, -5.37551, -6.23791, -6.73939, -5.9, -5.87155, -5.77656, -6.02325, -6.05774, -5.89629, -6.45253, -6.4003, -6.18421, -6.07282, -5.93081, -5.84898, -6.23729, -6.6856, -6.33857, -6.03728, -5.98125, -6.36631, -6.59786, -6.95335, -6.34952, -6.53202, -6.5299, -6.77563, -6.36589, -6.43162, -6.34167, -6.21246, -6.10559, -6.36049, -6.05138, -6.14136, -6.16697, -6.2326
0.15, 0.0319375, -3.25638, -6.24914, -5.35004, -6.1475, -6.23949, -6.35163, -6.01632, -6.21111, -5.53854, -5.87463, -6.64195, -6.13608, -6.34735, -5.59421, -5.81212, -6.29863, -5.91954, -5.80754, -6.19199, -6.49165, -6.18333, -5.93712, -6.22222, -6.28852, -6.53798, -6.38345, -6.58256, -6.54979, -6.35448, -6.47335, -6.36252, -6.41449, -6.55133, -6.31381, -6.39064, -6.14405, -5.92645, -5.90045, -5.81597, -5.80989
0.16, 0.0319375, -3.67967, -5.47786, -5.24608, -5.24294, -5.73329, -5.79293, -6.04018, -5.82414, -5.61366, -5.82372, -5.68249, -5.69098, -6.21149, -5.94292, -6.01904, -5.6049, -5.59645, -5.73871, -6.36391, -5.94088, -6.00326, -6.22258, -6.2973, -6.26292, -6.15457, -6.04022, -6.06878, -6.14915, -6.58462, -6.27371, -6.15487, -6.48579, -6.10999, -6.11325, -6.37654, -6.28695, -5.85081, -5.98318, -6.007, -5.93169
0.17, 0.0319375, -3.48864, -5.36121, -5.41663, -5.27782, -6.02921, -6.18983, -6.00931, -5.9928, -6.0079, -5.8133, -5.49173, -5.38615, -6.19211, -5.80503, -5.89885, -5.79217, -6.16035, -6.22018, -6.41582, -6.71424, -6.03424, -5.84834, -6.29092, -6.4757, -6.25854, -6.10724, -6.22827, -6.37315, -6.40036, -6.40142, -6.21542, -6.22434, -6.02493, -6.31671, -5.98581, -6.32734, -6.06116, -6.10051, -5.91317, -6.10799
0.18, 0.0319375, -3.29609, -5.28591, -5.09789, -5.65677, -6.47443, -6.03034, -5.21987, -6.22731, -5.86685, -5.90942, -5.43973, -5.3447, -5.91757, -5.92772, -5.71757, -5.68438, -6.36259, -6.23964, -6.37909, -6.63748, -6.55291, -5.9726, -6.1562, -6.9276, -6.64775, -6.02801, -6.26379, -6.49103, -6.2844, -6.30909, -6.43274, -6.52783, -6.36474, -6.24069, -5.92874, -6.04091, -6.19712, -6.18568, -6.01065, -6.07346
0.19, 0.0319375, -3.12276, -5.01577, -5.28958, -5.62241, -6.10463, -6.03832, -5.47765, -5.82694, -6.27511, -5.8705, -5.88744, -5.8156, -5.82179, -5.95745, -6.09567, -6.21575, -6.35971, -6.38899, -6.17935, -5.91002, -6.53984, -6.54954, -6.53527, -6.62211, -6.4878, -6.22353, -6.33471, -6.48401, -6.38004, -6.24166, -6.31997, -6.12773, -6.30531, -6.19005, -6.04089, -5.97565, -6.32131, -6.17661, -5.78018, -5.92951
0.2, 0.0319375, -3.43379, -5.11451, -6.0082, -5.94751, -6.42266, -5.93283, -5.85442, -5.50231, -5.75667, -5.72602, -5.60657, -5.73133, -5.9359, -6.39816, -6.23565, -6.50699, -6.64355, -6.21494, -5.88319, -5.82459, -6.18153, -6.45001, -6.09713, -6.08197, -5.78541, -5.90891, -5.96303, -6.39889, -6.2033, -6.36505, -6.36714, -6.4687, -6.34352, -6.35354, -6.10248, -6.20604, -6.40204, -6.19729, -5.9539, -5.97268
0.21, 0.0319375, -3.82605, -4.85583, -5.59379, -5.66571, -6.29346, -5.59011, -5.57028, -5.73027, -5.84631, -6.03609, -5.80533, -5.29604, -6.04925, -6.38186, -6.36958, -6.37721, -6.98673, -6.19291, -5.93986, -6.14289, -6.13494, -6.344, -6.31533, -6.20509, -5.97921, -6.09891, -6.4531, -6.31419, -6.43381, -6.29086, -6.30144, -6.29081, -6.1599, -6.57768, -6.18075, -6.36181, -6.28592, -6.46545, -6.17558, -6.25397
0.22, 0.0319375, -3.57957, -6.34742, -6.08127, -5.77222, -5.81013, -5.91723, -5.68335, -5.82886, -5.5157, -5.7876, -6.31896, -5.83345, -5.61626, -5.91826, -6.17771, -6.13792, -6.81243, -6.02688, -5.98763, -6.0662, -6.072, -6.15014, -6.20974, -6.61141, -6.40616, -6.2328, -6.45128, -6.42721, -6.59154, -6.53614, -6.36315, -6.3332, -6.49488, -6.47154, -6.57754, -6.16688, -6.18353, -6.11443, -5.85753, -6.06617
0.23, 0.0319375, -4.11679, -5.80107, -5.48509, -5.38123, -6.17795, -5.73754, -5.10778, -5.58605, -5.38349, -6.58371, -6.55017, -6.164, -5.74162, -6.0105, -6.0396, -5.81016, -6.54191, -5.79551, -6.04408, -6.29858, -6.0531, -6.11946, -6.20397, -6.29032, -6.63597, -6.52727, -6.28629, -6.5183, -6.53134, -6.68703, -6.42066, -6.76193, -6.16659, -6.15063, -6.20774, -6.17199, -6.30033, -6.12561, -5.79204, -5.78561
0.24, 0.0319375, -3.71193, -6.32446, -4.96997, -5.09416, -6.87491, -5.64697, -5.14054, -5.83695, -5.30171, -6.22793, -6.17049, -5.68923, -5.85503, -6.22174, -6.11277, -5.95224, -6.24274, -6.25189, -6.10613, -6.50224, -6.33415, -6.24846, -6.23437, -6.40179, -6.67652, -6.42232, -6.27235, -6.40179, -6.51855, -6.74765, -6.41299, -6.24495, -6.1297, -6.097, -6.06954, -6.02845, -6.0271, -6.17614, -6.0144, -5.92864
0.25, 0.0319375, -3.63886, -5.12095, -5.27801, -4.54992, -5.3784, -6.24912, -5.44384, -5.1478, -4.94408, -5.48152, -6.00677, -5.56427, -5.94596, -6.11444, -6.46061, -6.11126, -5.94149, -6.16034, -6.27834, -6.60768, -6.41931, -6.2178, -6.68983, -6.63217, -6.52493, -6.24027, -6.42027, -6.48211, -6.49954, -6.62064, -6.49745, -6.4526, -6.16268, -6.10625, -6.04143, -6.12056, -5.89552, -5.86758, -5.97228, -6.06093
0.26, 0.0319375, -3.66757, -4.3598, -5.19815, -4.56332, -5.33368, -5.98895, -5.77412, -5.5818, -5.70194, -5.99309, -6.19245, -5.24583, -5.49368, -5.98033, -6.17477, -6.19845, -5.66989, -6.16643, -6.12565, -6.5109, -6.20769, -6.20798, -6.2432, -6.09966, -6.4507, -6.57638, -6.47645, -6.18243, -6.35525, -6.38957, -6.14437, -6.55499, -6.12533, -6.15279, -6.13239, -6.02049, -5.96913, -6.14865, -5.93748, -6.04637
0.27, 0.0319375, -4.13565, -4.57129, -5.12482, -5.75343, -6.56193, -5.66629, -5.48781, -6.13901, -5.53099, -6.3923, -6.43721, -5.35814, -5.71591, -6.21105, -6.0676, -6.31756, -6.18965, -6.28764, -6.27706, -6.54134, -6.3677, -6.05413, -6.09292, -6.13532, -5.80024, -6.39621, -6.2988, -6.32169, -6.39699, -6.23317, -5.97317, -6.14882, -6.14004, -6.25786, -6.21296, -6.25205, -5.95912, -5.72539, -5.87592, -6.12268
0.28, 0.0319375, -3.52124, -5.46845, -5.041, -5.18178, -6.88208, -5.53569, -5.42906, -6.36119, -5.55241, -5.46567, -6.2497, -5.73792, -5.63037, -6.10521, -6.26112, -6.22555, -5.90013, -5.82619, -5.93777, -6.19099, -6.75788, -5.86257, -6.27538, -6.19691, -5.92971, -6.50746, -6.28989, -6.4178, -6.80259, -6.29571, -6.12115, -6.32674, -6.39266, -6.12547, -6.25682, -6.32506, -5.98093, -5.94154, -6.25821, -6.08283
0.29, 0.0319375, -3.91512, -4.72352, -5.091, -4.64814, -5.30762, -5.78392, -5.64089, -5.69491, -5.35463, -5.17459, -5.55183, -5.4525, -5.90561, -6.08389, -6.08371, -6.0687, -6.21176, -5.85682, -6.13746, -6.11048, -6.55167, -6.35302, -6.12894, -5.98895, -6.41455, -6.4381, -5.99538, -6.01524, -6.58158, -6.19668, -5.94586, -6.54329, -6.17355, -6.32053, -6.40836, -6.57763, -6.24483, -6.19613, -6.32109, -5.75626
0.3, 0.0319375, -3.42846, -4.69237, -5.63659, -5.52247, -6.08314, -5.75934, -5.51283, -5.99556, -5.80415, -5.42006, -5.82631, -5.50528, -5.44811, -5.80141, -5.65091, -5.8374, -6.06735, -6.00333, -6.0499, -5.81764, -6.46087, -6.28105, -6.2448, -6.1182, -6.14898, -6.38137, -5.90046, -6.14319, -6.06531, -6.2524, -6.1265, -6.45456, -6.29343, -6.3846, -6.17843, -6.28272, -6.23183, -6.50207, -6.40135, -6.10448
0.31, 0.0319375, -4.11995, -5.42374, -5.78925, -5.83998, -5.41921, -5.25204, -5.04315, -6.0955, -6.12055, -5.8695, -5.65142, -5.69992, -5.65016, -6.09584, -5.87344, -5.89184, -6.25101, -5.91569, -5.7725, -5.54482, -6.30739, -5.93799, -6.34911, -6.52696, -6.15772, -5.88624, -5.78004, -6.23668, -6.23297, -6.65114, -6.31347, -6.38817, -6.41134, -6.54395, -6.43165, -6.38555, -6.26983, -6.22624, -6.09865, -6.06754
0.32, 0.0319375, -4.04902, -7.12299, -5.70428, -5.0549, -6.09758, -5.74513, -5.43067, -6.29831, -6.31509, -6.82113, -6.39021, -6.13945, -5.66589, -5.75618, -5.40143, -5.61067, -6.42081, -6.01086, -5.74841, -6.06254, -6.14673, -6.06137, -6.55329, -6.40173, -6.38166, -6.0132, -6.31142, -6.37815, -6.41928, -6.74911, -6.29401, -6.09086, -6.19003, -6.31174, -6.01719, -6.10709, -6.07616, -5.93515, -5.9563, -6.05924
0.33, 0.0319375, -3.87295, -6.49779, -5.03638, -4.74397, -6.43294, -5.53122, -5.18196, -5.97455, -5.54862, -6.3431, -6.40133, -6.19927, -6.0483, -5.88031, -5.61593, -6.22214, -6.11953, -5.75756, -6.50258, -6.90556, -6.46314, -6.10292, -6.45027, -5.73501, -6.33826, -5.98218, -6.1856, -6.17608, -6.43397, -6.74628, -6.39853, -6.16917, -6.10875, -6.05423, -6.20414, -6.24631, -6.1762, -5.92652, -5.83891, -5.96843
0.34, 0.0319375, -4.27878, -6.36226, -5.13467, -5.38721, -6.13887, -5.55522, -5.21351, -5.68929, -5.35297, -5.7611, -5.79954, -5.63553, -6.47734, -5.87082, -5.7447, -5.96023, -5.69227, -5.63758, -6.29893, -6.62894, -6.27093, -5.86291, -6.15415, -6.04657, -6.09932, -5.79336, -6.17851, -6.37023, -6.43303, -6.47346, -5.97783, -6.15018, -6.3388, -5.87284, -5.92768, -6.00281, -6.11125, -6.05393, -5.91316, -6.18593
0.35, 0.0319375, -3.91652, -4.97551, -5.16639, -4.46639, -5.08203, -5.44228, -6.19968, -6.77019, -5.868, -5.54396, -6.07528, -5.78383, -6.07499, -5.84191, -5.59502, -6.22263, -6.02224, -5.66784, -6.22075, -6.01591, -5.80239, -5.61005, -6.10514, -5.87626, -5.90637, -5.99722, -6.25822, -6.02897, -6.09303, -6.03812, -5.87851, -6.09601, -6.16495, -5.96389, -5.9244, -5.8804, -5.72478, -5.72779, -5.70631, -6.04014
0.36, 0.0319375, -3.69942, -4.87261, -5.70878, -4.98081, -5.54562, -5.27339, -5.86944, -6.40461, -5.51816, -5.84974, -5.49258, -5.53076, -6.03994, -6.00489, -5.86557, -5.99302, -5.87586, -6.03268, -6.1393, -6.20122, -5.81907, -6.02637, -6.14463, -6.04333, -5.9048, -5.93406, -6.08984, -5.70572, -5.97505, -5.80358, -6.08698, -6.04338, -5.78437, -5.88903, -5.86682, -5.99322, -5.85628, -6.11874, -5.89523, -6.03396
0.37, 0.0319375, -4.00433, -5.05473, -5.44721, -5.59256, -5.0931, -5.37313, -4.94099, -6.01491, -5.8918, -5.6028, -5.8731, -5.49022, -5.48384, -5.45073, -5.53678, -5.87268, -5.83456, -5.74065, -5.94645, -6.2658, -6.31132, -5.71492, -5.78471, -6.41024, -6.0011, -5.77371, -6.12533, -6.02127, -6.03659, -5.77633, -6.06905, -6.1631, -5.73068, -5.94918, -6.14463, -6.01181, -5.86212, -6.10036, -5.90247, -5.8396
0.38, 0.0319375, -3.63444, -4.67407, -4.86748, -4.96289, -5.58159, -5.62143, -5.02622, -5.72877, -5.99796, -5.71315, -5.53959, -5.71329, -5.54454, -5.82302, -5.93616, -6.35346, -5.6023, -5.58669, -6.16062, -6.25161, -6.54741, -5.86966, -5.8271, -6.04554, -6.14836, -6.09507, -5.82384, -6.19152, -6.02589, -6.02447, -5.83618, -5.72302, -5.6652, -6.19056, -6.15984, -5.8842, -5.78713, -5.70908, -5.75885, -5.83018
0.39, 0.0319375, -3.90377, -5.23802, -4.96534, -4.90229, -5.51481, -5.32982, -5.06052, -6.15799, -5.77125, -5.68103, -5.61772, -5.55578, -5.83572, -5.88212, -5.98551, -6.30228, -6.12906, -6.06368, -6.29805, -6.17081, -6.86616, -6.16208, -5.89416, -5.72365, -6.15705, -6.21476, -5.78043, -6.08953, -5.90878, -6.24386, -5.86599, -5.6232, -5.91796, -5.91104, -6.03453, -5.72503, -5.73163, -5.72692, -5.81806, -5.76301
0.4, 0.0319375, -4.27564, -6.47606, -5.7678, -5.46164, -5.9489, -5.35844, -5.50879, -6.24282, -5.27666, -5.0424, -5.72801, -5.59031, -5.85259, -5.77504, -5.63868, -5.61166, -6.00992, -6.29602, -6.186, -6.10091, -7.01675, -5.93475, -5.87956, -5.99891, -6.39735, -6.1176, -5.6721, -6.01215, -5.90107, -5.8856, -5.83118, -5.5573, -5.71613, -5.84649, -5.91934, -5.66823, -5.53208, -5.70832, -5.59694, -5.83371
0.41, 0.0319375, -4.41064, -5.84709, -6.26548, -5.85945, -5.74947, -5.52087, -6.04506, -6.60605, -5.76187, -5.97905, -5.69446, -5.87506, -6.03312, -5.74872, -5.82086, -6.33142, -5.81993, -6.20112, -6.22003, -5.93448, -6.45688, -5.91183, -6.06236, -5.75923, -6.08022, -6.32988, -5.69256, -5.99772, -6.18115, -6.02423, -5.92472, -5.90118, -6.05182, -6.04722, -5.77429, -5.68214, -5.59246, -5.82208, -5.67504, -5.84475
0.42, 0.0319375, -4.29129, -4.87065, -5.29339, -5.54391, -6.5217, -5.54672, -6.07231, -7.06449, -6.14216, -6.05437, -6.03714, -5.65759, -6.14842, -5.71317, -6.31967, -6.13861, -5.98279, -5.54424, -5.93037, -6.17702, -6.27533, -6.20767, -5.88458, -6.27332, -6.18057, -5.95934, -5.78748, -5.75845, -5.99031, -6.18357, -5.98491, -6.16219, -5.93508, -6.03074, -5.83392, -5.58126, -5.5096, -5.87881, -5.72818, -5.73349
0.43, 0.0319375, -4.20308, -5.32032, -5.51542, -5.32837, -6.44069, -5.53487, -4.99227, -6.59258, -5.70613, -5.65439, -6.12417, -5.47141, -5.37692, -5.76636, -5.7577, -5.83065, -6.10953, -5.48591, -6.26592, -6.56912, -6.58558, -6.42577, -5.79048, -6.10209, -5.75888, -5.83404, -5.89982, -5.73328, -5.90125, -6.03086, -5.96867, -6.23757, -5.76572, -5.99316, -5.92607, -5.447, -5.53946, -5.80433, -5.49133, -5.77629
0.44, 0.0319375, -4.00939, -5.03422, -5.43724, -6.41666, -5.87586, -5.46496, -5.16991, -6.25693, -6.00135, -6.41414, -6.15766, -6.1671, -5.87345, -5.80712, -6.00842, -5.56624, -6.01373, -6.2585, -6.5137, -6.20106, -5.85895, -6.02836, -6.2699, -5.77939, -6.15258, -6.22431, -5.7595, -5.62964, -6.11081, -5.80987, -5.76742, -6.01708, -5.7684, -5.89025, -5.76908, -5.64414, -5.59754, -5.68489, -5.81416, -6.18461
0.45, 0.0319375, -3.78381, -4.62287, -5.2979, -6.2885, -5.75979, -5.32638, -5.26909, -6.91483, -5.91816, -6.09559, -6.20358, -5.50469, -6.08552, -5.77381, -5.90021, -5.751, -6.15811, -5.86077, -5.59884, -6.09402, -5.76045, -5.74395, -6.32419, -6.08138, -6.20978, -6.18431, -5.89119, -5.4837, -5.886, -5.9411, -5.92766, -5.80168, -5.51969, -6.01599, -5.76424, -6.02083, -5.70701, -5.63885, -6.21028, -6.15502
0.46, 0.0319375, -3.42478, -4.79892, -5.42395, -6.02513, -6.46476, -5.50329, -4.90275, -6.19388, -5.55969, -5.8812, -6.19972, -5.68359, -6.13752, -5.95172, -5.94697, -5.84268, -5.83632, -5.64057, -5.86643, -6.21324, -6.39158, -6.01246, -6.17643, -6.44121, -6.49219, -6.542, -5.99475, -5.8688, -6.14988, -6.14588, -6.29648, -5.85107, -5.84636, -5.98474, -5.93789, -5.88681, -5.73935, -5.86301, -6.07184, -5.73863
0.47, 0.0319375, -3.51209, -4.3888, -5.2155, -5.96894, -6.13691, -5.51222, -4.87312, -5.88638, -5.86862, -5.62137, -6.23559, -6.26329, -6.16366, -5.95445, -6.01508, -5.58105, -5.68433, -5.83056, -6.11232, -6.05417, -6.3, -5.82552, -5.94204, -6.00195, -6.53644, -5.95708, -6.13392, -5.96431, -6.03898, -6.01193, -5.96247, -6.14148, -5.70261, -5.61925, -5.79391, -5.71728, -5.87611, -5.83533, -6.16337, -5.61297
