# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905
0.01, 0.0319375, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905
0.02, 0.0319375, -5.4682, -5.46319, -5.18679, -5.21338, -5.47673, -5.23905, -5.02686, -5.28147, -5.08512, -5.1241, -5.16864, -5.04035, -5.10044, -5.02653, -5.13099, -5.25086, -5.23588, -5.27978, -5.46323, -5.65084, -5.68917, -5.64952, -5.47048, -5.37186, -5.30033, -5.20436, -5.1851, -5.36181, -5.89523, -6.75985, -6.35598, -5.76686, -5.68505, -5.89575, -6.14626, -6.05974, -6.27582, -6.81708, -6.63716, -6.80811
0.03, 0.0319375, -3.44838, -2.46988, -2.08277, -2.62822, -3.1075, -2.19992, -1.78135, -2.29887, -2.71805, -2.80065, -2.83689, -2.71469, -2.42387, -2.26086, -2.76234, -1.79167, -1.21228, -2.36518, -2.59468, -2.47162, -2.86483, -2.68405, -2.57579, -2.12048, -2.51947, -1.98569, -2.73684, -3.09348, -3.04674, -3.82515, -3.42377, -3.59051, -3.68633, -3.53148, -3.5084, -3.48029, -4.41956, -4.53415, -4.80029, -5.18359
0.04, 0.0319375, -2.43363, -1.17185, -1.00961, -1.88192, -2.27536, -1.58521, -1.21801, -1.70811, -2.01194, -2.01321, -1.85341, -1.8203, -1.74571, -1.64824, -1.64408, -0.868419, -0.257859, -1.23772, -1.91304, -1.85535, -2.12596, -1.84396, -1.79947, -1.51413, -1.70229, -1.41484, -2.1648, -2.17997, -1.95358, -2.86285, -2.72354, -2.99525, -3.04677, -3.01864, -2.61138, -3.01797, -3.95032, -4.06484, -4.70144, -5.14509
0.05, 0.0319375, -2.25891, -1.23909, -1.12059, -1.10682, -1.74337, -1.60912, -1.19726, -0.809926, -0.908546, -1.26214, -1.99475, -1.71432, -2.04383, -1.42982, -1.41177, -1.11659, -0.689815, -1.25448, -1.96864, -2.27343, -2.06664, -1.88065, -2.39043, -1.41842, -1.5393, -1.30808, -1.92187, -2.04209, -2.38338, -3.01001, -2.97619, -3.23868, -3.17495, -3.05898, -2.66508, -3.19845, -4.49308, -4.19356, -5.44512, -5.72412
0.06, 0.0319375, -2.14824, -0.486577, -0.0305976, -1.05091, -1.47352, -1.28036, -0.975389, -0.995334, -0.388966, -1.19932, -2.14989, -1.3465, -2.1963, -0.938717, -1.00416, -1.09559, -0.671165, -1.50441, -2.18438, -2.13041, -1.79123, -1.71066, -2.18406, -1.66938, -2.01152, -1.61817, -2.36187, -1.97832, -2.33482, -2.95116, -2.834, -3.47199, -2.61637, -3.02315, -2.84389, -2.83545, -4.70902, -4.15241, -5.06398, -5.44451
0.07, 0.0319375, -2.16636, -0.707625, -0.200465, -1.65696, -1.96814, -1.07957, -1.24883, -0.510067, -0.320126, -1.68737, -1.78895, -1.37431, -2.07137, -0.949311, -1.21892, -1.21547, -0.802698, -1.96895, -2.30987, -2.29224, -1.91874, -1.65241, -1.61549, -1.48733, -1.82884, -2.27347, -2.51166, -1.97473, -2.14903, -2.9185, -3.12741, -3.85374, -2.53032, -3.09466, -2.90208, -2.71973, -4.88297, -4.06763, -4.92962, -5.40779
0.08, 0.0319375, -2.37522, -0.652464, -0.740994, -0.775905, -2.25016, -1.04245, -1.03954, -0.447823, -0.510788, -1.45682, -1.23967, -0.862513, -2.23833, -1.36722, -1.82305, -1.40928, -1.30064, -1.26899, -1.83854, -2.27214, -2.00726, -1.7064, -1.84036, -1.68625, -1.913, -2.24706, -2.27414, -2.05274, -2.05218, -2.87148, -3.07223, -4.06881, -2.64701, -3.20857, -2.86704, -2.57515, -4.91833, -3.98953, -4.70581, -5.63974
0.09, 0.0319375, -3.38279, -1.05646, -0.656277, -0.936693, -1.14688, -1.40031, -0.786177, -0.722462, -1.19362, -1.69281, -1.64346, -0.90351, -2.19005, -1.99253, -1.6652, -1.29012, -1.35118, -1.27314, -1.49676, -1.95648, -2.13964, -1.67435, -1.77626, -1.86882, -2.15649, -1.46658, -2.19048, -2.10959, -2.00886, -2.80317, -3.07066, -4.12556, -3.1258, -2.93351, -2.9797, -2.49768, -4.98127, -4.1108, -4.31283, -5.63529
