# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 1.269, 1.57948, -0.220726, 2.4184, 2.32931, 0.988279, 2.2198, 0.843817, 0.499248, 0.557843, -0.353464, 0.0722719, -0.491829, -0.669962, -0.711435, -0.515613, -0.340843, -0.354131, -0.772108, -1.06873, -1.12414, -1.24837, -1.27163, -1.44787, -1.5424, -1.64829, -1.81346, -1.81677, -1.8883, -1.89399, -1.83152, -1.74594, -1.74792, -1.7337, -1.7801, -1.81314, -1.86736, -1.98286, -2.05786, -2.28397
0.01, 0.0319375, 1.22182, 1.60155, -0.0825821, 2.33873, 2.41006, 0.968477, 2.1926, 1.0971, 0.385172, 0.720251, -0.596272, 0.222956, -0.633226, -0.500382, -0.629621, -0.604392, -0.264235, -0.280934, -0.705028, -1.0767, -1.03021, -1.14748, -1.21909, -1.38549, -1.47684, -1.5343, -1.80204, -1.8174, -1.90232, -1.95716, -1.80999, -1.75387, -1.75746, -1.77396, -1.79943, -1.8466, -1.91521, -2.05033, -2.16611, -2.48706
0.02, 0.0319375, 1.19732, 1.61122, -0.222739, 2.21003, 2.50173, 0.594121, 2.11381, 1.37909, 0.141309, 0.850955, -0.75197, 0.323038, -0.850905, -0.382623, -0.699021, -0.920226, -0.251474, -0.303241, -0.681894, -1.12711, -1.00049, -1.11982, -1.21177, -1.3837, -1.4647, -1.45549, -1.76025, -1.73313, -1.84186, -1.84905, -1.77735, -1.7803, -1.75407, -1.76006, -1.79288, -1.81822, -1.87392, -1.99021, -2.07042, -2.41181
0.03, 0.0319375, 1.11095, 1.66007, -0.185276, 2.08091, 2.56763, 0.41347, 2.01007, 1.58871, -0.0281635, 0.927096, -1.06765, 0.365935, -0.893407, -0.245605, -0.833667, -1.05092, -0.188868, -0.367205, -0.631773, -1.02672, -1.01489, -1.08432, -1.20703, -1.37679, -1.4993, -1.44049, -1.67869, -1.73351, -1.7922, -1.83606, -1.75255, -1.70465, -1.69916, -1.726, -1.76725, -1.76846, -1.79511, -1.87155, -1.99536, -2.35178
0.04, 0.0319375, 1.0555, 1.68175, -0.134904, 1.9477, 2.61535, 0.710078, 1.88609, 1.77361, -0.189564, 0.968918, -1.09412, 0.374576, -0.844926, -0.171452, -0.985396, -0.928344, -0.125689, -0.390633, -0.634762, -0.915788, -0.985072, -1.03089, -1.15824, -1.38899, -1.51125, -1.39297, -1.59931, -1.79724, -1.72431, -1.81934, -1.66379, -1.64785, -1.62913, -1.656, -1.66848, -1.69504, -1.75845, -1.85181, -1.92551, -2.08909
0.05, 0.0319375, 0.995886, 1.68695, -0.0364252, 1.81404, 2.65731, 0.958076, 1.72318, 1.89824, -0.246311, 1.0008, -0.606984, 0.313212, -0.586205, -0.119241, -0.88334, -0.736819, -0.129481, -0.399093, -0.585, -0.782702, -0.918734, -0.997895, -1.10462, -1.28827, -1.43884, -1.48207, -1.54749, -1.76632, -1.75924, -1.737, -1.61631, -1.57048, -1.54841, -1.59486, -1.64225, -1.6606, -1.68703, -1.73853, -1.78536, -1.93286
0.06, 0.0319375, 0.95744, 1.71081, 0.169259, 1.59475, 2.67657, 1.24492, 1.53044, 2.02636, -0.273603, 0.962364, -0.413049, 0.203406, -0.459747, -0.219425, -0.958511, -0.793275, -0.340626, -0.404599, -0.558586, -0.770486, -0.993484, -1.1003, -1.17576, -1.3607, -1.54238, -1.53164, -1.53352, -1.79684, -1.86593, -1.83142, -1.8087, -1.74552, -1.72204, -1.7503, -1.73285, -1.73601, -1.76289, -1.85055, -1.91202, -2.26084
0.07, 0.0319375, 0.902027, 1.73507, 0.197459, 1.41254, 2.6781, 1.44347, 1.41875, 2.11025, -0.239549, 0.86582, -0.0300376, 0.0203377, -0.173334, -0.342902, -0.893618, -0.715565, -0.451217, -0.254872, -0.400302, -0.77913, -1.01767, -1.06132, -1.15287, -1.34411, -1.52255, -1.49318, -1.41588, -1.74453, -1.76683, -1.79845, -1.75564, -1.74751, -1.70764, -1.69703, -1.66314, -1.66575, -1.71128, -1.81812, -1.8671, -2.13792
0.08, 0.0319375, 0.785804, 1.74683, 0.160703, 1.27306, 2.66747, 1.61793, 1.31793, 2.14677, 0.149132, 0.779576, 0.299621, -0.0966308, -0.0115133, -0.408367, -0.74592, -0.654379, -0.61185, -0.227457, -0.327499, -0.8029, -0.942363, -1.01489, -1.09918, -1.28267, -1.43534, -1.48352, -1.35336, -1.73892, -1.79306, -1.85433, -1.73337, -1.72064, -1.68403, -1.6764, -1.68863, -1.67709, -1.73308, -1.83411, -1.9014, -2.20177
0.09, 0.0319375, 0.732956, 1.76685, 0.162699, 1.01893, 2.63963, 1.75887, 1.13609, 2.1731, 0.478759, 0.565515, 0.536389, -0.406906, 0.157802, -0.60152, -0.636212, -0.775196, -0.818623, -0.201638, -0.313118, -0.873257, -0.969942, -1.00942, -1.10434, -1.28387, -1.44593, -1.48053, -1.37288, -1.67986, -1.76738, -1.75015, -1.69897, -1.65624, -1.62584, -1.61981, -1.64668, -1.64891, -1.69803, -1.80416, -1.85953, -2.20695
0.1, 0.0319375, 0.660885, 1.77421, 0.240336, 0.741117, 2.58051, 1.95366, 0.95729, 2.14604, 0.898308, 0.297707, 0.760311, -0.70898, 0.30401, -0.687745, -0.427822, -0.905651, -0.910082, -0.0955282, -0.377257, -0.776026, -0.91942, -0.937899, -1.03939, -1.22096, -1.3714, -1.4305, -1.33703, -1.52722, -1.78024, -1.78125, -1.75998, -1.74514, -1.71435, -1.67935, -1.70139, -1.66513, -1.68295, -1.78102, -1.84394, -2.1303
0.11, 0.0319375, 0.606799, 1.78459, 0.370076, 0.533424, 2.5078, 2.10443, 0.995972, 2.0922, 1.17487, -0.0172881, 0.905955, -0.723275, 0.372642, -0.786134, -0.305458, -1.11578, -0.952314, -0.0920177, -0.388634, -0.653527, -0.778275, -0.904252, -0.992464, -1.16358, -1.33026, -1.42581, -1.3218, -1.48883, -1.78837, -1.85085, -1.76351, -1.77242, -1.69213, -1.63346, -1.65972, -1.63917, -1.64913, -1.7592, -1.80673, -2.15752
0.12, 0.0319375, 0.50996, 1.78601, 0.404161, 0.290772, 2.42232, 2.24301, 1.01876, 2.00307, 1.3865, -0.314044, 0.973946, -0.665176, 0.395499, -0.707034, -0.204255, -1.16884, -0.753784, -0.145176, -0.424715, -0.605981, -0.705975, -0.950643, -1.00247, -1.12465, -1.30515, -1.40259, -1.34155, -1.41737, -1.75252, -1.70804, -1.64481, -1.64146, -1.62388, -1.63382, -1.62684, -1.60716, -1.56707, -1.66411, -1.72375, -1.86076
