# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -1.16806, -0.831103, -1.27327, -1.47305, -1.37977, -1.36157, -1.23458, -1.10037, -1.24145, -1.50028, -1.40751, -1.87532, -1.43237, -1.06536, -1.5605, -2.02977, -1.25887, -1.29059, -1.09943, -0.750654, -0.896083, -1.099, -1.2015, -0.585696, -0.869014, -0.673785, -0.354432, -0.537001, 0.231145, 0.125741, 0.231485, -0.223396, -0.321999, -0.641925, -0.77343, -0.763425, -0.605784, -1.06994, -0.773704, -1.00866
0.01, 0.0319375, -0.694395, -1.79951, -1.49445, -1.20366, -1.10908, -1.12872, -1.11353, -1.37201, -0.975781, -0.926999, -1.79168, -1.31215, -1.13973, -1.38303, -1.19353, -1.45907, -1.73951, -1.18264, -0.856568, -0.952402, -1.1393, -1.01683, -0.850837, -0.461371, -0.594142, -0.404524, -0.425247, -0.168084, 0.13207, -0.0614005, -0.195452, -0.24315, -0.209562, -0.362686, -0.620103, -0.624298, -0.842322, -1.00536, -0.789286, -0.9012
0.02, 0.0319375, -1.24572, -1.2964, -1.00931, -1.60266, -2.16053, -1.26802, -1.34102, -1.40165, -0.752953, -0.732773, -1.73565, -1.21616, -1.20043, -1.37679, -0.679426, -1.04595, -0.981095, -0.927973, -0.935625, -0.789984, -1.32539, -1.03419, -1.07539, -0.882154, -0.757693, -0.324298, 0.0434429, 0.0176815, -0.00554073, -0.280086, -0.0364317, -0.809884, -0.373526, -0.18273, -0.292034, -0.563773, -1.13119, -1.04082, -0.84281, -0.996295
0.03, 0.0319375, -1.80896, -1.29592, -1.27905, -1.66824, -1.49152, -1.33427, -0.817357, -0.736618, -0.804531, -0.97217, -1.40909, -0.795058, -0.715077, -1.13556, -0.934875, -1.18152, -1.15557, -0.643822, -0.461985, -0.331504, -0.943048, -1.12641, -0.776969, -0.461714, -0.561894, -0.32799, 0.163026, 0.0568128, 0.152545, 0.191112, 0.0358627, -0.235391, -0.212095, -0.549343, -0.427174, -0.763958, -1.12204, -0.886912, -0.876568, -0.950247
0.04, 0.0319375, -1.5816, -0.862485, -1.29038, -1.40383, -1.06107, -1.45518, -0.908786, -1.26754, -1.47121, -0.698932, -0.941022, -1.72588, -1.43437, -0.941654, -0.701026, -1.10543, -0.871336, -0.815892, -0.26693, -0.528954, -0.794618, -0.933649, -0.544999, -0.423179, -0.740288, -0.559167, -0.0849816, -0.0670118, -0.0908914, 0.546749, 0.438978, 0.0190412, 0.0828495, -0.339678, -0.342557, -0.637082, -1.01505, -0.964674, -0.80483, -0.921889
0.05, 0.0319375, -0.730674, -1.15063, -1.63834, -2.11262, -1.33809, -1.45599, -0.978328, -1.39454, -1.41429, -0.593528, -1.78612, -1.19387, -1.00979, -1.12152, -1.12659, -1.15836, -1.00695, -0.727177, -0.932709, -0.565491, -0.803458, -0.828083, -0.607963, -0.649805, -0.619742, -0.581418, -0.260469, -0.109947, 0.0984971, 0.291643, 0.420336, 0.373721, 0.324151, -0.282242, -0.631394, -0.724664, -1.08834, -0.935065, -1.07005, -1.13597
0.06, 0.0319375, -1.63786, -1.66953, -2.27782, -1.73602, -1.30093, -1.08598, -0.627614, -1.03281, -1.276, -0.355557, -1.58422, -1.03534, -1.07491, -1.08524, -1.92189, -1.26008, -0.977492, -0.929214, -0.910556, -0.629232, -0.460173, -0.752178, -1.00222, -0.909556, -0.555279, -0.440811, -0.120352, 0.159354, 0.152573, 0.417756, 0.400237, 0.108834, 0.0652293, -0.253591, -0.851961, -0.751757, -0.866716, -0.412374, -0.560836, -0.870785
0.07, 0.0319375, -1.8074, -1.14959, -1.7841, -1.47515, -1.75363, -1.55512, -1.0091, -1.30585, -1.63365, -0.784004, -1.47165, -1.57245, -1.12048, -0.945, -1.58042, -1.17357, -1.05688, -1.35443, -1.24401, -0.556686, -0.858043, -0.864168, -0.902134, -0.880921, -0.707454, -0.818562, 0.105868, 0.284349, 0.172912, 0.492387, 0.458642, 0.107733, 0.0306186, -0.156605, -0.637301, -0.651751, -0.738491, -0.586195, -0.697931, -0.709444
0.08, 0.0319375, -0.782817, -0.855538, -1.81693, -1.31181, -2.03107, -1.54385, -1.06705, -2.11757, -1.59712, -1.01164, -1.28076, -0.889263, -1.19204, -1.01536, -1.04002, -1.49296, -1.29434, -1.19844, -1.40239, -0.573413, -0.565905, -0.92565, -0.953657, -0.561089, -0.492066, -0.568914, -0.0368844, -0.026279, 0.426499, 0.308407, 0.218155, 0.274976, 0.0661582, -0.103943, -0.775345, -0.786613, -1.01719, -1.02151, -0.790301, -0.956768
0.09, 0.0319375, -1.49137, -1.45992, -1.65875, -1.22468, -1.76109, -0.915063, -1.03268, -1.26632, -1.27169, -0.886873, -1.44907, -1.10092, -1.06338, -0.899247, -0.87576, -0.841537, -0.677414, -1.24872, -1.34637, -0.833978, -0.489926, -0.633217, -1.1148, -0.391513, -0.207629, -0.26, 0.0455109, -0.205465, 0.0839964, 0.225711, 0.53233, 0.00558281, 0.065039, -0.257398, -0.855333, -0.945975, -1.05019, -0.789223, -0.761016, -1.15712
0.1, 0.0319375, -1.58103, -2.28109, -1.73135, -0.789901, -1.75032, -1.54741, -0.846864, -1.07513, -0.944267, -0.802945, -1.00949, -0.810066, -1.24374, -1.12087, -1.49561, -0.66969, -0.666827, -1.20733, -1.1139, -1.34868, -0.720489, -0.679086, -0.762271, -0.562285, -0.483496, -0.415931, 0.152727, 0.227337, 0.242019, 0.225904, 0.30554, 0.0565828, 0.157191, -0.635848, -0.731449, -0.867754, -0.751504, -0.852043, -0.712975, -1.13336
0.11, 0.0319375, -1.39165, -2.65982, -1.46382, -0.632878, -1.61979, -1.75673, -1.04798, -2.05872, -1.37354, -0.932004, -0.69986, -0.597, -1.33559, -1.10756, -1.59458, -0.425639, -0.564506, -0.758084, -1.16546, -1.17801, -0.928955, -1.13805, -0.872559, -0.904125, -0.650185, -0.397251, 0.0796146, 0.627051, 0.502278, 0.223854, 0.435438, 0.570142, -0.0521476, -0.469331, -0.985302, -0.693354, -0.573997, -0.935586, -1.01611, -1.29527
0.12, 0.0319375, -1.17513, -1.02704, -1.52404, -1.20999, -1.47248, -1.1252, -0.603211, -1.15405, -1.59738, -1.57748, -1.38054, -1.40707, -1.72928, -0.852403, -1.04406, -0.923891, -0.916374, -0.568415, -0.792845, -1.09258, -1.14264, -1.12351, -0.904991, -0.908814, -0.837278, -0.529704, 0.366258, 0.144765, 0.0992802, 0.143722, 0.41285, 0.287824, 0.0394594, -0.639095, -0.724048, -0.693928, -0.825177, -0.768083, -1.02857, -1.43555
