# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -7.65543, -8.05905, -7.91152, -6.86572, -7.31526, -7.74075, -7.27859, -7.83124, -7.97701, -8.05905, -7.70971, -7.80604, -7.52357, -6.73492, -7.55499, -8.05905, -8.05905, -7.86529, -7.5263, -7.35345, -8.05905, -8.05905, -7.74044, -7.57256, -7.81882, -8.05905, -7.96669, -7.64466, -8.05905, -8.05905, -8.05905, -8.05905, -8.05905, -7.73711, -7.79777, -7.71935, -7.79541, -7.60838, -7.74968, -7.8354
0.01, 0.0319375, -6.62617, -6.8094, -7.1934, -5.71449, -6.63029, -7.59044, -6.43277, -7.22129, -7.75943, -8.05905, -7.34836, -7.68278, -7.09821, -6.27057, -7.06572, -7.56008, -7.56348, -7.61207, -7.25446, -6.81742, -7.61466, -7.76598, -7.24784, -7.21125, -7.34375, -7.63426, -7.58754, -7.1704, -7.31044, -7.76581, -7.49406, -7.64349, -7.38155, -7.34737, -7.19123, -7.21301, -7.04895, -7.17569, -7.35786, -7.32815
0.02, 0.0319375, -6.93645, -6.33134, -7.02328, -5.21909, -5.9467, -7.54888, -6.15389, -7.07624, -7.77125, -7.44218, -7.82702, -7.80183, -6.6974, -5.91074, -6.83858, -7.30924, -7.02219, -7.19976, -7.15119, -7.47065, -7.1678, -7.50771, -7.5061, -6.86153, -6.97571, -7.1295, -7.33343, -7.55167, -7.00403, -7.22564, -7.13428, -6.74058, -6.70298, -7.3645, -7.05947, -7.06339, -6.68961, -6.85742, -7.03376, -6.98599
0.03, 0.0319375, -4.93487, -6.3935, -6.98271, -5.11882, -6.0078, -7.44525, -6.08972, -6.83446, -7.14021, -7.58064, -7.71386, -7.38652, -6.40881, -5.82066, -6.71645, -7.1644, -7.26776, -7.23291, -7.29093, -7.70976, -7.19435, -7.14881, -7.09951, -6.67346, -6.94111, -7.21478, -6.97244, -6.72101, -6.86625, -6.9851, -7.08901, -6.97204, -6.81051, -7.16869, -6.75714, -7.07777, -6.70083, -6.75933, -6.90732, -6.78692
0.04, 0.0319375, -3.94493, -6.19078, -7.476, -5.22925, -5.98868, -7.94255, -6.03855, -6.76012, -7.12402, -7.51521, -7.87087, -7.78441, -6.4164, -6.07057, -6.78127, -7.20412, -6.97694, -7.03038, -7.88613, -8.03386, -7.24135, -7.05678, -7.21024, -6.90862, -7.09849, -7.04669, -6.85162, -6.77427, -7.17252, -7.25985, -6.90787, -7.01385, -6.97596, -7.12255, -6.74011, -6.95021, -6.6381, -6.8968, -7.04796, -6.83495
0.05, 0.0319375, -3.23768, -6.62033, -6.74561, -5.45337, -6.26256, -7.05751, -6.20958, -7.06147, -6.65247, -6.97835, -7.44341, -7.37834, -6.70607, -6.26902, -6.68889, -7.4833, -6.92441, -7.05362, -7.51554, -7.64097, -7.32255, -7.35346, -7.03933, -6.96317, -7.00276, -7.01812, -6.97344, -7.31657, -7.12319, -7.23474, -7.04118, -7.06529, -7.00685, -7.08196, -6.92689, -7.12224, -6.96514, -6.87274, -7.03616, -6.94715
0.06, 0.0319375, -2.77225, -6.43975, -5.73392, -5.64891, -6.25258, -6.18881, -6.22537, -6.36316, -6.44605, -6.45227, -6.71424, -6.57956, -6.57439, -6.52015, -6.72799, -6.86433, -6.70049, -6.68615, -6.74893, -6.80905, -6.91312, -6.9232, -6.63041, -6.72328, -6.90282, -6.60242, -6.47571, -6.50437, -6.11319, -6.50179, -6.88058, -6.86728, -6.75223, -6.66963, -6.50232, -6.73582, -6.71672, -6.4591, -6.30346, -6.47541
0.07, 0.0319375, -2.35699, -6.741, -5.59806, -5.77975, -6.1532, -6.07631, -6.04432, -6.35998, -6.32409, -6.44397, -6.55362, -6.51038, -6.58984, -6.60473, -6.66598, -6.75496, -6.68107, -6.69977, -6.70285, -6.78879, -6.73158, -6.68239, -6.56407, -6.69168, -6.60411, -6.40081, -6.48311, -6.43447, -6.17865, -6.60947, -6.71286, -6.75239, -6.7494, -6.63575, -6.48309, -6.56111, -6.51904, -6.47738, -6.21019, -6.49753
0.08, 0.0319375, -2.17243, -6.30496, -6.68307, -6.86856, -7.32004, -7.25007, -7.29362, -7.51233, -7.45472, -7.58876, -7.44654, -7.46264, -7.34513, -7.01867, -7.08119, -7.32886, -7.0948, -7.0442, -7.04696, -7.2482, -6.93434, -7.14359, -7.00524, -7.1203, -7.28234, -7.11496, -7.29655, -7.18319, -7.38779, -7.40168, -7.11104, -7.33267, -7.36442, -7.17484, -7.22809, -7.33217, -7.1754, -7.09519, -7.09477, -7.18115
0.09, 0.0319375, -2.23575, -6.49996, -6.30684, -6.40184, -6.99927, -6.6628, -6.87426, -6.85434, -7.08034, -7.05413, -7.2131, -7.08225, -6.81988, -6.84863, -6.95081, -7.20567, -7.06818, -7.07444, -6.95956, -7.20409, -6.97334, -6.84614, -6.6681, -6.57349, -6.98217, -6.99013, -6.98327, -6.96819, -6.97913, -7.06102, -7.1051, -6.98141, -6.99447, -6.69633, -7.02937, -7.10567, -6.85547, -6.93321, -6.72806, -6.74881
