# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -0.972959, -1.90963, -3.08532, -2.693, -3.4381, -3.48369, -3.95049, -4.13194, -4.27164, -4.42029, -3.82048, -3.50934, -3.51434, -3.14683, -2.91104, -2.84152, -2.54792, -3.1992, -3.94698, -3.91694, -4.27322, -4.0123, -4.27754, -4.33705, -4.57021, -4.81263, -4.55694, -4.31058, -4.75875, -4.30348, -3.95888, -4.22534, -4.21901, -4.00377, -4.13162, -4.09092, -4.53813, -4.30489, -4.47001, -4.35531
0.01, 0.0319375, -1.69096, -1.95794, -3.04214, -2.71819, -3.47631, -3.98975, -4.03152, -5.60008, -4.54904, -4.02228, -3.8192, -3.48792, -3.46927, -2.93271, -3.09351, -2.72765, -2.98677, -3.55878, -3.78451, -3.61158, -3.87333, -4.27547, -4.2926, -4.20148, -4.65015, -4.46363, -4.39938, -4.05018, -4.80304, -4.22944, -4.00258, -4.091, -4.3158, -4.13246, -4.24054, -4.41718, -4.57388, -4.22315, -4.28518, -4.53434
0.02, 0.0319375, -1.98903, -2.3926, -3.07181, -2.61839, -3.2711, -3.78164, -3.88364, -4.08146, -4.80957, -3.88839, -3.35696, -3.84921, -3.78457, -3.17654, -3.22701, -3.22635, -3.12261, -3.28084, -3.23835, -4.10674, -4.08276, -4.42125, -4.21747, -4.51759, -4.51315, -4.8395, -4.27274, -4.47036, -4.91698, -4.56566, -4.25719, -4.15399, -4.25315, -4.61233, -4.22737, -4.51856, -4.43411, -4.23976, -4.3048, -4.67366
0.03, 0.0319375, -2.15716, -2.62199, -3.17103, -2.75851, -3.42156, -4.32312, -3.71609, -3.8514, -3.70126, -3.81716, -3.38917, -3.38927, -3.83325, -3.71797, -3.4519, -3.01538, -3.19125, -2.90013, -3.35478, -3.93175, -4.01085, -3.82229, -3.84687, -4.1169, -4.40722, -4.58406, -4.25357, -4.11909, -4.75812, -4.72095, -4.31606, -4.20401, -4.23614, -4.42693, -4.42112, -4.61809, -4.30793, -4.36509, -4.53073, -4.76197
0.04, 0.0319375, -1.78883, -3.0938, -3.68624, -2.59349, -3.12541, -4.34972, -4.30429, -4.34903, -3.77779, -3.72419, -3.62265, -3.01741, -3.60854, -3.29645, -3.30999, -3.09447, -3.12722, -3.20261, -3.78021, -3.98406, -3.7342, -3.88947, -4.04755, -4.14966, -4.7259, -4.6098, -4.44871, -4.25547, -4.62734, -4.52688, -4.29807, -4.3679, -4.18737, -4.3141, -4.38821, -4.38485, -4.3495, -4.54095, -4.53214, -4.9089
0.05, 0.0319375, -1.5978, -3.04216, -3.50379, -2.45373, -3.26635, -4.73472, -4.32161, -3.73219, -3.89996, -3.28204, -3.41998, -3.28367, -3.63271, -3.20651, -2.99146, -3.11312, -3.32445, -3.32527, -3.96755, -4.47213, -4.241, -4.03924, -4.2737, -4.39994, -5.06418, -4.8109, -4.36946, -4.53361, -4.74094, -4.5898, -4.51653, -4.4206, -4.12987, -4.40533, -4.51352, -4.40551, -4.3715, -4.38788, -4.48101, -4.77805
0.06, 0.0319375, -2.18075, -3.85101, -3.34985, -2.41112, -3.00476, -4.28995, -3.88638, -3.52007, -4.26112, -3.95917, -3.47512, -2.63912, -3.31389, -3.72619, -3.73187, -3.63316, -3.03042, -3.21349, -3.55946, -3.95807, -3.75419, -3.85503, -4.09078, -4.59161, -4.498, -4.68463, -4.08432, -4.23646, -5.01264, -4.46953, -4.61192, -4.36561, -4.17421, -4.33984, -4.56129, -4.46447, -4.63335, -4.28326, -4.56456, -4.75603
0.07, 0.0319375, -1.6893, -2.88765, -3.28764, -2.6213, -3.22758, -3.51204, -3.43722, -3.51125, -4.33549, -4.5082, -4.07552, -3.07545, -3.2218, -3.42009, -3.87316, -3.73345, -2.90648, -2.89515, -3.56052, -3.5874, -3.80831, -4.12519, -4.27928, -4.5455, -4.38936, -4.52378, -3.98469, -3.9835, -4.92253, -4.95595, -4.74307, -4.58997, -4.30695, -4.30806, -4.14839, -4.46907, -4.36785, -4.39646, -4.47555, -4.70257
0.08, 0.0319375, -1.17714, -2.33026, -2.99273, -2.85756, -3.54955, -3.8043, -3.40423, -3.44507, -3.88083, -4.85916, -3.83478, -3.38865, -3.19126, -3.86638, -3.81786, -3.18945, -3.10746, -3.31305, -3.62799, -4.07235, -3.76668, -4.32554, -3.9442, -4.16945, -4.46857, -4.44264, -4.18191, -4.39484, -5.00521, -5.00661, -4.91177, -4.37811, -4.32622, -4.35722, -4.22601, -4.29919, -4.37779, -4.59381, -4.42258, -4.62993
0.09, 0.0319375, -1.08637, -2.69754, -3.23449, -2.52964, -3.25897, -3.84206, -4.05065, -4.02555, -3.63954, -3.96954, -3.75053, -2.98627, -3.42859, -3.71515, -3.34803, -3.12769, -2.94889, -3.37887, -3.22757, -3.73593, -3.93427, -4.7242, -4.38878, -4.65035, -4.66976, -4.64132, -3.96069, -4.53563, -4.71633, -4.48021, -4.94969, -4.34983, -4.48673, -4.2254, -4.36867, -4.24546, -4.41657, -4.46176, -4.42856, -4.61515
