# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.577959, -0.815881, -1.41753, -3.26917, -3.07719, -3.30274, -3.21401, -3.75084, -3.38414, -3.70792, -4.25904, -4.19002, -4.08853, -4.27113, -4.33494, -4.03408, -4.2035, -4.4517, -4.39963, -4.45893, -4.39399, -4.21627, -4.23781, -4.43518, -4.51424, -4.63978, -4.52694, -4.47156, -4.52407, -4.41913, -4.43719, -4.32672, -4.36637, -4.44882, -4.47313, -4.45308, -4.29635, -4.36597, -4.34792, -4.39659
0.01, 0.0319375, 0.542018, -0.686318, -1.02219, -3.1121, -3.92717, -3.14615, -2.99047, -3.86534, -3.94487, -4.23724, -4.17153, -4.0542, -4.75403, -4.30783, -4.51984, -3.95217, -4.2158, -5.17241, -4.76819, -4.72026, -4.71344, -4.40402, -4.85655, -5.01709, -4.75745, -5.18425, -4.38448, -4.83829, -4.64841, -4.78486, -4.41202, -4.49712, -4.83648, -4.67042, -4.59623, -4.68521, -4.73312, -4.55158, -4.73493, -5.08634
0.02, 0.0319375, 0.793771, -1.09087, -1.17231, -2.77556, -4.02927, -2.8161, -2.80461, -4.09338, -4.91805, -5.05879, -4.12887, -4.39806, -5.25898, -4.67267, -4.92556, -4.90673, -4.87732, -4.45096, -4.45795, -5.04831, -5.14875, -4.42853, -4.78077, -5.22423, -5.14966, -5.1955, -4.61144, -4.78885, -4.93432, -5.23114, -4.6543, -4.37732, -5.14458, -4.86235, -4.5463, -4.11108, -4.64112, -4.62815, -4.97903, -5.22135
0.03, 0.0319375, 0.348065, -1.0201, -1.47363, -3.31588, -3.17383, -2.68299, -3.01094, -3.79982, -3.75026, -3.90065, -4.11163, -3.88595, -4.13832, -3.94606, -4.10726, -4.09247, -4.02042, -3.96294, -4.14597, -4.36951, -4.27904, -4.08975, -4.1609, -4.25721, -4.17255, -4.22464, -4.34856, -4.10088, -4.30756, -4.23634, -4.169, -3.98189, -4.22546, -4.20483, -4.0837, -3.97528, -4.11979, -4.07326, -4.09363, -4.09487
0.04, 0.0319375, 0.212518, -1.07203, -1.86105, -4.02294, -3.03846, -2.94844, -3.31437, -4.06561, -4.51491, -5.41202, -5.04898, -4.60504, -3.96185, -4.18138, -5.17182, -4.67762, -4.54494, -4.51296, -4.43789, -4.75885, -5.26261, -4.66034, -4.63045, -5.02084, -5.10895, -4.82528, -4.91238, -4.67479, -4.86437, -4.70619, -4.77919, -4.43775, -4.73826, -4.9176, -4.55928, -4.36102, -4.55031, -4.50835, -4.49152, -4.72822
0.05, 0.0319375, 0.818344, -0.761054, -1.56551, -3.29087, -2.97507, -2.79881, -3.25863, -3.68594, -3.78244, -3.95876, -4.24212, -3.84869, -3.81285, -4.14042, -4.2538, -4.35712, -4.31845, -4.15438, -4.17913, -4.34636, -4.28003, -4.04996, -4.22922, -4.45373, -4.55058, -4.43072, -4.2767, -4.20906, -4.41035, -4.42781, -4.23462, -4.32798, -4.4766, -4.4621, -4.16435, -4.14196, -4.27118, -4.23242, -4.22248, -4.10083
0.06, 0.0319375, 0.700227, -1.04912, -1.54491, -2.83045, -3.36154, -2.69703, -2.71413, -3.72108, -4.52086, -4.16854, -4.0957, -4.07802, -4.06038, -4.55049, -4.7811, -4.82428, -4.29644, -4.28533, -4.66062, -4.83454, -4.79492, -4.5328, -4.54015, -4.70466, -4.81403, -4.8043, -4.57062, -4.69086, -4.70342, -4.64329, -4.62073, -4.71287, -4.87329, -4.48811, -4.41674, -4.41489, -4.47759, -4.49724, -4.59001, -4.66703
0.07, 0.0319375, 0.678513, -0.951268, -2.27833, -2.51219, -2.92825, -2.64808, -2.61924, -4.2816, -3.67493, -3.68256, -3.93007, -4.25568, -4.15946, -4.92607, -5.22898, -4.87972, -4.68373, -4.33285, -4.74383, -4.85193, -4.64854, -4.721, -4.63461, -4.45846, -4.92233, -5.12565, -4.61399, -4.75291, -4.84258, -4.88616, -4.90722, -4.71028, -5.08666, -5.03241, -4.84745, -4.72178, -4.58814, -4.61059, -4.85281, -4.8811
0.08, 0.0319375, 0.203309, -0.538459, -1.79015, -2.60809, -2.64596, -2.43697, -2.68838, -3.62598, -3.52681, -3.8416, -3.86439, -3.78278, -4.04596, -4.02578, -4.03379, -4.21121, -4.11726, -4.01883, -4.06193, -4.24015, -4.21121, -4.11346, -4.1039, -3.96818, -4.28234, -4.31991, -4.20423, -4.3088, -4.30183, -4.26603, -4.24444, -4.24762, -4.22008, -4.27223, -4.15306, -4.13119, -4.20675, -4.15994, -4.0876, -4.04545
0.09, 0.0319375, 0.425399, -0.589353, -1.55641, -2.49301, -3.83015, -2.71072, -2.62263, -4.2818, -4.4169, -4.60216, -4.58519, -4.90222, -4.95238, -4.55563, -4.9862, -4.65644, -4.70999, -5.13757, -4.91343, -5.06713, -5.17074, -4.73172, -5.09239, -4.79593, -4.97049, -5.11924, -5.20268, -5.04999, -4.87168, -4.67343, -4.93474, -4.99091, -4.69559, -4.56229, -4.46893, -4.78671, -4.97481, -4.73417, -4.83413, -4.79174
