# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -0.962831, -1.78248, -2.35503, -1.27797, -1.34348, -1.33788, -1.23052, -2.15079, -2.37873, -2.86219, -2.84648, -2.41956, -2.88765, -2.5171, -2.93988, -3.59155, -3.19087, -3.27979, -3.29757, -3.50981, -3.6341, -2.80347, -2.33643, -3.17925, -3.00962, -3.03504, -2.32636, -0.488834, -0.678033, -1.23349, -1.70104, -1.50075, -1.72289, -2.34462, -2.87325, -3.26709, -3.36373, -3.32254, -2.45459, -3.50661
0.01, 0.0319375, -0.694203, -0.988284, -1.99886, -1.62559, -2.28441, -1.22855, -1.26301, -1.98124, -2.54183, -2.43009, -2.43071, -2.5005, -2.8474, -3.1102, -3.19856, -3.38488, -3.79068, -3.4228, -3.55764, -3.5202, -3.45402, -2.60389, -2.52547, -3.35958, -3.17531, -3.1104, -2.00823, -0.479645, -0.637267, -0.562607, -1.26602, -2.03905, -2.03414, -2.45789, -2.84325, -3.40914, -3.55876, -3.35718, -2.85365, -3.35305
0.02, 0.0319375, -0.885789, -0.60946, -1.64046, -2.21629, -1.60386, -1.50318, -2.22495, -1.91779, -2.46033, -3.25474, -2.88505, -3.01165, -2.94368, -3.20818, -3.07977, -3.15101, -3.12839, -3.26162, -3.7855, -4.21778, -3.50773, -2.70758, -2.64041, -3.55608, -3.26735, -3.26392, -1.85516, -0.453105, -0.563578, -0.640631, -1.22785, -1.91034, -2.2595, -2.47534, -3.10333, -3.47772, -3.73611, -3.58375, -3.24204, -3.57061
0.03, 0.0319375, -0.761577, -0.879065, -2.00979, -2.53456, -1.59897, -2.26915, -1.83367, -2.2972, -1.79148, -2.15269, -3.03668, -3.2323, -3.09485, -3.05196, -2.83484, -2.92922, -2.9024, -2.76243, -3.29624, -3.87706, -3.48943, -2.85547, -2.58786, -3.53568, -3.2712, -2.63582, -1.19931, -0.782261, -0.762694, -0.712086, -1.30948, -2.15165, -2.5885, -2.7523, -3.1465, -3.48567, -3.56675, -3.73895, -3.19236, -3.41384
0.04, 0.0319375, -0.246069, -1.98436, -2.26562, -1.88302, -1.46178, -1.34309, -1.60356, -2.04922, -2.30605, -2.40203, -3.21445, -2.85083, -2.93254, -3.14628, -3.05323, -3.58092, -3.48365, -2.89632, -3.66659, -3.53611, -3.23294, -2.78044, -2.76615, -3.29069, -2.83957, -2.38919, -1.32671, -0.708942, -0.659795, -0.979231, -1.74313, -2.44628, -2.52531, -2.73207, -3.13582, -3.40821, -3.58391, -3.84925, -2.8816, -3.24702
0.05, 0.0319375, 0.048319, -0.634595, -1.75267, -1.72079, -2.10561, -1.47728, -1.70035, -1.57343, -2.94595, -3.67808, -2.91858, -2.67836, -3.40828, -3.55596, -2.84862, -3.41668, -3.2504, -3.38219, -3.89031, -2.97661, -3.03101, -3.11372, -2.98519, -3.02677, -3.1762, -2.48461, -1.23312, -0.708184, -0.997434, -1.39072, -1.86875, -2.21692, -2.39996, -2.9372, -3.01516, -3.19339, -3.62724, -3.48626, -2.75256, -3.24445
0.06, 0.0319375, -0.233626, -0.862173, -1.92291, -1.81029, -1.97158, -2.14105, -1.88361, -2.06879, -2.6839, -2.75622, -2.8181, -3.11736, -3.95438, -2.58788, -2.74067, -3.40364, -3.37098, -3.0847, -3.47017, -3.27423, -3.1135, -2.85471, -2.79293, -3.12002, -3.33184, -2.6155, -1.52089, -1.12942, -1.37807, -1.20833, -1.75072, -2.25744, -2.47634, -2.99905, -3.05556, -3.30601, -3.67963, -3.13615, -2.95878, -3.71122
0.07, 0.0319375, -0.658745, -1.3164, -1.63208, -1.17444, -1.44444, -2.22202, -1.99397, -3.36572, -2.05163, -2.46452, -2.87228, -2.60236, -3.17573, -2.80645, -2.72394, -3.3135, -3.46742, -2.63402, -3.02412, -3.28852, -2.78509, -2.86632, -2.72015, -3.20744, -3.45594, -3.15413, -2.06697, -1.73107, -1.65783, -1.54776, -1.77816, -2.31274, -2.58161, -2.82571, -2.89899, -3.29182, -3.49034, -3.33459, -3.09897, -3.53883
0.08, 0.0319375, -0.704566, -0.595307, -1.56393, -1.47916, -1.78679, -2.28033, -2.1601, -3.04742, -2.32721, -3.04652, -2.61366, -2.35878, -2.58048, -2.54112, -2.86613, -3.53612, -3.64588, -3.56529, -3.76148, -3.3946, -2.82074, -3.44694, -2.80369, -3.34837, -3.64564, -3.41893, -2.4657, -1.94156, -2.03959, -1.58563, -1.57639, -2.35911, -2.83457, -2.84224, -3.09874, -3.3417, -3.45127, -3.20285, -3.08382, -3.57196
0.09, 0.0319375, -0.829694, -1.72534, -1.38246, -2.01397, -3.03397, -2.21265, -2.00119, -2.89917, -2.54636, -2.87605, -2.71122, -2.17283, -2.65452, -2.86194, -2.67428, -3.14618, -3.42162, -3.55486, -3.60434, -3.44392, -3.49676, -3.33617, -2.34781, -2.85041, -3.631, -3.09938, -2.45423, -1.9119, -1.68312, -1.7163, -1.77763, -2.46082, -2.75963, -2.70252, -3.22904, -3.22884, -3.64914, -3.305, -3.23313, -3.53832
