# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -5.95157, -4.49508, -3.71816, -2.64893, -2.95498, -2.90018, -2.0714, -2.45127, -2.60535, -1.67917, -1.81571, -1.53199, -1.66132, -2.51773, -3.00551, -2.9062, -3.14198, -3.15973, -2.94533, -2.81502, -2.21665, -1.92849, -2.22798, -2.73172, -2.8504, -2.61213, -2.61284, -2.21667, -2.38044, -2.48885, -2.62574, -2.81428, -2.908, -2.87806, -2.4075, -2.58954, -2.33448, -2.12887, -2.71689, -3.20026
0.01, 0.0319375, -5.78304, -4.61205, -3.58951, -2.87873, -3.15743, -2.6124, -1.63006, -2.4499, -2.32043, -2.52171, -1.95482, -1.79075, -1.60986, -2.08404, -2.95943, -3.15604, -3.20102, -3.6733, -3.45462, -2.62298, -1.99614, -1.88891, -2.53465, -3.18458, -3.55733, -2.73582, -2.39186, -2.4676, -2.75144, -2.76197, -2.83297, -2.96096, -3.00078, -3.01989, -2.88768, -3.08069, -2.73165, -2.03919, -2.8628, -3.28943
0.02, 0.0319375, -6.05755, -4.92035, -3.56495, -3.1666, -2.75568, -2.06791, -1.50814, -3.10007, -2.35269, -2.62258, -2.40196, -1.26266, -1.56313, -2.4403, -2.997, -3.05073, -3.08325, -3.13495, -3.03044, -2.15775, -2.12564, -2.19089, -2.46136, -3.01333, -3.37093, -2.62363, -2.55447, -2.81054, -2.64355, -2.74366, -2.8768, -2.7226, -2.86805, -2.97436, -2.99071, -3.01028, -2.91076, -2.34523, -2.76751, -3.38463
0.03, 0.0319375, -5.60222, -4.96908, -3.81847, -2.89338, -2.99763, -2.57445, -2.29135, -2.58363, -3.12758, -2.62072, -2.52195, -1.61232, -1.79391, -2.57255, -3.07937, -3.29681, -3.0108, -3.05492, -3.30415, -2.52022, -2.36107, -2.3487, -2.25033, -3.1645, -3.22028, -2.86229, -2.9147, -3.06286, -2.91825, -2.76287, -2.79398, -3.00108, -3.28692, -3.09101, -3.04137, -3.01754, -2.78697, -2.74532, -2.94604, -3.41445
0.04, 0.0319375, -5.68751, -5.35573, -3.23375, -2.57464, -2.76793, -3.18086, -2.42488, -2.42171, -2.11375, -2.09345, -2.54178, -1.68366, -2.30817, -2.6509, -3.11767, -3.09722, -2.8997, -2.84984, -3.05668, -2.56814, -2.51029, -2.5974, -2.63394, -2.99226, -3.31073, -3.24892, -2.61687, -2.67372, -3.23935, -2.9279, -2.8954, -3.19309, -3.19877, -3.18635, -3.29072, -3.49525, -3.05174, -2.91038, -3.01379, -3.40424
0.05, 0.0319375, -5.68155, -5.21877, -3.28945, -2.40818, -2.47293, -3.08217, -2.45399, -3.33338, -2.30114, -2.3764, -2.51491, -2.26005, -2.51952, -2.8402, -2.76566, -2.88327, -2.68331, -2.68955, -2.86616, -2.77873, -2.63149, -2.3974, -2.56081, -3.0176, -3.30055, -3.28666, -3.08231, -3.04768, -3.36246, -3.16317, -3.11257, -3.01609, -2.91207, -3.26189, -3.52961, -3.44473, -3.26063, -3.18204, -3.04033, -3.259
0.06, 0.0319375, -5.85945, -4.61014, -2.65873, -2.86709, -2.75523, -2.94109, -2.60327, -3.25537, -3.46722, -2.90079, -2.59463, -2.71836, -3.34621, -2.76234, -2.7099, -3.13503, -3.30548, -3.38116, -3.72759, -3.01199, -2.83308, -2.74359, -2.77001, -2.94129, -3.17044, -3.39719, -3.34522, -3.02487, -3.16573, -2.96911, -3.07366, -2.75124, -2.67367, -2.98429, -3.21101, -3.17262, -3.18933, -3.1467, -3.12385, -3.32101
0.07, 0.0319375, -6.00507, -4.71851, -2.57563, -2.72422, -2.72976, -3.49798, -3.00724, -3.86645, -2.92475, -2.97735, -2.78732, -3.11388, -3.75618, -2.92468, -2.90777, -3.33402, -3.00448, -3.35975, -3.50972, -3.28489, -3.26979, -3.17952, -2.94418, -3.24648, -2.90371, -3.00947, -3.03888, -3.0833, -2.9592, -3.17827, -3.0238, -2.92036, -2.8725, -3.18937, -2.97774, -3.15861, -3.5196, -3.17601, -2.88343, -3.57873
0.08, 0.0319375, -6.17733, -4.82524, -2.94076, -2.49141, -2.64408, -2.9658, -3.55647, -4.14998, -2.97766, -3.32281, -3.05382, -2.81708, -3.42221, -3.16512, -3.39466, -3.11273, -3.48295, -3.41003, -3.57222, -3.39615, -2.88172, -3.38195, -2.83764, -3.17719, -3.21997, -3.24406, -2.83571, -2.7933, -2.98107, -3.2352, -3.10441, -2.85927, -2.65283, -3.07603, -3.18278, -3.09164, -3.31356, -3.01946, -2.90213, -3.66374
0.09, 0.0319375, -6.45511, -5.09259, -2.60959, -2.06009, -3.68809, -3.56809, -3.63678, -3.22521, -3.41838, -3.30123, -3.05536, -2.83729, -3.53392, -3.48509, -3.49353, -3.57808, -3.53456, -3.38535, -3.37812, -3.02524, -2.61247, -3.01696, -2.49686, -2.64796, -2.86396, -3.46986, -3.03786, -2.78921, -2.92251, -3.1451, -2.86593, -2.74524, -2.8838, -2.97455, -3.20374, -3.09321, -3.20465, -3.10686, -2.9116, -3.39772
0.1, 0.0319375, -5.26464, -3.80161, -2.69176, -2.6687, -3.75104, -3.02744, -3.31088, -3.31323, -3.15469, -3.28872, -3.38479, -2.97508, -3.36915, -3.26581, -2.97887, -3.5635, -3.20816, -3.25471, -3.88816, -3.18368, -2.56513, -2.8431, -2.58213, -2.56346, -2.93703, -3.60355, -2.98652, -2.72099, -2.75289, -3.00676, -2.85131, -2.83536, -3.0968, -3.21881, -3.12585, -2.88829, -3.16351, -3.13744, -3.00293, -3.49567
0.11, 0.0319375, -5.47274, -3.96035, -3.25357, -3.82167, -3.70153, -2.92832, -3.45507, -3.70951, -3.02424, -3.19459, -3.00481, -3.27421, -2.82983, -2.6022, -2.78347, -3.43143, -3.07253, -3.05975, -3.4099, -2.91544, -2.52539, -2.85271, -2.95892, -3.07363, -3.1948, -3.08008, -2.99074, -2.9806, -2.65996, -2.6563, -3.02792, -3.07459, -3.06351, -3.31777, -2.84337, -3.06606, -2.88399, -2.9419, -3.04136, -3.52793
0.12, 0.0319375, -5.11472, -4.38758, -3.42462, -2.72498, -3.11753, -2.85503, -2.72573, -3.59207, -2.97195, -3.65181, -3.14795, -3.70413, -3.19683, -3.04423, -2.85999, -3.17484, -3.29227, -3.0475, -2.96461, -3.27858, -2.90722, -2.54283, -2.58143, -2.89733, -3.15505, -3.11885, -3.27205, -3.05234, -2.61131, -2.55936, -2.82344, -2.92898, -2.73198, -2.93546, -2.94166, -3.19246, -3.31399, -3.14529, -3.17734, -3.41854
0.13, 0.0319375, -5.33217, -5.14639, -3.50454, -2.33397, -2.5727, -3.56688, -2.56974, -3.92566, -3.85019, -3.76494, -3.31752, -3.19627, -3.59097, -3.12335, -2.44464, -3.03424, -3.38406, -3.1238, -3.27912, -3.23627, -2.95971, -2.77177, -2.42133, -2.59641, -3.13745, -2.99451, -2.99993, -2.71295, -2.89256, -2.64509, -2.62604, -2.72014, -2.53335, -2.76457, -3.07595, -2.94804, -3.18115, -3.22249, -3.18252, -3.24276
0.14, 0.0319375, -4.90535, -4.37982, -3.76637, -2.64606, -2.92216, -3.10716, -2.77854, -3.87202, -3.42227, -3.77972, -4.05673, -3.26062, -3.45331, -3.21552, -3.02485, -4.11862, -3.4253, -3.13869, -3.45305, -3.36949, -2.98437, -2.86977, -2.65389, -2.91568, -3.21453, -3.04018, -2.87855, -2.52748, -2.71073, -2.86796, -2.58587, -2.77034, -2.67885, -2.83475, -3.20977, -3.04733, -3.09034, -3.03709, -3.04512, -3.21101
0.15, 0.0319375, -5.18746, -4.71055, -2.75882, -2.07567, -2.50041, -3.14823, -2.91582, -4.41631, -3.40121, -3.18225, -2.78978, -2.77779, -3.06853, -2.99258, -3.27131, -3.85899, -3.01742, -3.14757, -3.29236, -3.00045, -3.17344, -2.86507, -2.67142, -3.01215, -3.18697, -3.40847, -2.77284, -3.08409, -2.57446, -2.50333, -2.72761, -2.7668, -2.65424, -2.4262, -2.97985, -3.30735, -3.18408, -2.97595, -2.83474, -3.33423
0.16, 0.0319375, -5.83384, -4.13576, -2.41276, -2.10403, -2.20132, -2.22969, -2.2156, -3.75383, -2.98297, -3.31444, -2.46212, -2.46369, -3.11893, -2.50148, -2.9944, -3.24796, -2.61294, -2.99791, -3.16342, -2.96674, -2.71259, -2.51445, -2.75415, -3.02447, -3.28017, -3.09486, -2.99761, -2.81956, -2.37583, -2.53629, -2.73207, -2.96432, -2.87364, -2.62532, -3.16842, -3.25888, -3.15837, -3.02119, -2.72379, -3.28033
0.17, 0.0319375, -5.76862, -3.90925, -2.54346, -2.11412, -3.24099, -2.29367, -2.56741, -3.6332, -2.98576, -3.87324, -2.28892, -2.52009, -2.55188, -2.34691, -2.86163, -2.76542, -2.84487, -2.89798, -2.56364, -2.58086, -2.62323, -2.21042, -2.57099, -2.63274, -3.11373, -2.65037, -2.74965, -2.44475, -2.56888, -2.51404, -2.31339, -2.81943, -2.88701, -2.7376, -2.84192, -2.88055, -2.88322, -2.45636, -2.78346, -3.19712
0.18, 0.0319375, -5.58861, -3.65803, -2.71436, -2.72961, -2.55718, -2.31836, -2.51824, -3.51371, -2.41248, -2.77693, -2.4325, -2.1509, -2.58532, -2.45196, -2.95852, -2.69954, -3.2355, -3.00147, -2.78515, -2.27358, -2.281, -2.04659, -2.43948, -2.32851, -2.28919, -2.31414, -2.52368, -2.20543, -2.42179, -2.48226, -2.5432, -2.89792, -2.92737, -3.00568, -2.9393, -2.9469, -2.51707, -2.06822, -2.71608, -3.24411
0.19, 0.0319375, -6.0556, -4.25379, -2.88269, -2.20842, -2.12555, -2.06062, -2.31185, -2.73011, -2.26777, -2.39347, -3.21672, -2.27992, -2.02403, -2.2838, -3.28773, -2.85155, -3.06306, -3.01721, -2.62912, -2.62338, -2.10516, -1.85619, -2.5003, -2.11769, -1.82385, -2.12821, -2.58204, -2.31158, -2.13851, -2.24583, -2.50689, -2.51442, -2.69072, -2.77938, -3.02005, -2.69683, -2.25043, -1.8444, -2.33429, -3.16319
0.2, 0.0319375, -4.16105, -3.64828, -2.64129, -1.88168, -1.45195, -0.392821, -0.621582, -1.79453, -1.65935, -0.722651, -0.494523, -0.575173, -1.58544, -1.23417, -1.8779, -2.62521, -2.37925, -2.40433, -2.18617, -2.10077, -2.36732, -2.01306, -1.98569, -1.69065, -1.54326, -2.30078, -2.72434, -2.37058, -1.48206, -2.14936, -2.58489, -2.64813, -2.58043, -2.83642, -3.14286, -2.56552, -2.12539, -1.52987, -2.08442, -3.24166
0.21, 0.0319375, -5.40944, -3.20212, -1.47704, -0.104771, 0.736677, 1.33751, 0.8797, 0.186647, 0.658884, 1.6979, 1.32347, 1.09656, -0.0937018, 0.397999, -0.157699, -0.361327, -0.722176, -0.853044, -0.80141, -0.324137, -0.928648, -0.721541, -1.10445, -0.7613, -0.348319, -0.688992, -1.99139, -1.61744, -1.37284, -1.39219, -2.00685, -2.25424, -2.31417, -2.66029, -2.69291, -1.86181, -1.38368, -1.22894, -1.47347, -3.03434
0.22, 0.0319375, -4.10909, -3.09463, -1.49316, -0.46613, 1.21766, 1.55909, 0.365015, 0.0749339, 1.42099, 2.52482, 0.920177, 1.08247, 0.967649, 0.716032, -0.172834, 0.243133, -0.499077, -0.343514, -0.295509, -0.224307, -0.411372, -0.403938, -0.436982, 0.148228, 0.399545, -0.591507, -0.997319, -1.14434, -0.783194, -0.736612, -1.42345, -1.97791, -1.82971, -2.45574, -2.40629, -1.16712, -0.638021, -0.453096, -0.947942, -2.61163
0.23, 0.0319375, -3.31237, -3.01061, -2.30225, -1.18157, 1.11195, 1.67325, -0.213087, -0.958304, 1.34939, 2.80731, 1.07692, 0.519368, 1.26414, 1.27762, -0.519548, 0.137637, -0.19725, -0.435857, 0.16066, -0.684905, -0.188264, -0.578736, -0.164834, 0.372197, 0.433109, -0.430739, -0.84294, -1.0161, -0.56918, -0.423033, -1.13721, -1.9579, -1.75603, -2.03241, -1.89977, -0.993185, -0.485801, -0.233977, -0.657867, -2.26845
0.24, 0.0319375, -4.21796, -4.07637, -2.76017, -1.61638, 0.511507, 1.89033, 0.188974, -1.5669, 0.652368, 2.99684, 1.78408, -0.117707, 0.588125, 1.39187, -1.00424, -0.428442, 0.32722, -1.36481, 0.643587, -0.810424, -0.140614, -0.68033, 0.116, 0.274919, 0.890321, -0.816491, -0.783842, -0.477398, -0.596469, -0.547886, -1.13347, -1.92736, -1.62252, -1.76242, -1.58809, -0.839713, -0.40919, 0.0217666, -0.485788, -2.85262
