# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -3.53212, -4.65292, -3.65842, -3.9481, -4.67156, -3.13258, -3.4276, -3.89263, -3.85907, -3.05369, -2.56276, -1.64052, -3.48369, -3.80618, -4.60387, -3.6028, -3.56768, -3.11989, -2.99242, -3.63586, -4.30624, -4.15847, -3.58186, -3.7726, -3.96817, -3.61722, -3.71862, -3.57556, -4.12942, -3.8918, -3.84265, -4.17482, -4.81413, -5.10487, -5.06799, -5.62956, -5.47115, -5.41656, -5.58199, -5.59458
0.01, 0.0319375, -3.22229, -4.36337, -3.13896, -3.40289, -3.75674, -2.36512, -2.9668, -3.4373, -3.92886, -2.25685, -1.91708, -1.26158, -2.93128, -2.9342, -3.417, -3.72202, -3.46514, -2.71968, -2.63286, -3.14242, -4.08469, -3.64378, -3.18, -3.46474, -3.52592, -3.16759, -3.21397, -2.97173, -3.53127, -3.79633, -3.95848, -3.72198, -4.57536, -4.8294, -4.67551, -4.91479, -4.78455, -5.00316, -4.9055, -5.04199
0.02, 0.0319375, -3.22439, -4.05692, -2.64872, -3.07359, -3.32506, -2.00963, -2.89399, -2.85375, -3.29356, -1.97975, -1.25365, -0.923876, -2.30585, -2.45649, -3.26812, -3.16766, -2.80708, -2.33197, -2.21344, -2.61972, -2.45941, -3.00242, -2.96158, -3.69257, -3.32285, -3.23209, -2.98206, -2.58939, -3.32662, -3.32496, -3.20525, -3.64292, -4.25139, -4.2871, -4.43634, -4.60898, -4.51197, -4.38216, -4.5632, -4.72922
0.03, 0.0319375, -3.01225, -3.73148, -2.65622, -3.33022, -3.63361, -1.74208, -2.34824, -2.68116, -2.39845, -1.6631, -1.38605, -1.03037, -2.74713, -2.44162, -2.67517, -2.69499, -2.33048, -2.32419, -2.4434, -2.72081, -2.20308, -2.32122, -2.39665, -3.11121, -3.21488, -2.83156, -2.59316, -2.45971, -3.23597, -3.00023, -2.9611, -3.13564, -3.36082, -4.15722, -4.20551, -4.10177, -3.9308, -4.00674, -4.1572, -4.28848
0.04, 0.0319375, -3.10734, -3.7157, -3.06254, -3.02878, -2.93549, -1.9053, -2.02279, -2.03384, -2.41567, -2.01537, -1.71041, -0.998884, -2.49798, -2.32376, -2.44144, -2.23522, -1.78787, -2.32592, -2.39182, -2.40127, -1.95524, -1.96, -1.88399, -2.37526, -2.60658, -2.19556, -2.38404, -2.14937, -2.68077, -2.49249, -2.51398, -2.60587, -3.25729, -3.43549, -3.50752, -3.69968, -3.71651, -4.20477, -4.09692, -4.14124
0.05, 0.0319375, -2.99602, -4.08103, -3.01761, -3.24745, -2.78064, -2.41351, -1.92575, -1.85598, -1.89282, -1.68613, -1.29664, -0.990768, -1.78742, -2.45735, -2.34891, -2.55094, -1.98054, -1.87498, -2.07474, -2.03381, -2.20406, -2.51176, -2.31174, -2.39824, -2.36323, -2.27821, -2.31975, -2.00628, -2.71694, -2.31465, -2.36154, -2.67212, -3.23771, -3.52486, -3.35361, -3.76507, -3.92324, -4.11044, -4.02217, -4.13118
0.06, 0.0319375, -2.88343, -2.89905, -2.3043, -2.32829, -2.97582, -2.26338, -2.08818, -2.10786, -1.60885, -2.32895, -1.47569, -1.08129, -1.39197, -1.73609, -2.38288, -2.34158, -2.37687, -1.65554, -1.92886, -1.92465, -1.93933, -2.17691, -1.85919, -2.35818, -2.48117, -2.55758, -2.33912, -1.94803, -2.69227, -2.41357, -2.54617, -3.20469, -3.43029, -3.35546, -3.67605, -3.80933, -3.94749, -3.79598, -3.77886, -4.03129
0.07, 0.0319375, -2.45866, -3.26614, -2.55252, -2.9477, -2.62769, -2.42841, -1.88671, -1.43767, -2.51319, -1.80503, -1.1752, -0.858062, -1.84973, -2.18559, -2.62175, -2.51613, -2.02449, -1.84717, -1.9217, -1.83208, -1.55453, -2.22394, -1.81268, -1.84734, -2.14913, -2.582, -2.22351, -1.9906, -2.42888, -2.33035, -2.39828, -2.71223, -3.27221, -3.17809, -3.69479, -3.75842, -3.79882, -3.87154, -3.57433, -3.77875
0.08, 0.0319375, -2.18543, -2.88827, -2.23305, -2.19812, -2.5443, -1.96194, -1.1589, -0.82571, -1.97648, -1.27659, -0.735298, -0.822423, -1.56224, -1.97605, -2.38363, -2.43046, -2.0349, -2.13166, -1.95873, -1.84559, -2.1339, -2.58257, -1.77826, -1.96819, -1.9881, -2.35875, -2.18403, -2.10998, -2.34714, -2.54846, -2.33681, -2.80502, -3.17163, -3.39074, -3.86554, -3.23234, -3.46628, -3.71571, -3.43505, -3.55422
0.09, 0.0319375, -2.34627, -3.0356, -2.60812, -1.97306, -2.18112, -1.93875, -1.49927, -0.96476, -1.5609, -0.886008, -1.35708, -0.786793, -1.7521, -2.0394, -2.6041, -2.49801, -2.09072, -2.24889, -1.95764, -1.83459, -1.87637, -2.29923, -1.4248, -1.69882, -1.95272, -2.28633, -2.23802, -1.99514, -2.41937, -2.30352, -2.39566, -2.76511, -3.10658, -3.53642, -3.6173, -3.23512, -3.36953, -3.37036, -3.21763, -3.67634
