# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -0.997545, -0.129814, -0.0450511, 0.420506, 0.580242, -0.784184, -0.61349, -0.672444, 0.0275683, -0.480786, -0.316848, 0.655955, -0.308364, 0.507923, 0.633165, 0.35555, 0.219818, 0.299146, -0.133037, -0.505288, -0.516168, -0.32205, -0.561184, -0.482998, -0.660785, -1.02914, -1.13616, -1.58089, -1.86603, -1.58977, -1.81358, -1.64885, -1.8324, -1.6412, -2.16297, -2.27897, -1.82268, -2.19443, -2.36202, -2.83331
0.01, 0.0319375, -1.32489, -0.372963, 0.264901, -0.281424, 0.0553314, -0.844983, -1.26764, -0.817197, 0.17842, 0.202034, -0.039458, 0.202721, -0.215229, 0.301156, 0.229951, -0.0720992, -0.255768, -0.373881, -0.107963, -0.667021, -1.03188, -0.696401, -0.547319, -0.824381, -0.947434, -0.691334, -0.76011, -1.34226, -1.62128, -1.4155, -1.77949, -2.05388, -2.01988, -2.05709, -2.13135, -1.96246, -1.85434, -2.2179, -2.21113, -2.41786
0.02, 0.0319375, -1.73803, 0.0552706, 0.608116, -0.880877, -1.90872, -1.00975, -0.444204, -0.112959, 0.303878, 0.218106, -0.679638, 0.264443, 0.00691876, -0.0229722, 0.185582, -0.101187, -0.572216, 0.101197, -0.0550119, -0.475374, -0.470211, -1.0786, -0.841674, -0.864924, -1.15539, -0.733914, -0.921096, -1.50534, -1.23566, -1.26653, -1.68131, -2.03075, -1.91533, -1.82604, -1.98637, -2.05698, -2.17036, -2.13597, -2.12783, -2.48826
0.03, 0.0319375, -1.15769, 0.1815, 0.516773, -0.259294, -1.43632, -0.885443, -0.296282, -0.358252, 0.20286, -0.0230068, 0.156624, 0.323131, 0.59629, -0.148033, 0.257234, 0.390665, -0.0190767, 0.141313, 0.26055, -0.100731, -0.321955, -0.895686, -0.910136, -0.368349, -0.640422, -1.03688, -1.14069, -1.26207, -1.44645, -1.43123, -1.51897, -1.4206, -1.85078, -2.0755, -2.01986, -2.19291, -1.8524, -2.07013, -2.10582, -2.54265
0.04, 0.0319375, -1.08228, -0.687171, -0.061771, -0.222301, -0.436764, -0.342972, -0.438151, -0.658848, -0.171653, 0.0960541, 0.358197, 0.333132, 0.292639, 0.208368, -0.0108559, 0.0697023, -0.531425, -0.261436, 0.188969, -0.00536322, -0.486461, -0.735968, -0.320149, -0.258256, -0.59552, -0.76086, -1.08823, -1.24001, -1.63228, -1.42478, -1.75124, -1.32975, -1.77299, -2.22534, -2.07413, -2.04338, -1.96163, -2.13462, -2.2739, -2.60415
0.05, 0.0319375, -0.587074, -0.562301, 0.21374, -0.0019671, -0.634403, -0.602237, -0.344326, -0.589417, -0.583313, -0.669059, -0.485527, -0.221254, 0.479165, 0.475702, -0.0698806, -0.750595, -0.519135, -0.418851, -0.283777, -0.0653046, -0.662289, -1.10665, -0.475083, -0.773868, -0.945688, -1.08068, -1.02948, -1.43718, -1.55587, -1.51492, -1.77749, -1.36832, -1.58417, -2.05468, -2.19692, -2.24602, -2.30362, -2.37325, -2.36936, -2.2787
0.06, 0.0319375, -0.705085, -0.0267346, -0.145754, -0.689144, -2.05546, -0.474411, 0.00534273, -0.0213126, -0.0796287, -0.202951, -0.806247, 0.0604188, 0.405584, 0.934221, 0.212599, -0.285991, 0.171848, 0.808607, 1.29223, 0.489263, -0.339839, -0.689721, -0.468638, -0.34626, -0.65121, 0.247616, 0.885638, 0.145829, -0.739221, -0.767954, -1.18213, -1.33186, -1.76544, -1.89065, -1.79017, -0.902151, -0.998216, -0.927301, -0.302313, -0.104874
0.07, 0.0319375, -0.979606, -0.238575, 0.131499, -0.189073, -0.251613, 0.510506, 1.43067, 1.70534, 1.81234, 1.63416, 0.584691, 0.891974, 1.19375, 1.17812, 0.34365, 1.13287, 1.98165, 2.6554, 2.91029, 2.43994, 0.801884, 0.72951, 0.884808, 1.26577, 1.10808, 1.98411, 2.90662, 2.05239, 1.02724, 1.0831, 0.737595, -0.254659, -0.75835, -0.169021, -0.0333339, 0.999083, 1.22876, 1.2098, 2.14486, 1.94337
0.08, 0.0319375, -1.27796, -0.957746, 0.0575504, 0.611734, 0.43434, 1.04899, 1.79229, 2.69957, 2.4473, 2.23603, 0.950418, 1.28485, 2.03845, 1.6919, 1.37967, 1.8843, 2.34333, 3.52941, 3.56715, 2.5719, 1.55949, 1.11872, 1.58495, 1.63177, 1.94496, 3.25439, 4.00324, 3.1724, 1.87693, 2.39547, 2.19741, 1.26374, 0.655993, 1.09083, 1.3532, 2.02107, 2.35702, 2.30282, 3.10448, 2.64934
0.09, 0.0319375, -0.838025, -0.585133, 0.63549, 1.58283, 1.80271, 2.06822, 1.54173, 2.58141, 2.37368, 2.06254, 1.11665, 1.80821, 2.25514, 1.59918, 1.38585, 2.0587, 2.48637, 3.52134, 3.7555, 2.79429, 1.28439, 0.936462, 1.54894, 1.23516, 1.58703, 3.308, 4.01544, 2.98433, 1.62283, 2.34872, 2.13998, 1.15727, 0.732138, 1.26939, 1.38927, 1.93462, 2.37758, 2.3156, 2.97905, 2.40986
0.1, 0.0319375, -0.513488, -0.45832, 0.844724, 0.61127, 1.79267, 2.51506, 1.94224, 3.03467, 3.22582, 2.40045, 1.3065, 1.83253, 1.96232, 1.72181, 1.45009, 1.95357, 2.23595, 3.17633, 4.00437, 2.4337, 1.20087, 0.53143, 1.04845, 0.873984, 1.13336, 2.48345, 3.11949, 2.14774, 1.22572, 1.41784, 1.2451, 1.06137, 1.25038, 1.48875, 1.64163, 1.88761, 2.24803, 1.95009, 1.70755, 1.80747
0.11, 0.0319375, -0.999187, 0.0329559, 0.337902, 1.36679, 2.23456, 1.72006, 1.94346, 3.06792, 3.3357, 2.65299, 1.7942, 2.03275, 1.99853, 1.26875, 0.853796, 1.47647, 1.73206, 2.44576, 3.14315, 1.79465, 1.40598, 0.485171, 1.10011, 1.23821, 0.857582, 2.10545, 2.47259, 2.12816, 1.62142, 1.70795, 1.38297, 1.0942, 1.79771, 1.52497, 1.27596, 1.60989, 1.6055, 1.61958, 1.49871, 1.51866
0.12, 0.0319375, -0.881837, -0.520017, 0.781465, 2.0816, 2.12397, 1.80191, 2.35855, 2.92555, 3.31449, 2.04703, 1.6031, 2.08091, 2.47246, 1.07035, 0.814004, 1.16536, 1.98068, 2.21458, 2.87127, 1.86535, 1.46442, 0.912256, 1.44789, 1.78381, 0.644913, 2.23885, 2.58644, 2.11878, 2.15447, 2.14643, 1.65839, 1.63999, 2.17898, 1.62554, 1.20172, 1.19456, 1.43553, 1.55365, 1.75061, 1.53728
0.13, 0.0319375, -0.656749, -0.0204416, 1.10508, 2.17201, 1.22701, 1.17563, 2.72262, 3.79835, 2.63723, 1.79002, 1.3068, 2.12132, 1.81416, 0.955115, 0.655677, 1.20501, 1.79638, 1.41552, 1.92906, 1.65281, 1.14338, 0.71752, 1.39559, 1.27286, 1.01001, 2.02848, 2.41346, 1.82396, 1.96626, 2.06268, 1.68547, 1.58127, 2.1688, 0.90529, 0.930043, 0.727076, 0.923447, 0.884811, 1.15649, 0.569449
0.14, 0.0319375, -1.21123, -0.0375033, 1.18456, 0.980695, 0.791464, 0.804214, 2.80462, 3.91032, 2.43311, 1.5763, 1.35537, 1.30678, 2.00891, 1.86751, 0.429145, 1.03402, 1.28135, 1.14596, 1.36803, 1.56931, 0.918463, 0.139826, 0.883932, 0.772663, 0.860521, 1.44737, 1.40575, 1.30273, 1.18761, 1.55245, 1.13286, 0.723901, 1.17847, 0.263227, 0.639622, 0.837948, 0.419331, -0.0755563, 0.581671, 0.446276
0.15, 0.0319375, -1.08095, -0.744948, 0.507447, 0.321121, -0.183514, 0.227826, 2.54859, 3.94502, 2.61607, 1.07429, 0.718729, 0.482766, 1.911, 1.97721, 1.07042, 0.380035, 1.3947, 1.20325, 1.15933, 0.859667, 0.661512, -0.0420375, 0.0211665, 0.160532, 0.219155, 1.19047, 1.52241, 1.06141, 0.873561, 1.15682, 1.02689, 0.904338, 1.25619, 0.441113, 0.988109, 1.32204, 0.675509, 0.043738, 0.483252, 0.214129
0.16, 0.0319375, -1.35575, -0.540588, 0.665611, 0.124871, -1.55998, -0.0901874, 2.34083, 3.9533, 2.26292, 0.717594, 0.333798, 0.697345, 1.49027, 1.95062, 0.483743, 0.822435, 1.04375, 0.73825, 1.11043, 0.866038, 0.58705, -0.250265, 0.395461, -0.0693575, 0.198699, 1.20164, 1.54752, 0.990559, 0.820623, 1.10067, 1.26025, 0.82775, 1.35527, 0.532041, 1.45195, 1.35652, 0.678063, -0.406781, -0.0747203, -0.134908
0.17, 0.0319375, -0.482396, -0.150573, 0.0806452, -0.584629, -0.408746, 0.0667692, 2.29308, 3.81856, 2.12805, 0.694713, 0.518613, 0.650732, 1.45333, 1.79293, 0.332219, 0.865346, 0.839575, 1.03364, 0.984061, 0.965518, 0.692159, 0.174247, 0.414529, 0.320349, 0.339304, 1.22964, 1.28903, 0.835697, 0.492727, 1.07925, 1.18918, 0.770163, 1.27525, 0.807189, 1.79868, 1.36797, 0.135407, -0.616487, -0.10716, 0.273377
0.18, 0.0319375, -0.572601, -0.502516, 0.123372, -0.0468862, -0.0807501, 0.0115118, 2.22842, 3.76251, 1.7526, 0.485836, 0.375418, 0.085802, 1.44203, 1.85479, 0.980257, 0.996166, 0.894355, 1.16785, 0.85304, 1.38768, 0.882989, 0.157942, 0.222264, 0.584186, 0.323502, 0.878439, 1.25488, 1.20869, 0.308443, 0.770822, 0.927906, 0.973827, 1.35537, 0.71962, 1.69854, 1.53513, 0.748082, -0.110682, -0.0956679, 0.498105
0.19, 0.0319375, -0.94564, -0.409755, 0.396548, -0.447858, -0.475831, 0.205782, 2.24541, 3.78768, 1.916, 0.262724, -0.401513, 0.154279, 1.52251, 1.94518, 1.16543, 1.47998, 0.936912, 1.22218, 1.02103, 1.3856, 1.13106, 0.734439, 0.445323, 1.01284, 0.554087, 0.927341, 1.77827, 1.70137, 0.298976, 0.843268, 1.10858, 1.06481, 1.67447, 0.968298, 1.90771, 1.57966, 0.892444, 0.0327446, 0.237367, 0.588338
0.2, 0.0319375, -0.877777, -0.0786927, 0.141989, -0.334322, -0.622226, -0.0639101, 2.01515, 3.80575, 2.1599, -0.0134781, -0.523691, 0.196667, 1.58623, 2.12887, 0.968926, 0.740379, 0.809991, 1.18937, 1.04393, 1.07592, 1.08455, 0.955996, 1.03096, 1.0092, 0.655881, 0.757816, 2.05338, 1.88877, 0.281691, 0.68175, 1.16356, 1.15752, 1.60834, 1.12412, 1.92718, 1.4877, 0.626821, 0.0131956, 0.0625029, 0.38308
0.21, 0.0319375, -0.784489, 0.614292, 0.641459, 0.177797, -0.912987, 0.257045, 1.68624, 3.83149, 2.51784, -0.0862054, 0.466748, 0.692912, 1.45251, 2.19968, 0.777025, 1.15468, 0.743567, 0.822248, 1.11923, 0.825188, 1.47837, 0.936104, 1.44845, 1.20279, 1.26996, 1.029, 1.82251, 1.82576, 0.678555, 0.632489, 0.916899, 1.27441, 1.41398, 0.882576, 1.84829, 1.53221, 0.681178, 0.164304, 0.0969239, 0.489346
0.22, 0.0319375, -0.839796, 0.566178, 0.836903, 0.192917, -0.892444, 0.343407, 1.45293, 3.79582, 2.72417, 0.632754, 0.360436, 0.133507, 1.04885, 2.28795, 1.1481, 1.32548, 1.08099, 0.993017, 1.00607, 1.07267, 1.71945, 0.727737, 1.50648, 1.80572, 1.64346, 1.17872, 1.89825, 1.80873, 0.689121, 1.08701, 1.1709, 1.38036, 1.12147, 0.866476, 1.72995, 1.68855, 0.764708, 0.276044, 0.179014, 0.389522
0.23, 0.0319375, -0.867668, -0.120216, 0.291019, -0.552764, -0.675227, 0.201393, 0.937542, 3.76811, 3.22771, -0.0464521, -0.081449, -0.219138, 0.6371, 2.10036, 0.802077, 1.07549, 1.04213, 1.3664, 1.21748, 1.02648, 1.47647, 0.84983, 1.22868, 1.95348, 1.98961, 1.20139, 1.77213, 1.39375, 0.444187, 1.3752, 1.24055, 1.72903, 1.42993, 0.892374, 1.77177, 1.55009, 0.607646, 0.177258, 0.0910494, 0.125738
0.24, 0.0319375, -1.10435, -0.193645, 0.841817, 0.262631, 0.260662, -0.0242443, 0.897548, 3.69928, 3.49837, 0.35711, -0.301328, -0.14476, 0.0834849, 0.923189, 0.107302, 1.09918, 0.759191, 1.32537, 1.46376, 1.66189, 0.935321, 1.02052, 1.19638, 1.67367, 1.64586, 0.90724, 1.45509, 1.40837, 0.232427, 0.873336, 1.17949, 1.31959, 0.865044, 0.587862, 1.58551, 1.4101, 0.238944, 0.260329, 0.007734, -0.235921
0.25, 0.0319375, -0.894133, -0.0142498, 0.422606, -0.320684, 0.211906, -0.324359, 0.0953455, 3.26279, 3.58335, 0.692454, -0.294615, -0.369253, -0.00831162, 1.34982, 1.05902, 1.10966, 0.956661, 0.501553, 1.41203, 1.31348, 0.719895, 0.497186, 1.07422, 1.6487, 1.73748, 0.860642, 1.08943, 1.40636, 0.536363, 0.698142, 0.674293, 1.11651, 0.5289, 0.68184, 1.26499, 0.974801, 0.170372, 0.221759, 0.220591, -0.125998
0.26, 0.0319375, -0.965111, 0.221594, 0.449416, -1.09642, -1.04907, 0.348622, 0.580423, 2.27961, 3.49603, 1.5259, -0.688637, 0.20875, 0.361906, 1.12555, 1.46602, 0.699029, 0.741779, 0.699194, 1.86484, 1.2985, 1.35915, 0.793798, 1.06353, 1.43076, 1.54494, 1.29002, 1.00806, 1.27286, 0.640101, 0.731977, 1.01606, 1.25794, 0.499273, 1.09494, 1.45942, 1.02456, 0.156837, 0.28335, 0.484682, 0.0956237
0.27, 0.0319375, -0.204989, -0.361672, 0.411425, -0.80629, -0.416151, -0.121137, -0.124745, 2.01684, 3.77082, 2.03092, 0.400979, 0.77577, 0.138774, 1.14897, 2.04506, 1.05753, 0.985165, 0.410897, 1.88306, 1.60057, 1.83627, 0.703955, 1.28216, 1.3668, 1.71281, 1.4896, 0.7818, 1.22854, 0.650603, 0.984282, 0.970964, 1.29444, 0.603199, 1.02423, 1.71105, 1.01379, 0.400206, 0.416281, 0.533336, 0.560087
0.28, 0.0319375, -0.449824, -0.238871, 0.0789012, -0.420385, -0.431875, -0.262431, 0.264268, 2.34503, 3.91409, 2.15731, -0.00919094, 0.138204, 0.816026, 1.37989, 1.98226, 1.12127, 1.10627, 0.887327, 1.59141, 1.92644, 1.77621, 0.712878, 1.15583, 1.34975, 2.09881, 1.54631, 0.722931, 1.1772, 0.767746, 0.992847, 0.943246, 1.27823, 0.904836, 1.25463, 1.95836, 1.13136, 0.662499, 0.576204, 0.627046, 1.07891
0.29, 0.0319375, -1.05498, -1.12955, -0.169693, -0.366501, -0.212983, -0.0489252, 0.490626, 2.20545, 3.85149, 2.64627, -0.236337, 0.27366, 0.536817, 1.4128, 2.1784, 0.804307, 1.35404, 0.813722, 0.8912, 1.09565, 1.50692, 0.840812, 1.8159, 1.75332, 1.76838, 1.36957, 0.951965, 1.44646, 0.734089, 0.960644, 0.856774, 1.43442, 0.876167, 1.35882, 1.58471, 0.967379, 0.776458, 0.708489, 0.562774, 0.87891
0.3, 0.0319375, -0.916782, -0.642479, 0.0257788, -0.385817, -0.3313, 0.312625, 0.597326, 1.24097, 3.3832, 2.71399, 0.0325773, 0.491667, 0.888012, 0.66809, 1.61739, 0.923545, 1.26995, 1.50734, 1.77618, 1.56418, 1.99041, 1.13857, 2.21164, 2.1919, 1.75222, 1.17117, 0.98391, 1.33377, 0.586954, 0.899978, 1.02529, 1.64358, 1.07736, 1.66128, 1.81337, 1.21105, 0.72427, 0.992637, 0.918994, 0.786468
0.31, 0.0319375, -0.995208, -1.15135, 0.000270807, -0.521983, -0.611046, 0.524372, 0.416882, 1.91485, 3.76894, 2.38974, -0.598617, 0.564467, 0.722802, 0.912712, 0.985132, 0.951717, 1.20019, 1.37105, 2.04306, 1.97052, 1.65631, 0.812979, 1.89089, 2.22847, 1.93987, 1.51451, 0.68411, 1.34132, 1.02032, 0.824327, 1.37134, 1.82287, 1.26497, 2.0159, 1.9772, 1.26354, 0.819393, 1.34162, 1.33475, 1.52938
0.32, 0.0319375, -1.02607, -0.397596, -0.116177, 0.110122, -0.254488, 0.248802, 0.473596, 2.19909, 3.94078, 2.09212, -0.0827846, 0.433846, 0.238235, 1.47338, 1.21694, 1.00223, 1.53136, 1.21168, 2.24749, 1.86354, 1.37389, 0.919798, 1.41503, 1.64046, 2.23779, 1.84582, 1.24773, 1.35465, 0.980325, 0.856102, 1.40157, 1.54296, 1.10381, 2.00671, 2.12939, 1.25325, 0.947085, 1.43516, 1.09057, 1.49914
0.33, 0.0319375, -0.902924, -0.545822, 0.0465303, 0.151647, 0.353917, 0.687903, 0.548981, 2.21486, 3.86328, 1.76974, -0.140033, 0.533648, 1.03308, 1.22547, 1.47779, 1.17246, 1.65035, 1.43246, 1.51802, 1.58061, 1.50211, 1.16328, 1.66562, 1.62297, 2.66213, 2.3838, 1.71052, 1.77454, 0.852058, 1.10701, 1.44984, 1.61649, 1.24408, 1.77654, 1.84148, 1.29506, 0.752825, 1.36074, 1.11076, 0.907258
0.34, 0.0319375, -1.16992, 0.0883089, 0.405305, -0.122742, 0.26761, 0.476475, 0.384511, 2.01505, 3.93453, 2.16744, -0.33029, 0.402044, 0.919059, 0.800506, 1.0457, 0.872482, 1.84086, 2.06614, 1.42356, 1.78694, 1.61131, 1.12801, 2.06315, 1.86553, 2.31907, 2.18966, 1.35197, 2.01206, 0.922656, 0.870261, 1.17848, 1.53035, 1.16839, 1.70947, 1.59142, 1.2483, 0.744162, 1.18963, 1.04972, 0.711772
0.35, 0.0319375, -0.601944, -0.016601, 0.171305, -0.0488398, -0.506336, 0.0135058, 0.451832, 1.5454, 3.87276, 2.2845, -0.365842, 0.557302, 0.91805, 1.31509, 0.917486, 0.50683, 1.16094, 2.07614, 1.78527, 1.67658, 1.2384, 1.34706, 2.34004, 2.13503, 2.48822, 2.42102, 1.12032, 1.86373, 0.800604, 0.612071, 0.94458, 1.40739, 1.04984, 1.59511, 1.91824, 1.12736, 0.514352, 1.11266, 0.914356, 0.982361
0.36, 0.0319375, -1.47783, -1.27747, -0.581961, -0.341101, -0.22527, -0.0570288, -0.358762, 1.60925, 3.81956, 2.03808, 0.24538, 0.507537, 0.972563, 1.41631, 0.891063, 0.245386, 0.882139, 2.202, 2.15602, 1.41194, 1.43662, 1.5856, 1.98468, 1.90533, 2.83423, 2.5378, 1.30968, 1.63059, 0.601727, 0.289158, 0.719007, 1.09623, 0.995055, 1.69712, 1.94203, 1.30613, 0.714613, 1.46508, 0.889118, 0.698454
0.37, 0.0319375, -1.27447, -0.26676, -0.37933, -0.27393, -0.866641, -0.358309, -0.425896, 2.30846, 3.78768, 1.5317, 0.369909, 0.891049, 0.227698, 1.2858, 1.33308, 0.160207, 1.52789, 2.14562, 2.21158, 1.28742, 1.31239, 1.54887, 1.70775, 1.97574, 2.8376, 2.24823, 1.20922, 1.32581, 0.595412, 0.238616, 0.531527, 0.773035, 0.852952, 1.6263, 1.42548, 1.09977, 0.631859, 1.37362, 1.05614, 0.489175
0.38, 0.0319375, -1.20816, 0.241194, 0.790158, 0.0235012, -0.43088, -0.609005, -0.528739, 2.86678, 3.68941, 0.858674, -0.381012, 0.576492, 1.05004, 1.31557, 1.07545, 0.981655, 1.56369, 2.00391, 1.56238, 1.54273, 1.74188, 1.94316, 1.74147, 1.86256, 2.83316, 1.78279, 1.06163, 1.2695, 0.883563, 0.420256, 1.12406, 1.00706, 0.876617, 1.67227, 1.67264, 1.13607, 0.941067, 1.57454, 1.02471, 0.500253
0.39, 0.0319375, -0.287357, -0.311847, 0.574824, 0.108187, 0.0828719, -0.493341, -0.000970596, 3.23023, 3.45662, 0.703134, 0.283051, 0.550077, 0.965678, 1.36252, 0.845141, 0.748819, 0.825529, 1.99281, 1.46378, 1.44791, 1.98673, 2.28338, 1.35069, 2.11933, 2.28237, 1.52025, 1.20945, 1.31444, 0.906241, 0.681019, 1.46013, 1.13798, 0.990919, 1.96086, 1.88433, 1.12934, 0.823562, 1.26338, 0.98383, 0.476795
0.4, 0.0319375, -0.296827, -0.135847, 0.13563, -0.551318, -0.087774, -0.0554884, 0.233368, 3.51786, 3.25082, 0.434262, 0.306088, 0.705217, 0.690646, 1.41416, 0.423876, 0.523414, 1.26604, 2.11321, 1.37959, 1.52504, 2.20119, 2.39401, 1.26831, 2.18148, 1.84523, 1.84142, 1.32006, 1.09462, 0.936233, 0.99184, 1.33919, 1.24809, 1.12809, 1.74464, 1.85786, 1.22915, 1.05846, 1.60995, 1.11926, 0.597277
0.41, 0.0319375, -0.658466, -1.64455, -0.512649, -1.01633, -0.71287, -0.324863, 0.0936007, 3.56112, 3.56313, 0.187485, 0.193361, 0.42458, 1.10611, 1.28696, -0.157875, 0.486708, 1.56104, 1.84213, 1.39831, 1.41941, 1.75835, 2.06359, 1.556, 2.18416, 1.82501, 1.9391, 1.47072, 1.19147, 0.879754, 0.741396, 1.13287, 1.03382, 0.880034, 1.58489, 1.73445, 1.25595, 1.10451, 1.37289, 1.07001, 0.518522
0.42, 0.0319375, -1.68733, -1.2383, 0.0761269, -0.365794, -1.02816, -0.102286, -0.213081, 3.41977, 3.49936, 0.204512, -0.548324, 0.707911, 1.41006, 1.27074, 0.26008, 0.363802, 1.64818, 1.68319, 1.09144, 1.00769, 1.58256, 2.14937, 1.37906, 2.095, 2.14713, 1.37361, 0.871978, 0.996272, 0.395931, 0.272325, 0.818003, 1.14867, 0.37972, 1.16318, 1.63901, 0.688743, 0.643204, 1.15666, 0.687979, 0.301294
0.43, 0.0319375, -2.29967, -0.946227, 0.0444253, -0.990321, -0.532067, -0.218918, 0.0919745, 3.36009, 3.38099, -0.300495, -0.665863, 0.423774, 0.212244, 0.936308, 0.377559, 0.746165, 1.4418, 1.4607, 1.11049, 0.397515, 1.1121, 1.99396, 1.22205, 1.96487, 2.33299, 1.81505, 1.09549, 0.989846, 0.863371, 0.187367, 0.668631, 0.912, 0.353204, 1.26936, 1.57574, 0.520483, 0.492828, 1.15357, 0.601548, -0.0188687
0.44, 0.0319375, -2.89002, -0.643853, 0.0374178, -0.834819, -0.424324, 0.20441, 0.0602138, 3.3765, 3.3364, 0.307032, -0.182933, 0.347164, 0.580151, 1.02013, 0.63807, 0.706603, 1.3578, 1.45796, 1.36901, 0.372759, 1.48331, 2.12077, 1.3044, 2.21053, 2.48215, 1.49789, 1.01116, 0.690564, 0.868394, 0.127142, 0.44784, 1.03605, 0.377947, 1.38667, 1.75539, 0.662358, 0.676904, 1.62354, 0.500504, -0.113853
0.45, 0.0319375, -2.02185, -0.717423, -0.382975, -0.465323, -0.85192, -0.229464, -0.262328, 3.36491, 3.41925, 0.129095, -0.263473, -0.0105185, 0.551388, 1.28076, 0.744783, 0.474877, 1.48134, 1.4386, 1.31364, 1.07417, 1.50528, 1.7882, 0.941572, 1.94122, 2.32642, 1.26185, 0.964747, 0.578851, 0.830933, 0.499909, 0.598452, 0.925198, 0.413091, 1.41272, 1.93651, 0.850737, 0.715419, 1.23942, 0.573904, 0.292712
0.46, 0.0319375, -1.60462, -0.386409, 0.114357, -0.483218, -1.67619, -0.335794, -0.299696, 3.27227, 3.43074, -0.567213, -1.06483, 0.141615, 0.787494, 1.35671, 0.906604, 0.554201, 1.40969, 1.07902, 1.26045, 1.10261, 1.18079, 1.51828, 0.820655, 1.97772, 2.52428, 1.39799, 0.987902, 1.00411, 0.872994, 0.35631, 0.407207, 0.87898, 0.547529, 1.29445, 1.62026, 0.857253, 0.529523, 1.14177, 0.65014, -0.115995
0.47, 0.0319375, -1.7811, -0.883201, -0.014982, -1.08121, -0.943874, -0.849481, -0.72084, 3.06027, 3.34934, -0.296606, -0.326244, -0.210709, 0.292116, 1.17783, 1.04556, 0.208567, 0.843724, 1.09446, 1.08636, 0.837659, 1.11772, 1.66118, 0.952759, 2.08971, 2.66886, 1.80451, 1.13509, 0.9619, 0.782929, 0.381896, 0.383597, 0.964024, 0.391247, 1.00587, 1.20438, 0.810939, 0.474214, 1.1255, 0.710358, -0.00883922
0.48, 0.0319375, -1.05149, 0.0694783, -0.0355922, -0.180466, -0.483015, -0.285776, -0.587275, 2.95315, 3.35181, 0.0649774, 0.30843, 0.364698, 0.375799, 1.00312, 0.543621, 0.821208, 1.58799, 1.2038, 0.979832, 0.835934, 1.2943, 2.12392, 1.3287, 2.21192, 2.64371, 2.14171, 1.06622, 0.857489, 0.700624, 0.17202, 0.25955, 1.0972, 0.366773, 0.782423, 1.50748, 1.30036, 0.444958, 1.17681, 0.799827, 0.496235
