# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -2.86971, -1.53312, -1.17135, -1.44885, -2.16565, -2.15217, -2.08543, -1.99643, -2.65499, -2.68678, -3.27125, -2.47552, -2.75393, -2.8597, -3.15086, -2.94554, -2.14348, -2.61342, -1.95577, -2.39075, -2.88424, -1.70944, -1.80128, -1.61698, -1.73658, -2.04527, -1.89637, -1.8631, -1.79287, -1.84606, -2.21012, -2.55176, -3.12022, -3.50276, -3.4405, -3.41157, -3.17054, -3.4234, -2.99585, -3.2594
0.01, 0.0319375, -2.63725, -1.68593, -1.54446, -1.32693, -2.156, -2.65259, -2.29424, -2.29624, -2.34844, -2.53744, -2.40903, -2.03246, -2.60325, -2.94167, -2.7814, -2.65852, -2.95786, -2.78119, -1.84177, -1.98051, -2.33358, -1.25563, -1.38373, -1.99461, -2.05057, -2.41116, -1.91374, -1.69174, -2.14975, -2.06275, -2.15051, -2.40655, -3.08002, -3.52681, -3.49479, -3.62175, -3.41861, -3.47158, -3.05358, -3.04536
0.02, 0.0319375, -1.86559, -1.75084, -0.999916, -1.50777, -2.61516, -2.98718, -2.79559, -1.87399, -1.87986, -2.0155, -2.32235, -2.6239, -3.07717, -2.92451, -2.74594, -2.77242, -3.00214, -2.7026, -2.0655, -1.99666, -2.22685, -1.27519, -1.50706, -2.34961, -2.43107, -2.51575, -2.02359, -1.62157, -2.33728, -2.12564, -2.41007, -2.83504, -3.04689, -3.4441, -3.3318, -3.30187, -3.50751, -3.48989, -3.09532, -3.33986
0.03, 0.0319375, -2.37681, -1.36152, -1.47048, -1.94631, -2.53791, -2.3106, -2.06309, -2.128, -2.28757, -2.18, -2.97772, -2.59943, -3.33899, -3.45521, -3.107, -2.89695, -3.15358, -2.31237, -1.7555, -2.36277, -2.25638, -1.64479, -1.89516, -2.37447, -2.18052, -1.95332, -1.76867, -1.90677, -2.63107, -2.15489, -1.98548, -2.45007, -2.98209, -3.44068, -3.64657, -3.45062, -3.78176, -3.74101, -3.33718, -3.35053
0.04, 0.0319375, -4.06418, -1.96701, -2.1779, -2.22421, -3.09531, -3.21458, -2.34232, -2.02858, -1.98629, -1.94671, -2.08621, -2.76257, -2.99806, -3.02764, -2.88264, -3.40989, -3.57044, -2.8124, -2.25528, -2.65743, -2.22125, -1.83415, -2.33079, -2.59216, -2.4197, -2.46321, -2.20963, -2.10127, -2.29681, -2.02795, -2.28457, -2.69623, -3.26102, -3.50468, -3.56209, -3.68848, -3.72441, -3.91356, -3.22332, -3.42162
0.05, 0.0319375, -1.87172, -1.00466, -1.31987, -1.84699, -3.02215, -3.44845, -2.74578, -2.00198, -2.31967, -2.11314, -2.68511, -2.85598, -2.52721, -2.98658, -3.15444, -2.89609, -3.35412, -3.54188, -2.81376, -2.52316, -2.13772, -1.88858, -2.46061, -2.71731, -2.72782, -2.34202, -2.24345, -2.01496, -2.22306, -2.3313, -2.79799, -3.13089, -3.45471, -3.54508, -3.58397, -3.70932, -3.95923, -3.8687, -3.51131, -3.72751
0.06, 0.0319375, -1.18561, -0.628808, -1.24134, -1.65418, -2.4545, -3.09204, -2.64473, -2.75127, -2.51639, -2.68958, -2.84787, -2.49081, -3.10548, -3.32584, -2.97369, -3.05352, -3.0676, -3.03204, -2.73288, -2.86316, -2.65846, -1.97547, -2.47271, -2.44299, -2.77024, -2.52965, -2.3854, -2.592, -2.49799, -2.56248, -2.89324, -2.98254, -3.16501, -3.55352, -3.6217, -3.5688, -3.52489, -3.61926, -3.80232, -3.80362
0.07, 0.0319375, -1.81066, -0.743894, -1.20537, -1.78396, -2.78443, -2.2328, -1.74209, -2.53727, -2.90715, -2.49395, -2.80167, -2.47665, -2.57269, -3.74238, -2.9465, -3.00801, -3.37529, -2.85496, -2.2033, -2.93197, -2.55265, -2.07115, -2.52633, -2.67083, -2.72022, -2.80039, -2.27345, -2.20215, -2.59151, -2.71702, -2.89279, -3.04736, -3.16314, -3.52968, -3.3684, -3.3036, -3.83303, -4.0496, -3.48848, -3.53658
0.08, 0.0319375, -1.93364, -1.48326, -1.48138, -2.0112, -1.9804, -2.10118, -1.84163, -2.57751, -2.09355, -2.58515, -2.6365, -2.26227, -2.8907, -3.99047, -3.92268, -2.67195, -3.082, -2.86392, -2.65594, -3.07891, -2.40238, -2.22947, -2.86064, -2.70914, -2.60945, -3.00943, -2.32076, -2.21036, -2.9097, -2.97766, -3.09202, -3.44865, -3.35187, -3.37464, -3.46027, -3.30531, -3.84353, -3.75255, -3.43686, -3.73282
0.09, 0.0319375, -1.69595, -1.20585, -1.48313, -1.67436, -2.17634, -2.35075, -1.94314, -1.97285, -2.43987, -2.6641, -2.99833, -2.50323, -3.2117, -2.98548, -2.93161, -3.16289, -2.8663, -2.64213, -2.7325, -2.9753, -2.42573, -2.22585, -2.885, -3.12103, -3.29743, -2.79799, -2.52164, -2.70738, -3.32197, -3.00334, -3.15294, -3.32818, -3.51268, -3.85971, -3.71545, -3.25466, -3.66581, -3.68902, -3.97591, -4.13772
