# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, -2.03137, -1.54077, -0.97526, -1.09671, -2.74399, -1.47937, -1.77988, -2.73922, -1.17762, -0.956933, -0.557864, -0.530884, -0.289509, 0.00572435, -0.350545, -0.241759, -0.858434, -1.31645, -1.1112, -1.4608, -1.62548, -2.25882, -2.76021, -2.68821, -3.2326, -3.5232, -3.21986, -3.96725, -4.38571, -4.92317, -4.95957, -5.26922, -5.59406, -6.00214, -6.22348, -6.23409, -6.10173, -5.95472, -5.99265, -5.96425
0.01, 0.0319375, -1.95838, -1.36097, -1.32234, -1.09894, -1.85564, -1.25575, -2.0372, -3.2601, -1.80444, -1.17317, -0.816978, -0.0602868, -0.337567, -0.340992, -0.184293, 0.167222, -0.383661, -0.860943, -1.44941, -1.79914, -1.61484, -1.82009, -2.06698, -2.24497, -3.1117, -3.47172, -3.0638, -3.53721, -4.47143, -4.576, -4.73267, -4.65176, -4.93963, -5.03126, -5.05932, -4.98706, -4.96635, -4.953, -4.90886, -4.84714
0.02, 0.0319375, -1.7837, -1.38234, -1.94822, -1.57289, -1.67167, -1.72558, -1.94215, -3.24885, -1.64372, -1.05724, -1.38647, -0.550849, -0.19232, -0.759084, -0.496699, 0.23605, 0.00759003, -0.644619, -1.56165, -1.4863, -1.63813, -1.55795, -1.36624, -2.12076, -2.83406, -3.39889, -3.23359, -3.41928, -4.41268, -4.64988, -4.88433, -4.87329, -5.1524, -5.5388, -5.59512, -5.57738, -5.60064, -5.5439, -5.53959, -5.42389
0.03, 0.0319375, -1.63817, -0.882061, -1.49602, -1.92079, -2.26407, -1.54826, -1.58077, -2.75702, -1.33996, -1.2347, -1.16084, -0.394074, -0.235898, -0.375552, -0.182316, 0.227188, -0.565965, -0.891843, -1.23298, -1.33469, -1.63608, -1.73078, -1.33423, -2.32752, -3.29889, -3.36234, -3.43962, -3.5346, -4.30504, -4.3203, -4.7604, -5.15543, -5.55206, -5.87856, -5.94626, -6.3114, -6.32292, -6.28842, -6.26679, -6.18293
0.04, 0.0319375, -2.18601, -0.811583, -1.1424, -1.44636, -2.07938, -1.85849, -1.34476, -2.54634, -1.85776, -2.1251, -1.43663, -0.439619, -0.399293, 0.203627, 0.129119, 0.093722, -0.216346, -0.624761, -1.12761, -0.906107, -1.42573, -2.17895, -1.90795, -2.26777, -2.73108, -3.20923, -3.43879, -3.49999, -4.11915, -4.67298, -4.77332, -4.77981, -4.94736, -5.12314, -5.12545, -5.1279, -5.0742, -5.06731, -5.03705, -4.98268
0.05, 0.0319375, -2.56023, -1.6401, -1.71608, -1.64057, -2.28968, -1.19486, -1.10322, -2.76789, -1.43284, -1.13905, -1.64646, -0.49999, -0.754952, 0.021717, -0.0869843, 0.224374, -0.17079, -0.891109, -1.29707, -0.901183, -1.61154, -2.19648, -2.02255, -2.24367, -2.86571, -3.4389, -3.48377, -3.62801, -4.04058, -4.69959, -4.71644, -4.90448, -5.44963, -6.01774, -6.12301, -6.19642, -6.19787, -6.38927, -6.23481, -6.08461
0.06, 0.0319375, -2.09897, -2.18905, -2.35602, -2.02584, -2.19057, -1.13346, -1.86243, -2.48907, -1.48229, -1.48299, -0.94163, -0.899239, -0.885563, -0.0587478, 0.0455563, -0.829666, -0.623896, -0.555825, -0.799129, -1.00391, -1.4765, -1.91415, -2.24789, -2.27488, -3.04632, -3.2143, -3.39041, -3.55704, -3.85517, -4.27715, -4.34375, -4.44984, -4.55111, -4.60969, -4.60617, -4.56776, -4.53159, -4.53743, -4.48246, -4.43117
0.07, 0.0319375, -1.94633, -1.76258, -2.06626, -1.91288, -1.24222, -0.751855, -1.91953, -2.75406, -1.51106, -1.38179, -0.365874, -0.326115, -0.722444, -0.608991, -0.781251, -0.34832, -0.149913, -0.799447, -0.844044, -0.740543, -1.37283, -2.32215, -2.1932, -2.47515, -2.78504, -2.81491, -3.02116, -3.16766, -4.00335, -4.12172, -4.42277, -4.46935, -5.13909, -5.58906, -5.95969, -6.229, -5.91105, -6.19696, -5.99668, -6.06581
0.08, 0.0319375, -2.16298, -1.07356, -1.27727, -2.16888, -1.70544, -1.0919, -2.5642, -2.88424, -1.35257, -1.35259, -0.614182, -0.268059, -0.662021, -0.277591, -0.484901, -0.193269, -0.606821, -0.661855, -1.09314, -0.864753, -1.17839, -1.83493, -1.78505, -2.78055, -3.23479, -3.33802, -3.06156, -3.67452, -4.36751, -4.04383, -4.2149, -4.21834, -4.82726, -5.35686, -5.53634, -5.52452, -5.45167, -5.54266, -5.48419, -5.44769
0.09, 0.0319375, -2.2525, -1.71472, -0.544428, -1.48685, -1.83984, -1.86033, -2.51842, -2.69928, -1.67031, -1.46702, -0.440768, -0.0814415, -0.715428, -0.192828, -0.496841, 0.0823996, -0.253542, -0.850595, -0.68344, -1.10557, -1.27773, -1.74807, -1.70293, -2.13004, -3.30818, -3.23824, -3.03661, -3.39402, -4.0064, -4.16637, -4.5364, -4.38279, -4.82152, -5.16932, -5.23699, -5.17747, -5.16283, -5.16043, -5.1227, -5.0754
0.1, 0.0319375, -2.31149, -1.78695, -0.341224, -0.997496, -2.18976, -2.36466, -1.90607, -2.54348, -1.63298, -1.2404, -0.710318, -0.341508, -0.708339, -0.14784, -0.60315, 0.170082, -0.23944, -1.32607, -0.861895, -1.14322, -1.77736, -1.68305, -1.92951, -2.34242, -3.14399, -2.98552, -3.15782, -3.67212, -3.94481, -4.09619, -4.45057, -4.58402, -4.64683, -4.70332, -4.7043, -4.68715, -4.65169, -4.65022, -4.60075, -4.54191
0.11, 0.0319375, -2.01352, -1.05943, -0.609164, -1.1958, -1.72922, -1.67269, -1.26964, -2.031, -2.89751, -1.12064, -0.759535, -0.123749, -0.0794562, 0.116875, -0.114477, 0.00993498, -0.323226, -1.01544, -1.12789, -1.41649, -2.04758, -1.66445, -2.10065, -2.86973, -3.14848, -3.29912, -3.22463, -3.62204, -4.47352, -4.30845, -4.8982, -4.8184, -5.04774, -5.21234, -5.35935, -5.33262, -5.31684, -5.31434, -5.27819, -5.20917
0.12, 0.0319375, -1.93484, -1.62012, -2.00517, -1.31876, -2.1032, -1.44834, -1.13997, -2.58031, -2.67536, -0.955422, -0.933055, -0.566285, 0.0800334, -0.0941824, -0.3376, -0.820084, -0.731246, -1.02617, -0.946279, -1.41687, -2.06862, -2.32373, -2.16462, -2.02412, -3.15522, -3.61344, -3.81437, -3.61117, -4.4406, -4.67601, -4.88333, -4.86715, -5.52282, -6.02899, -6.42699, -6.25109, -6.28576, -6.14332, -6.26898, -6.19976
0.13, 0.0319375, -2.08174, -1.9339, -1.55317, -0.841356, -2.60104, -1.57701, -1.31879, -2.26875, -2.20883, -1.38548, -0.977926, -0.231667, 0.231163, -0.853783, -0.407231, -0.180694, -0.716435, -0.965114, -1.34354, -1.22522, -1.89467, -2.02368, -2.32386, -2.11976, -2.832, -3.23985, -3.53687, -3.80756, -4.22525, -4.67603, -4.55644, -4.7238, -4.9875, -5.22233, -5.2611, -5.21996, -5.17221, -5.16607, -5.12652, -5.09331
0.14, 0.0319375, -2.23939, -1.40258, -0.523881, -0.338467, -2.46851, -1.38663, -1.50928, -2.57638, -1.97629, -1.35863, -1.16197, -0.82032, -0.492695, -0.277937, -0.463528, 0.131971, -0.616948, -1.23348, -1.4148, -1.10062, -2.03007, -2.46449, -2.42423, -3.0219, -3.17375, -3.30894, -3.45373, -4.14205, -4.54735, -4.94555, -5.06855, -5.41696, -5.50734, -5.64352, -6.16446, -6.16524, -5.9899, -6.12661, -5.99404, -6.12542
0.15, 0.0319375, -2.89277, -1.79604, -1.13552, -0.669681, -2.03491, -1.19464, -1.49085, -2.69318, -1.40451, -0.707061, -0.89708, -0.717766, -0.581388, 0.139766, -0.110834, 0.412562, -0.336008, -0.9603, -1.34566, -0.996771, -1.49822, -2.09007, -2.26212, -2.9821, -2.66038, -3.42519, -3.46639, -4.10868, -4.53657, -4.47998, -4.97239, -5.70966, -6.02899, -6.3572, -6.45089, -6.33445, -6.34063, -6.25157, -6.37029, -6.35691
0.16, 0.0319375, -3.10531, -2.34149, -0.57935, -0.3596, -1.95534, -1.47072, -2.30613, -3.02775, -0.977553, -0.895444, -0.782803, 0.192613, 0.197017, -0.129877, -0.479341, -0.278205, -0.314234, -1.04929, -1.68458, -1.55213, -1.63783, -2.20859, -1.95716, -2.65674, -2.88629, -3.69968, -3.54214, -3.7958, -4.2649, -4.4076, -4.78262, -4.96759, -5.06784, -5.0792, -5.10841, -5.065, -5.02566, -5.02031, -4.97182, -4.92382
0.17, 0.0319375, -2.30158, -1.3633, -0.986749, -0.976558, -1.76401, -1.98667, -2.39655, -2.95899, -1.70879, -1.5991, -0.819162, -0.0614552, 0.174386, -0.0817127, -0.445476, -0.0886586, -0.305141, -1.01598, -1.56017, -1.43223, -1.87715, -2.16249, -2.04004, -2.54193, -3.42401, -4.2001, -3.61596, -3.92882, -4.34811, -4.79297, -5.02862, -5.34735, -5.577, -5.99631, -6.11644, -6.2515, -6.1484, -5.98592, -5.96454, -6.08943
