Time (seconds), x, y, z
0.013,-0.5991211, -0.967041, 0.13232422
0.037,-0.66137695, -1.0068359, 0.25708008
0.061,-0.56030273, -1.0900879, 0.23535156
0.085,-0.60424805, -1.1040039, 0.15673828
0.101,-0.7565918, -1.0322266, 0.43481445
0.118,-0.7429199, -0.9658203, 0.3371582
0.134,-0.2705078, -0.7792969, 0.026611328
0.151,-0.061767578, -0.8845215, 0.01977539
0.167,-0.2746582, -0.7331543, 0.17138672
0.184,-0.5500488, -0.4423828, 0.26464844
0.200,-0.54345703, -0.25219727, 0.41845703
0.217,-0.5163574, -0.07910156, 0.55737305
0.233,-0.49267578, 0.080322266, 0.81469727
0.250,-0.5878906, -0.09301758, 1.3979492
0.266,-0.5498047, 0.44311523, 2.2441406
0.283,0.13623047, 1.2565918, 2.77417
0.299,0.3876953, 0.73217773, 2.6364746
0.316,-0.050048828, -0.06542969, 1.9907227
0.332,-0.099365234, -0.70166016, 1.1896973
0.349,-0.41796875, -1.7304688, 0.5415039
0.365,-0.69750977, -1.9255371, 0.27172852
0.382,-0.40454102, -1.3339844, 0.12719727
0.398,-1.0102539, -1.8806152, -0.24487305
0.415,-2.2373047, -2.8381348, -0.54785156
0.435,-2.5512695, -2.5444336, -0.26342773
0.455,-1.4179688, -1.1057129, -0.028564453
0.475,-0.8249512, -1.4680176, -0.44604492
0.495,-0.49047852, -2.5180664, -0.7849121
0.515,0.095947266, -1.9035645, -0.6887207
0.535,-0.13183594, -1.4094238, -0.29760742
0.555,-1.4335938, -1.026123, 0.1430664
0.575,-1.7922363, -0.4326172, 0.44482422
0.595,-1.3591309, -0.44628906, 0.94799805
0.616,-0.7597656, -0.10620117, 1.1975098
0.636,-0.7607422, 0.54589844, 1.6132812
0.656,-1.112793, 1.3032227, 2.2280273
0.676,0.009521484, 2.2219238, 2.6418457
0.696,1.1550293, 2.7145996, 2.5322266
0.716,0.87109375, 2.2219238, 1.9406738
0.736,-0.28808594, 1.8103027, 1.2958984
0.756,-0.5983887, 1.7558594, 0.97558594
0.776,-0.93408203, 1.2258301, 0.8366699
0.796,-1.3322754, 0.7133789, 0.62353516
0.817,-1.130127, -0.08959961, 0.23925781
0.837,-1.9770508, -1.059082, 0.13647461
0.857,-1.6989746, -0.34570312, 0.8027344
0.877,-1.9677734, -0.087402344, 1.1816406
0.897,-2.7304688, -0.5661621, 1.298584
0.917,-2.3886719, -0.8405762, 1.2487793
0.937,-1.7580566, -1.248291, 0.74853516
0.957,-1.4885254, -1.9345703, 0.15771484
0.977,-1.7189941, -2.1950684, -0.24243164
0.997,-1.5773926, -1.6743164, 0.12719727
1.018,-1.2961426, -1.487793, 0.47729492
1.038,-1.4367676, -1.6530762, 0.7060547
1.058,-1.9338379, -1.6960449, 1.088623
1.078,-2.34375, -0.7980957, 1.5319824
1.098,-2.703125, -0.6489258, 1.8422852
1.118,-1.2067871, -0.20874023, 1.7990723
1.138,0.31591797, -0.35839844, 1.2663574
1.158,0.67944336, 0.6530762, 1.2304688
1.178,1.0727539, 1.7419434, 1.1398926
1.198,2.022705, 3.2514648, 1.2131348
1.219,1.3991699, 3.5429688, 1.6430664
1.234,0.8469238, 3.1813965, 1.4367676
1.249,0.52319336, 2.692871, 1.1057129
1.264,0.4946289, 2.1013184, 1.0119629
1.279,0.53027344, 1.8894043, 1.204834
1.294,-0.038085938, 1.6452637, 1.317627
1.309,-1.0437012, 1.1386719, 1.2587891
1.324,-2.1010742, 1.0644531, 1.2724609
1.339,-1.9819336, 1.3496094, 0.9772949
1.354,-2.866211, 0.9387207, 0.8366699
1.369,-3.689209, 0.23901367, 0.5583496
1.384,-3.2561035, -0.28393555, 0.48217773
1.399,-2.4335938, -0.7312012, -0.010253906
1.414,-2.4375, -1.7363281, -0.4506836
1.429,-2.1340332, -0.9211426, -0.41479492
1.444,-1.4365234, -0.5683594, -0.39697266
1.459,-1.4702148, -1.1179199, -0.39038086
1.474,-1.4489746, -1.4545898, -0.33496094
