Time (seconds),X,Y,Z
0,0.050851084,-0.982795,0.23200807
0.02,0.041805457,-0.97032666,0.23225254
0.04,0.033982214,-0.966904,0.2378755
0.06,0.03813831,-0.9637258,0.24032027
0.08,0.04253889,-0.96323687,0.24349846
0.1,0.04840632,-0.9595697,0.24447636
0.12,0.04645051,-0.9507686,0.24496531
0.14,0.043516792,-0.93878925,0.24496531
0.16,0.043272316,-0.9299881,0.2542554
0.18,0.04229441,-0.93316627,0.25596675
0.2,0.043516792,-0.9336552,0.24765456
0.22,0.03813831,-0.9277878,0.23347493
0.24,0.03422669,-0.915564,0.22149558
0.26,0.033248786,-0.8999175,0.21073863
0.28,0.030070592,-0.88573784,0.21758397
0.3,0.026403448,-0.90113986,0.24129817
0.32,0.023469731,-0.92363167,0.258656
0.34,0.01955811,-0.9495462,0.26330104
0.36,0.012223818,-0.9676374,0.26012284
0.38,0.0022002873,-0.9896403,0.24985485
0.4,0.010268007,-1.0155548,0.23836446
0.42,0.02615897,-1.029001,0.22076215
0.44,0.03813831,-1.0299789,0.19778138
0.46,0.044739176,-1.0216668,0.18580204
0.48,0.045961555,-1.0192219,0.19118051
0.5,0.053540323,-1.0077316,0.1985148
0.52,0.051584512,-0.9881735,0.2161171
0.54,0.051584512,-0.97081566,0.22956331
0.56,0.05256242,-0.96299237,0.23567522
0.58,0.05060661,-0.9502796,0.24765456
0.6,0.055985086,-0.94416773,0.23714207
0.62,0.060141183,-0.94416773,0.24227607
0.64,0.058429852,-0.9400116,0.23885341
0.66,0.051340036,-0.9392782,0.24080922
0.68,0.04620603,-0.9390337,0.24667665
0.7,0.04425022,-0.94245636,0.24545427
0.72,0.04376127,-0.9485683,0.24569875
0.74,0.044739176,-0.94979066,0.24423188
0.76,0.04156098,-0.9485683,0.2452098
0.78,0.036671456,-0.9544357,0.24643217
0.8,0.03153745,-0.96323687,0.24863246
0.82,0.031048497,-0.96885985,0.24447636
0.84,0.033737738,-0.96665955,0.24545427
0.86,0.029826116,-0.9661706,0.24129817
0.88,0.030804021,-0.9676374,0.24374293
0.9,0.037893835,-0.97057116,0.24349846
0.92,0.041316506,-0.9678819,0.24227607
0.94,0.04498365,-0.96861535,0.23836446
