Time (seconds),X,Y,Z
0,-0.2897045,0.045472603,-0.9544357
0.01,-0.28946,0.0444947,-0.95712495
0.03,-0.29312715,0.04376127,-0.9583473
0.05,-0.29117134,0.04498365,-0.9578584
0.07,-0.29214925,0.04498365,-0.9568805
0.09,-0.29532745,0.044739176,-0.9559026
0.11,-0.2914158,0.04253889,-0.9576139
0.13,-0.2897045,0.043272316,-0.9583473
0.15,-0.29092687,0.04425022,-0.9578584
0.17,-0.2906824,0.04376127,-0.9581029
0.19,-0.29508296,0.04253889,-0.9576139
0.21,-0.29190478,0.04302784,-0.9583473
0.23,-0.29092687,0.04376127,-0.9568805
0.25,-0.2904379,0.043516792,-0.9588363
0.27,-0.29019344,0.04253889,-0.9576139
0.29,-0.29214925,0.04302784,-0.9583473
0.31,-0.29410505,0.04229441,-0.9576139
0.33,-0.29190478,0.04229441,-0.9598142
0.35,-0.29288268,0.04376127,-0.9568805
0.37,-0.2926382,0.04302784,-0.9581029
0.39,-0.29361612,0.04229441,-0.9581029
0.41,-0.2948385,0.04229441,-0.9588363
0.43,-0.29508296,0.042783365,-0.95736945
0.45,-0.2887266,0.041805457,-0.9585918
0.47,-0.29190478,0.040827554,-0.9583473
0.49,-0.29606086,0.041805457,-0.9578584
0.51,-0.29214925,0.042783365,-0.95736945
0.53,-0.28994897,0.040583078,-0.9607921
0.55,-0.29288268,0.041805457,-0.95541364
0.57,-0.29386058,0.038627267,-0.95736945
0.58,-0.2926382,0.041316506,-0.95712495
0.6,-0.29386058,0.04107203,-0.95712495
0.62,-0.29630536,0.042049933,-0.9585918
0.64,-0.29361612,0.039849646,-0.9595697
0.66,-0.29434955,0.0403386,-0.95736945
0.68,-0.29434955,0.040583078,-0.9588363
0.7,-0.29288268,0.040827554,-0.9568805
0.72,-0.29239374,0.040094122,-0.95932525
0.74,-0.2904379,0.03911622,-0.9578584
0.76,-0.29312715,0.040583078,-0.9576139
0.78,-0.29532745,0.040094122,-0.9576139
0.8,-0.29361612,0.040583078,-0.9581029
0.82,-0.29239374,0.04156098,-0.9576139
0.84,-0.29214925,0.042049933,-0.9576139
0.86,-0.29214925,0.03911622,-0.95712495
0.88,-0.29190478,0.040094122,-0.95736945
0.9,-0.29459402,0.041316506,-0.9561471
0.92,-0.29557192,0.04156098,-0.956636
0.94,-0.2926382,0.042049933,-0.9583473
0.96,-0.29410505,0.041805457,-0.9576139
0.98,-0.2897045,0.040827554,-0.9588363
1,-0.2926382,0.04156098,-0.9588363
1.02,-0.29410505,0.042049933,-0.9578584
1.04,-0.29288268,0.04302784,-0.9578584
1.05,-0.29312715,0.041316506,-0.9583473
1.07,-0.29092687,0.041316506,-0.9568805
1.09,-0.29361612,0.041316506,-0.9578584
1.11,-0.29019344,0.04107203,-0.9595697
1.13,-0.29190478,0.043272316,-0.9559026
1.15,-0.29508296,0.043272316,-0.95712495
1.17,-0.29092687,0.042049933,-0.9588363
1.19,-0.28823763,0.042049933,-0.95908076
1.21,-0.2906824,0.042783365,-0.95712495
1.23,-0.29434955,0.042783365,-0.9585918
1.25,-0.29508296,0.0444947,-0.956636
