Time (seconds),X,Y,Z
0,-0.2772362,-0.9512575,-0.23054121
0.01,-0.27796963,-0.9581029,-0.22662959
0.03,-0.26965743,-0.96177,-0.21269444
0.05,-0.2542554,-0.9546802,-0.20340434
0.07,-0.24765456,-0.9488128,-0.18775785
0.09,-0.26501238,-0.94563454,-0.1892247
0.11,-0.27576932,-0.94465667,-0.1821349
0.13,-0.29557192,-0.9233872,-0.17651193
0.15,-0.2999725,-0.93634444,-0.1789567
0.17,-0.2772362,-0.9248541,-0.2026709
0.19,-0.26378998,-0.94270086,-0.20242643
0.21,-0.2679461,-0.9444122,-0.21073863
0.23,-0.27112427,-0.9495462,-0.20707148
0.25,-0.26745713,-0.9451456,-0.20658253
0.27,-0.26843503,-0.94367874,-0.21856187
0.29,-0.27430248,-0.94050056,-0.20047061
0.31,-0.2845705,-0.9419674,-0.19582556
0.33,-0.2813923,-0.9260765,-0.19924824
0.35,-0.28261468,-0.9316994,-0.18800232
0.37,-0.27772516,-0.9419674,-0.19289185
0.39,-0.28383705,-0.95223546,-0.19509214
0.41,-0.27381352,-0.9598142,-0.1955811
0.43,-0.27748066,-0.95516914,-0.19411424
0.45,-0.28041437,-0.9471014,-0.20144852
0.47,-0.28677076,-0.9453901,-0.20291539
0.49,-0.29214925,-0.94490117,-0.19973719
0.51,-0.28579286,-0.9483238,-0.20291539
0.53,-0.28897107,-0.9471014,-0.19484766
0.55,-0.2916603,-0.94490117,-0.19411424
0.57,-0.29092687,-0.930477,-0.19044709
0.59,-0.28725973,-0.92192036,-0.19069156
0.61,-0.28188124,-0.91825324,-0.19411424
0.63,-0.28823763,-0.92534304,-0.19264737
0.65,-0.29117134,-0.9351221,-0.19215842
0.67,-0.29434955,-0.94416773,-0.1933808
0.69,-0.2914158,-0.95223546,-0.19411424
0.71,-0.2948385,-0.9578584,-0.19875929
0.73,-0.29019344,-0.9563915,-0.2058491
0.75,-0.29532745,-0.951013,-0.19215842
0.77,-0.2875042,-0.9507686,-0.196559
0.79,-0.27601382,-0.93854475,-0.201693
0.81,-0.27479142,-0.93658894,-0.2078049
0.83,-0.28090334,-0.9338997,-0.20536014
0.85,-0.28285915,-0.92901015,-0.2161171
0.87,-0.28505945,-0.93878925,-0.22296244
0.89,-0.28261468,-0.94490117,-0.22051768
0.91,-0.2813923,-0.94563454,-0.22687407
0.93,-0.28946,-0.9453901,-0.2244293
0.95,-0.29361612,-0.9505241,-0.2192953
0.97,-0.29557192,-0.9585918,-0.22222902
0.98,-0.2970388,-0.9585918,-0.22271797
0.99,-0.29752773,-0.9524799,-0.21782844
1.01,-0.3019283,-0.9524799,-0.21391682
1.03,-0.29850563,-0.9505241,-0.21318339
1.05,-0.29826117,-0.9483238,-0.20976073
1.07,-0.29288268,-0.94392323,-0.2048712
1.09,-0.29312715,-0.9419674,-0.20193748
1.11,-0.2926382,-0.9390337,-0.1975369
1.13,-0.2904379,-0.94245636,-0.19093604
1.15,-0.2875042,-0.9397671,-0.18775785
1.17,-0.28188124,-0.94759035,-0.1831128
1.19,-0.279192,-0.9490572,-0.1821349
1.21,-0.2782141,-0.9490572,-0.17602298
1.23,-0.27748066,-0.9512575,-0.16942212
1.25,-0.27136877,-0.951502,-0.17455612
1.27,-0.26721266,-0.9444122,-0.1799346
1.29,-0.26550132,-0.9400116,-0.17626746
1.31,-0.26183417,-0.93121046,-0.17431165
1.33,-0.25914493,-0.92509854,-0.18360175
1.35,-0.25743362,-0.92705435,-0.186291
1.37,-0.2596339,-0.9307215,-0.1850686
1.39,-0.2669682,-0.9390337,-0.1850686
1.41,-0.26672372,-0.95736945,-0.19020261
1.43,-0.26721266,-0.96177,-0.18751337
1.45,-0.26745713,-0.9607921,-0.1924029
1.47,-0.27748066,-0.9568805,-0.19215842
1.48,-0.27552485,-0.95223546,-0.19313632
1.5,-0.26965743,-0.94979066,-0.19582556
1.52,-0.26378998,-0.95516914,-0.1985148
1.54,-0.26745713,-0.95736945,-0.19460319
1.56,-0.27552485,-0.9563915,-0.19191395
1.58,-0.28285915,-0.9598142,-0.1882468
1.6,-0.2845705,-0.9605476,-0.18262385
1.62,-0.28530392,-0.96177,-0.18066803
1.64,-0.2845705,-0.96250343,-0.17162241
1.66,-0.2884821,-0.9583473,-0.16771078
1.68,-0.29190478,-0.9559026,-0.16184334
1.7,-0.29361612,-0.95541364,-0.15670934
1.72,-0.28579286,-0.9546802,-0.15450907
1.74,-0.28065887,-0.9471014,-0.1540201
1.76,-0.28261468,-0.94392323,-0.14766373
1.78,-0.27943647,-0.94392323,-0.14252973
1.8,-0.27381352,-0.94807935,-0.14155181
1.82,-0.26403448,-0.9546802,-0.14155181
1.84,-0.26134524,-0.9607921,-0.13568439
1.86,-0.26330104,-0.96641505,-0.13323961
1.88,-0.2659903,-0.9691043,-0.12810561
1.9,-0.2699019,-0.9678819,-0.1261498
1.92,-0.27014637,-0.9637258,-0.12688324
1.94,-0.26867953,-0.9559026,-0.124927424
1.95,-0.26843503,-0.9493017,-0.123216085
1.97,-0.26745713,-0.94270086,-0.1251719
1.99,-0.2699019,-0.93316627,-0.12663876
2.01,-0.27014637,-0.9316994,-0.13250619
2.03,-0.27161324,-0.93658894,-0.13886258
2.05,-0.26867953,-0.9400116,-0.14252973
2.07,-0.27014637,-0.9493017,-0.14448553
2.09,-0.2718577,-0.9576139,-0.1479082
2.11,-0.27039087,-0.9678819,-0.1540201
2.13,-0.26452342,-0.9695932,-0.16013202
2.15,-0.24985485,-0.9713046,-0.17308927
2.17,-0.24007578,-0.9639703,-0.17626746
2.19,-0.2410537,-0.9485683,-0.17113346
2.21,-0.23811997,-0.9338997,-0.17920117
2.23,-0.22369587,-0.90431803,-0.18457966
2.25,-0.2026709,-0.8634905,-0.17920117
2.27,-0.18433517,-0.82095164,-0.16159888
2.29,-0.14546344,-0.84686613,-0.18360175
2.31,-0.15744278,-0.9004064,-0.15670934
2.33,-0.16771078,-0.9620145,-0.16282126
2.35,-0.20633805,-0.98303944,-0.18164593
2.37,-0.28505945,-0.9813281,-0.17700088
2.39,-0.26672372,-1.0006417,-0.21807292
2.41,-0.26501238,-0.9764386,-0.24789903
2.43,-0.32662043,-0.91287476,-0.22614063
2.44,-0.33468813,-0.87351406,-0.2048712
2.46,-0.36133605,-0.8625126,-0.23494178
2.48,-0.305351,-0.88573784,-0.28799316
2.5,-0.2378755,-0.9153195,-0.27601382
2.52,-0.22834092,-0.9422119,-0.27870306
2.54,-0.23445283,-1.0221556,-0.31977507
2.56,-0.21978424,-1.1341258,-0.30290622
2.58,-0.27014637,-1.1898664,-0.23445283
2.6,-0.3434893,-1.2769,-0.24814351
