# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00931253, 0.00699677, 0.00675916, 0.00481885, 0.00510022, 0.00443938, 0.00530917, 0.00558684, 0.00427796, 0.00390292, 0.00418311, 0.00456173, 0.00414952, 0.00386207, 0.00396715, 0.0037249, 0.00347273, 0.00328822, 0.00340893, 0.00360256, 0.00337935, 0.00344137, 0.00353866, 0.00331947, 0.00312721, 0.00323214, 0.00352286, 0.00334751, 0.00316084, 0.0034182, 0.00345087, 0.00331626, 0.0033563, 0.0033948, 0.00344838, 0.00366884, 0.00372205, 0.00378357, 0.00402711, 0.00413112
0.01, 0.0319375, 0.0748254, 0.0643529, 0.0555813, 0.0481656, 0.0435576, 0.0401408, 0.0455494, 0.0492225, 0.0376374, 0.0341417, 0.0373901, 0.0399635, 0.0367409, 0.0337611, 0.0352968, 0.0327833, 0.0307128, 0.028872, 0.0302801, 0.0316713, 0.0297274, 0.0304543, 0.0311749, 0.02929, 0.0276642, 0.0285088, 0.0310645, 0.0295023, 0.0279318, 0.0301353, 0.0304471, 0.0292479, 0.029603, 0.029949, 0.0304039, 0.0323199, 0.0327849, 0.0333276, 0.0354237, 0.0363298
0.02, 0.0319375, 0.091963, 0.0783937, 0.0680948, 0.0568382, 0.0525178, 0.0484941, 0.0553185, 0.0594307, 0.0457233, 0.0412806, 0.044862, 0.048281, 0.0442808, 0.0408352, 0.0423879, 0.0395094, 0.0370308, 0.034896, 0.0364396, 0.0382427, 0.0359081, 0.0366845, 0.037597, 0.035317, 0.033329, 0.0344045, 0.0374525, 0.0356003, 0.0336677, 0.0363352, 0.0366969, 0.035283, 0.0356985, 0.0361, 0.0366553, 0.0389664, 0.0395187, 0.0401602, 0.0426909, 0.043779
0.03, 0.0319375, 0.0136076, 0.0104718, 0.00991775, 0.00693332, 0.00723918, 0.00641904, 0.00766858, 0.00803358, 0.00619716, 0.00560522, 0.00594929, 0.00653558, 0.0059327, 0.00553089, 0.00564161, 0.00530573, 0.00495598, 0.00469997, 0.00485361, 0.00514576, 0.00482834, 0.00490272, 0.00504542, 0.00473117, 0.00445125, 0.00461181, 0.00502122, 0.00477578, 0.00450192, 0.00487081, 0.00491553, 0.00472916, 0.00478373, 0.00483558, 0.00491328, 0.00522925, 0.0053036, 0.00538909, 0.00573833, 0.00588672
0.04, 0.0319375, 4.88757e-06, 4.88757e-06, 4.88757e-06, 4.88757e-06, 4.88757e-06, 4.88757e-06, 6.07966e-06, 7.27174e-06, 6.07966e-06, 6.07966e-06, 7.27174e-06, 8.58303e-06, 8.58303e-06, 8.58303e-06, 9.77511e-06, 9.77511e-06, 9.77511e-06, 9.77511e-06, 1.09672e-05, 1.21593e-05, 1.21593e-05, 1.34706e-05, 1.46626e-05, 1.46626e-05, 1.46626e-05, 1.58547e-05, 1.83581e-05, 1.83581e-05, 1.83581e-05, 2.07422e-05, 2.19343e-05, 2.19343e-05, 2.32455e-05, 2.44376e-05, 2.56297e-05, 2.8133e-05, 2.93251e-05, 3.05171e-05, 3.29012e-05, 3.42125e-05
0.05, 0.0319375, 0.0459817, 0.0638282, 0.0583344, 0.0399574, 0.0306436, 0.034885, 0.0434979, 0.0403825, 0.0295531, 0.0295522, 0.0317539, 0.0342307, 0.0312747, 0.0283997, 0.0305093, 0.0284022, 0.0253367, 0.0246391, 0.0256887, 0.0279485, 0.025348, 0.025291, 0.0271423, 0.0244705, 0.0230364, 0.0242127, 0.0262819, 0.0253096, 0.0247169, 0.0261506, 0.025577, 0.0255078, 0.0255094, 0.025319, 0.0263277, 0.0275674, 0.0280342, 0.0282547, 0.0298985, 0.0324551
0.06, 0.0319375, 0.143768, 0.111503, 0.0882309, 0.0599629, 0.0506767, 0.0541781, 0.0590405, 0.0549194, 0.0432747, 0.0384259, 0.0423687, 0.0450927, 0.040627, 0.0374801, 0.0399997, 0.0367569, 0.03557, 0.0337263, 0.035302, 0.036768, 0.0352056, 0.0371643, 0.0360386, 0.0372383, 0.0372856, 0.0362561, 0.0382203, 0.038038, 0.0349998, 0.0435211, 0.0565219, 0.0363476, 0.0375319, 0.0389289, 0.0358093, 0.0379884, 0.0398319, 0.0436708, 0.0707839, 0.0477941
0.07, 0.0319375, 0.0772562, 0.0904592, 0.0378248, 0.0596833, 0.0334589, 0.0429961, 0.0404367, 0.0415928, 0.0341337, 0.0290288, 0.0353252, 0.036881, 0.0344042, 0.0292877, 0.0327735, 0.0291794, 0.0275979, 0.0287254, 0.0306891, 0.0318317, 0.0353792, 0.0447032, 0.0361824, 0.0333987, 0.0322596, 0.0297092, 0.0334634, 0.0311172, 0.0359098, 0.0517445, 0.0821906, 0.037568, 0.033847, 0.0334133, 0.0291427, 0.0327135, 0.0343067, 0.0393607, 0.0689741, 0.0443656
0.08, 0.0319375, 0.0182245, 0.020895, 0.0110821, 0.0122431, 0.0132537, 0.00919406, 0.00752957, 0.00963206, 0.010697, 0.0112049, 0.0151889, 0.0171329, 0.016683, 0.0113223, 0.0130389, 0.0127568, 0.00869359, 0.013952, 0.0110124, 0.0145985, 0.0274651, 0.0346582, 0.0205287, 0.0248892, 0.01412, 0.0223164, 0.0300048, 0.0139548, 0.0256004, 0.033025, 0.0727113, 0.0456615, 0.0341483, 0.0264009, 0.028511, 0.0197338, 0.0156696, 0.0193471, 0.0451192, 0.0267201
0.09, 0.0319375, 0.0488318, 0.0392413, 0.032037, 0.0320207, 0.0269697, 0.0280026, 0.0275936, 0.0325684, 0.0229753, 0.0236733, 0.0250571, 0.0275517, 0.0240347, 0.0222351, 0.0240101, 0.0219639, 0.0206412, 0.0205409, 0.0229502, 0.0238389, 0.0239206, 0.0307815, 0.031338, 0.0268181, 0.0229795, 0.0310912, 0.0377198, 0.0253455, 0.0301853, 0.039192, 0.0883837, 0.0480295, 0.0305128, 0.0259631, 0.0275835, 0.0273228, 0.0250486, 0.0264878, 0.0543038, 0.0369423
