# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.01, 0.0319375, 0.0383776, 0.0413913, 0.0428829, 0.0427555, 0.0409816, 0.0376059, 0.03953, 0.0343581, 0.0160706, 0.00478682, 0.0131557, 0.0348354, 0.0487089, 0.0558552, 0.0617144, 0.0507885, 0.0360787, 0.0301507, 0.046105, 0.0700263, 0.0801038, 0.0832385, 0.071966, 0.0525373, 0.0475528, 0.0571478, 0.0713211, 0.070522, 0.057194, 0.0328639, 0.016921, 0.0210616, 0.027614, 0.0639556, 0.0658695, 0.0277105, 0.0458413, 0.0311103, 0.043023, 0.030794
0.02, 0.0319375, 0.19729, 0.177886, 0.258571, 0.223233, 0.550112, 0.709686, 0.641436, 0.589621, 0.253044, 0.20156, 0.424018, 0.609288, 0.669857, 0.61063, 0.653906, 0.276095, 0.302739, 0.626536, 0.536262, 0.742578, 0.962969, 0.605199, 0.59941, 0.467016, 0.227907, 0.37559, 0.749314, 0.62972, 0.487879, 0.427038, 0.331145, 0.308804, 0.438497, 0.653674, 0.473769, 0.374173, 0.371907, 0.330613, 0.306864, 0.351029
0.03, 0.0319375, 0.36947, 0.442027, 0.6089, 0.564674, 1.19323, 1.26196, 0.780065, 0.880965, 0.402851, 0.469446, 1.18707, 1.03896, 0.943434, 0.86582, 1.21452, 0.679612, 0.568256, 1.05016, 1.02039, 1.11279, 1.37979, 1.07787, 0.953296, 0.75718, 0.769179, 0.85955, 1.11901, 0.83983, 0.742414, 0.977487, 0.661314, 0.748324, 0.651698, 0.834957, 0.765516, 0.665314, 0.707735, 0.69115, 0.698184, 0.832146
0.04, 0.0319375, 0.36997, 0.4049, 0.529677, 0.955174, 1.25376, 1.22371, 0.67544, 0.654051, 0.724811, 0.65352, 1.247, 0.858575, 0.875521, 1.16485, 1.48252, 1.03545, 1.12229, 1.4914, 1.16543, 1.27226, 1.1293, 1.14766, 1.14604, 1.13627, 1.15494, 1.1197, 1.27742, 0.76637, 0.843457, 1.02976, 0.732162, 0.70909, 0.850358, 0.748343, 0.786447, 0.89328, 0.886142, 0.940719, 0.858754, 0.840753
0.05, 0.0319375, 0.388972, 0.0864814, 0.509569, 0.882748, 1.00819, 0.545885, 0.506901, 0.511331, 0.579088, 0.687906, 1.64065, 1.06339, 0.869938, 0.993863, 1.24651, 1.05823, 1.11586, 1.28875, 1.13893, 1.09189, 1.49346, 1.36953, 1.44351, 1.15807, 0.921742, 1.08299, 0.914505, 0.735487, 0.777677, 0.972408, 0.764959, 0.583801, 0.557217, 0.645933, 0.858955, 0.715845, 0.826445, 0.812244, 0.744058, 0.735436
0.06, 0.0319375, 0.470999, 0.170736, 0.628969, 0.693226, 1.43885, 1.33302, 0.751073, 0.58191, 0.524711, 0.556422, 1.50542, 1.16364, 0.86599, 1.0443, 1.07506, 0.690677, 0.833917, 0.818869, 1.1105, 1.01973, 1.33064, 1.69018, 1.52921, 1.02109, 0.924587, 1.08163, 1.04286, 0.785249, 0.852777, 0.866328, 0.800242, 0.87021, 0.791556, 0.743505, 0.733823, 0.691832, 0.770869, 0.846594, 0.914492, 0.865227
0.07, 0.0319375, 0.350084, 0.318024, 1.12623, 0.922676, 1.82242, 1.76494, 0.836793, 0.637712, 0.684502, 0.531205, 1.19338, 0.852782, 1.05573, 1.20605, 0.993892, 0.694081, 0.952149, 1.0306, 0.854475, 1.09816, 1.04266, 1.71877, 1.24986, 0.875531, 0.791448, 1.0842, 1.1735, 1.06918, 1.01489, 1.12558, 0.911871, 1.04191, 0.832437, 0.727367, 0.712725, 0.854696, 0.77477, 0.967734, 0.899056, 1.06594
0.08, 0.0319375, 0.22237, 0.360148, 1.4513, 1.48751, 1.91656, 1.06232, 0.904237, 0.666857, 0.797617, 0.939598, 1.43787, 1.3202, 0.933524, 1.08728, 1.21653, 0.936638, 0.920765, 1.28693, 0.938753, 1.14098, 1.40227, 1.80659, 1.25809, 0.968462, 0.857057, 1.47699, 1.28233, 1.10294, 1.14709, 1.13788, 0.793501, 0.964747, 0.794156, 0.866518, 0.848335, 0.963821, 0.817378, 0.947833, 0.721967, 1.11132
0.09, 0.0319375, 0.253167, 0.355187, 1.0812, 1.43337, 1.68843, 0.823695, 0.640199, 0.763807, 0.877851, 0.994692, 1.47577, 1.10319, 0.740563, 1.34638, 1.00078, 1.07173, 1.14695, 1.12626, 1.43971, 1.17925, 1.35477, 1.55672, 1.31061, 0.922639, 0.814945, 1.08588, 1.0613, 0.767932, 1.04929, 1.11768, 0.767718, 1.00076, 1.01456, 1.01378, 0.951927, 0.909999, 0.728102, 1.01078, 0.829533, 1.04254
