# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.01, 0.0319375, 0.000306678, 0.000301912, 0.000297383, 0.000293569, 0.00029059, 0.000288922, 0.000360662, 0.000435138, 0.000366501, 0.000371745, 0.000452416, 0.000534868, 0.000537966, 0.000535107, 0.000600515, 0.000582287, 0.000561437, 0.000543089, 0.000597299, 0.000660916, 0.00066866, 0.000745734, 0.00081232, 0.000791117, 0.000757407, 0.000787782, 0.000896052, 0.000906891, 0.0009163, 0.00102777, 0.001071, 0.00107624, 0.0011609, 0.00124591, 0.00133985, 0.00151579, 0.00161279, 0.00170979, 0.00191921, 0.0020138
0.02, 0.0319375, 0.039365, 0.0579752, 0.0777447, 0.0520897, 0.0214232, 0.0199896, 0.0373936, 0.0606832, 0.0802466, 0.0632131, 0.0321128, 0.0188418, 0.0284215, 0.0320907, 0.0151369, 0.0245237, 0.0439178, 0.0715639, 0.0426662, 0.0528552, 0.09307, 0.0717048, 0.044256, 0.0352662, 0.0282824, 0.0222951, 0.0110276, 0.0206939, 0.0272495, 0.0224749, 0.0175339, 0.0237749, 0.0231362, 0.0396284, 0.0403961, 0.0389653, 0.0296622, 0.0316401, 0.048677, 0.0595831
0.03, 0.0319375, 0.0528806, 0.0906333, 0.231625, 0.111378, 0.0243264, 0.040722, 0.0965685, 0.103006, 0.184162, 0.165074, 0.0655357, 0.0805988, 0.0428823, 0.0800972, 0.0470719, 0.0849411, 0.0719572, 0.143697, 0.0985121, 0.123087, 0.166811, 0.147644, 0.114889, 0.0728361, 0.0670771, 0.0480865, 0.0403036, 0.053826, 0.053371, 0.0523054, 0.0641555, 0.081636, 0.0693118, 0.0810085, 0.0945405, 0.109384, 0.0934739, 0.0891689, 0.113975, 0.123937
0.04, 0.0319375, 0.0107781, 0.0501082, 0.209111, 0.0695942, 0.0125317, 0.0452451, 0.072501, 0.0601424, 0.0897198, 0.127021, 0.0776486, 0.127252, 0.0562923, 0.0583217, 0.0679291, 0.145342, 0.071468, 0.0920822, 0.0949767, 0.137321, 0.137363, 0.17668, 0.11988, 0.0947769, 0.0717491, 0.0768913, 0.134901, 0.173084, 0.108463, 0.0948511, 0.108855, 0.115676, 0.111938, 0.0955146, 0.155038, 0.174327, 0.105652, 0.203931, 0.199436, 0.135306
0.05, 0.0319375, 0.0142026, 0.0422064, 0.105417, 0.043132, 0.0172238, 0.0292849, 0.0428477, 0.0362514, 0.0637747, 0.065227, 0.083689, 0.12372, 0.0402993, 0.022688, 0.0447134, 0.0972665, 0.0506338, 0.0506476, 0.0593528, 0.10696, 0.131997, 0.204265, 0.090196, 0.0742078, 0.0513283, 0.0735259, 0.113219, 0.13738, 0.0867729, 0.070382, 0.0924246, 0.0928656, 0.115386, 0.103132, 0.140605, 0.158313, 0.108752, 0.176253, 0.182178, 0.108772
0.06, 0.0319375, 0.0154252, 0.0241355, 0.0479902, 0.0567649, 0.0175055, 0.0111107, 0.0272339, 0.056829, 0.103691, 0.0823396, 0.0495032, 0.0592571, 0.0304164, 0.0309341, 0.0316841, 0.0353375, 0.0322957, 0.0359268, 0.0451535, 0.0675103, 0.083978, 0.149186, 0.0723876, 0.069232, 0.0372965, 0.0454524, 0.0417498, 0.0434437, 0.050979, 0.070799, 0.0711109, 0.0574591, 0.103025, 0.101461, 0.119436, 0.132425, 0.137466, 0.16246, 0.150741, 0.119857
0.07, 0.0319375, 0.0250006, 0.0245075, 0.0373689, 0.0239025, 0.0310912, 0.0179694, 0.0199043, 0.0423706, 0.0713617, 0.030945, 0.0335504, 0.0238431, 0.02387, 0.0209242, 0.0309105, 0.0364857, 0.0323028, 0.0263951, 0.0242837, 0.0331151, 0.0422337, 0.0971183, 0.0616364, 0.0440329, 0.0417739, 0.0304888, 0.0382294, 0.0480613, 0.051524, 0.0564292, 0.0613231, 0.0599821, 0.0536874, 0.0456764, 0.0641017, 0.0758083, 0.0702602, 0.057554, 0.06927, 0.05742
0.08, 0.0319375, 0.0302977, 0.0213971, 0.0298601, 0.0180595, 0.0146746, 0.0134587, 0.0237783, 0.0260742, 0.015805, 0.0251934, 0.0194867, 0.0115038, 0.0161521, 0.0179755, 0.0306594, 0.0243934, 0.023076, 0.0211434, 0.0291633, 0.0303063, 0.0459679, 0.0612091, 0.0455765, 0.0325472, 0.0348682, 0.0301648, 0.0312805, 0.0312366, 0.0338819, 0.0388216, 0.0331415, 0.0425017, 0.045415, 0.0456887, 0.0595676, 0.041902, 0.044647, 0.0499621, 0.0507649, 0.0504685
0.09, 0.0319375, 0.0268793, 0.0116536, 0.0152783, 0.0221773, 0.0133084, 0.00755051, 0.0225035, 0.0185955, 0.0172281, 0.0278692, 0.0167003, 0.0178214, 0.0336395, 0.0219222, 0.0219652, 0.0263238, 0.0287164, 0.0251187, 0.032119, 0.0467753, 0.0569703, 0.0361008, 0.0409198, 0.0391969, 0.0260561, 0.0227169, 0.0340928, 0.0263197, 0.0303551, 0.0440378, 0.0406094, 0.0476763, 0.0624757, 0.0407897, 0.0574792, 0.0406577, 0.0455059, 0.048551, 0.0456992, 0.048167
