# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0615919, 0.0424433, 0.0370515, 0.0479287, 0.0297282, 0.0438479, 0.0559075, 0.076447, 0.0873978, 0.0499804, 0.0461334, 0.0245157, 0.0364305, 0.0437747, 0.021413, 0.0295394, 0.0287411, 0.0352165, 0.0418402, 0.0648997, 0.051838, 0.0443281, 0.0235143, 0.0356353, 0.0251833, 0.041108, 0.0353263, 0.0291817, 0.068798, 0.0414349, 0.0401419, 0.0493088, 0.060101, 0.0602793, 0.0582841, 0.0526229, 0.06719, 0.079426, 0.0597653, 0.0400761
0.01, 0.0319375, 0.194107, 0.108281, 0.0611298, 0.0640856, 0.0572762, 0.0550602, 0.0914582, 0.0633319, 0.0704064, 0.0575118, 0.0422216, 0.0450797, 0.0736261, 0.0508215, 0.0342136, 0.0452331, 0.0417357, 0.0312414, 0.0551987, 0.0804615, 0.0679514, 0.0926884, 0.0389415, 0.0459628, 0.0574136, 0.0526896, 0.0570561, 0.0564289, 0.062594, 0.0447676, 0.0633791, 0.0730096, 0.0877684, 0.0795517, 0.0998361, 0.0835987, 0.0749253, 0.0788609, 0.0654795, 0.0432541
0.02, 0.0319375, 0.181145, 0.160778, 0.147801, 0.0516763, 0.0516295, 0.0679761, 0.0673835, 0.0320869, 0.0272691, 0.0559408, 0.0272425, 0.044529, 0.0612429, 0.0323625, 0.0384176, 0.032943, 0.0476848, 0.0218395, 0.0424194, 0.0721135, 0.0640914, 0.067543, 0.033925, 0.0557597, 0.0541338, 0.0551742, 0.062556, 0.0675536, 0.052273, 0.0760176, 0.0706768, 0.0721992, 0.0907202, 0.0733444, 0.0675956, 0.0721771, 0.0548777, 0.0600244, 0.0722365, 0.0486092
0.03, 0.0319375, 0.0647464, 0.114111, 0.176037, 0.0865042, 0.0465544, 0.0664781, 0.0561105, 0.0579248, 0.0476295, 0.0312376, 0.0667832, 0.067217, 0.0578339, 0.0249874, 0.0295215, 0.0372582, 0.055562, 0.0248421, 0.0362774, 0.0741562, 0.0647748, 0.0596755, 0.0314042, 0.0646552, 0.0557605, 0.0645847, 0.0479593, 0.0484138, 0.0643775, 0.0724379, 0.0658937, 0.0795745, 0.0700607, 0.0872758, 0.0778459, 0.0591913, 0.062053, 0.0684413, 0.0665073, 0.045314
0.04, 0.0319375, 0.144855, 0.0977267, 0.0648125, 0.107356, 0.0565715, 0.0253417, 0.0668624, 0.0603426, 0.0278537, 0.0452826, 0.0581638, 0.0641383, 0.050905, 0.0465781, 0.0386093, 0.0560828, 0.0322205, 0.024867, 0.0515829, 0.0543631, 0.0588877, 0.0624789, 0.0336957, 0.0348077, 0.0332694, 0.0365687, 0.0469461, 0.0471104, 0.0569229, 0.0490162, 0.0482577, 0.0761231, 0.0591262, 0.0889251, 0.0645788, 0.0613244, 0.0550646, 0.056577, 0.0543223, 0.0352696
0.05, 0.0319375, 0.0978572, 0.116367, 0.0791988, 0.129614, 0.0585156, 0.0405758, 0.0361801, 0.02522, 0.0253354, 0.0600023, 0.0660447, 0.037878, 0.0321416, 0.031012, 0.0525942, 0.049935, 0.0468564, 0.0398033, 0.0471033, 0.0366428, 0.0605128, 0.0586706, 0.0333325, 0.0263456, 0.0387769, 0.0476945, 0.0569655, 0.0506708, 0.0744595, 0.0481139, 0.0480988, 0.0611566, 0.0586661, 0.0617864, 0.0621376, 0.0599047, 0.0523705, 0.0472252, 0.0634256, 0.0381474
0.06, 0.0319375, 0.130022, 0.139635, 0.0592283, 0.109481, 0.0382084, 0.0314459, 0.0820948, 0.102514, 0.082033, 0.0659806, 0.0358269, 0.0354247, 0.038201, 0.0312328, 0.057015, 0.0344142, 0.0418741, 0.0399987, 0.0548351, 0.0685373, 0.050502, 0.0694387, 0.0398648, 0.0358846, 0.048062, 0.0438421, 0.0485654, 0.0513524, 0.0470956, 0.0517178, 0.0503737, 0.0497514, 0.0441991, 0.0640363, 0.0598991, 0.0607661, 0.0591916, 0.0607337, 0.0667966, 0.034362
0.07, 0.0319375, 0.128223, 0.132599, 0.0676671, 0.124764, 0.0663028, 0.0648535, 0.0710886, 0.0777124, 0.051184, 0.027138, 0.0384625, 0.0714544, 0.0655592, 0.0386006, 0.0392382, 0.029891, 0.030014, 0.0408357, 0.0367515, 0.0532397, 0.0495373, 0.0488892, 0.0215236, 0.0363604, 0.0481623, 0.0343319, 0.0327155, 0.0418729, 0.0631968, 0.058503, 0.0557498, 0.0514126, 0.0594041, 0.052837, 0.0568043, 0.0566737, 0.0554603, 0.06797, 0.0840441, 0.0327372
0.08, 0.0319375, 0.127925, 0.128621, 0.0176499, 0.0884961, 0.0867717, 0.0833807, 0.0921754, 0.110669, 0.0349078, 0.0202805, 0.0282383, 0.0477165, 0.0782177, 0.0300844, 0.0299488, 0.0462011, 0.0524066, 0.0184661, 0.017391, 0.0304289, 0.0526924, 0.0592492, 0.0196467, 0.0217609, 0.0345427, 0.0364302, 0.0356009, 0.0537972, 0.0461974, 0.0440557, 0.0475003, 0.0464157, 0.0388466, 0.0532122, 0.0544263, 0.0523711, 0.0314247, 0.0507528, 0.0682586, 0.0415133
0.09, 0.0319375, 0.154431, 0.207259, 0.0891334, 0.0648631, 0.0605842, 0.0487479, 0.112239, 0.0646493, 0.0426192, 0.0257569, 0.0181612, 0.0180321, 0.0525703, 0.0265907, 0.0283911, 0.0509489, 0.0416065, 0.0228911, 0.0232487, 0.0519892, 0.038679, 0.0366406, 0.0270314, 0.0257906, 0.0274155, 0.0399872, 0.0433893, 0.0570223, 0.0547502, 0.0418835, 0.0638426, 0.0533719, 0.0447396, 0.0429767, 0.0494425, 0.0411785, 0.038069, 0.0338362, 0.0540138, 0.041819
