# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.000268542, 0.000300005, 0.000244826, 0.000266278, 0.000268423, 0.000121228, 0.00028046, 0.000697727, 0.000564535, 0.000217176, 0.000194411, 0.000442288, 0.000361616, 0.000301554, 0.000713213, 0.000841264, 0.000672591, 0.000523073, 0.000529864, 0.00106707, 0.000845075, 0.000754906, 0.000923803, 0.00126413, 0.0015759, 0.00193908, 0.00168372, 0.00170848, 0.00137306, 0.00152126, 0.00121186, 0.00218011, 0.00290734, 0.00261382, 0.00397594, 0.00775221, 0.011323, 0.0193531, 0.022655, 0.0193344
0.01, 0.0319375, 0.000340404, 0.000321694, 0.000228498, 0.000224088, 0.000117414, 0.000124447, 0.000326699, 0.000635184, 0.000378656, 0.000357683, 0.000289756, 0.00040225, 0.000595631, 0.000262345, 0.000489592, 0.000577402, 0.000608259, 0.000680692, 0.000722743, 0.00072727, 0.000852698, 0.000937499, 0.00102849, 0.00104147, 0.00109124, 0.00131259, 0.00188757, 0.00188233, 0.0011871, 0.000956912, 0.00105016, 0.00135628, 0.00293586, 0.00361195, 0.00514422, 0.00915331, 0.0124977, 0.0155538, 0.0175366, 0.0224274
0.02, 0.0319375, 0.00037675, 0.000332181, 0.000135174, 0.00011217, 6.71126e-05, 0.000142922, 0.000320502, 0.000689745, 0.000429061, 0.000240535, 0.000331347, 0.00052903, 0.000670685, 0.000530698, 0.000850435, 0.000646859, 0.000691413, 0.00034386, 0.000464451, 0.000409758, 0.000805888, 0.000843408, 0.000786115, 0.000901293, 0.00129782, 0.0017086, 0.001953, 0.00188055, 0.00120686, 0.000703207, 0.000919872, 0.00142056, 0.00239062, 0.00356206, 0.00584998, 0.00787665, 0.00969417, 0.014401, 0.0165958, 0.0159407
0.03, 0.0319375, 0.000270807, 0.000268662, 0.000240416, 0.000115507, 6.90198e-05, 0.000313114, 0.000320264, 0.000634588, 0.000545234, 0.000114196, 0.000464451, 0.000613739, 0.000946431, 0.00044205, 0.000654007, 0.000733226, 0.000799813, 0.000396054, 0.000655913, 0.000371745, 0.000594082, 0.000967869, 0.00118543, 0.000948694, 0.00144032, 0.00142461, 0.00188733, 0.0019116, 0.00127306, 0.00122913, 0.00111958, 0.00129842, 0.0026609, 0.0043582, 0.00500924, 0.00747349, 0.00748579, 0.0144994, 0.0175711, 0.0168582
0.04, 0.0319375, 0.000339331, 0.000211097, 0.000110263, 0.000198702, 0.000291305, 0.000448484, 0.000297621, 0.000291186, 0.000253884, 0.000170336, 0.000337067, 0.000557148, 0.000653649, 0.000465166, 0.000525575, 0.00072179, 0.000525456, 0.000625176, 0.000711188, 0.000337305, 0.000702611, 0.000735013, 0.000906891, 0.000888311, 0.00112923, 0.00164516, 0.00136342, 0.00141854, 0.00161208, 0.00121948, 0.00119638, 0.00135949, 0.00237076, 0.0035598, 0.00524253, 0.00886599, 0.0104491, 0.0158631, 0.018954, 0.0182613
0.05, 0.0319375, 0.000349818, 0.000190597, 0.000182016, 0.000261034, 0.000288445, 0.000406064, 0.000293808, 0.000369242, 0.000231835, 0.00022099, 0.000259247, 0.000335756, 0.000335399, 0.000317285, 0.000648407, 0.000606949, 0.000616122, 0.000500792, 0.000767294, 0.000700348, 0.000714643, 0.00111625, 0.00117578, 0.00115138, 0.00174097, 0.00180927, 0.00126877, 0.00138187, 0.00164993, 0.00111613, 0.0014658, 0.00168039, 0.00234733, 0.00326256, 0.00625142, 0.00802637, 0.00808703, 0.0126777, 0.0170957, 0.0171778
0.06, 0.0319375, 0.000289041, 0.000111097, 0.000157106, 0.000202993, 0.000219559, 0.000201324, 0.00041655, 0.000403085, 0.000238986, 0.000317523, 0.000595154, 0.000394505, 0.000391288, 0.000486732, 0.000528792, 0.000466595, 0.000398676, 0.000596822, 0.000439905, 0.000820181, 0.000992402, 0.00117376, 0.00141366, 0.00158209, 0.00174406, 0.00130973, 0.00111863, 0.00209505, 0.00167337, 0.0014058, 0.00132318, 0.00168182, 0.00243094, 0.00374426, 0.00568227, 0.00676686, 0.0122026, 0.0148931, 0.0133416, 0.0195901
0.07, 0.0319375, 0.000386998, 0.000319787, 0.0003093, 0.000225519, 0.000473864, 0.00035101, 0.000270568, 0.000356611, 0.000292139, 0.000316451, 0.000660321, 0.00045897, 0.000459923, 0.00058598, 0.000543923, 0.00053189, 0.000597775, 0.000625772, 0.00075026, 0.000849601, 0.000930353, 0.000802672, 0.00118793, 0.000968583, 0.0010011, 0.00112697, 0.00149413, 0.00211337, 0.00167682, 0.00135533, 0.00149734, 0.00156019, 0.00208113, 0.00313493, 0.00678793, 0.00621861, 0.00945318, 0.0134431, 0.020941, 0.0263595
0.08, 0.0319375, 0.000185353, 0.000175222, 0.000269019, 0.000340404, 0.000557029, 0.000277242, 0.000366382, 0.000677356, 0.00057359, 0.000315616, 0.000454918, 0.000343502, 0.000324078, 0.000432279, 0.000627083, 0.000451463, 0.000706304, 0.000486375, 0.000688078, 0.000852698, 0.000589912, 0.000813392, 0.000949885, 0.000937618, 0.000980492, 0.00105861, 0.00162148, 0.00213704, 0.00127092, 0.00120769, 0.0017731, 0.0011016, 0.00191493, 0.00283982, 0.00492645, 0.00688336, 0.0106337, 0.0127986, 0.0219309, 0.0185178
0.09, 0.0319375, 0.000227545, 0.000291067, 0.000390096, 0.000350652, 0.000135293, 0.000217057, 0.000325984, 0.000407851, 0.000425725, 0.000308585, 0.000508656, 0.000578832, 0.000684266, 0.000553097, 0.000815298, 0.000379133, 0.000400106, 0.000265682, 0.000844837, 0.000683432, 0.000487566, 0.00105385, 0.00105992, 0.00117626, 0.0009637, 0.00110732, 0.00207019, 0.00164219, 0.00161565, 0.00150793, 0.00143008, 0.00107898, 0.00204104, 0.00349043, 0.00590189, 0.00860968, 0.0115749, 0.0135848, 0.0165593, 0.0182509
