# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.021592, 0.021695, 0.0248261, 0.010468, 0.0106061, 0.0160931, 0.0331138, 0.0337762, 0.0261512, 0.0251688, 0.0163965, 0.038487, 0.0408944, 0.0597563, 0.0607754, 0.0394051, 0.0648087, 0.0623694, 0.0384027, 0.0478229, 0.0941162, 0.0988183, 0.17643, 0.182316, 0.179483, 0.45822, 0.588273, 0.460028, 0.213004, 0.176516, 0.151566, 0.192027, 0.158926, 0.118097, 0.103586, 0.130687, 0.173173, 0.152128, 0.0527951, 0.0147782
0.01, 0.0319375, 0.0179918, 0.0138839, 0.0161007, 0.0172623, 0.0207188, 0.0150875, 0.0301689, 0.0233419, 0.0203891, 0.0213323, 0.0161806, 0.0202923, 0.0487515, 0.0651848, 0.0420855, 0.0452594, 0.0257176, 0.0316241, 0.0397176, 0.0265202, 0.0585009, 0.0816435, 0.103518, 0.0772849, 0.122708, 0.261078, 0.260112, 0.197956, 0.133122, 0.112349, 0.0917595, 0.0925456, 0.0876417, 0.0902276, 0.0787698, 0.0808337, 0.0903062, 0.0799485, 0.0456903, 0.0141979
0.02, 0.0319375, 0.0126233, 0.0186708, 0.0190942, 0.00757831, 0.0112907, 0.0115645, 0.031421, 0.0266327, 0.0193881, 0.013647, 0.0196158, 0.0237209, 0.0213853, 0.0466302, 0.0339899, 0.0259372, 0.0293397, 0.0355042, 0.0427941, 0.0361967, 0.0332361, 0.0431813, 0.0655477, 0.0629371, 0.10262, 0.119404, 0.0901838, 0.067542, 0.106043, 0.106478, 0.0878814, 0.0715399, 0.0510261, 0.0670186, 0.0597096, 0.0657804, 0.0713621, 0.0529042, 0.033355, 0.0137996
0.03, 0.0319375, 0.00896134, 0.0141965, 0.00910913, 0.0119655, 0.0099279, 0.0237649, 0.0299412, 0.0227883, 0.0150555, 0.0134437, 0.0185678, 0.0230396, 0.02581, 0.0359647, 0.0292019, 0.0314294, 0.028205, 0.0264614, 0.0349622, 0.0404914, 0.0343503, 0.0526703, 0.0484246, 0.0515287, 0.0829471, 0.0894145, 0.0813684, 0.0902016, 0.128256, 0.0986599, 0.0903085, 0.0672754, 0.0697838, 0.0493724, 0.0491187, 0.0544081, 0.0655542, 0.0501749, 0.0344776, 0.0114539
0.04, 0.0319375, 0.012431, 0.0106528, 0.0157165, 0.0220122, 0.0136817, 0.021456, 0.0247816, 0.0221371, 0.0204398, 0.0115254, 0.0131107, 0.0140838, 0.018687, 0.0160809, 0.0206572, 0.0331248, 0.0248093, 0.0290917, 0.0323513, 0.0402117, 0.0439916, 0.0679873, 0.0807881, 0.0747278, 0.0806277, 0.103962, 0.109389, 0.081671, 0.112903, 0.115369, 0.10125, 0.080358, 0.0617132, 0.0487881, 0.0432411, 0.0693795, 0.0578935, 0.0398211, 0.0297371, 0.0109799
0.05, 0.0319375, 0.0106455, 0.0157402, 0.0129314, 0.0126055, 0.0109845, 0.0183931, 0.0218185, 0.0299346, 0.0182367, 0.0105185, 0.0196606, 0.026225, 0.0238192, 0.0253903, 0.0264412, 0.0326883, 0.0183302, 0.037075, 0.0407667, 0.0522755, 0.0366305, 0.0520392, 0.0786453, 0.0756825, 0.0598275, 0.0755269, 0.0800233, 0.0968539, 0.119221, 0.110367, 0.0938278, 0.0792693, 0.0599162, 0.0576591, 0.0472937, 0.0772411, 0.0661339, 0.0458961, 0.0340172, 0.011823
0.06, 0.0319375, 0.0138606, 0.0146047, 0.0207911, 0.0179906, 0.0096545, 0.0262647, 0.0248704, 0.0278052, 0.0321916, 0.0268188, 0.0191541, 0.0363374, 0.0300022, 0.0266299, 0.0224824, 0.0218556, 0.0184387, 0.0339565, 0.0322859, 0.0246906, 0.0406109, 0.0383964, 0.0689216, 0.0729356, 0.0641608, 0.0721052, 0.109197, 0.103921, 0.106325, 0.097183, 0.0645999, 0.0579035, 0.0650782, 0.0569593, 0.0553403, 0.0655693, 0.070914, 0.0597713, 0.0385101, 0.0122051
0.07, 0.0319375, 0.0155513, 0.0245047, 0.0188197, 0.0260388, 0.0199284, 0.015912, 0.0279351, 0.0166409, 0.0143155, 0.0115335, 0.0100623, 0.0265367, 0.0481206, 0.0383165, 0.0382646, 0.0319602, 0.0314775, 0.0344825, 0.0523365, 0.0317281, 0.0545953, 0.0493658, 0.0437607, 0.0444253, 0.0674412, 0.0793831, 0.0941608, 0.0981069, 0.0700854, 0.0558143, 0.045773, 0.0385326, 0.0689053, 0.0833532, 0.0712748, 0.0646146, 0.0462447, 0.0408036, 0.0394183, 0.0123903
0.08, 0.0319375, 0.020261, 0.0258131, 0.0227489, 0.0133933, 0.0194307, 0.0306596, 0.0215668, 0.0169486, 0.0104966, 0.00916772, 0.0162562, 0.0253938, 0.0581881, 0.0474279, 0.0510385, 0.0406016, 0.0416311, 0.0315697, 0.0554705, 0.0409191, 0.0502372, 0.0502121, 0.0459783, 0.0647851, 0.0676042, 0.071924, 0.0913882, 0.100975, 0.0675878, 0.0925695, 0.0644238, 0.0414784, 0.0650798, 0.0565235, 0.0624781, 0.0530248, 0.0520821, 0.0449415, 0.0310254, 0.00976854
0.09, 0.0319375, 0.0216426, 0.025386, 0.0242429, 0.0161187, 0.0165165, 0.0162356, 0.0147156, 0.0179001, 0.0122601, 0.0176311, 0.0142289, 0.021511, 0.0265898, 0.0281465, 0.0363664, 0.0346598, 0.0529343, 0.029224, 0.0555305, 0.0446209, 0.0421024, 0.0488707, 0.0514624, 0.0500529, 0.0707364, 0.0624733, 0.0846927, 0.103212, 0.0596954, 0.0961518, 0.0918209, 0.045204, 0.0603829, 0.0539002, 0.0613129, 0.0669668, 0.0659307, 0.0528606, 0.0258503, 0.00809224
0.1, 0.0319375, 0.016683, 0.0282424, 0.0289593, 0.0179789, 0.0233071, 0.0206493, 0.0146598, 0.0141271, 0.0117735, 0.0178049, 0.015295, 0.0209126, 0.0250002, 0.0308187, 0.044374, 0.0314782, 0.0309766, 0.0344477, 0.0635441, 0.0430633, 0.0474009, 0.0566864, 0.0516977, 0.0644268, 0.104977, 0.0791285, 0.0672721, 0.0673099, 0.0828865, 0.0613091, 0.0896198, 0.0661346, 0.0533836, 0.0564701, 0.0638547, 0.0555143, 0.0464773, 0.0470537, 0.0282918, 0.0113754
0.11, 0.0319375, 0.0262562, 0.0151568, 0.0129553, 0.0116897, 0.0139687, 0.0223236, 0.0240364, 0.0228016, 0.011694, 0.0222793, 0.0162806, 0.0261454, 0.0287234, 0.0389904, 0.0284923, 0.0164094, 0.0264125, 0.0333917, 0.0587566, 0.0392629, 0.0503414, 0.067591, 0.0428703, 0.0540358, 0.095156, 0.0869244, 0.075257, 0.0653966, 0.0694306, 0.0722047, 0.0767163, 0.069829, 0.0564023, 0.0509016, 0.064045, 0.0697236, 0.0494242, 0.0500922, 0.0367021, 0.0130992
0.12, 0.0319375, 0.0233463, 0.0202133, 0.00916382, 0.0217575, 0.0270687, 0.0276552, 0.027607, 0.0326314, 0.0155446, 0.0195541, 0.0140986, 0.0313896, 0.0277944, 0.044926, 0.0481408, 0.0357613, 0.0384086, 0.019519, 0.033461, 0.0325252, 0.0500135, 0.0688802, 0.0499021, 0.0555956, 0.098171, 0.0856381, 0.056679, 0.102658, 0.121349, 0.0811155, 0.0660611, 0.0749662, 0.0800208, 0.0603865, 0.0557809, 0.0691241, 0.0528328, 0.0553355, 0.0420842, 0.0102477
0.13, 0.0319375, 0.0272737, 0.0231831, 0.0139019, 0.0117471, 0.0179293, 0.0202089, 0.0215362, 0.0217503, 0.0124692, 0.00922855, 0.0163707, 0.0233626, 0.0358173, 0.0326869, 0.040664, 0.0316529, 0.0276169, 0.0129169, 0.0417124, 0.0489723, 0.081055, 0.0770575, 0.0440978, 0.0633655, 0.0600013, 0.0806878, 0.069641, 0.0780539, 0.080354, 0.0781431, 0.0686724, 0.0708504, 0.0727886, 0.0684315, 0.0543999, 0.0727751, 0.0527674, 0.0492465, 0.0303584, 0.0112095
0.14, 0.0319375, 0.0266887, 0.0207213, 0.0265756, 0.0245977, 0.0245453, 0.0127079, 0.0149322, 0.0175592, 0.011215, 0.0100561, 0.0325268, 0.032266, 0.03276, 0.041551, 0.0427769, 0.0211592, 0.0326378, 0.0372324, 0.0478795, 0.0341606, 0.03981, 0.0648328, 0.039947, 0.0375021, 0.0478597, 0.0860779, 0.102206, 0.0829878, 0.0947063, 0.0855843, 0.0692002, 0.0753547, 0.0660202, 0.0723744, 0.0538606, 0.0588083, 0.0569725, 0.0446701, 0.0354556, 0.012377
0.15, 0.0319375, 0.0324603, 0.020288, 0.0157394, 0.0281626, 0.0172943, 0.0133895, 0.0166416, 0.0168527, 0.0153529, 0.0139352, 0.0254179, 0.0214468, 0.0287887, 0.0322256, 0.038764, 0.0343107, 0.0291699, 0.0332104, 0.0391984, 0.0322593, 0.0325716, 0.0525014, 0.0468362, 0.037262, 0.0694616, 0.0974319, 0.102218, 0.0887566, 0.0917138, 0.0833343, 0.0837927, 0.069075, 0.0943734, 0.0664419, 0.049135, 0.0487109, 0.060376, 0.0607135, 0.0339201, 0.0134847
0.16, 0.0319375, 0.0489007, 0.0431826, 0.0357814, 0.0252307, 0.00911539, 0.0229628, 0.0251149, 0.0213274, 0.025718, 0.0164078, 0.0170459, 0.0228399, 0.0196349, 0.0230274, 0.0319819, 0.032138, 0.031723, 0.0360436, 0.0850715, 0.0616217, 0.0494006, 0.0412059, 0.0767426, 0.0651275, 0.100167, 0.0731143, 0.0814306, 0.0952738, 0.0800371, 0.0811726, 0.0989759, 0.0785116, 0.0602048, 0.0496931, 0.0510309, 0.0582789, 0.0618153, 0.0551996, 0.0247688, 0.0120163
0.17, 0.0319375, 0.0181343, 0.0250121, 0.0189582, 0.0122033, 0.00964623, 0.0138203, 0.0310263, 0.0246611, 0.0131472, 0.0120868, 0.0238592, 0.0318573, 0.024105, 0.0322504, 0.0202307, 0.0197185, 0.024364, 0.037744, 0.0912572, 0.0639481, 0.0717419, 0.0635236, 0.0964574, 0.0867254, 0.0592816, 0.0961764, 0.102054, 0.0908689, 0.0572328, 0.0834465, 0.0810124, 0.0781235, 0.0456934, 0.0570276, 0.0481199, 0.0575061, 0.0625256, 0.0681128, 0.027526, 0.0119707
0.18, 0.0319375, 0.0190917, 0.0199147, 0.0141177, 0.00632084, 0.00830695, 0.00916158, 0.0297331, 0.0216145, 0.0151629, 0.00780875, 0.01721, 0.0375446, 0.0278628, 0.0333798, 0.0301369, 0.0206531, 0.029671, 0.049033, 0.0671175, 0.0535803, 0.057775, 0.0702185, 0.0726534, 0.0613122, 0.0561147, 0.0834501, 0.0916937, 0.0857385, 0.057976, 0.0961737, 0.0668651, 0.061832, 0.0876358, 0.061445, 0.0532056, 0.0486438, 0.0462663, 0.0453504, 0.0382392, 0.0144295
0.19, 0.0319375, 0.0118253, 0.015066, 0.0170174, 0.0247835, 0.0166697, 0.0243468, 0.0339756, 0.031146, 0.0215369, 0.0118193, 0.0370879, 0.0268896, 0.0284866, 0.0431417, 0.0296021, 0.0334134, 0.0416213, 0.0323116, 0.0434544, 0.0500325, 0.0500834, 0.0631224, 0.076593, 0.0548399, 0.074383, 0.0655069, 0.0712689, 0.0787109, 0.105475, 0.0612818, 0.0701342, 0.0708901, 0.089141, 0.075209, 0.0586455, 0.0505372, 0.0487354, 0.0581271, 0.0379626, 0.0148918
0.2, 0.0319375, 0.015022, 0.0188654, 0.0207286, 0.0244928, 0.0208352, 0.0155807, 0.0265582, 0.0179378, 0.017452, 0.0146274, 0.0210085, 0.0144404, 0.020369, 0.0305262, 0.0146681, 0.0199629, 0.0209419, 0.0326084, 0.0699204, 0.0499601, 0.0459167, 0.0432216, 0.0647206, 0.055338, 0.055571, 0.0667633, 0.0879501, 0.0861954, 0.0793025, 0.0771879, 0.0731064, 0.0901224, 0.0714315, 0.0658959, 0.0539278, 0.0471021, 0.0465435, 0.0558979, 0.0342747, 0.0148138
0.21, 0.0319375, 0.0121774, 0.012249, 0.0185286, 0.0175549, 0.014743, 0.0107336, 0.0302735, 0.024724, 0.0192509, 0.0197785, 0.0187157, 0.0202783, 0.0248283, 0.0219493, 0.0268778, 0.0173279, 0.0229207, 0.038703, 0.070517, 0.0381064, 0.0480468, 0.0583941, 0.0640912, 0.0625052, 0.0832087, 0.0497538, 0.0742646, 0.0806036, 0.0723765, 0.0739997, 0.0829655, 0.0998214, 0.0898186, 0.0751492, 0.0605618, 0.0513688, 0.0490235, 0.0436899, 0.0358066, 0.0117589
0.22, 0.0319375, 0.0161121, 0.0137407, 0.00473675, 0.0047409, 0.0107949, 0.0137113, 0.0282509, 0.0152808, 0.0113983, 0.0309386, 0.0241604, 0.0303965, 0.0302994, 0.0253322, 0.0357036, 0.0219461, 0.0309905, 0.0483605, 0.0756678, 0.0536421, 0.0414909, 0.0451206, 0.053455, 0.0651575, 0.0971283, 0.0539638, 0.0695939, 0.0693079, 0.0984239, 0.0719831, 0.0741618, 0.0760277, 0.0737578, 0.0760925, 0.0509932, 0.0718533, 0.0551375, 0.0459726, 0.0363122, 0.0129898
0.23, 0.0319375, 0.0168658, 0.0160308, 0.0113594, 0.0089142, 0.0167559, 0.00766763, 0.0198435, 0.0377144, 0.0211842, 0.0172056, 0.0183766, 0.0217245, 0.0209103, 0.0262674, 0.031145, 0.0259251, 0.0224819, 0.0286057, 0.0621837, 0.0401368, 0.0439554, 0.0337351, 0.0562017, 0.0643191, 0.0755944, 0.0629689, 0.0439306, 0.0621032, 0.0849497, 0.0936627, 0.0966784, 0.0642279, 0.0783536, 0.0559068, 0.0479258, 0.0540363, 0.0534484, 0.0584024, 0.0467518, 0.0144839
0.24, 0.0319375, 0.0188595, 0.0179002, 0.018028, 0.0210685, 0.0195149, 0.0155991, 0.0179206, 0.0331376, 0.0166576, 0.011211, 0.0175572, 0.0285556, 0.0185126, 0.0311881, 0.0425428, 0.0211216, 0.0305005, 0.0221018, 0.052712, 0.0258518, 0.048814, 0.0618111, 0.0567685, 0.0608605, 0.0613581, 0.0879213, 0.0585593, 0.0530937, 0.0553708, 0.0929057, 0.0840301, 0.0536314, 0.054122, 0.0432137, 0.0379078, 0.0417588, 0.050335, 0.0470786, 0.0349535, 0.0126697
0.25, 0.0319375, 0.0124016, 0.0147515, 0.027529, 0.027536, 0.0190181, 0.0177995, 0.0272506, 0.0280903, 0.0183817, 0.012153, 0.013322, 0.0212784, 0.0383621, 0.040862, 0.0608162, 0.029037, 0.0246105, 0.0429981, 0.0585198, 0.0337386, 0.0476762, 0.0551168, 0.0585794, 0.0607628, 0.0539621, 0.0699968, 0.0630535, 0.064674, 0.0514972, 0.0755319, 0.0883633, 0.0885561, 0.0535854, 0.0482693, 0.0569944, 0.0531466, 0.0432034, 0.058734, 0.0381478, 0.0125209
0.26, 0.0319375, 0.0176592, 0.0212279, 0.0423001, 0.0250811, 0.0164936, 0.0189336, 0.0275234, 0.0388868, 0.0339515, 0.0183265, 0.0145635, 0.017059, 0.0309775, 0.0287512, 0.0385539, 0.0388162, 0.026148, 0.0383469, 0.070187, 0.05627, 0.0380758, 0.0470286, 0.0462276, 0.0750148, 0.0765848, 0.118926, 0.110871, 0.106065, 0.0866807, 0.0778598, 0.0828608, 0.0791529, 0.0652646, 0.0428977, 0.0645749, 0.050747, 0.0516617, 0.0593407, 0.0387769, 0.0106114
0.27, 0.0319375, 0.014214, 0.0113953, 0.0263001, 0.0382747, 0.0190225, 0.0154747, 0.0252366, 0.0181113, 0.0212452, 0.0192891, 0.0292049, 0.0159254, 0.02127, 0.0223415, 0.0149402, 0.0391806, 0.0338136, 0.0251523, 0.061008, 0.0410579, 0.0329772, 0.0617889, 0.0552001, 0.0515965, 0.0732106, 0.117881, 0.129747, 0.125449, 0.0958296, 0.0929282, 0.0785576, 0.0512334, 0.0638331, 0.05362, 0.060457, 0.0553768, 0.0527118, 0.0548002, 0.046922, 0.0163336
0.28, 0.0319375, 0.0164458, 0.0132449, 0.0281372, 0.0255264, 0.0169171, 0.0101773, 0.00909791, 0.0127608, 0.0124066, 0.0145101, 0.0188197, 0.0231968, 0.0247376, 0.0401405, 0.0330753, 0.023089, 0.0248964, 0.0296629, 0.0615635, 0.0625851, 0.0461054, 0.0720562, 0.0660126, 0.0610639, 0.0496682, 0.0628761, 0.0969928, 0.132529, 0.127854, 0.1145, 0.066817, 0.0655472, 0.0578789, 0.0520043, 0.0506082, 0.0561132, 0.0483353, 0.0552622, 0.0377912, 0.0125807
0.29, 0.0319375, 0.0599166, 0.0173632, 0.0229542, 0.0223474, 0.020341, 0.0115341, 0.0147595, 0.0193551, 0.0183485, 0.0192991, 0.0209632, 0.032848, 0.0317958, 0.0228016, 0.0333741, 0.02891, 0.0170603, 0.0361862, 0.0558137, 0.0493498, 0.0554937, 0.0587249, 0.0744664, 0.0472791, 0.0642573, 0.0793319, 0.0689537, 0.0665522, 0.0991179, 0.111503, 0.0698521, 0.0706846, 0.0499711, 0.05928, 0.054879, 0.0484725, 0.0697424, 0.0539014, 0.0351848, 0.0132264
0.3, 0.0319375, 0.140897, 0.0133301, 0.0103243, 0.0186449, 0.0269301, 0.0429562, 0.0265466, 0.017238, 0.0136416, 0.014378, 0.0194048, 0.0362217, 0.0259734, 0.0148294, 0.0358798, 0.0405925, 0.0372434, 0.0494643, 0.0414165, 0.0416832, 0.0475463, 0.0600163, 0.0827041, 0.0491195, 0.0721535, 0.0692266, 0.0792169, 0.0973216, 0.0747908, 0.0775282, 0.0611187, 0.0522157, 0.0472522, 0.0552617, 0.055326, 0.0507074, 0.0541259, 0.0428749, 0.0316362, 0.0119362
0.31, 0.0319375, 0.152859, 0.0132187, 0.0101866, 0.00683056, 0.0542083, 0.0377033, 0.0210797, 0.0170441, 0.0231222, 0.0154589, 0.0160831, 0.023303, 0.0267347, 0.0303797, 0.0450101, 0.0344274, 0.0627246, 0.0428316, 0.0464257, 0.0645265, 0.0419368, 0.0388298, 0.0468002, 0.0558969, 0.0776441, 0.0604078, 0.0694857, 0.0865232, 0.0934365, 0.100919, 0.0594514, 0.0435225, 0.0749338, 0.0651407, 0.0445385, 0.060405, 0.0649899, 0.0472858, 0.0329121, 0.00991031
0.32, 0.0319375, 0.10351, 0.0103855, 0.0131077, 0.0267046, 0.0592836, 0.0287697, 0.023524, 0.02485, 0.0211637, 0.0168444, 0.0196915, 0.0228384, 0.0348376, 0.0412621, 0.0328809, 0.0315429, 0.0404901, 0.0381602, 0.0466687, 0.0491753, 0.0404194, 0.036665, 0.0391023, 0.0533968, 0.0560063, 0.068772, 0.0903899, 0.0762272, 0.0807913, 0.105698, 0.0740415, 0.0484914, 0.0854317, 0.054169, 0.0601155, 0.0572338, 0.0691718, 0.0596319, 0.0347233, 0.0109394
