# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.965649, 1.56751, 0.861023, 0.722736, 0.422096, 0.382579, 0.563562, 0.859894, 1.04245, 1.14785, 1.08524, 0.735343, 0.636802, 0.578176, 0.946792, 0.79324, 0.908502, 0.643727, 0.63016, 0.567217, 0.642542, 0.584865, 0.589306, 0.664128, 0.720185, 0.674573, 0.699939, 0.698706, 0.813343, 0.652482, 0.724398, 0.635069, 0.7603, 0.667824, 0.654801, 0.652226, 0.59861, 0.47252, 0.394676, 0.296949
0.01, 0.0319375, 1.11413, 1.475, 0.733804, 0.595316, 0.561516, 0.260012, 0.718517, 1.06193, 0.816926, 0.623553, 0.689323, 0.476301, 0.595927, 0.562193, 0.68057, 0.756704, 0.667603, 0.684719, 0.722174, 0.678955, 0.561472, 0.663682, 0.509717, 0.796538, 1.03341, 0.863487, 1.03276, 1.03977, 0.750261, 0.762435, 0.692025, 0.647832, 0.875054, 0.6618, 0.630001, 0.628634, 0.518267, 0.529035, 0.507817, 0.364818
0.02, 0.0319375, 1.4734, 1.07904, 1.13555, 0.766151, 0.644117, 0.36091, 0.639238, 1.12131, 0.722261, 0.573642, 0.628146, 0.764365, 0.625982, 0.641199, 0.570793, 0.952997, 0.991674, 0.776043, 0.851631, 0.82383, 0.744064, 0.733423, 0.590661, 0.612168, 0.725034, 0.694463, 0.81405, 0.707987, 0.659055, 0.701026, 0.663889, 0.824256, 0.793209, 0.774708, 0.712445, 0.54281, 0.537034, 0.462927, 0.436264, 0.328004
0.03, 0.0319375, 1.27799, 0.920546, 1.25164, 1.17934, 0.671256, 0.520556, 0.422617, 0.69752, 0.646687, 0.520741, 0.610855, 1.04437, 1.12283, 0.744264, 0.855752, 0.672957, 0.67048, 0.741581, 0.953766, 0.771119, 0.970357, 0.643896, 0.674253, 0.664424, 0.62897, 0.690268, 0.782886, 0.55315, 0.827479, 0.740165, 0.76053, 0.823296, 0.72277, 0.942303, 0.79436, 0.602144, 0.61812, 0.588941, 0.542035, 0.364991
0.04, 0.0319375, 1.34347, 1.18832, 0.793396, 0.998378, 0.711929, 0.658636, 0.718977, 0.720471, 0.743693, 0.611989, 0.715282, 1.15519, 1.34146, 0.811166, 0.699682, 0.494487, 0.458175, 0.84742, 1.0112, 0.703544, 0.826989, 0.534415, 0.798229, 0.651558, 0.763776, 0.660471, 0.625706, 0.630791, 0.814112, 0.859807, 0.832069, 0.778612, 0.723799, 0.642903, 0.611012, 0.605027, 0.636399, 0.628487, 0.537901, 0.353569
0.05, 0.0319375, 1.86718, 1.71464, 1.18919, 0.691446, 0.977924, 0.829841, 1.00727, 0.751114, 0.851415, 0.608065, 0.549161, 0.807884, 0.858825, 0.999202, 0.714653, 0.580469, 0.545083, 0.712117, 0.770037, 1.00342, 0.795293, 0.842497, 0.666512, 0.513189, 0.653814, 0.61503, 0.727417, 0.595113, 0.605281, 0.812718, 0.90195, 0.679008, 0.561963, 0.534112, 0.653702, 0.441087, 0.478086, 0.448242, 0.465574, 0.347066
0.06, 0.0319375, 1.35482, 1.1449, 0.695545, 0.946756, 0.911195, 0.89407, 0.679426, 0.763188, 0.644552, 0.464178, 0.450219, 0.626471, 0.522225, 0.744919, 0.818847, 0.630497, 0.723286, 0.750058, 0.783319, 0.920949, 0.592882, 0.755846, 0.652369, 0.594572, 0.510049, 0.539015, 0.775931, 0.521846, 0.46486, 0.570862, 0.739823, 0.696036, 0.637216, 0.703502, 0.699374, 0.483863, 0.471536, 0.456426, 0.465889, 0.359441
0.07, 0.0319375, 1.52989, 0.931849, 1.10933, 1.01642, 0.854725, 0.743118, 0.662538, 0.957711, 0.924519, 0.69579, 0.796746, 0.420981, 0.751894, 0.745158, 0.718445, 0.974475, 0.746956, 0.833579, 0.898009, 0.928488, 0.689126, 0.720302, 0.621652, 0.4645, 0.453023, 0.527455, 0.686446, 0.599256, 0.569026, 0.683411, 0.817378, 0.719282, 0.826393, 0.836958, 0.759769, 0.648642, 0.573771, 0.503084, 0.545506, 0.355392
0.08, 0.0319375, 1.7479, 1.19, 1.15729, 0.944668, 1.0868, 1.1213, 0.744739, 0.880705, 0.905499, 0.958095, 0.945945, 0.799641, 0.682744, 0.90615, 0.867493, 0.785042, 0.440921, 0.685428, 0.692045, 0.83874, 0.957216, 0.652204, 0.648879, 0.59608, 0.552262, 0.786294, 0.862951, 0.78683, 0.558453, 0.741539, 0.610914, 0.528893, 0.708304, 0.690644, 0.790253, 0.678188, 0.553787, 0.562307, 0.621141, 0.371139
0.09, 0.0319375, 1.30873, 0.803412, 1.24357, 1.15137, 0.798513, 0.606255, 0.91399, 0.710274, 0.798296, 0.842562, 0.806517, 0.979845, 0.851248, 0.769362, 0.787111, 0.792185, 0.656037, 0.465762, 0.523858, 0.711525, 0.720859, 0.726655, 0.70905, 0.58788, 0.547946, 0.731512, 0.586672, 0.670665, 0.643584, 0.610914, 0.663859, 0.628746, 0.719205, 0.623265, 0.576406, 0.602009, 0.640248, 0.634313, 0.526096, 0.317508
