# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.000331109, 0.000337782, 0.000568943, 0.000389381, 0.000300481, 0.000369123, 0.000582287, 0.000710592, 0.000221228, 0.000473864, 0.000811724, 0.000483992, 0.000387236, 0.000312875, 0.000860678, 0.000457301, 0.000676403, 0.000829472, 0.000930591, 0.000752643, 0.00109886, 0.00105004, 0.00127473, 0.00170979, 0.000910583, 0.000996332, 0.00118126, 0.00126151, 0.00142663, 0.00156138, 0.00170479, 0.00151281, 0.00183485, 0.00155269, 0.00203343, 0.00236767, 0.00260015, 0.00302215, 0.00273545, 0.00277171
0.01, 0.0319375, 0.00023398, 0.000351486, 0.000160085, 0.000137796, 0.000266874, 0.000276408, 0.000654602, 0.000472315, 0.000238033, 0.000483753, 0.00101967, 0.000630299, 0.00049269, 0.000387236, 0.000831378, 0.00075979, 0.000591222, 0.000829234, 0.00112339, 0.000685099, 0.00106731, 0.00119329, 0.000884976, 0.0011072, 0.00140199, 0.00141913, 0.00132378, 0.00110375, 0.00163481, 0.00154697, 0.00186341, 0.00186294, 0.00203391, 0.00225016, 0.00188507, 0.0023578, 0.00243831, 0.00314111, 0.00201118, 0.00254735
0.02, 0.0319375, 0.000458731, 0.000484707, 0.000543804, 0.00049686, 0.000467191, 0.000693677, 0.000918086, 0.00103325, 0.000642332, 0.000958222, 0.0011022, 0.00102753, 0.00106945, 0.00092547, 0.000963462, 0.000923684, 0.000725245, 0.000999904, 0.00100312, 0.00103099, 0.00120674, 0.0010573, 0.000838524, 0.00112292, 0.00110803, 0.00164433, 0.0014283, 0.00175156, 0.00154114, 0.00189601, 0.00156114, 0.00185175, 0.00174763, 0.00189125, 0.00231808, 0.0025338, 0.00315561, 0.0029777, 0.0021738, 0.00309655
0.03, 0.0319375, 0.00326208, 0.00558518, 0.00610191, 0.00279643, 0.00593993, 0.00563687, 0.00765722, 0.0100908, 0.0062872, 0.00886706, 0.0101913, 0.00881317, 0.00611494, 0.00618141, 0.00576216, 0.00409277, 0.00552804, 0.00372823, 0.00729966, 0.00852801, 0.00925312, 0.00811766, 0.00835684, 0.0117792, 0.00890935, 0.0171654, 0.0376574, 0.033, 0.0117199, 0.0131485, 0.00724794, 0.0103764, 0.0108718, 0.00828082, 0.0128695, 0.0116109, 0.00825233, 0.0088745, 0.00844243, 0.00433149
0.04, 0.0319375, 0.0196619, 0.0220173, 0.0109014, 0.0166271, 0.0316147, 0.0248141, 0.0247205, 0.028933, 0.029977, 0.0258538, 0.0452699, 0.0188994, 0.0085007, 0.0103399, 0.0254612, 0.0189907, 0.0163013, 0.0282077, 0.0296173, 0.0445703, 0.0360796, 0.0297951, 0.0277614, 0.0453593, 0.0461149, 0.0801091, 0.153094, 0.110961, 0.0662761, 0.0640968, 0.0229701, 0.025684, 0.0522313, 0.0340532, 0.0516552, 0.0434886, 0.0344863, 0.02684, 0.0241981, 0.0150901
0.05, 0.0319375, 0.059641, 0.0520632, 0.0403104, 0.0425982, 0.0621552, 0.0393001, 0.0280579, 0.0390996, 0.0368974, 0.0335364, 0.0714212, 0.0333497, 0.0270753, 0.0314035, 0.0514006, 0.0469416, 0.027089, 0.0617317, 0.0446666, 0.0771894, 0.0643841, 0.0536607, 0.0541366, 0.095901, 0.134105, 0.118041, 0.260574, 0.175394, 0.113088, 0.0839663, 0.0466347, 0.052931, 0.0942004, 0.0816691, 0.0655806, 0.0790342, 0.0609203, 0.0476005, 0.0482632, 0.0271411
0.06, 0.0319375, 0.0819781, 0.0345128, 0.0381126, 0.049359, 0.0671314, 0.0302945, 0.0237779, 0.0269707, 0.0689726, 0.0664154, 0.0635115, 0.0520452, 0.0524141, 0.0511309, 0.0723372, 0.0356419, 0.0366848, 0.0619739, 0.0763911, 0.112777, 0.0913552, 0.0705122, 0.0769451, 0.128617, 0.1208, 0.128126, 0.26956, 0.197233, 0.150453, 0.0902841, 0.0780669, 0.0893972, 0.108177, 0.115229, 0.0884966, 0.12306, 0.0830415, 0.0672199, 0.0540545, 0.0229289
0.07, 0.0319375, 0.0531672, 0.0167899, 0.0226731, 0.0368698, 0.0464849, 0.0231377, 0.0197559, 0.0288225, 0.0753993, 0.0615961, 0.0487513, 0.0425772, 0.0550053, 0.0483564, 0.062363, 0.0324472, 0.0380731, 0.0667343, 0.0792728, 0.136864, 0.130994, 0.121491, 0.0808697, 0.14375, 0.0930568, 0.148119, 0.276822, 0.245499, 0.147399, 0.0543355, 0.132934, 0.0954135, 0.10422, 0.0803769, 0.0852336, 0.109268, 0.0900915, 0.0709926, 0.0488764, 0.0208481
0.08, 0.0319375, 0.0708597, 0.00891302, 0.0190012, 0.0624504, 0.0407743, 0.0169368, 0.0346465, 0.0195927, 0.0338719, 0.0626488, 0.0515282, 0.0228896, 0.0239863, 0.0444989, 0.0642504, 0.0448006, 0.0421687, 0.0658846, 0.0786482, 0.113637, 0.154948, 0.106656, 0.103458, 0.134297, 0.112153, 0.135222, 0.257469, 0.22991, 0.133946, 0.0735606, 0.122934, 0.0849488, 0.119657, 0.0943296, 0.0908717, 0.0805268, 0.0860586, 0.0747906, 0.0524626, 0.0262066
0.09, 0.0319375, 0.0777156, 0.0175362, 0.0262186, 0.0640611, 0.0381208, 0.0131094, 0.0388245, 0.0237855, 0.0361737, 0.0338717, 0.0310876, 0.0193605, 0.00875799, 0.036714, 0.0624271, 0.0568197, 0.0475521, 0.0482021, 0.080384, 0.0854301, 0.107851, 0.051167, 0.0685095, 0.121283, 0.157121, 0.202327, 0.279975, 0.253819, 0.136401, 0.0910177, 0.0669992, 0.0540038, 0.0783256, 0.0996993, 0.0899001, 0.0871456, 0.0842041, 0.0924944, 0.0661467, 0.0251353
