# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.000340285, 0.000386283, 0.000374009, 0.000280937, 0.000222301, 0.000120394, 0.000522834, 0.000906891, 0.00051366, 0.000259366, 0.000433232, 0.000863894, 0.000702968, 0.000732273, 0.000835308, 0.000972632, 0.00110184, 0.000776824, 0.000817799, 0.000800528, 0.00101539, 0.00129068, 0.00165921, 0.00166599, 0.00172133, 0.00189054, 0.00232973, 0.0017155, 0.00135021, 0.00151305, 0.00138116, 0.00232997, 0.00386919, 0.00452079, 0.00490901, 0.00961884, 0.0180286, 0.0162258, 0.0212487, 0.024166
0.01, 0.0319375, 0.000512707, 0.000610404, 0.000399629, 0.000264014, 0.000151623, 0.00028773, 0.000518188, 0.000834593, 0.000418575, 0.000251619, 0.000314306, 0.000955721, 0.00123484, 0.000902484, 0.000856271, 0.000439428, 0.000672234, 0.000871398, 0.00100574, 0.00104849, 0.000896648, 0.000973466, 0.00184806, 0.00168765, 0.00166195, 0.00192504, 0.0024282, 0.00199607, 0.00165123, 0.00192124, 0.00191065, 0.0018527, 0.00265329, 0.00383297, 0.00750579, 0.00825978, 0.0168162, 0.0178712, 0.0210113, 0.0246071
0.02, 0.0319375, 0.000268304, 0.000476843, 0.000405825, 0.000176533, 0.000380682, 0.000383065, 0.000271522, 0.000247567, 0.000378895, 0.000452774, 0.000602064, 0.000728223, 0.00130723, 0.000782899, 0.000832926, 0.000649718, 0.00100967, 0.000736204, 0.000726317, 0.00111553, 0.00126842, 0.00155602, 0.00166242, 0.00171681, 0.00190791, 0.00196217, 0.00280475, 0.00324628, 0.00184068, 0.00211635, 0.00195812, 0.00171431, 0.00234293, 0.00446561, 0.0074542, 0.0111076, 0.0170845, 0.0200838, 0.0225267, 0.0239971
0.03, 0.0319375, 0.000261988, 0.000456348, 0.000555361, 0.000621722, 0.000608021, 0.000562867, 0.000430491, 0.000488877, 0.000552144, 0.000407851, 0.000505677, 0.000441335, 0.000970846, 0.000688197, 0.000504366, 0.00112959, 0.000870207, 0.000646621, 0.00112589, 0.000927971, 0.00105492, 0.00173513, 0.00126008, 0.00127687, 0.00182379, 0.0014877, 0.00161267, 0.00230511, 0.00215501, 0.00184616, 0.00158161, 0.00193123, 0.00211004, 0.00455248, 0.00848072, 0.0115133, 0.0155906, 0.018342, 0.0197937, 0.0273032
0.04, 0.0319375, 8.8807e-05, 0.000335399, 0.000476366, 0.00108326, 0.000528792, 0.000318596, 0.000363284, 0.000448007, 0.000323482, 0.000454084, 0.00059575, 0.000658891, 0.00106445, 0.000854485, 0.000667349, 0.00111351, 0.000690341, 0.000905342, 0.0015052, 0.00131044, 0.000593129, 0.00133663, 0.00105111, 0.00174394, 0.00167051, 0.00196502, 0.00159482, 0.00158935, 0.00228989, 0.00185675, 0.00253344, 0.0022755, 0.00292006, 0.0042871, 0.00714675, 0.010804, 0.0103605, 0.016135, 0.0247728, 0.0297892
0.05, 0.0319375, 0.000408089, 0.000598371, 0.000672353, 0.000404514, 0.000183327, 0.000459804, 0.000568586, 0.000368527, 0.000191909, 0.000516996, 0.000506869, 0.000439786, 0.000594916, 0.000721909, 0.000807436, 0.000783851, 0.000781826, 0.000727389, 0.000662465, 0.00087247, 0.00051366, 0.000836857, 0.000895219, 0.00138782, 0.00195443, 0.00172752, 0.00121758, 0.00133485, 0.00167539, 0.00200928, 0.00169194, 0.00158637, 0.00279239, 0.00532186, 0.00766562, 0.0128669, 0.0133792, 0.0185446, 0.0224046, 0.0231157
0.06, 0.0319375, 0.000261988, 0.00029643, 0.00029202, 0.000202039, 0.000206688, 0.000556791, 0.000716906, 0.000481728, 0.000269377, 0.000315259, 0.00068641, 0.000696774, 0.000989662, 0.00057907, 0.000700109, 0.000694987, 0.00083769, 0.000970965, 0.00104682, 0.000833164, 0.000797311, 0.001081, 0.000956674, 0.00119698, 0.0017894, 0.00221079, 0.00193659, 0.00147568, 0.00125091, 0.0014477, 0.0019862, 0.00249801, 0.00281807, 0.00491625, 0.00716261, 0.0105599, 0.014588, 0.0155184, 0.0181081, 0.0229447
0.07, 0.0319375, 0.000151623, 0.000169859, 0.00037532, 0.000458493, 0.000585742, 0.000361139, 0.000670328, 0.000399391, 0.000457301, 0.000259842, 0.00035673, 0.000466, 0.000950123, 0.000814345, 0.000638519, 0.00107552, 0.000972751, 0.00110458, 0.000765269, 0.00065353, 0.00116019, 0.00145651, 0.00124437, 0.00110732, 0.00101253, 0.0016216, 0.00272831, 0.00255829, 0.00214537, 0.00177095, 0.00186936, 0.00215572, 0.00268421, 0.00463032, 0.0092654, 0.0119769, 0.0149782, 0.0167612, 0.0146312, 0.0224148
0.08, 0.0319375, 0.000414643, 0.000503532, 0.000369838, 0.000443718, 0.000439905, 0.000349341, 0.00042358, 0.000361139, 0.000369242, 0.000195484, 0.000408447, 0.000459089, 0.000638043, 0.000756693, 0.000677237, 0.000882475, 0.0011253, 0.000549761, 0.000502222, 0.00100538, 0.00111708, 0.00137235, 0.0011815, 0.000936904, 0.00097954, 0.00146782, 0.00251537, 0.00220497, 0.00219949, 0.00180808, 0.00155971, 0.00208435, 0.002322, 0.00452459, 0.00820031, 0.0123935, 0.0168407, 0.0197414, 0.0194218, 0.018912
0.09, 0.0319375, 0.000532366, 0.000359947, 0.000397603, 0.000269853, 0.000194888, 0.000370434, 0.000339808, 0.000398795, 0.000383423, 0.000360781, 0.000799455, 0.000607783, 0.000746925, 0.00086973, 0.000879378, 0.00061648, 0.000770034, 0.000494715, 0.000402727, 0.000889382, 0.00100574, 0.000895695, 0.000983232, 0.00139866, 0.00123175, 0.00151853, 0.00126996, 0.0021217, 0.00166849, 0.0013708, 0.0013089, 0.00223708, 0.00237255, 0.00468407, 0.00803737, 0.0108973, 0.0126638, 0.0140168, 0.0177534, 0.0229497
