# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0834535, 0.0659128, 0.0674332, 0.0432822, 0.0157639, 0.025732, 0.0797799, 0.0557246, 0.0539005, 0.0500899, 0.0435139, 0.038831, 0.0418188, 0.0218632, 0.0263139, 0.0339201, 0.0362854, 0.0183768, 0.0226098, 0.0330908, 0.0365171, 0.0267657, 0.0312241, 0.0359694, 0.0339992, 0.0244064, 0.0259638, 0.0141442, 0.013913, 0.0149229, 0.00955815, 0.0176766, 0.0185532, 0.0203004, 0.0207707, 0.0116451, 0.0134676, 0.0115159, 0.00930024, 0.00386337
0.01, 0.0319375, 0.0801201, 0.0511368, 0.0705063, 0.0580068, 0.0334153, 0.0345095, 0.0558568, 0.0758073, 0.0666041, 0.094068, 0.0714056, 0.0727548, 0.0379219, 0.0175636, 0.0476564, 0.0409278, 0.0323641, 0.013014, 0.0389219, 0.0541923, 0.0376523, 0.0298954, 0.0355695, 0.0258074, 0.0435924, 0.0489656, 0.0343962, 0.0228566, 0.0150691, 0.0129431, 0.0114913, 0.0113622, 0.0158471, 0.0180315, 0.0171279, 0.0146243, 0.0128778, 0.011999, 0.00964045, 0.00310725
0.02, 0.0319375, 0.057011, 0.0646762, 0.132311, 0.091417, 0.0508463, 0.0417796, 0.0533754, 0.0639596, 0.0962118, 0.11662, 0.0445066, 0.0438449, 0.0345315, 0.0173094, 0.0320474, 0.0492646, 0.0514567, 0.0196827, 0.0326938, 0.0401103, 0.0330745, 0.0213043, 0.0319486, 0.0406496, 0.0605763, 0.0497253, 0.0347745, 0.0232931, 0.0163495, 0.0164212, 0.0183389, 0.0159432, 0.0154778, 0.0158555, 0.0159038, 0.0166143, 0.0143132, 0.00937878, 0.00784448, 0.00349815
0.03, 0.0319375, 0.0277486, 0.144264, 0.246781, 0.10756, 0.064979, 0.0785661, 0.094918, 0.0550191, 0.0489756, 0.032995, 0.0438175, 0.0381582, 0.017218, 0.0105566, 0.0218502, 0.0514188, 0.0419167, 0.0361173, 0.0320125, 0.0265379, 0.0270526, 0.0203494, 0.0379992, 0.0364407, 0.0428204, 0.0357889, 0.0318882, 0.0171456, 0.0122361, 0.0119998, 0.0109886, 0.0167165, 0.0215006, 0.0142519, 0.00979912, 0.0128525, 0.0113401, 0.0100505, 0.00789924, 0.00327765
0.04, 0.0319375, 0.0789423, 0.262421, 0.246411, 0.131339, 0.0591583, 0.0861735, 0.118615, 0.0527992, 0.0306946, 0.0304156, 0.0298529, 0.0465664, 0.0279566, 0.0234278, 0.0458673, 0.0605608, 0.0464602, 0.0452408, 0.0309813, 0.0232453, 0.0253725, 0.042157, 0.052343, 0.0455114, 0.0369692, 0.0317449, 0.0289206, 0.0169803, 0.0123603, 0.017877, 0.0152842, 0.0130285, 0.020518, 0.0138137, 0.0100314, 0.014053, 0.00937075, 0.0115547, 0.00818707, 0.00314408
0.05, 0.0319375, 0.142967, 0.278248, 0.236245, 0.132861, 0.0482441, 0.0266187, 0.126652, 0.109306, 0.049263, 0.0322711, 0.031383, 0.0839268, 0.0521943, 0.0296232, 0.0595654, 0.0695994, 0.0465032, 0.0529048, 0.0234796, 0.0301493, 0.0284964, 0.0467347, 0.0686867, 0.0502158, 0.0344002, 0.0272235, 0.0259886, 0.0186166, 0.0191745, 0.0186905, 0.016792, 0.0130833, 0.0134185, 0.0136972, 0.0120734, 0.0131158, 0.0101029, 0.00965402, 0.00692267, 0.00347083
0.06, 0.0319375, 0.100721, 0.0990136, 0.152986, 0.146269, 0.0250781, 0.021957, 0.100816, 0.0933743, 0.0265411, 0.0684642, 0.0461797, 0.0855051, 0.0516806, 0.0255956, 0.0377541, 0.0278978, 0.0299861, 0.035077, 0.0229561, 0.028235, 0.0488219, 0.0538426, 0.0566812, 0.0494256, 0.0420826, 0.0353696, 0.0226869, 0.0154727, 0.0225009, 0.0189281, 0.0140004, 0.0153192, 0.0153854, 0.0124753, 0.0103761, 0.0120431, 0.0140627, 0.00879261, 0.00502763, 0.00316773
0.07, 0.0319375, 0.0589951, 0.121248, 0.123334, 0.0902018, 0.0265807, 0.0407604, 0.0452016, 0.0272815, 0.0200883, 0.05257, 0.0441428, 0.0880166, 0.0584365, 0.0258383, 0.0334431, 0.02708, 0.0246844, 0.0212755, 0.017603, 0.0327056, 0.0440141, 0.0826917, 0.08578, 0.0501473, 0.0538146, 0.0359023, 0.0264844, 0.0171408, 0.0268755, 0.0158483, 0.0142014, 0.016512, 0.0195727, 0.0147699, 0.0118766, 0.0134426, 0.0162116, 0.0117002, 0.00570751, 0.00287346
0.08, 0.0319375, 0.0623888, 0.061431, 0.0302842, 0.0224292, 0.0182409, 0.025945, 0.0387177, 0.0163513, 0.0150403, 0.0400501, 0.0553635, 0.07845, 0.0377164, 0.0371961, 0.0358726, 0.0219637, 0.0279733, 0.0203145, 0.0158613, 0.036791, 0.0491585, 0.0586986, 0.0784148, 0.031088, 0.0492258, 0.0400675, 0.0230322, 0.0168414, 0.023711, 0.0156238, 0.018582, 0.013651, 0.0193811, 0.0168334, 0.011799, 0.0157217, 0.0148328, 0.0119, 0.00605285, 0.00286015
0.09, 0.0319375, 0.0693831, 0.0745028, 0.0486511, 0.0265554, 0.0439795, 0.0380729, 0.0638143, 0.0369202, 0.0255432, 0.0242905, 0.0349859, 0.0950019, 0.04618, 0.0488913, 0.0281902, 0.0168183, 0.0153613, 0.0191427, 0.0289543, 0.0303373, 0.0456261, 0.0304737, 0.0280715, 0.0310109, 0.0446077, 0.0581361, 0.0301133, 0.0124405, 0.0154793, 0.0197603, 0.0189501, 0.0119438, 0.0191322, 0.0159762, 0.0112098, 0.012819, 0.0155298, 0.0122014, 0.00824595, 0.00346477
