# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.47331, 0.418454, 0.603929, 0.319595, 0.310778, 0.459277, 0.282034, 0.455398, 0.280468, 0.297205, 0.348212, 0.334987, 0.290132, 0.331943, 0.284467, 0.302594, 0.290988, 0.23324, 0.273644, 0.283714, 0.273441, 0.268057, 0.274375, 0.264736, 0.247543, 0.249702, 0.280883, 0.26049, 0.243463, 0.271677, 0.265696, 0.258941, 0.259913, 0.270421, 0.270668, 0.277464, 0.281067, 0.291596, 0.312577, 0.313455
0.01, 0.0319375, 0.339886, 0.293926, 0.358095, 0.227467, 0.211035, 0.264332, 0.20117, 0.277848, 0.183093, 0.184376, 0.213476, 0.212607, 0.187139, 0.19662, 0.179946, 0.183355, 0.174344, 0.148359, 0.166282, 0.174644, 0.167833, 0.16603, 0.169622, 0.161368, 0.149579, 0.154334, 0.171847, 0.158999, 0.149927, 0.164375, 0.16945, 0.160306, 0.160139, 0.16358, 0.16797, 0.172744, 0.175396, 0.182743, 0.199012, 0.195873
0.02, 0.0319375, 0.0891096, 0.0412938, 0.0715422, 0.0526078, 0.0328377, 0.0481158, 0.0434581, 0.0468592, 0.036587, 0.0326238, 0.0375951, 0.0383869, 0.035136, 0.034133, 0.0346878, 0.0322556, 0.0313261, 0.0278654, 0.0292326, 0.0308111, 0.0290173, 0.030428, 0.0293031, 0.0287776, 0.0276508, 0.0276432, 0.029604, 0.0290032, 0.027802, 0.0300006, 0.0299161, 0.0280229, 0.0285917, 0.0301002, 0.0298823, 0.0309848, 0.0324032, 0.0324399, 0.0351469, 0.0353818
0.03, 0.0319375, 0.159442, 0.11546, 0.0900235, 0.0668366, 0.0554583, 0.0477734, 0.0532582, 0.0592538, 0.0398538, 0.0352134, 0.0435874, 0.0441194, 0.0403936, 0.0356826, 0.037951, 0.0341889, 0.0316573, 0.0309805, 0.0368032, 0.0324622, 0.0301035, 0.0333737, 0.0363753, 0.0308225, 0.0295349, 0.0300967, 0.0329449, 0.0312456, 0.0307977, 0.0321643, 0.0332051, 0.0338709, 0.0325132, 0.0331262, 0.033066, 0.0353409, 0.0368253, 0.034965, 0.0396804, 0.0411303
0.04, 0.0319375, 0.420558, 0.364556, 0.315475, 0.288586, 0.259049, 0.239901, 0.267602, 0.282066, 0.223016, 0.202391, 0.226073, 0.237744, 0.220082, 0.204388, 0.215664, 0.191366, 0.190571, 0.172721, 0.178297, 0.189762, 0.177971, 0.185176, 0.189632, 0.180514, 0.175436, 0.175573, 0.187308, 0.177953, 0.168574, 0.184899, 0.18555, 0.177419, 0.184964, 0.18345, 0.184376, 0.190657, 0.196486, 0.200629, 0.214662, 0.218945
0.05, 0.0319375, 0.657635, 0.578645, 0.514744, 0.467478, 0.426732, 0.3946, 0.435843, 0.461341, 0.367778, 0.340217, 0.372785, 0.392767, 0.365374, 0.340257, 0.355948, 0.325453, 0.314312, 0.291593, 0.301208, 0.31668, 0.299945, 0.309587, 0.316863, 0.302952, 0.293719, 0.29489, 0.314144, 0.298861, 0.284994, 0.30924, 0.310908, 0.298004, 0.308055, 0.307609, 0.30883, 0.319484, 0.327909, 0.33484, 0.355213, 0.362609
0.06, 0.0319375, 0.218988, 0.166807, 0.137469, 0.129851, 0.120303, 0.108546, 0.119309, 0.119629, 0.0961047, 0.0852953, 0.09685, 0.0998274, 0.0943671, 0.0855504, 0.0902051, 0.0824911, 0.0786224, 0.0733955, 0.0775884, 0.080272, 0.0745238, 0.0775269, 0.079414, 0.0757262, 0.0724626, 0.0733447, 0.0790691, 0.0749293, 0.0712254, 0.0775453, 0.077639, 0.0746875, 0.077038, 0.0770628, 0.0776621, 0.0808488, 0.0827496, 0.0848179, 0.0914668, 0.0928006
0.07, 0.0319375, 0.0919811, 0.0859979, 0.061504, 0.0513733, 0.0455725, 0.0361768, 0.0457714, 0.0443761, 0.0298357, 0.0319241, 0.0332215, 0.03407, 0.0327475, 0.0291575, 0.0310101, 0.0333129, 0.0326898, 0.0261223, 0.0315328, 0.0323741, 0.0265912, 0.0313979, 0.0354101, 0.0298944, 0.0252163, 0.0272724, 0.0296183, 0.0281542, 0.025551, 0.027811, 0.0304292, 0.0343092, 0.0329882, 0.0312567, 0.0288628, 0.0329744, 0.0325975, 0.0304418, 0.0418177, 0.0387096
0.08, 0.0319375, 0.022393, 0.0125771, 0.0169355, 0.0123968, 0.0114826, 0.00861748, 0.0124843, 0.012035, 0.00855294, 0.0113265, 0.011441, 0.0117882, 0.0105385, 0.00913972, 0.0160637, 0.0267201, 0.0187486, 0.00930709, 0.016207, 0.0247028, 0.0136336, 0.0182078, 0.0204562, 0.0166192, 0.0134241, 0.0172643, 0.0208056, 0.0160714, 0.0105481, 0.0125067, 0.018478, 0.0232715, 0.0257943, 0.0191183, 0.0189536, 0.0195049, 0.0164496, 0.0151521, 0.0252706, 0.0182704
0.09, 0.0319375, 0.0399089, 0.035181, 0.0282013, 0.0284427, 0.0221177, 0.0238283, 0.0253376, 0.0256308, 0.0205314, 0.017748, 0.0229044, 0.0231478, 0.0202737, 0.0205098, 0.0198607, 0.0233083, 0.0190572, 0.0171393, 0.0241238, 0.0230868, 0.0201806, 0.0202299, 0.0224048, 0.021224, 0.0172759, 0.0183873, 0.0248716, 0.020519, 0.0174739, 0.0230913, 0.0280827, 0.0265679, 0.0245142, 0.0288917, 0.02614, 0.0232608, 0.0223143, 0.0244672, 0.0272098, 0.0245983
