# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.337701, 0.280021, 0.191826, 0.192163, 0.144203, 0.11084, 0.186752, 0.273536, 0.108789, 0.229436, 0.198167, 0.143924, 0.167408, 0.19261, 0.242003, 0.238312, 0.147167, 0.119125, 0.160443, 0.139785, 0.120803, 0.145903, 0.128951, 0.0849187, 0.0778672, 0.0677135, 0.0852638, 0.102061, 0.122762, 0.0721684, 0.0487774, 0.0343729, 0.0261257, 0.0284462, 0.0371321, 0.0343553, 0.0421368, 0.0408284, 0.0402434, 0.046997
0.01, 0.0319375, 0.262852, 0.160857, 0.128329, 0.193394, 0.122607, 0.165823, 0.235686, 0.354002, 0.147483, 0.158958, 0.18911, 0.140786, 0.158628, 0.14475, 0.252976, 0.245658, 0.170781, 0.0951103, 0.125351, 0.123562, 0.105569, 0.143646, 0.165808, 0.114751, 0.14445, 0.0615212, 0.107646, 0.14211, 0.115006, 0.0733994, 0.0551704, 0.0333361, 0.0271288, 0.0388834, 0.0458986, 0.0412406, 0.0464105, 0.0506946, 0.0639296, 0.0496743
0.02, 0.0319375, 0.431489, 0.219859, 0.232737, 0.212034, 0.123727, 0.294449, 0.265895, 0.196092, 0.164002, 0.164294, 0.198207, 0.151535, 0.173636, 0.186233, 0.29639, 0.263271, 0.236071, 0.134308, 0.12907, 0.155639, 0.162223, 0.165129, 0.157908, 0.140798, 0.168208, 0.102188, 0.182773, 0.168421, 0.133333, 0.0732502, 0.0740577, 0.0343537, 0.0479892, 0.0633471, 0.0704183, 0.0706394, 0.0646285, 0.0742897, 0.0815575, 0.0678577
0.03, 0.0319375, 0.598265, 0.318288, 0.13104, 0.25499, 0.256401, 0.196921, 0.278637, 0.337634, 0.216761, 0.196419, 0.269606, 0.25519, 0.18481, 0.228867, 0.324439, 0.151848, 0.188771, 0.175921, 0.187468, 0.227057, 0.284765, 0.178236, 0.154048, 0.139905, 0.105968, 0.138177, 0.132946, 0.141461, 0.121666, 0.088334, 0.0898131, 0.0451292, 0.0522481, 0.0858893, 0.0899113, 0.1058, 0.0814107, 0.0922171, 0.063364, 0.0643981
0.04, 0.0319375, 0.490788, 0.289386, 0.167676, 0.178477, 0.171173, 0.377901, 0.378341, 0.318943, 0.22551, 0.106263, 0.111278, 0.220617, 0.186688, 0.127569, 0.314485, 0.249492, 0.225143, 0.281256, 0.35681, 0.276235, 0.258348, 0.191019, 0.188613, 0.126624, 0.120927, 0.127806, 0.13254, 0.181693, 0.178805, 0.118691, 0.0767233, 0.0372604, 0.0540398, 0.0878642, 0.0678481, 0.100552, 0.119812, 0.10778, 0.0701642, 0.0704273
0.05, 0.0319375, 0.343543, 0.295621, 0.136091, 0.234857, 0.192827, 0.299389, 0.334275, 0.193381, 0.175407, 0.159365, 0.0850984, 0.116638, 0.166314, 0.202258, 0.263222, 0.235139, 0.214952, 0.286273, 0.257045, 0.200679, 0.253021, 0.154942, 0.188115, 0.118202, 0.132259, 0.136896, 0.147575, 0.219021, 0.191881, 0.09185, 0.0534282, 0.0502684, 0.0659466, 0.0914798, 0.0645351, 0.0814983, 0.0859371, 0.0902586, 0.0889563, 0.0547351
0.06, 0.0319375, 0.207892, 0.3661, 0.29697, 0.206167, 0.2341, 0.20505, 0.318452, 0.449641, 0.381019, 0.183795, 0.100793, 0.126234, 0.128988, 0.142923, 0.19592, 0.192787, 0.136711, 0.214201, 0.18595, 0.136368, 0.199598, 0.117678, 0.202959, 0.0927994, 0.121729, 0.104635, 0.151717, 0.140453, 0.151535, 0.0851371, 0.0615031, 0.0524633, 0.0721195, 0.0850599, 0.0683991, 0.0661117, 0.0773541, 0.0802946, 0.0636192, 0.0478968
0.07, 0.0319375, 0.167858, 0.278838, 0.264521, 0.163434, 0.09906, 0.211285, 0.273466, 0.404406, 0.31673, 0.123242, 0.149308, 0.228319, 0.18493, 0.172623, 0.267668, 0.310222, 0.209556, 0.205677, 0.189895, 0.133672, 0.0971117, 0.132027, 0.190453, 0.0772329, 0.121458, 0.10737, 0.158455, 0.143044, 0.155728, 0.10425, 0.0757772, 0.0557939, 0.0716122, 0.0775384, 0.0690031, 0.0855106, 0.0652159, 0.0627947, 0.0652068, 0.0496544
0.08, 0.0319375, 0.182926, 0.334943, 0.470503, 0.246801, 0.120423, 0.168361, 0.153198, 0.227872, 0.231593, 0.0860539, 0.178247, 0.193386, 0.154896, 0.202037, 0.245003, 0.196559, 0.16013, 0.168437, 0.168763, 0.120099, 0.108789, 0.121629, 0.195287, 0.102243, 0.0956502, 0.0778048, 0.175392, 0.17044, 0.146634, 0.10526, 0.0751205, 0.0488957, 0.0627823, 0.0718672, 0.0507149, 0.0597749, 0.0519707, 0.0659469, 0.0793628, 0.0617913
0.09, 0.0319375, 0.553004, 0.45726, 0.269374, 0.238124, 0.148252, 0.227851, 0.219028, 0.2032, 0.211526, 0.144518, 0.23629, 0.2635, 0.278442, 0.258019, 0.256739, 0.251594, 0.217758, 0.196916, 0.178464, 0.13436, 0.0954141, 0.135057, 0.19136, 0.142213, 0.114506, 0.089284, 0.132911, 0.146091, 0.149231, 0.116627, 0.0662725, 0.0414512, 0.0541587, 0.0725698, 0.0580366, 0.0548245, 0.0562001, 0.0533796, 0.0588808, 0.0506831
0.1, 0.0319375, 0.543218, 0.503458, 0.360775, 0.341954, 0.431915, 0.173632, 0.187592, 0.301129, 0.175857, 0.148951, 0.228864, 0.223084, 0.189125, 0.233149, 0.145966, 0.233244, 0.166702, 0.140875, 0.115606, 0.105495, 0.10761, 0.116451, 0.134459, 0.112077, 0.101379, 0.0885496, 0.13279, 0.142715, 0.174511, 0.121119, 0.0848899, 0.0449366, 0.0750467, 0.0670639, 0.0603321, 0.0645069, 0.0634473, 0.0670423, 0.0823867, 0.0633154
0.11, 0.0319375, 0.232113, 0.539983, 0.293142, 0.363088, 0.543354, 0.141577, 0.26886, 0.318825, 0.215942, 0.139324, 0.173262, 0.0750861, 0.125314, 0.150922, 0.134465, 0.17001, 0.141328, 0.0550751, 0.0905387, 0.142893, 0.126525, 0.0933028, 0.147768, 0.111166, 0.104456, 0.0758268, 0.106289, 0.106706, 0.138911, 0.118829, 0.0816704, 0.0494561, 0.0643833, 0.0562303, 0.0607867, 0.05786, 0.0558017, 0.0727491, 0.0778699, 0.076274
0.12, 0.0319375, 0.535066, 0.49701, 0.308504, 0.320071, 0.56259, 0.362416, 0.381016, 0.332902, 0.192891, 0.0943601, 0.0863345, 0.134876, 0.224317, 0.0711014, 0.128877, 0.238079, 0.171434, 0.0702119, 0.073473, 0.191136, 0.192832, 0.172298, 0.183992, 0.1196, 0.0974981, 0.0886951, 0.10041, 0.084283, 0.0978904, 0.117163, 0.0619639, 0.0763095, 0.0562744, 0.0479603, 0.0568326, 0.0714003, 0.0793623, 0.0587403, 0.0636391, 0.0403234
0.13, 0.0319375, 0.443326, 0.392074, 0.159789, 0.208109, 0.338318, 0.302813, 0.188128, 0.21252, 0.117997, 0.0956537, 0.150144, 0.224726, 0.255333, 0.108972, 0.11879, 0.187895, 0.160426, 0.133527, 0.123818, 0.144578, 0.186198, 0.142886, 0.145111, 0.107853, 0.0571792, 0.0573125, 0.0911722, 0.140461, 0.132932, 0.096795, 0.0546139, 0.0432562, 0.0499301, 0.0516991, 0.0490368, 0.0528452, 0.0587459, 0.0520428, 0.0549098, 0.0379956
0.14, 0.0319375, 0.27271, 0.363167, 0.300283, 0.305319, 0.354825, 0.11964, 0.196457, 0.157058, 0.177528, 0.152702, 0.180012, 0.215225, 0.20235, 0.160664, 0.297326, 0.293558, 0.218295, 0.139198, 0.116501, 0.147819, 0.156043, 0.102306, 0.119141, 0.0945601, 0.0762674, 0.0506308, 0.0901877, 0.147879, 0.131249, 0.0979128, 0.0412313, 0.0420543, 0.0423181, 0.0523044, 0.056869, 0.0463017, 0.0504905, 0.0521052, 0.0534093, 0.0416648
0.15, 0.0319375, 0.369666, 0.35985, 0.300011, 0.158549, 0.330459, 0.226699, 0.243595, 0.431909, 0.179391, 0.141993, 0.141801, 0.130508, 0.193999, 0.139372, 0.277387, 0.213113, 0.212661, 0.128478, 0.130483, 0.181311, 0.181941, 0.128638, 0.096123, 0.102476, 0.0736339, 0.0596248, 0.115622, 0.132474, 0.103357, 0.086578, 0.0379985, 0.0374065, 0.0317996, 0.0416084, 0.0604761, 0.0570641, 0.0554522, 0.0666634, 0.0646826, 0.0419487
0.16, 0.0319375, 0.458441, 0.392968, 0.193997, 0.24721, 0.470744, 0.176472, 0.190902, 0.477265, 0.272479, 0.219927, 0.179345, 0.292073, 0.235191, 0.111477, 0.180401, 0.151744, 0.133219, 0.105268, 0.124102, 0.164831, 0.119637, 0.134458, 0.0746756, 0.126605, 0.0776534, 0.0758562, 0.127555, 0.124182, 0.0740715, 0.0794875, 0.0352886, 0.0304663, 0.0342535, 0.041146, 0.0500021, 0.0533295, 0.0527083, 0.0606514, 0.0546841, 0.0360543
0.17, 0.0319375, 0.466833, 0.462946, 0.199393, 0.243635, 0.475193, 0.265591, 0.186676, 0.317794, 0.165392, 0.276078, 0.202045, 0.198774, 0.185462, 0.0866314, 0.140658, 0.189591, 0.153913, 0.145435, 0.20127, 0.164885, 0.0870655, 0.119314, 0.0934553, 0.100744, 0.102003, 0.0993236, 0.105269, 0.106838, 0.0834941, 0.0649004, 0.0278345, 0.0321336, 0.0275254, 0.0591144, 0.0462377, 0.0451535, 0.043909, 0.0586974, 0.0591241, 0.0314022
0.18, 0.0319375, 0.381726, 0.295199, 0.232623, 0.233612, 0.348076, 0.251154, 0.194313, 0.253148, 0.206961, 0.246806, 0.226956, 0.205925, 0.171905, 0.102294, 0.156918, 0.160346, 0.209303, 0.230734, 0.147893, 0.0970055, 0.116673, 0.118676, 0.109721, 0.0889717, 0.113567, 0.0957476, 0.0846772, 0.105571, 0.0624337, 0.0538691, 0.0494945, 0.0514078, 0.0369794, 0.0451049, 0.0468698, 0.0537007, 0.0464454, 0.0620779, 0.0506261, 0.0341894
0.19, 0.0319375, 0.438256, 0.389323, 0.111762, 0.352115, 0.427278, 0.233963, 0.205457, 0.26739, 0.199702, 0.28018, 0.321372, 0.182789, 0.210593, 0.164134, 0.264691, 0.173558, 0.236335, 0.144541, 0.108596, 0.103115, 0.0909686, 0.105509, 0.158262, 0.0733834, 0.094703, 0.0936194, 0.118643, 0.101452, 0.0966088, 0.0548811, 0.0664789, 0.0436799, 0.0442727, 0.0545058, 0.0437194, 0.0439317, 0.0474802, 0.0622412, 0.0534748, 0.0455671
0.2, 0.0319375, 0.209516, 0.515441, 0.313676, 0.266314, 0.423486, 0.222546, 0.138781, 0.141389, 0.169325, 0.384648, 0.2581, 0.124249, 0.229426, 0.160867, 0.175279, 0.0866859, 0.118212, 0.0997896, 0.153956, 0.102464, 0.0930201, 0.0750062, 0.142376, 0.129264, 0.103277, 0.0982072, 0.111892, 0.120445, 0.131545, 0.0680333, 0.0477626, 0.0414261, 0.053263, 0.0740829, 0.0604545, 0.048775, 0.0519566, 0.0621722, 0.0574046, 0.0417375
0.21, 0.0319375, 0.242479, 0.432863, 0.388993, 0.396931, 0.496987, 0.158988, 0.119821, 0.168878, 0.169119, 0.190865, 0.189185, 0.119816, 0.357814, 0.310113, 0.155215, 0.126244, 0.131008, 0.149184, 0.100609, 0.119587, 0.103841, 0.103324, 0.138863, 0.193459, 0.122928, 0.0773099, 0.100357, 0.131439, 0.137597, 0.10101, 0.0569105, 0.0349914, 0.0440489, 0.0533115, 0.0432151, 0.0556894, 0.0547301, 0.0711816, 0.0693927, 0.0451735
0.22, 0.0319375, 0.311671, 0.239465, 0.182873, 0.327006, 0.626954, 0.372503, 0.201885, 0.183504, 0.176032, 0.27545, 0.287906, 0.165563, 0.303471, 0.198171, 0.142825, 0.195192, 0.175159, 0.199772, 0.14186, 0.126615, 0.0922648, 0.111378, 0.160314, 0.164161, 0.110971, 0.087748, 0.105673, 0.123153, 0.116626, 0.0930739, 0.0443589, 0.0433187, 0.0656169, 0.0551391, 0.0599851, 0.0833317, 0.0775059, 0.101044, 0.0653455, 0.0361348
0.23, 0.0319375, 0.349993, 0.195637, 0.173918, 0.19178, 0.375846, 0.233283, 0.108391, 0.136351, 0.175053, 0.32357, 0.265574, 0.162616, 0.251337, 0.33214, 0.275175, 0.257275, 0.137466, 0.20391, 0.141108, 0.149254, 0.0990471, 0.102005, 0.122816, 0.111474, 0.126149, 0.107291, 0.0685162, 0.10761, 0.0985714, 0.0960597, 0.0619932, 0.0555343, 0.0703671, 0.050089, 0.080131, 0.0659338, 0.0831332, 0.0790366, 0.0673007, 0.0466269
0.24, 0.0319375, 0.249467, 0.215992, 0.257283, 0.216577, 0.302808, 0.253276, 0.133431, 0.141846, 0.254574, 0.245352, 0.235194, 0.193599, 0.166714, 0.214673, 0.22435, 0.151194, 0.130575, 0.115783, 0.103378, 0.166303, 0.0969086, 0.0905999, 0.101164, 0.126105, 0.130617, 0.0967901, 0.0812979, 0.111152, 0.0666509, 0.0679782, 0.0639669, 0.0475966, 0.0535807, 0.0493002, 0.074969, 0.0731208, 0.0876653, 0.0893777, 0.0847189, 0.0441735
0.25, 0.0319375, 0.218875, 0.240099, 0.243005, 0.143271, 0.119657, 0.171133, 0.194729, 0.180914, 0.204372, 0.253197, 0.243767, 0.195559, 0.187678, 0.218182, 0.117347, 0.119901, 0.17498, 0.151263, 0.155476, 0.173693, 0.168824, 0.0912455, 0.131071, 0.122502, 0.115373, 0.0962396, 0.0829109, 0.101495, 0.0643893, 0.0816436, 0.0725593, 0.0631429, 0.0542305, 0.0687957, 0.0532584, 0.0658334, 0.0914119, 0.0894237, 0.0775871, 0.0439335
0.26, 0.0319375, 0.188839, 0.348132, 0.297944, 0.189007, 0.327093, 0.156112, 0.205192, 0.183902, 0.115327, 0.0989584, 0.282349, 0.228095, 0.2606, 0.234545, 0.197821, 0.143918, 0.185373, 0.130731, 0.148595, 0.195207, 0.198315, 0.117064, 0.108853, 0.1043, 0.0858672, 0.120257, 0.0949863, 0.142192, 0.0795633, 0.0812293, 0.0700978, 0.0672502, 0.0662992, 0.0755141, 0.0823344, 0.0754796, 0.0880336, 0.0680685, 0.0596536, 0.0786718
0.27, 0.0319375, 0.325501, 0.445854, 0.236294, 0.178053, 0.489211, 0.174636, 0.141121, 0.21224, 0.103219, 0.172702, 0.196126, 0.174081, 0.250992, 0.222499, 0.134952, 0.164928, 0.146864, 0.0834615, 0.0973084, 0.124447, 0.109686, 0.105667, 0.0915368, 0.113335, 0.118465, 0.12376, 0.109567, 0.137003, 0.105033, 0.0844281, 0.0726714, 0.0665355, 0.0590791, 0.0617896, 0.0734242, 0.0702406, 0.0869736, 0.09449, 0.0657287, 0.0661873
0.28, 0.0319375, 0.289498, 0.464154, 0.308075, 0.201975, 0.59516, 0.228809, 0.0974028, 0.19393, 0.204802, 0.158797, 0.11688, 0.272157, 0.286823, 0.190785, 0.202744, 0.221236, 0.145221, 0.143526, 0.115077, 0.14566, 0.114189, 0.118793, 0.103409, 0.120764, 0.130713, 0.0918709, 0.0913628, 0.127175, 0.104647, 0.0716128, 0.0551549, 0.0356439, 0.0483206, 0.0613813, 0.0890402, 0.0771085, 0.0844191, 0.0850611, 0.0841371, 0.057661
0.29, 0.0319375, 0.57457, 0.460846, 0.315856, 0.345681, 0.330955, 0.214272, 0.150772, 0.111871, 0.211194, 0.238405, 0.0883724, 0.219688, 0.272349, 0.204175, 0.179516, 0.178756, 0.127966, 0.161613, 0.112545, 0.174258, 0.113125, 0.0865975, 0.107842, 0.0672033, 0.0712984, 0.0823497, 0.107665, 0.139018, 0.101879, 0.0874997, 0.0735988, 0.0457518, 0.0571536, 0.0504232, 0.0796931, 0.0683431, 0.0701755, 0.0733628, 0.0968007, 0.0697485
0.3, 0.0319375, 0.505559, 0.483566, 0.240184, 0.295973, 0.51006, 0.24234, 0.235045, 0.213901, 0.255543, 0.329932, 0.182649, 0.228069, 0.150203, 0.163612, 0.246384, 0.297199, 0.177857, 0.121632, 0.0927008, 0.139803, 0.111981, 0.117885, 0.112036, 0.0654399, 0.111237, 0.101975, 0.118035, 0.0905691, 0.122214, 0.08167, 0.0697432, 0.0523206, 0.0444849, 0.0470905, 0.0868219, 0.0843307, 0.0670268, 0.0649834, 0.073281, 0.0694115
0.31, 0.0319375, 0.336036, 0.647525, 0.209812, 0.170038, 0.415768, 0.164848, 0.221102, 0.185626, 0.184497, 0.35742, 0.365965, 0.23086, 0.190241, 0.163821, 0.276287, 0.209481, 0.20182, 0.11835, 0.0894301, 0.0956509, 0.0799093, 0.161133, 0.140348, 0.112265, 0.146705, 0.107584, 0.126712, 0.103591, 0.123873, 0.0780775, 0.0763858, 0.0518241, 0.0873072, 0.0695909, 0.0856581, 0.0966138, 0.0880623, 0.075596, 0.0773009, 0.0722965
0.32, 0.0319375, 0.445387, 0.605908, 0.152164, 0.183979, 0.369091, 0.142606, 0.111263, 0.14135, 0.197574, 0.177487, 0.256481, 0.24138, 0.113408, 0.191848, 0.225742, 0.158358, 0.258548, 0.152321, 0.130986, 0.112792, 0.154882, 0.145751, 0.181692, 0.146793, 0.175566, 0.152464, 0.0971469, 0.115686, 0.122247, 0.0757251, 0.0786233, 0.0923087, 0.179871, 0.120198, 0.114807, 0.125628, 0.128397, 0.101533, 0.0764687, 0.0520826
0.33, 0.0319375, 0.363255, 0.318898, 0.166681, 0.15424, 0.341348, 0.184848, 0.122952, 0.0588449, 0.203634, 0.147747, 0.167038, 0.173731, 0.193741, 0.174125, 0.163983, 0.116987, 0.282295, 0.173279, 0.128343, 0.119346, 0.150676, 0.133295, 0.151454, 0.116323, 0.132422, 0.0778063, 0.113359, 0.116818, 0.102368, 0.0822312, 0.0493341, 0.0629471, 0.0913847, 0.0970546, 0.0873887, 0.085655, 0.105474, 0.0974679, 0.0802806, 0.0659842
0.34, 0.0319375, 0.612721, 0.328511, 0.118239, 0.130244, 0.13508, 0.141295, 0.132659, 0.101321, 0.302411, 0.223457, 0.136052, 0.199362, 0.275114, 0.157719, 0.095053, 0.202467, 0.319557, 0.233561, 0.192466, 0.156758, 0.118439, 0.126764, 0.15434, 0.0856545, 0.125936, 0.110972, 0.11017, 0.139618, 0.133188, 0.0836038, 0.0517228, 0.0593068, 0.0708369, 0.0700999, 0.0760402, 0.0714995, 0.101305, 0.0959432, 0.0939505, 0.0759013
0.35, 0.0319375, 0.422146, 0.450499, 0.157199, 0.155425, 0.178216, 0.202631, 0.119512, 0.137741, 0.329733, 0.210639, 0.116535, 0.191978, 0.138982, 0.126902, 0.14009, 0.172349, 0.281712, 0.187165, 0.121729, 0.171452, 0.144448, 0.10621, 0.159541, 0.103833, 0.0771575, 0.100642, 0.142885, 0.130241, 0.131381, 0.0775601, 0.0780625, 0.0713707, 0.0674697, 0.0835512, 0.0811858, 0.0682829, 0.0715099, 0.0795674, 0.101299, 0.069252
